선수명,생년월일,연도,이전팀,계약팀,계약기간,계약총액,계약평균액
오주원,1985-03-31,2020,키움,키움,2년,"70,000","35,000"
김태균,1982-05-29,2020,한화,한화,1년,"100,000","100,000"
오재원,1985-02-09,2020,두산,두산,3년,"190,000","63,333"
김태군,1989-12-30,2020,NC,NC,4년,"130,000","32,500"
이성열,1984-07-13,2020,한화,한화,2년,"140,000","70,000"
윤규진,1984-07-28,2020,한화,한화,2년,"50,000","25,000"
김선빈,1989-12-18,2020,KIA,KIA,4년,"400,000","100,000"
김강민,1982-09-13,2020,SK,SK,2년,"100,000","50,000"
전준우,1986-02-25,2020,롯데,롯데,4년,"340,000","85,000"
박석민,1985-06-22,2020,NC,NC,3년,"340,000","113,333"
안치홍,1990-07-02,2020,KIA,롯데,2년,"260,000","130,000"
진해수,1986-06-26,2020,LG,LG,3년,"140,000","46,667"
오지환,1990-03-12,2020,LG,LG,4년,"400,000","100,000"
송은범,1984-03-17,2020,LG,LG,2년,"100,000","50,000"
정우람,1985-06-01,2020,한화,한화,4년,"390,000","97,500"
유한준,1981-07-01,2020,KT,KT,2년,"200,000","100,000"
이지영,1986-02-27,2020,키움,키움,3년,"180,000","60,000"
노경은,1984-03-11,2020,롯데,롯데,2년,"110,000","55,000"
김민성,1988-12-17,2019,키움,키움,3년,"150,000","50,000"
이용규,1985-08-26,2019,한화,한화,2년,"100,000","50,000"
최진행,1985-08-17,2019,한화,한화,1년,"20,000","20,000"
이보근,1986-04-30,2019,키움,키움,3년,"90,000","30,000"
윤성환,1981-10-08,2019,삼성,삼성,1년,"40,000","40,000"
금민철,1986-11-07,2019,KT,KT,2년,"40,000","20,000"
송광민,1983-06-24,2019,한화,한화,2년,"80,000","40,000"
김상수,1990-03-23,2019,삼성,삼성,3년,"135,000","45,000"
박경수,1984-03-31,2019,KT,KT,3년,"200,000","66,667"
박용택,1979-04-21,2019,LG,LG,2년,"240,000","120,000"
양의지,1987-06-05,2019,두산,NC,4년,"1,250,000","312,500"
이재원,1988-02-24,2019,SK,SK,4년,"690,000","172,500"
최정,1987-02-28,2019,SK,SK,6년,"1,000,000","166,667"
모창민,1985-05-08,2019,NC,NC,3년,"170,000","56,667"
최준석,1983-02-15,2018,롯데,롯데,1년,"5,500","5,500"
안영명,1984-11-19,2018,한화,한화,2년,"90,000","45,000"
이대형,1983-07-19,2018,kt,kt,2년,"40,000","20,000"
정근우,1982-10-02,2018,한화,한화,2년,"220,000","110,000"
김주찬,1981-03-25,2018,KIA,KIA,3년,"270,000","90,000"
김승회,1981-02-11,2018,두산,두산,2년,"30,000","15,000"
채태인,1982-10-11,2018,넥센,넥센,2년,"80,000","40,000"
박정진,1976-05-27,2018,한화,한화,2년,"75,000","37,500"
김현수,1988-01-12,2018,미국,LG,4년,"1,150,000","287,500"
이종욱,1980-06-18,2018,NC,NC,1년,"50,000","50,000"
지석훈,1984-03-17,2018,NC,NC,2년,"60,000","30,000"
손시헌,1980-10-19,2018,NC,NC,2년,"150,000","75,000"
정의윤,1986-07-25,2018,SK,SK,4년,"170,000","42,500"
민병헌,1987-03-10,2018,두산,롯데,4년,"800,000","200,000"
손아섭,1988-03-18,2018,롯데,롯데,4년,"980,000","245,000"
강민호,1985-08-18,2018,롯데,삼성,4년,"800,000","200,000"
권오준,1980-03-09,2018,삼성,삼성,2년,"60,000","30,000"
황재균,1987-07-28,2018,미국,kt,4년,"880,000","220,000"
문규현,1983-07-05,2018,롯데,롯데,3년,"100,000","33,333"
이진영,1980-06-15,2017,kt,kt,2년,"150,000","75,000"
이대호,1982-06-21,2017,시애틀,롯데,4년,"1,500,000","375,000"
정성훈,1980-06-27,2017,LG,LG,1년,"70,000","70,000"
황재균,1987-07-28,2017,롯데,미국,0년,,
봉중근,1980-07-15,2017,LG,LG,2년,"150,000","75,000"
양현종,1988-03-01,2017,KIA,KIA,1년,"225,000","225,000"
이현승,1983-10-11,2017,두산,두산,3년,"270,000","90,000"
차우찬,1987-05-31,2017,삼성,LG,4년,"950,000","237,500"
우규민,1985-01-21,2017,LG,삼성,4년,"650,000","162,500"
김광현,1988-07-22,2017,SK,SK,4년,"850,000","212,500"
최형우,1983-12-16,2017,삼성,KIA,4년,"1,000,000","250,000"
이원석,1986-10-21,2017,두산,삼성,4년,"270,000","67,500"
나지완,1985-05-19,2017,KIA,KIA,4년,"400,000","100,000"
김재호,1985-03-21,2017,두산,두산,4년,"500,000","125,000"
고영민,1984-02-08,2016,두산,두산,2년,"50,000","25,000"
오재원,1985-02-09,2016,두산,두산,4년,"380,000","95,000"
김현수,1988-01-12,2016,두산,볼티모어,2년,"700,000","350,000"
박재상,1982-07-20,2016,SK,SK,2년,"55,000","27,500"
손승락,1982-03-04,2016,넥센,롯데,4년,"600,000","150,000"
박석민,1985-06-22,2016,삼성,NC,4년,"960,000","240,000"
정우람,1985-06-01,2016,SK,한화,4년,"840,000","210,000"
심수창,1981-02-09,2016,롯데,한화,4년,"130,000","32,500"
유한준,1981-07-01,2016,넥센,kt,4년,"600,000","150,000"
윤길현,1983-09-23,2016,SK,롯데,4년,"380,000","95,000"
정상호,1982-12-24,2016,SK,LG,4년,"320,000","80,000"
조인성,1975-05-25,2016,한화,한화,2년,"100,000","50,000"
이범호,1981-11-25,2016,KIA,KIA,4년,"360,000","90,000"
이택근,1980-07-10,2016,넥센,넥센,4년,"350,000","87,500"
