ID,선수명,생년월일,연도,팀명,WAR,비고
65514,강태율,1996-11-01,2016,롯데,-0.07,
63636,고장혁,1990-01-08,2020,KIA,-0.12,
61962,김경근,1988-09-26,2013,SK,-0.096,
77462,김동욱,1988-06-24,2012,삼성,0.018,
77462,김동욱,1988-06-24,2013,삼성,0.035,
77462,김동욱,1988-06-24,2015,KT,-0.108,
77462,김동욱,1988-06-24,2016,KT,-0.37,
77462,김동욱,1988-06-24,2017,KT,-0.576,
77462,김동욱,1988-06-24,2018,KT,-0.169,
65304,김은성,1993-03-07,2019,우리/히어로즈/넥센/키움,-0.047,
78753,김지열,1988-08-09,2015,KT,-0.123,
78753,김지열,1988-08-09,2016,KT,-0.35,
78753,김지열,1988-08-09,2017,KT,-0.502,
78753,김지열,1988-08-09,2018,KT,-0.315,
69702,김현민,2000-02-23,2020,한화,0.027,
72154,박영복,1983-04-12,2007,LG,0.005,
72154,박영복,1983-04-12,2009,LG,0.067,
76656,유재원,1983-12-13,2007,KIA,,정보없음
76656,유재원,1983-12-13,2008,KIA,,정보없음
76656,유재원,1983-12-13,2011,KIA,,정보없음
62537,윤수강,1990-02-22,2012,롯데,-0.02,
62537,윤수강,1990-02-22,2015,KT,-0.06,
62537,윤수강,1990-02-22,2018,NC,-0.34,
62537,윤수강,1990-02-22,2019,NC,-0.02,
67207,이유찬,1998-08-05,2018,두산,-0.014,
66504,이찬건,1996-05-14,2019,롯데,0.009,
64340,임지열,1995-08-22,2019,우리/히어로즈/넥센/키움,-0.15,
62895,한동민,1989-08-09,2012,SK,-0.005,
62895,한동민,1989-08-09,2013,SK,1.844,
62895,한동민,1989-08-09,2014,SK,0.391,
62895,한동민,1989-08-09,2016,SK,0.046,
62895,한동민,1989-08-09,2017,SK,3.994,
62895,한동민,1989-08-09,2018,SK,4.48,
62895,한동민,1989-08-09,2019,SK,1.7,
62895,한동민,1989-08-09,2020,SK,0.739,
