ID,선수명,생년월일,연도,팀명,WAR,비고
67604,강이준,1998-04-07,2019,KIA,-0.2,
68220,곽빈,1999-05-28,2018,두산,0.21,
67122,김태형,1998-09-17,2018,LG,-0.06,"kbo: 1998-09-17, 스탯티즈: 1998-09-07,1998-09-17, kbreport: 1998-09-07 "
62360,김태훈,1992-03-02,2014,우리/히어로즈/넥센/키움,-0.12,
62360,김태훈,1992-03-02,2015,우리/히어로즈/넥센/키움,-0.15,
62360,김태훈,1992-03-02,2018,우리/히어로즈/넥센/키움,-0.23,
62360,김태훈,1992-03-02,2019,우리/히어로즈/넥센/키움,0.74,
63103,류원석,1989-11-18,2019,LG,-0.09,
74363,박동욱,1985-04-06,2010,LG,0.555,
74363,박동욱,1985-04-06,2011,LG,-0.137,
74363,박동욱,1985-04-06,2012,롯데,-0.016,
78819,백청훈,1987-11-19,2013,SK,0.91,
78819,백청훈,1987-11-19,2014,SK,-0.3,
78819,백청훈,1987-11-19,2015,SK,0.09,
78819,백청훈,1987-11-19,2017,SK,0.23,
78819,백청훈,1987-11-19,2018,SK,-0.09,
78819,백청훈,1987-11-19,2019,SK,0.27,
62263,변시원,1993-04-01,2012,두산,0.32,
62263,변시원,1993-04-01,2013,두산,-0.18,
62263,변시원,1993-04-01,2014,두산,0.27,
62263,변시원,1993-04-01,2015,두산,-0.06,
62263,변시원,1993-04-01,2018,두산,-0.07,
64041,안현준,1995-03-23,2015,KT,0.01,
64041,안현준,1995-03-23,2016,KT,0.21,
79540,오병일,1990-04-20,2009,롯데,-0.322,
63961,윤호솔,1994-07-15,2019,한화,-0.05,
70434,이용훈,1977-07-14,2002,SK,-0.548,"kbo:1977-07-14, 스탯티즈: 1977-08-24, kbreport: 1977-08-14"
70434,이용훈,1977-07-14,2003,롯데,-0.575,"kbo:1977-07-14, 스탯티즈: 1977-08-24, kbreport: 1977-08-15"
70434,이용훈,1977-07-14,2004,롯데,0.851,"kbo:1977-07-14, 스탯티즈: 1977-08-24, kbreport: 1977-08-16"
70434,이용훈,1977-07-14,2005,롯데,1.55,"kbo:1977-07-14, 스탯티즈: 1977-08-24, kbreport: 1977-08-17"
70434,이용훈,1977-07-14,2008,롯데,2.125,"kbo:1977-07-14, 스탯티즈: 1977-08-24, kbreport: 1977-08-18"
70434,이용훈,1977-07-14,2009,롯데,0.173,"kbo:1977-07-14, 스탯티즈: 1977-08-24, kbreport: 1977-08-19"
70434,이용훈,1977-07-14,2010,롯데,-0.067,"kbo:1977-07-14, 스탯티즈: 1977-08-24, kbreport: 1977-08-20"
70434,이용훈,1977-07-14,2011,롯데,-0.064,"kbo:1977-07-14, 스탯티즈: 1977-08-24, kbreport: 1977-08-21"
70434,이용훈,1977-07-14,2012,롯데,2.275,"kbo:1977-07-14, 스탯티즈: 1977-08-24, kbreport: 1977-08-22"
65398,임규빈,1991-09-12,2019,우리/히어로즈/넥센/키움,0.035,"kbo:1991-09-12, 스탯티즈: 1991-09-12, 1991-09-21"
71347,장기영,1982-05-09,2002,현대,-0.001,
71347,장기영,1982-05-09,2003,현대,0.024,
78650,전태현,1989-06-20,2008,KIA,0,
78650,전태현,1989-06-20,2009,KIA,0.17,
78650,전태현,1989-06-20,2010,KIA,0.252,
62941,정진,1979-08-06,2013,NC,0.06,
68260,현도훈,1993-01-13,2018,두산,-0.18,
