iter	RMSE
0	28064.06385
1	27937.83275
2	27833.83077
3	27715.01483
4	27596.8692
5	27485.2175
6	27366.26858
7	27248.50964
8	27128.49939
9	27013.25475
10	26902.86343
11	26791.49784
12	26665.78746
13	26555.02127
14	26448.45689
15	26357.19114
16	26254.08581
17	26147.73895
18	26033.40302
19	25930.33957
20	25825.36846
21	25716.38489
22	25612.92986
23	25514.11825
24	25397.28849
25	25308.85202
26	25219.41777
27	25106.54349
28	25017.67804
29	24918.50799
30	24826.52174
31	24735.43441
32	24652.16662
33	24547.40947
34	24452.83277
35	24362.59444
36	24273.03672
37	24185.19724
38	24092.98687
39	23989.82815
40	23903.55564
41	23807.4583
42	23714.32877
43	23622.7724
44	23539.6113
45	23439.77953
46	23347.97794
47	23241.31213
48	23152.52517
49	23062.16215
50	22970.21406
51	22871.36593
52	22784.20061
53	22688.16014
54	22614.40341
55	22522.03575
56	22445.7806
57	22358.9374
58	22287.72767
59	22210.79735
60	22150.7057
61	22067.43814
62	21988.196
63	21904.6303
64	21815.97526
65	21735.80144
66	21654.13753
67	21573.97742
68	21501.74799
69	21433.04378
70	21349.87633
71	21270.28837
72	21187.16078
73	21113.87741
74	21037.95596
75	20970.22848
76	20900.77382
77	20824.9064
78	20750.07016
79	20690.61376
80	20628.05872
81	20554.38899
82	20481.50498
83	20404.98826
84	20347.00653
85	20280.75502
86	20207.1349
87	20149.55511
88	20086.67576
89	20003.70656
90	19925.21568
91	19857.19503
92	19782.51825
93	19709.9087
94	19642.22721
95	19566.36428
96	19496.00248
97	19437.39678
98	19374.40355
99	19311.67896
100	19253.3864
101	19180.15544
102	19119.88432
103	19056.10587
104	19003.34705
105	18938.8201
106	18868.01195
107	18804.01991
108	18741.56977
109	18676.72495
110	18617.66004
111	18553.77247
112	18494.50652
113	18434.85179
114	18381.01915
115	18323.35819
116	18268.38708
117	18208.76199
118	18146.19128
119	18079.78532
120	18023.19948
121	17960.67136
122	17908.75927
123	17852.108
124	17791.05986
125	17736.69033
126	17681.81022
127	17635.00717
128	17574.21936
129	17514.37076
130	17461.93892
131	17414.22115
132	17365.53835
133	17326.51443
134	17269.85607
135	17218.95715
136	17170.36891
137	17120.63978
138	17068.02126
139	17017.18351
140	16965.87228
141	16918.24198
142	16868.21507
143	16821.18492
144	16780.61177
145	16731.49853
146	16682.10777
147	16631.65572
148	16581.95741
149	16539.81159
150	16491.96359
151	16439.36498
152	16401.42916
153	16350.70734
154	16302.67779
155	16250.77297
156	16198.24561
157	16157.9157
158	16111.825
159	16060.22567
160	16016.76023
161	15973.03264
162	15933.17629
163	15878.52292
164	15835.08154
165	15791.88235
166	15750.02833
167	15708.26496
168	15670.78251
169	15624.69207
170	15580.35348
171	15545.26753
172	15506.77827
173	15469.82675
174	15427.24992
175	15395.02351
176	15354.53058
177	15310.49232
178	15265.50877
179	15219.09559
180	15175.94404
181	15126.74627
182	15086.08716
183	15046.66633
184	15001.40851
185	14961.41992
186	14929.26335
187	14884.22521
188	14846.34316
189	14809.20651
190	14775.83853
191	14732.36328
192	14693.8636
193	14662.70416
194	14623.43638
195	14591.59955
196	14554.19942
197	14512.61955
198	14474.93848
199	14429.54906
200	14397.74667
201	14364.93846
202	14327.34636
203	14292.85204
204	14255.45065
205	14220.13765
206	14184.33105
