ID,선수명,데뷔년도,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,출생연도,출생월,출생일,나이,연봉,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,포지션(수비)_1루수,포지션(수비)_2루수,포지션(수비)_3루수,포지션(수비)_수비기록없음,포지션(수비)_우익수,포지션(수비)_유격수,포지션(수비)_좌익수,포지션(수비)_중견수,포지션(수비)_포수,1차FA여부,2차FA여부,3차FA여부,4년평균타율,4년평균경기,4년평균타석,4년평균타수,4년평균득점,4년평균안타,4년평균2루타,4년평균3루타,4년평균홈런,4년평균루타,4년평균타점,4년평균희생번트,4년평균희생플라이,4년평균볼넷,4년평균고의사구,4년평균사구,4년평균삼진,4년평균병살타,4년평균장타율,4년평균출루율,4년평균OPS,4년평균멀티히트,4년평균득점권타율,4년평균대타타율,4년평균장타,4년평균땅볼,4년평균뜬공,4년평균결승타,4년평균투구수/타석,4년평균순수장타율,4년평균추정득점,4년평균GPA,4년평균경기(주루),4년평균도루시도(주루),4년평균도루허용(주루),4년평균도루실패(주루),4년평균도루성공률(주루),4년평균주루사(주루),4년평균견제사(주루),4년평균경기(수비),4년평균선발경기(수비),4년평균수비이닝(수비),4년평균실책(수비),4년평균견제사(수비),4년평균자살(수비),4년평균보살(수비),4년평균병살(수비),4년평균포일(수비),4년평균도루허용(수비),4년평균도루실패(수비),4년평균수비율(수비),4년평균도루저지율(수비),4년평균WAR,4년평균뉴스개수(연도별정규화),4년평균수상횟수,4년평균포지션 엔트로피,4년평균연봉
73732,고지행,1997,2003,0.281,92,289,253,38,71,9,0,4,92,27,12,2,20,0,2,61,8,0.364,0.336,0.7,20,0.259,0.333,13,65,58,0,3.89,0.083,30.1,0.242,92,14,9,5,64.3,0,0,81,70,552.0,8,0,128,160,30,0,0,0,0.9751757246376812,0.0,0.868,0.0,0.0180722892,0.0180722892,0,289,0.3518145080538977,1978,5,3,26,13809.093409832203,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.281,92.0,289.0,253.0,38.0,71.0,9.0,0.0,4.0,92.0,27.0,12.0,2.0,20.0,0.0,2.0,61.0,8.0,0.364,0.336,0.7,20.0,0.259,0.333,13.0,65.0,58.0,0.0,3.89,0.083,30.1,0.242,92.0,14.0,9.0,5.0,64.3,0.0,0.0,81.0,70.0,552.0,8.0,0.0,128.0,160.0,30.0,0.0,0.0,0.0,0.9751757246376812,0.0,0.868,0.0180722892,0.0,0.3518145080538977,2431.833910034602
73732,고지행,1997,2004,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,2,0,0,3.5,0.0,-0.2,0.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,-0.044,0.0,0.00729927007,0.0253715593,0,291,0.0,1978,5,3,27,13438.886339299372,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.1405,47.0,145.5,127.5,19.0,35.5,4.5,0.0,2.0,46.0,13.5,6.0,1.0,10.0,0.0,1.0,30.5,4.0,0.182,0.168,0.35,10.0,0.1295,0.1665,6.5,33.5,29.0,0.0,3.6950000000000003,0.0415,14.950000000000001,0.121,47.0,7.0,4.5,2.5,32.15,0.0,0.0,40.5,35.0,276.0,4.0,0.0,64.0,80.0,15.0,0.0,0.0,0.0,0.4875878623188406,0.0,0.412,0.012685779635,0.0,0.17590725402694884,13809.093409832203
69636,오선우,2019,2019,0.151,27,57,53,5,8,1,1,1,14,4,0,0,3,0,1,24,0,0.264,0.211,0.475,2,0.143,0.143,3,11,10,0,3.72,0.113,2.8,0.161,27,0,0,0,0.0,0,0,23,11,120.66666666666669,0,0,34,3,0,0,0,0,0.9917127071823204,0.0,-0.33,0.0,0.0124888492,0.0124888492,0,57,0.2498822928331854,1996,12,13,24,3000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.151,27.0,57.0,53.0,5.0,8.0,1.0,1.0,1.0,14.0,4.0,0.0,0.0,3.0,0.0,1.0,24.0,0.0,0.264,0.211,0.475,2.0,0.143,0.143,3.0,11.0,10.0,0.0,3.72,0.113,2.8,0.161,27.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,120.66666666666669,0.0,0.0,34.0,3.0,0.0,0.0,0.0,0.0,0.9917127071823204,0.0,-0.33,0.0124888492,0.0,0.2498822928331854,2714.678111587983
98315,채종국,1998,2002,0.228,100,224,184,24,42,7,0,3,58,15,12,3,13,0,12,36,2,0.315,0.316,0.631,8,0.219,1.0,10,56,53,0,3.47,0.087,21.0,0.221,100,2,0,2,0.0,0,0,104,74,600.6666666666666,8,0,70,154,24,0,0,0,0.9636920088790234,0.0,0.143,0.0,0.0,0.0,0,224,1.1196529401743545,1975,10,24,28,4720.618766537757,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.228,100.0,224.0,184.0,24.0,42.0,7.0,0.0,3.0,58.0,15.0,12.0,3.0,13.0,0.0,12.0,36.0,2.0,0.315,0.316,0.631,8.0,0.219,1.0,10.0,56.0,53.0,0.0,3.47,0.087,21.0,0.221,100.0,2.0,0.0,2.0,0.0,0.0,0.0,104.0,74.0,600.6666666666666,8.0,0.0,70.0,154.0,24.0,0.0,0.0,0.0,0.9636920088790234,0.0,0.143,0.0,0.0,1.1196529401743545,2517.2980489654883
98315,채종국,1998,2003,0.241,90,164,137,18,33,8,0,3,50,16,12,2,7,0,6,31,3,0.365,0.303,0.668,2,0.257,0.125,11,37,38,0,3.44,0.124,16.0,0.228,90,0,0,0,0.0,0,0,89,42,420.6666666666667,7,0,49,108,14,0,0,0,0.9581949286846276,0.0,0.103,0.0,0.0100401606,0.0100401606,0,388,0.8585810401332551,1975,10,24,29,5937.910166227847,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.2345,95.0,194.0,160.5,21.0,37.5,7.5,0.0,3.0,54.0,15.5,12.0,2.5,10.0,0.0,9.0,33.5,2.5,0.33999999999999997,0.3095,0.6495,5.0,0.238,0.5625,10.5,46.5,45.5,0.0,3.455,0.1055,18.5,0.2245,95.0,1.0,0.0,1.0,0.0,0.0,0.0,96.5,58.0,510.66666666666663,7.5,0.0,59.5,131.0,19.0,0.0,0.0,0.0,0.9609434687818255,0.0,0.123,0.0050200803,0.0,0.9891169901538048,4720.618766537757
98315,채종국,1998,2004,0.275,128,385,327,40,90,19,0,4,121,34,21,1,22,0,14,55,6,0.37,0.346,0.716,19,0.267,0.667,23,94,89,0,3.66,0.095,41.8,0.248,128,8,4,4,50.0,0,0,137,109,932.3333333333334,12,0,248,319,71,0,0,0,0.979658562745799,0.0,1.307,0.0,0.131386861,0.141427022,0,773,0.4248021843535627,1975,10,24,30,11557.44225179746,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.248,106.0,257.6666666666667,216.0,27.333333333333332,55.0,11.333333333333334,0.0,3.3333333333333335,76.33333333333333,21.666666666666668,15.0,2.0,14.0,0.0,10.666666666666666,40.666666666666664,3.6666666666666665,0.3499999999999999,0.32166666666666666,0.6716666666666665,9.666666666666666,0.24766666666666667,0.5973333333333334,14.666666666666666,62.333333333333336,60.0,0.0,3.5233333333333334,0.102,26.266666666666666,0.23233333333333336,106.0,3.3333333333333335,1.3333333333333333,2.0,16.666666666666668,0.0,0.0,110.0,75.0,651.2222222222222,9.0,0.0,122.33333333333333,193.66666666666666,36.333333333333336,0.0,0.0,0.0,0.9671818334364833,0.0,0.5176666666666666,0.04714234053333333,0.0,0.8010120548870575,5329.264466382802
98315,채종국,1998,2005,0.237,106,407,342,45,81,10,1,9,120,36,16,5,25,1,19,40,6,0.351,0.32,0.671,19,0.2,0.0,20,123,103,0,3.5,0.114,40.7,0.232,106,9,1,8,11.1,0,0,108,103,868.3333333333334,17,0,169,317,65,0,0,0,0.9653458733205372,0.0,0.764,0.0,0.0837004405,0.225127462,0,1180,0.9839712542642912,1975,10,24,31,11304.107129498016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.24525,106.0,295.0,247.5,31.75,61.5,11.0,0.25,4.75,87.25,25.25,15.25,2.75,16.75,0.25,12.75,40.5,4.25,0.35024999999999995,0.32125,0.6715,12.0,0.23575000000000002,0.448,16.0,77.5,70.75,0.0,3.5175,0.105,29.875,0.23225,106.0,4.75,1.25,3.5,15.275,0.0,0.0,109.5,82.0,705.5,11.0,0.0,134.0,224.5,43.5,0.0,0.0,0.0,0.9667228434074968,0.0,0.57925,0.056281865524999995,0.0,0.8467518547313659,7405.323728187689
98315,채종국,1998,2006,0.212,97,257,222,25,47,9,0,2,62,19,14,2,12,1,7,28,7,0.279,0.272,0.551,13,0.254,0.5,11,81,68,0,3.56,0.068,16.0,0.192,97,3,1,2,33.3,0,0,96,71,655.3333333333334,7,0,172,235,58,0,0,0,0.983,0.0,-0.279,0.0,0.00708215297,0.232209615,0,1437,0.0,1975,10,24,32,11024.648872134736,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.24125,105.25,303.25,257.0,32.0,62.75,11.5,0.25,4.5,88.25,26.25,15.75,2.5,16.5,0.5,11.5,38.5,5.5,0.34124999999999994,0.31025,0.6515,13.25,0.2445,0.323,16.25,83.75,74.5,0.0,3.54,0.10025,28.625,0.22499999999999998,105.25,5.0,1.5,3.5,23.6,0.0,0.0,107.5,81.25,719.1666666666667,10.75,0.0,159.5,244.75,52.0,0.0,0.0,0.0,0.971549841187741,0.0,0.47375,0.0580524037675,0.0,0.5668386196877773,8380.01957851527
98315,채종국,1998,2007,0.163,23,47,43,3,7,1,0,0,8,2,1,0,3,0,0,8,0,0.186,0.217,0.403,1,0.091,0.5,1,16,12,0,3.98,0.023,1.5,0.144,23,0,0,0,0.0,0,0,21,11,117.0,3,0,33,36,7,0,0,0,0.958,0.0,-0.273,0.0,0.0150753769,0.247284992,0,1484,0.0,1975,10,24,33,7715.540375701392,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.22175,88.5,274.0,233.5,28.25,56.25,9.75,0.25,3.75,77.75,22.75,13.0,2.0,15.5,0.5,10.0,32.75,4.75,0.2965,0.28875,0.58525,13.0,0.203,0.41675,13.75,78.5,68.0,0.0,3.6750000000000003,0.07500000000000001,25.0,0.204,88.5,5.0,1.5,3.5,23.6,0.0,0.0,90.5,73.5,643.25,9.75,0.0,155.5,226.75,50.25,0.0,0.0,0.0,0.9715011090165842,0.0,0.3797499999999999,0.0593112078425,0.0,0.35219335965446347,9956.027104914514
61463,김정혁,2011,2014,0.0,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0,0.0,0.0,0,2,2,0,3.8,0.0,-0.8,0.0,2,0,0,0,0.0,0,0,2,1,12.0,0,0,1,4,1,0,0,0,1.0,0.0,-0.138,0.0,0.0,0.00354191263,0,7,0.0,1985,8,3,30,3478.86,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.8,0.0,-0.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,12.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.138,0.0,0.0,0.0,2547.9667264194645
