ID,선수명,데뷔년도,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,출생연도,출생월,출생일,나이,연봉,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,포지션(수비)_1루수,포지션(수비)_2루수,포지션(수비)_3루수,포지션(수비)_수비기록없음,포지션(수비)_우익수,포지션(수비)_유격수,포지션(수비)_좌익수,포지션(수비)_중견수,포지션(수비)_포수,1차FA여부,2차FA여부,3차FA여부,3년평균타율,3년평균경기,3년평균타석,3년평균타수,3년평균득점,3년평균안타,3년평균2루타,3년평균3루타,3년평균홈런,3년평균루타,3년평균타점,3년평균희생번트,3년평균희생플라이,3년평균볼넷,3년평균고의사구,3년평균사구,3년평균삼진,3년평균병살타,3년평균장타율,3년평균출루율,3년평균OPS,3년평균멀티히트,3년평균득점권타율,3년평균대타타율,3년평균장타,3년평균땅볼,3년평균뜬공,3년평균결승타,3년평균투구수/타석,3년평균순수장타율,3년평균추정득점,3년평균GPA,3년평균경기(주루),3년평균도루시도(주루),3년평균도루허용(주루),3년평균도루실패(주루),3년평균도루성공률(주루),3년평균주루사(주루),3년평균견제사(주루),3년평균경기(수비),3년평균선발경기(수비),3년평균수비이닝(수비),3년평균실책(수비),3년평균견제사(수비),3년평균자살(수비),3년평균보살(수비),3년평균병살(수비),3년평균포일(수비),3년평균도루허용(수비),3년평균도루실패(수비),3년평균수비율(수비),3년평균도루저지율(수비),3년평균WAR,3년평균뉴스개수(연도별정규화),3년평균수상횟수,3년평균포지션 엔트로피,3년평균연봉
73732,고지행,1997,2003,0.281,92,289,253,38,71,9,0,4,92,27,12,2,20,0,2,61,8,0.364,0.336,0.7,20,0.259,0.333,13,65,58,0,3.89,0.083,30.1,0.242,92,14,9,5,64.3,0,0,81,70,552.0,8,0,128,160,30,0,0,0,0.9751757246376812,0.0,0.868,0.0,0.0180722892,0.0180722892,0,289,0.3518145080538977,1978,5,3,26,13809.093409832203,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.281,92.0,289.0,253.0,38.0,71.0,9.0,0.0,4.0,92.0,27.0,12.0,2.0,20.0,0.0,2.0,61.0,8.0,0.364,0.336,0.7,20.0,0.259,0.333,13.0,65.0,58.0,0.0,3.89,0.083,30.1,0.242,92.0,14.0,9.0,5.0,64.3,0.0,0.0,81.0,70.0,552.0,8.0,0.0,128.0,160.0,30.0,0.0,0.0,0.0,0.9751757246376812,0.0,0.868,0.0180722892,0.0,0.3518145080538977,2431.833910034602
73732,고지행,1997,2004,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,2,0,0,3.5,0.0,-0.2,0.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,-0.044,0.0,0.00729927007,0.0253715593,0,291,0.0,1978,5,3,27,13438.886339299372,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.105375,35.74999999999999,109.625,96.12499999999999,14.25,26.625,3.3749999999999996,0.0,1.4999999999999998,34.49999999999999,10.124999999999998,4.499999999999999,0.7499999999999999,7.5,0.0,0.7499999999999999,22.875,2.9999999999999996,0.13649999999999998,0.126,0.26249999999999996,7.5,0.097125,0.124875,4.875,25.625,21.749999999999996,0.0,3.6462499999999998,0.031125,11.1625,0.09075,35.74999999999999,5.25,3.3749999999999996,1.875,24.112499999999997,0.0,0.0,30.375,26.25,206.99999999999997,2.9999999999999996,0.0,47.99999999999999,60.0,11.25,0.0,0.0,0.0,0.3656908967391304,0.0,0.29799999999999993,0.01133915224375,0.0,0.1319304405202116,13809.093409832203
69636,오선우,2019,2019,0.151,27,57,53,5,8,1,1,1,14,4,0,0,3,0,1,24,0,0.264,0.211,0.475,2,0.143,0.143,3,11,10,0,3.72,0.113,2.8,0.161,27,0,0,0,0.0,0,0,23,11,120.66666666666669,0,0,34,3,0,0,0,0,0.9917127071823204,0.0,-0.33,0.0,0.0124888492,0.0124888492,0,57,0.2498822928331854,1996,12,13,24,3000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.151,27.0,57.0,53.0,5.0,8.0,1.0,1.0,1.0,14.0,4.0,0.0,0.0,3.0,0.0,1.0,24.0,0.0,0.264,0.211,0.475,2.0,0.143,0.143,3.0,11.0,10.0,0.0,3.72,0.113,2.8,0.161,27.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,120.66666666666669,0.0,0.0,34.0,3.0,0.0,0.0,0.0,0.0,0.9917127071823204,0.0,-0.33,0.0124888492,0.0,0.2498822928331854,2714.678111587983
98315,채종국,1998,2002,0.228,100,224,184,24,42,7,0,3,58,15,12,3,13,0,12,36,2,0.315,0.316,0.631,8,0.219,1.0,10,56,53,0,3.47,0.087,21.0,0.221,100,2,0,2,0.0,0,0,104,74,600.6666666666666,8,0,70,154,24,0,0,0,0.9636920088790234,0.0,0.143,0.0,0.0,0.0,0,224,1.1196529401743545,1975,10,24,28,4720.618766537757,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.228,100.0,224.0,184.0,24.0,42.0,7.0,0.0,3.0,58.0,15.0,12.0,3.0,13.0,0.0,12.0,36.0,2.0,0.315,0.316,0.631,8.0,0.219,1.0,10.0,56.0,53.0,0.0,3.47,0.087,21.0,0.221,100.0,2.0,0.0,2.0,0.0,0.0,0.0,104.0,74.0,600.6666666666666,8.0,0.0,70.0,154.0,24.0,0.0,0.0,0.0,0.9636920088790234,0.0,0.143,0.0,0.0,1.1196529401743545,2517.2980489654883
98315,채종국,1998,2003,0.241,90,164,137,18,33,8,0,3,50,16,12,2,7,0,6,31,3,0.365,0.303,0.668,2,0.257,0.125,11,37,38,0,3.44,0.124,16.0,0.228,90,0,0,0,0.0,0,0,89,42,420.6666666666667,7,0,49,108,14,0,0,0,0.9581949286846276,0.0,0.103,0.0,0.0100401606,0.0100401606,0,388,0.8585810401332551,1975,10,24,29,5937.910166227847,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.236125,93.75,186.49999999999997,154.62499999999997,20.249999999999996,36.375,7.624999999999999,0.0,2.9999999999999996,52.99999999999999,15.625,11.999999999999998,2.3749999999999996,9.25,0.0,8.249999999999998,32.87499999999999,2.625,0.34625,0.30787499999999995,0.654125,4.25,0.24274999999999997,0.45312499999999994,10.625,44.12499999999999,43.62499999999999,0.0,3.45125,0.11012499999999999,17.875,0.22537500000000002,93.75,0.7499999999999999,0.0,0.7499999999999999,0.0,0.0,0.0,94.625,54.0,488.16666666666663,7.375,0.0,56.875,125.24999999999999,17.749999999999996,0.0,0.0,0.0,0.960256333757526,0.0,0.11799999999999998,0.006275100375,0.0,0.9564830026486673,4720.618766537757
98315,채종국,1998,2004,0.275,128,385,327,40,90,19,0,4,121,34,21,1,22,0,14,55,6,0.37,0.346,0.716,19,0.267,0.667,23,94,89,0,3.66,0.095,41.8,0.248,128,8,4,4,50.0,0,0,137,109,932.3333333333334,12,0,248,319,71,0,0,0,0.979658562745799,0.0,1.307,0.0,0.131386861,0.141427022,0,773,0.4248021843535627,1975,10,24,30,11557.44225179746,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2559591836734694,111.22448979591837,287.7755102040816,242.57142857142858,30.3265306122449,63.734693877551024,13.428571428571429,0.0,3.510204081632653,87.6938775510204,25.0,16.591836734693874,1.6734693877551021,15.755102040816327,0.0,11.183673469387756,44.163265306122454,4.346938775510204,0.35836734693877553,0.32732653061224487,0.6856938775510204,11.775510204081632,0.25512244897959185,0.5622448979591838,16.938775510204085,69.57142857142858,66.77551020408163,0.0,3.5577551020408165,0.10240816326530612,30.08163265306122,0.23691836734693877,111.22448979591837,4.448979591836735,2.0408163265306123,2.4081632653061225,25.510204081632654,0.0,0.0,116.24489795918367,82.06122448979592,714.7823129251701,9.73469387755102,0.0,154.38775510204084,224.10204081632654,44.91836734693877,0.0,0.0,0.0,0.9701554301801142,0.0,0.7246326530612245,0.07010763130612245,0.0,0.685217279028716,5481.425891344063
98315,채종국,1998,2005,0.237,106,407,342,45,81,10,1,9,120,36,16,5,25,1,19,40,6,0.351,0.32,0.671,19,0.2,0.0,20,123,103,0,3.5,0.114,40.7,0.232,106,9,1,8,11.1,0,0,108,103,868.3333333333334,17,0,169,317,65,0,0,0,0.9653458733205372,0.0,0.764,0.0,0.0837004405,0.225127462,0,1180,0.9839712542642912,1975,10,24,31,11304.107129498016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.2493673469387755,109.79591836734693,355.63265306122446,299.7551020408163,38.51020408163266,74.93877551020408,12.387755102040817,0.5102040816326531,6.36734693877551,107.44897959183673,31.71428571428571,16.79591836734694,3.2244897959183674,20.775510204081634,0.5102040816326531,15.081632653061225,42.93877551020408,5.448979591836735,0.3593877551020408,0.3248367346938775,0.6842244897959184,15.877551020408164,0.2309795918367347,0.22714285714285715,19.26530612244898,98.3265306122449,86.77551020408163,0.0,3.5379591836734696,0.1100204081632653,36.5,0.23616326530612244,109.79591836734693,7.040816326530613,1.7346938775510203,5.306122448979592,20.96938775510204,0.0,0.0,113.38775510204083,93.63265306122449,805.7006802721088,13.63265306122449,0.0,171.14285714285714,279.2244897959184,57.46938775510204,0.0,0.0,0.0,0.9684138700482053,0.0,0.8088163265306123,0.08476888516122448,0.0,0.7897661935328575,8581.434238514164
98315,채종국,1998,2006,0.212,97,257,222,25,47,9,0,2,62,19,14,2,12,1,7,28,7,0.279,0.272,0.551,13,0.254,0.5,11,81,68,0,3.56,0.068,16.0,0.192,97,3,1,2,33.3,0,0,96,71,655.3333333333334,7,0,172,235,58,0,0,0,0.983,0.0,-0.279,0.0,0.00708215297,0.232209615,0,1437,0.0,1975,10,24,32,11024.648872134736,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.23122448979591836,105.44897959183675,326.4285714285714,278.0204081632653,33.87755102040817,65.3061224489796,11.142857142857142,0.30612244897959184,4.510204081632653,90.59183673469389,26.959183673469386,15.89795918367347,2.7346938775510203,17.816326530612248,0.8163265306122449,11.959183673469388,36.63265306122449,6.510204081632653,0.31775510204081636,0.30028571428571427,0.6180408163265306,15.938775510204083,0.23985714285714285,0.3776122448979592,15.959183673469388,96.24489795918367,82.57142857142857,0.0,3.5600000000000005,0.08704081632653062,28.3,0.21453061224489794,105.44897959183675,5.755102040816326,1.5510204081632653,4.204081632653061,29.57142857142857,0.0,0.0,107.20408163265307,87.77551020408163,771.4149659863946,10.979591836734693,0.0,185.04081632653063,275.53061224489795,62.53061224489796,0.0,0.0,0.0,0.9769819421330662,0.0,0.33159183673469383,0.05336820777040816,0.0,0.3792405810846211,10396.030683886998
98315,채종국,1998,2007,0.163,23,47,43,3,7,1,0,0,8,2,1,0,3,0,0,8,0,0.186,0.217,0.403,1,0.091,0.5,1,16,12,0,3.98,0.023,1.5,0.144,23,0,0,0,0.0,0,0,21,11,117.0,3,0,33,36,7,0,0,0,0.958,0.0,-0.273,0.0,0.0150753769,0.247284992,0,1484,0.0,1975,10,24,33,7715.540375701392,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.19159183673469388,60.897959183673464,177.40816326530611,152.71428571428572,17.448979591836736,32.83673469387755,5.1020408163265305,0.1836734693877551,2.265306122448979,45.10204081632653,13.448979591836734,7.73469387755102,1.530612244897959,9.795918367346939,0.4897959183673469,5.63265306122449,20.000000000000004,3.2448979591836737,0.24477551020408164,0.2527551020408163,0.497530612244898,7.979591836734694,0.1609183673469388,0.40816326530612246,7.551020408163265,55.55102040816326,45.857142857142854,0.0,3.763265306122449,0.05348979591836734,13.138775510204082,0.17485714285714288,60.897959183673464,2.571428571428571,0.4897959183673469,2.0816326530612246,12.232653061224488,0.0,0.0,59.938775510204074,46.26530612244898,419.7959183673469,6.795918367346939,0.0,100.53061224489795,148.53061224489795,33.265306122448976,0.0,0.0,0.0,0.9670023032629559,0.0,-0.08436734693877553,0.02523307513367347,0.0,0.18072941404854329,11208.057326775832
61463,김정혁,2011,2014,0.0,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0,0.0,0.0,0,2,2,0,3.8,0.0,-0.8,0.0,2,0,0,0,0.0,0,0,2,1,12.0,0,0,1,4,1,0,0,0,1.0,0.0,-0.138,0.0,0.0,0.00354191263,0,7,0.0,1985,8,3,30,3478.86,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.8,0.0,-0.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,12.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.138,0.0,0.0,0.0,2547.9667264194645
