ID,선수명,데뷔년도,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,출생연도,출생월,출생일,나이,연봉,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,포지션(수비)_1루수,포지션(수비)_2루수,포지션(수비)_3루수,포지션(수비)_수비기록없음,포지션(수비)_우익수,포지션(수비)_유격수,포지션(수비)_좌익수,포지션(수비)_중견수,포지션(수비)_포수,1차FA여부,2차FA여부,3차FA여부,3년평균타율,3년평균경기,3년평균타석,3년평균타수,3년평균득점,3년평균안타,3년평균2루타,3년평균3루타,3년평균홈런,3년평균루타,3년평균타점,3년평균희생번트,3년평균희생플라이,3년평균볼넷,3년평균고의사구,3년평균사구,3년평균삼진,3년평균병살타,3년평균장타율,3년평균출루율,3년평균OPS,3년평균멀티히트,3년평균득점권타율,3년평균대타타율,3년평균장타,3년평균땅볼,3년평균뜬공,3년평균결승타,3년평균투구수/타석,3년평균순수장타율,3년평균추정득점,3년평균GPA,3년평균경기(주루),3년평균도루시도(주루),3년평균도루허용(주루),3년평균도루실패(주루),3년평균도루성공률(주루),3년평균주루사(주루),3년평균견제사(주루),3년평균경기(수비),3년평균선발경기(수비),3년평균수비이닝(수비),3년평균실책(수비),3년평균견제사(수비),3년평균자살(수비),3년평균보살(수비),3년평균병살(수비),3년평균포일(수비),3년평균도루허용(수비),3년평균도루실패(수비),3년평균수비율(수비),3년평균도루저지율(수비),3년평균WAR,3년평균뉴스개수(연도별정규화),3년평균수상횟수,3년평균포지션 엔트로피,3년평균연봉
73732,고지행,1997,2003,0.281,92,289,253,38,71,9,0,4,92,27,12,2,20,0,2,61,8,0.364,0.336,0.7,20,0.259,0.333,13,65,58,0,3.89,0.083,30.1,0.242,92,14,9,5,64.3,0,0,81,70,552.0,8,0,128,160,30,0,0,0,0.9751757246376812,0.0,0.868,0.0,0.0180722892,0.0180722892,0,289,0.3518145080538977,1978,5,3,26,13809.093409832203,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.281,92.0,289.0,253.0,38.0,71.0,9.0,0.0,4.0,92.0,27.0,12.0,2.0,20.0,0.0,2.0,61.0,8.0,0.364,0.336,0.7,20.0,0.259,0.333,13.0,65.0,58.0,0.0,3.89,0.083,30.099999999999998,0.24200000000000002,92.0,14.0,9.0,5.0,64.3,0.0,0.0,81.0,70.0,552.0,8.0,0.0,128.0,160.0,30.0,0.0,0.0,0.0,0.9751757246376813,0.0,0.868,0.0180722892,0.0,0.3518145080538977,2431.833910034602
73732,고지행,1997,2004,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,2,0,0,3.5,0.0,-0.2,0.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,-0.044,0.0,0.00729927007,0.0253715593,0,291,0.0,1978,5,3,27,13438.886339299372,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.2746640360766629,89.97068771138669,282.52874859075536,247.34047350620065,37.143179255918824,69.39909808342728,8.797068771138669,0.0,3.9098083427282977,89.92559188275084,26.39120631341601,11.729425028184892,1.9549041713641488,19.549041713641486,0.0,1.9549041713641488,59.62457722660653,7.819616685456595,0.35579255918827507,0.328423900789177,0.684216459977452,19.549041713641486,0.25316009019165725,0.3254915445321308,12.706877113866966,63.57948139797069,56.69222096956031,0.0,3.8812063134160084,0.08112852311161217,29.416798196166848,0.236543404735062,89.97068771138669,13.68432919954904,8.797068771138669,4.887260428410372,62.85016910935739,0.0,0.0,79.17361894024802,68.4216459977452,539.553551296505,7.819616685456595,0.0,125.11386696730553,156.3923337091319,29.323562570462233,0.0,0.0,0.0,0.9531875459536298,0.0,0.8474363021420519,0.017829380087711386,0.0,0.3438818246704952,13809.093409832203
69636,오선우,2019,2019,0.151,27,57,53,5,8,1,1,1,14,4,0,0,3,0,1,24,0,0.264,0.211,0.475,2,0.143,0.143,3,11,10,0,3.72,0.113,2.8,0.161,27,0,0,0,0.0,0,0,23,11,120.66666666666669,0,0,34,3,0,0,0,0,0.9917127071823204,0.0,-0.33,0.0,0.0124888492,0.0124888492,0,57,0.2498822928331854,1996,12,13,24,3000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.151,27.0,57.0,53.0,5.0,8.0,1.0,1.0,1.0,14.0,4.0,0.0,0.0,3.0,0.0,1.0,24.0,0.0,0.264,0.211,0.475,2.0,0.143,0.143,3.0,11.0,10.0,0.0,3.72,0.113,2.8,0.161,27.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,120.66666666666669,0.0,0.0,34.0,3.0,0.0,0.0,0.0,0.0,0.9917127071823204,0.0,-0.33,0.012488849200000002,0.0,0.24988229283318536,2714.678111587983
98315,채종국,1998,2002,0.228,100,224,184,24,42,7,0,3,58,15,12,3,13,0,12,36,2,0.315,0.316,0.631,8,0.219,1.0,10,56,53,0,3.47,0.087,21.0,0.221,100,2,0,2,0.0,0,0,104,74,600.6666666666666,8,0,70,154,24,0,0,0,0.9636920088790234,0.0,0.143,0.0,0.0,0.0,0,224,1.1196529401743545,1975,10,24,28,4720.618766537757,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.228,100.0,224.0,184.0,24.0,42.0,7.0,0.0,3.0,58.0,15.0,12.0,3.0,13.0,0.0,12.0,36.0,2.0,0.315,0.316,0.631,8.0,0.219,1.0,10.0,56.0,53.0,0.0,3.47,0.087,21.0,0.221,100.0,2.0,0.0,2.0,0.0,0.0,0.0,104.0,74.0,600.6666666666666,8.0,0.0,70.0,154.0,24.0,0.0,0.0,0.0,0.9636920088790234,0.0,0.143,0.0,0.0,1.1196529401743545,2517.2980489654883
98315,채종국,1998,2003,0.241,90,164,137,18,33,8,0,3,50,16,12,2,7,0,6,31,3,0.365,0.303,0.668,2,0.257,0.125,11,37,38,0,3.44,0.124,16.0,0.228,90,0,0,0,0.0,0,0,89,42,420.6666666666667,7,0,49,108,14,0,0,0,0.9581949286846276,0.0,0.103,0.0,0.0100401606,0.0100401606,0,388,0.8585810401332551,1975,10,24,29,5937.910166227847,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.23722145328719726,92.90657439446368,181.43944636678202,150.66089965397927,19.7439446366782,35.615916955017305,7.709342560553634,0.0,3.0000000000000004,52.32525951557094,15.709342560553633,12.000000000000002,2.290657439446367,8.7439446366782,0.0,7.743944636678202,32.45328719723184,2.709342560553633,0.35046712802768165,0.3067785467128028,0.6572456747404845,3.7439446366782008,0.24595501730103808,0.37932525951557095,10.709342560553633,42.52249134948097,42.359861591695505,0.0,3.4487197231833915,0.11324567474048443,17.453287197231834,0.22596539792387546,92.90657439446368,0.5813148788927336,0.0,0.5813148788927336,0.0,0.0,0.0,93.3598615916955,51.30103806228374,472.9850057670127,7.290657439446367,0.0,55.103806228373706,121.37024221453288,16.906574394463668,0.0,0.0,0.0,0.959792695938362,0.0,0.11462629757785466,0.007121913228373703,0.0,0.9344635301105989,4720.618766537757
98315,채종국,1998,2004,0.275,128,385,327,40,90,19,0,4,121,34,21,1,22,0,14,55,6,0.37,0.346,0.716,19,0.267,0.667,23,94,89,0,3.66,0.095,41.8,0.248,128,8,4,4,50.0,0,0,137,109,932.3333333333334,12,0,248,319,71,0,0,0,0.979658562745799,0.0,1.307,0.0,0.131386861,0.141427022,0,773,0.4248021843535627,1975,10,24,30,11557.44225179746,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2692329430407607,122.64283827801742,353.9256096487367,300.08108108108104,36.907826393168406,81.69803679901399,17.27643278457611,0.0,3.847345717052557,110.51650673474776,31.207852803944007,19.626111453473015,1.1970243859494674,19.976406373800508,0.0,13.044986354432607,51.5581477242715,5.497667048155647,0.36701822343516155,0.3400126771722863,0.7070309006074478,16.671097807905625,0.2637873932564486,0.6230852187692579,21.123778501628664,86.14173782903424,81.8801831147108,0.0,3.6277471608416234,0.09778528039440092,38.0833700149661,0.24463632362003698,122.64283827801742,6.8675059424245095,3.38938286821023,3.4781230742142792,42.36728585262787,0.0,0.0,130.33814596355313,100.19200633858614,862.2118437655897,11.281098688264812,0.0,218.55356985650144,288.83097103618275,62.74240690201602,0.0,0.0,0.0,0.9766259530931802,0.0,1.1249790474513601,0.11241728450242099,0.0,0.5026041716361317,5584.095364933843
98315,채종국,1998,2005,0.237,106,407,342,45,81,10,1,9,120,36,16,5,25,1,19,40,6,0.351,0.32,0.671,19,0.2,0.0,20,123,103,0,3.5,0.114,40.7,0.232,106,9,1,8,11.1,0,0,108,103,868.3333333333334,17,0,169,317,65,0,0,0,0.9653458733205372,0.0,0.764,0.0,0.0837004405,0.225127462,0,1180,0.9839712542642912,1975,10,24,31,11304.107129498016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.2452791199791535,110.28998994900049,395.59457246026136,333.1433942597625,43.183337676357816,81.61612627033466,11.87987194282098,0.7575475561180807,7.76026504857983,118.2918884711313,35.02058593604586,16.965007631314446,4.057662956482894,23.86055168819566,0.7575475561180807,17.567955924505824,42.97744108997506,5.917581803968283,0.3554692327737036,0.3251224360644753,0.680591668838179,18.532963555820274,0.2159695864199829,0.1468255593195101,20.397684547518892,114.40293340282173,98.20455645311395,0.0,3.5327483899787815,0.11019011279455013,40.25790120239735,0.23532978446189928,110.28998994900049,8.537765700033503,1.6174664036034694,6.920299296430034,19.157763466478055,0.0,0.0,113.7124297360682,102.61404161858319,869.7934085297001,15.650374120537542,0.0,182.6866693965678,311.68815843353315,64.8887689386889,0.0,0.0,0.0,0.9682263551836792,0.0,0.8625745076871534,0.09192840430974947,0.0,0.8603164369779434,10645.585265986956
98315,채종국,1998,2006,0.212,97,257,222,25,47,9,0,2,62,19,14,2,12,1,7,28,7,0.279,0.272,0.551,13,0.254,0.5,11,81,68,0,3.56,0.068,16.0,0.192,97,3,1,2,33.3,0,0,96,71,655.3333333333334,7,0,172,235,58,0,0,0,0.983,0.0,-0.279,0.0,0.00708215297,0.232209615,0,1437,0.0,1975,10,24,32,11024.648872134736,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.22465365558912384,102.25208459214502,311.98537764350453,266.2060422960725,32.1583081570997,60.63468277945619,10.132567975830817,0.2951057401812689,4.233232628398791,84.05716012084592,25.27299093655589,15.17643504531722,2.8015709969788523,16.67383685800604,0.9162537764350454,11.12749244712991,33.802416918429,6.621148036253777,0.30786851963746226,0.2923622960725076,0.6002308157099698,15.273111782477342,0.23915299093655593,0.366432749244713,14.660906344410876,94.48314199395769,80.08737160120846,0.0,3.5506682779456193,0.08383601208459215,25.449764350453172,0.2084940181268882,102.25208459214502,5.189365558912386,1.2512386706948642,3.938126888217522,28.147214501510568,0.0,0.0,102.97486404833836,83.62574018126888,741.3885599194361,10.369788519637462,0.0,177.47939577039276,266.2333534743202,61.1544410876133,0.0,0.0,0.0,0.9775103331276848,0.0,0.16161679758308153,0.04010269929181873,0.0,0.3259511440085097,11211.144950008977
98315,채종국,1998,2007,0.163,23,47,43,3,7,1,0,0,8,2,1,0,3,0,0,8,0,0.186,0.217,0.403,1,0.091,0.5,1,16,12,0,3.98,0.023,1.5,0.144,23,0,0,0,0.0,0,0,21,11,117.0,3,0,33,36,7,0,0,0,0.958,0.0,-0.273,0.0,0.0150753769,0.247284992,0,1484,0.0,1975,10,24,33,7715.540375701392,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.20336906613575562,77.41230635226778,229.7773284389971,197.00528837180366,23.124805574566043,43.051888259814596,6.888570895290239,0.2278977166677036,3.010452311329559,59.42761152242892,17.903191687923847,10.654389348597025,2.098861444658745,12.330927642630497,0.7075841473278168,7.687861631307162,24.886455546568783,4.725191314627014,0.2682139613015616,0.2668562185030797,0.5350701798046413,10.858396067940024,0.19402973931437817,0.3860511416661482,10.126920923287502,71.56467367635165,59.60113233372738,0.0,3.6691407951222548,0.06532458159646613,17.389043737945624,0.1870799477384434,77.41230635226778,3.4901387419896723,0.7075841473278168,2.782554594661855,18.503222795993278,0.0,0.0,76.8035836495987,60.74777577303553,546.458346295029,8.109313755988303,0.0,130.67050332856343,195.49685808498725,44.68207553039259,0.0,0.0,0.0,0.9716662685231834,0.0,-0.039548186399552064,0.026880631144167243,0.0,0.2242448021134884,11151.738041510856
61463,김정혁,2011,2014,0.0,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0,0.0,0.0,0,2,2,0,3.8,0.0,-0.8,0.0,2,0,0,0,0.0,0,0,2,1,12.0,0,0,1,4,1,0,0,0,1.0,0.0,-0.138,0.0,0.0,0.00354191263,0,7,0.0,1985,8,3,30,3478.86,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.8,0.0,-0.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,12.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.138,0.0,0.0,0.0,2547.9667264194645
