ID,선수명,데뷔년도,연도,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,피출루율,피장타율,피OPS,경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),수비율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적이닝,포지션 엔트로피,출생연도,출생월,출생일,나이,연봉,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,1차FA여부,2차FA여부,3년평균평균자책점,3년평균경기,3년평균승리,3년평균패배,3년평균세이브,3년평균홀드,3년평균승률,3년평균이닝,3년평균피안타,3년평균홈런,3년평균볼넷,3년평균사구,3년평균삼진,3년평균실점,3년평균자책점,3년평균이닝당_출루허용률,3년평균완투,3년평균완봉,3년평균퀄리티스타트,3년평균블론세이브,3년평균타자수,3년평균투구수,3년평균피안타율,3년평균2루타,3년평균3루타,3년평균희생번트,3년평균희생플라이,3년평균고의4구,3년평균폭투,3년평균보크,3년평균선발,3년평균선발승,3년평균구원승,3년평균종료,3년평균세이브기회,3년평균터프세이브,3년평균병살타,3년평균땅볼,3년평균뜬공,3년평균인플레이타구타율,3년평균투구수/경기,3년평균투구수/이닝,3년평균9이닝당 삼진,3년평균9이닝당 볼넷,3년평균피출루율,3년평균피장타율,3년평균피OPS,3년평균경기(수비),3년평균선발경기(수비),3년평균수비이닝(수비),3년평균실책(수비),3년평균견제사(수비),3년평균자살(수비),3년평균보살(수비),3년평균병살(수비),3년평균수비율(수비),3년평균WAR,3년평균뉴스개수(연도별정규화),3년평균수상횟수,3년평균포지션 엔트로피,3년평균연봉
67588,윤성빈,2017,2018,6.39,18,2,5,0,0,0.286,50.66666666666666,51,5,36,3,65,36,36,1.72,0,0,1,0,235,1010,0.264,12,0,2,1,0,5,0,10,1,1,2,0,0,4,32,46,0.371,56.1,19.9,11.55,6.39,0.386,0.404,0.79,18,10,50.66666666666666,0,0,2,3,0,1.0,0.389,0.0,0.131754256,0.131754256,0,50.66666666666666,0.0,1999,2,26,20,2714.678111587983,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,6.39,18.0,2.0,5.0,0.0,0.0,0.286,50.66666666666665,51.0,5.0,36.0,3.0,65.0,36.0,36.0,1.72,0.0,0.0,1.0,0.0,235.0,1010.0,0.264,12.0,0.0,2.0,1.0,0.0,5.0,0.0,10.0,1.0,1.0,2.0,0.0,0.0,4.0,32.0,46.0,0.371,56.1,19.9,11.55,6.39,0.386,0.404,0.79,18.0,10.0,50.66666666666665,0.0,0.0,2.0,3.0,0.0,1.0,0.389,0.131754256,0.0,0.0,2725.074198180948
77829,김광현,2007,2007,3.62,20,3,7,0,0,0.3,77.0,80,5,41,4,52,35,31,1.57,0,0,5,0,342,1324,0.284,8,0,10,5,2,2,0,13,3,0,3,0,0,13,76,79,0.326,66.2,17.2,6.08,4.79,0.377,0.365,0.742,20,13,77.0,0,0,3,10,1,1.0,1.244,0.0,0.48125937,0.48125937,0,77.0,0.0,1988,7,22,20,4898.7557940961215,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,3.62,20.0,3.0,7.0,0.0,0.0,0.3,77.0,80.0,5.0,41.0,4.0,52.0,35.0,31.0,1.57,0.0,0.0,5.0,0.0,342.0,1324.0,0.284,8.0,0.0,10.0,5.0,2.0,2.0,0.0,13.0,3.0,0.0,3.0,0.0,0.0,13.0,76.0,79.0,0.326,66.2,17.2,6.08,4.79,0.377,0.365,0.742,20.0,13.0,77.0,0.0,0.0,3.0,10.0,1.0,1.0,1.244,0.48125937,0.0,0.0,2563.8718307290087
77829,김광현,2007,2008,2.39,27,16,4,0,0,0.8,162.0,127,9,63,2,150,50,43,1.17,1,1,18,0,659,2538,0.218,13,0,11,0,1,3,0,27,16,0,1,0,0,14,168,138,0.278,94.0,15.7,8.33,3.5,0.296,0.286,0.582,27,27,162.0,5,0,7,28,0,0.875,5.427,0.0,1.0,1.48125937,2,239.0,0.0,1988,7,22,21,15493.827160493827,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2.7862761506276152,24.744769874476987,11.811715481171548,4.96652719665272,0.0,0.0,0.6389121338912134,134.61506276150627,111.85774058577405,7.7112970711297075,55.91213389121339,2.6443514644351462,118.42677824267783,45.1673640167364,39.13389121338912,1.2988702928870293,0.6778242677824268,0.6778242677824268,13.811715481171548,0.0,556.8702928870293,2146.878661087866,0.23926359832635982,11.389121338912133,0.0,10.677824267782427,1.610878661087866,1.3221757322175731,2.6778242677824267,0.0,22.489539748953973,11.811715481171548,0.0,1.6443514644351465,0.0,0.0,13.677824267782427,138.35983263598325,118.99163179916317,0.29346443514644355,85.04351464435148,16.18326359832636,7.605104602510461,3.9156066945606693,0.3220962343096234,0.31145188284518827,0.6335481171548117,24.744769874476987,22.489539748953973,134.61506276150627,3.3891213389121337,0.0,5.7112970711297075,22.200836820083683,0.32217573221757323,0.9152719665271967,4.079338912133891,0.8328743576987447,1.3556485355648535,0.0,4898.7557940961215
77829,김광현,2007,2009,2.8,21,12,2,0,0,0.857,138.33333333333334,121,14,53,4,112,46,43,1.26,1,0,16,0,568,2199,0.239,11,2,4,0,1,8,0,21,12,0,1,0,0,17,138,136,0.281,104.7,15.9,7.29,3.45,0.316,0.351,0.667,21,21,138.33333333333334,0,0,6,16,0,1.0,4.623,0.0,1.0,2.48125937,0,377.33333333333337,0.0,1988,7,22,22,20261.72145281216,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2.7913074204946993,23.371908127208478,11.880742049469964,3.878975265017668,0.0,0.0,0.7188648409893992,135.97820965842166,115.20936395759716,10.01678445229682,54.84452296819788,3.1413427561837457,116.07067137809187,45.4726148409894,40.551236749116605,1.284620141342756,0.7959363957597173,0.42932862190812715,14.613957597173146,0.0,560.9505300353356,2165.9867491166074,0.239166961130742,11.246466431095406,0.7332155477031802,8.229681978798586,1.0203180212014133,1.2040636042402826,4.628975265017668,0.0,21.943462897526498,11.880742049469964,0.0,1.4081272084805654,0.0,0.0,14.895759717314487,138.22791519434628,125.22703180212014,0.2888948763250883,92.24973498233216,16.07941696113074,7.48958480565371,3.7449116607773845,0.3198613074204947,0.32595053003533564,0.6458118374558304,23.371908127208478,21.943462897526498,135.97820965842166,2.1466431095406358,0.0,5.817137809187279,19.92756183745583,0.20406360424028266,0.946333922261484,4.278649293286219,0.894143917376325,0.8586572438162543,0.0,12080.352285127203
77829,김광현,2007,2010,2.37,31,17,7,0,0,0.708,193.66666666666663,153,13,84,5,183,56,51,1.22,2,1,20,0,797,3129,0.221,22,1,14,1,1,13,0,30,16,1,2,0,0,19,230,128,0.281,100.9,16.2,8.5,3.9,0.309,0.312,0.621,31,30,193.66666666666663,3,1,6,26,2,0.914,7.12,0.0,0.765469824,3.246729194,0,571.0,0.0,1988,7,22,23,30050.99401374621,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2.496970310391363,26.887989203778673,15.2719298245614,4.6160593792172735,0.0,0.0,0.7798940620782725,167.78722447143497,135.5128205128205,11.968286099865047,68.43252361673414,3.736167341430499,152.2962213225371,51.232118758434545,46.13630229419703,1.214804318488529,1.3920377867746287,0.7199730094466936,18.224021592442643,0.0,687.6187584345479,2674.7651821862346,0.2250566801619433,15.968286099865047,0.9520917678812415,10.21592442645074,0.3920377867746288,1.0,8.32051282051282,0.0,26.495951417004047,14.879892037786773,0.3920377867746288,1.3920377867746287,0.0,0.0,16.80026990553306,183.90553306342775,133.51956815114707,0.2800161943319838,99.7013495276653,15.952024291497974,8.105418353576248,3.6428137651821855,0.3066970310391363,0.3143947368421052,0.6210917678812415,26.887989203778673,26.495951417004047,167.78722447143497,2.8157894736842106,0.3920377867746288,6.327935222672065,23.855600539811064,0.7840755735492576,0.9252928475033738,5.865578272604588,0.9080553088690959,0.6558704453441295,0.0,15079.705822750218
77829,김광현,2007,2011,4.84,17,4,6,0,0,0.4,74.33333333333333,70,6,45,2,61,45,40,1.55,1,0,5,0,328,1317,0.253,9,2,3,1,0,3,0,14,4,0,3,0,0,6,83,64,0.303,77.5,17.7,7.39,5.45,0.36,0.365,0.725,17,14,74.0,0,0,6,7,1,1.0,0.736,0.0,1.0,4.246729194,0,645.3333333333334,0.0,1988,7,22,24,27229.33391191148,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2.968244462674323,25.034454470877762,12.919606234618536,5.1148482362592285,0.0,0.0,0.7023814602132895,152.99835931091056,126.92206726825266,12.05988515176374,66.31173092698933,4.110746513535685,136.51025430680886,50.58326497128794,46.264150943396224,1.2939868744872847,1.4766201804758,0.47662018047579974,15.894175553732568,0.0,633.2411812961444,2480.906480721903,0.2329819524200164,15.876948318293683,1.5233798195242003,8.58326497128794,0.6595570139458572,0.8170631665299426,9.468416735028711,0.0,24.009023789991797,12.442986054142738,0.47662018047579974,1.8424938474159147,0.0,0.0,15.940935192780968,171.7875307629204,119.01558654634947,0.28502461033634124,97.91296144380641,16.372272354388844,7.885004101722723,4.0303527481542245,0.3207128794093519,0.3349729286300246,0.6556858080393765,25.034454470877762,24.009023789991797,152.93738036642054,1.4298605414273993,0.47662018047579974,6.0,19.11977030352748,1.136177194421657,0.9590106644790811,5.102045118949959,0.8882181851878589,0.0,0.0,22535.925725306068
77829,김광현,2007,2012,4.3,16,8,5,0,0,0.615,81.66666666666667,85,9,36,2,65,44,39,1.48,0,0,4,0,347,1322,0.287,15,2,7,6,0,2,1,16,8,0,0,0,0,12,78,74,0.333,82.6,16.2,7.16,3.97,0.362,0.443,0.805,16,16,81.66666666666667,0,1,5,13,0,1.0,0.7,0.0,0.385450955,4.632180149,0,727.0,0.0,1988,7,22,25,25804.503916449084,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,3.3458436606291713,24.520495710200187,12.134413727359389,6.3203050524308875,0.0,0.0,0.6208036224976167,142.1401334604385,119.47378455672067,10.57769304099142,64.49857006673021,3.6615824594852238,129.50524308865587,50.85891325071496,45.85891325071497,1.350877025738799,1.3203050524308864,0.553860819828408,13.074356530028599,0.0,592.1982840800763,2321.763584366063,0.24321734985700666,17.601525262154432,1.446139180171592,10.026692087702575,2.1677788369876074,0.553860819828408,8.305052430886558,0.23355576739752149,23.328884652049574,11.580552907530983,0.553860819828408,1.7454718779790277,0.0,0.0,14.601525262154432,163.24976167778834,101.78265014299332,0.2978217349857007,91.6514775977121,16.518875119161102,7.951067683508104,4.245853193517636,0.3322202097235462,0.35386272640610106,0.6860829361296473,24.520495710200187,23.328884652049574,142.06927232284713,1.661582459485224,0.7874165872259294,5.7664442326024785,18.92469018112488,1.3203050524308864,0.952367969494757,4.263439466158246,0.7265714506377502,0.0,0.0,26202.11926764549
77829,김광현,2007,2013,4.47,25,10,9,0,0,0.526,133.0,128,12,68,4,102,72,66,1.47,0,0,9,1,580,2273,0.259,31,3,7,7,0,9,1,22,10,0,2,1,0,17,144,127,0.3,90.9,17.1,6.9,4.6,0.349,0.407,0.756,25,22,133.0,0,0,9,19,1,1.0,1.853,0.0,0.496232508,5.128412657,0,860.0,0.0,1988,7,22,26,28664.625672218976,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,4.517128027681661,20.39907727797001,7.891580161476356,7.098039215686275,0.0,0.0,0.5187416378316032,103.40445982314495,100.93079584775087,9.608996539792388,53.04152249134948,2.9204152249134947,80.99884659746252,57.14302191464822,51.68281430219146,1.4934025374855826,0.25720876585928487,0.0,6.558246828143021,0.4602076124567474,449.3414071510957,1758.3713956170704,0.2653690888119954,20.82006920415225,2.4602076124567476,5.971164936562861,5.174163783160323,0.0,5.478662053056517,0.7427912341407151,18.246828143021915,7.891580161476356,0.0,1.6920415224913494,0.4602076124567474,0.0,12.757785467128027,109.65974625144175,95.81891580161476,0.31009688581314876,85.10795847750865,17.0,7.099504036908881,4.6405997693194925,0.3555028835063437,0.4063702422145329,0.7618731257208766,20.39907727797001,18.246828143021915,103.31872356785851,0.0,0.2825836216839677,7.098039215686275,14.217993079584774,0.7174163783160322,1.0,1.239878892733564,0.5945008704348328,0.0,0.0,28459.363626189544
77829,김광현,2007,2014,3.42,28,13,9,0,0,0.591,173.66666666666666,178,10,81,3,145,77,66,1.49,1,0,15,0,749,3009,0.274,36,4,12,3,1,9,1,28,13,0,1,0,0,21,184,146,0.337,107.5,17.3,7.51,4.2,0.355,0.388,0.743,28,28,173.66666666666666,1,0,8,24,1,0.97,5.2,0.0,1.0,6.128412657,0,1033.6666666666667,0.0,1988,7,22,27,89607.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,3.9646781115879826,24.448927038626604,10.921030042918455,8.158798283261802,0.0,0.0,0.5737854077253218,140.39113018597996,141.31759656652358,10.47467811158798,67.08412017167382,3.132188841201717,113.44892703862659,68.34763948497853,60.32188841201716,1.481047210300429,0.44721030042918447,0.0,10.63175965665236,0.3424892703862661,606.5785407725322,2402.1510729613733,0.27159656652360514,29.87124463519313,3.236909871244635,9.236051502145923,5.000858369098712,0.44721030042918447,7.527896995708153,1.0,23.421459227467807,10.921030042918455,0.0,1.1321888412017165,0.3424892703862661,0.0,17.73733905579399,148.0085836909871,124.35107296137339,0.3234866952789699,96.57819742489269,17.000171673819743,7.227476394849785,4.288626609442059,0.3544171673819742,0.40607381974248924,0.7604909871244635,24.448927038626604,23.421459227467807,140.39113018597996,0.44721030042918447,0.21030042918454936,7.711587982832618,19.974248927038627,0.7896995708154505,0.9865836909871244,3.1073364806866945,0.6982251113021458,0.0,0.0,27487.23248569972
77829,김광현,2007,2015,3.72,30,14,6,0,1,0.7,176.66666666666666,173,19,66,3,160,86,73,1.35,1,1,16,0,754,2896,0.257,33,0,11,2,2,10,0,29,14,0,1,1,0,18,216,125,0.311,96.5,16.4,8.15,3.36,0.326,0.391,0.717,30,29,176.66666666666666,2,1,12,30,1,0.9549999999999998,3.957,0.0,0.99592668,7.124339337,0,1210.3333333333337,0.0,1988,7,22,28,88746.16222640389,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,3.818586206896552,27.905517241379314,12.540000000000003,7.90344827586207,0.0,0.3655172413793104,0.6129551724137932,163.57287356321842,162.4137931034483,13.840000000000002,71.94000000000001,3.2751724137931038,138.65034482758622,78.91379310344828,68.55862068965517,1.4333241379310346,0.7248275862068966,0.3655172413793104,13.71448275862069,0.2751724137931035,704.3234482758622,2765.169655172414,0.26365862068965523,33.52758620689656,2.262758620689655,10.258620689655173,3.7351724137931037,1.090344827586207,9.36551724137931,0.6344827586206897,26.714482758620694,12.540000000000003,0.0,1.2751724137931035,0.6406896551724138,0.0,18.80275862068966,184.6896551724138,133.09586206896552,0.31731517241379315,98.91144827586209,16.916000000000004,7.576075862068966,4.003034482758621,0.3427489655172414,0.3943248275862069,0.7370737931034484,27.905517241379314,26.714482758620694,163.57287356321842,1.090344827586207,0.3655172413793104,9.737241379310346,24.81724137931035,1.0,0.9727724137931035,3.8246600000000006,0.859888214546207,0.0,0.0,55317.19837145527
