ID,선수명,데뷔년도,연도,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,피출루율,피장타율,피OPS,경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),수비율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적이닝,포지션 엔트로피,출생연도,출생월,출생일,나이,연봉,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,1차FA여부,2차FA여부,3년평균평균자책점,3년평균경기,3년평균승리,3년평균패배,3년평균세이브,3년평균홀드,3년평균승률,3년평균이닝,3년평균피안타,3년평균홈런,3년평균볼넷,3년평균사구,3년평균삼진,3년평균실점,3년평균자책점,3년평균이닝당_출루허용률,3년평균완투,3년평균완봉,3년평균퀄리티스타트,3년평균블론세이브,3년평균타자수,3년평균투구수,3년평균피안타율,3년평균2루타,3년평균3루타,3년평균희생번트,3년평균희생플라이,3년평균고의4구,3년평균폭투,3년평균보크,3년평균선발,3년평균선발승,3년평균구원승,3년평균종료,3년평균세이브기회,3년평균터프세이브,3년평균병살타,3년평균땅볼,3년평균뜬공,3년평균인플레이타구타율,3년평균투구수/경기,3년평균투구수/이닝,3년평균9이닝당 삼진,3년평균9이닝당 볼넷,3년평균피출루율,3년평균피장타율,3년평균피OPS,3년평균경기(수비),3년평균선발경기(수비),3년평균수비이닝(수비),3년평균실책(수비),3년평균견제사(수비),3년평균자살(수비),3년평균보살(수비),3년평균병살(수비),3년평균수비율(수비),3년평균WAR,3년평균뉴스개수(연도별정규화),3년평균수상횟수,3년평균포지션 엔트로피,3년평균연봉
67588,윤성빈,2017,2018,6.39,18,2,5,0,0,0.286,50.66666666666666,51,5,36,3,65,36,36,1.72,0,0,1,0,235,1010,0.264,12,0,2,1,0,5,0,10,1,1,2,0,0,4,32,46,0.371,56.1,19.9,11.55,6.39,0.386,0.404,0.79,18,10,50.66666666666666,0,0,2,3,0,1.0,0.389,0.0,0.131754256,0.131754256,0,50.66666666666666,0.0,1999,2,26,20,2714.678111587983,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,6.39,18.0,2.0,5.0,0.0,0.0,0.286,50.66666666666665,51.0,5.0,36.0,3.0,65.0,36.0,36.0,1.72,0.0,0.0,1.0,0.0,235.0,1010.0,0.264,12.0,0.0,2.0,1.0,0.0,5.0,0.0,10.0,1.0,1.0,2.0,0.0,0.0,4.0,32.0,46.0,0.371,56.1,19.9,11.55,6.39,0.386,0.404,0.79,18.0,10.0,50.66666666666665,0.0,0.0,2.0,3.0,0.0,1.0,0.389,0.131754256,0.0,0.0,2725.074198180948
77829,김광현,2007,2007,3.62,20,3,7,0,0,0.3,77.0,80,5,41,4,52,35,31,1.57,0,0,5,0,342,1324,0.284,8,0,10,5,2,2,0,13,3,0,3,0,0,13,76,79,0.326,66.2,17.2,6.08,4.79,0.377,0.365,0.742,20,13,77.0,0,0,3,10,1,1.0,1.244,0.0,0.48125937,0.48125937,0,77.0,0.0,1988,7,22,20,4898.7557940961215,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,3.62,20.0,3.0,7.0,0.0,0.0,0.3,77.0,80.0,5.0,41.0,4.0,52.0,35.0,31.0,1.57,0.0,0.0,5.0,0.0,342.0,1324.0,0.284,8.0,0.0,10.0,5.0,2.0,2.0,0.0,13.0,3.0,0.0,3.0,0.0,0.0,13.0,76.0,79.0,0.326,66.2,17.2,6.08,4.79,0.377,0.365,0.742,20.0,13.0,77.0,0.0,0.0,3.0,10.0,1.0,1.0,1.244,0.48125937,0.0,0.0,2563.8718307290087
77829,김광현,2007,2008,2.39,27,16,4,0,0,0.8,162.0,127,9,63,2,150,50,43,1.17,1,1,18,0,659,2538,0.218,13,0,11,0,1,3,0,27,16,0,1,0,0,14,168,138,0.278,94.0,15.7,8.33,3.5,0.296,0.286,0.582,27,27,162.0,5,0,7,28,0,0.875,5.427,0.0,1.0,1.48125937,2,239.0,0.0,1988,7,22,21,15493.827160493827,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2.543500810372772,26.12641815235008,14.377633711507295,4.374392220421394,0.0,0.0,0.7376012965964344,151.39222042139386,121.13452188006484,8.500810372771475,60.25445705024312,2.2495948136142627,137.76985413290114,48.128038897893035,41.502431118314426,1.2199189627228524,0.8752025931928687,0.8752025931928687,16.377633711507293,0.0,619.4392220421394,2386.495948136143,0.2262366288492707,12.376012965964344,0.0,10.875202593192869,0.6239870340356565,1.1247974068071314,2.875202593192869,0.0,25.252836304700164,14.377633711507295,0.0,1.2495948136142627,0.0,0.0,13.87520259319287,156.5186385737439,130.63695299837926,0.28399027552674233,90.53063209076176,15.887196110210699,8.049205834683956,3.6609886547811996,0.30610858995137763,0.29585899513776337,0.6019675850891409,26.12641815235008,25.252836304700164,151.39222042139386,4.376012965964343,0.0,6.5008103727714746,25.75364667747164,0.12479740680713128,0.8905996758508914,4.90497244732577,0.9352625145705025,1.7504051863857375,0.0,4898.7557940961215
77829,김광현,2007,2009,2.8,21,12,2,0,0,0.857,138.33333333333334,121,14,53,4,112,46,43,1.26,1,0,16,0,568,2199,0.239,11,2,4,0,1,8,0,21,12,0,1,0,0,17,138,136,0.281,104.7,15.9,7.29,3.45,0.316,0.351,0.667,21,21,138.33333333333334,0,0,6,16,0,1.0,4.623,0.0,1.0,2.48125937,0,377.33333333333337,0.0,1988,7,22,22,20261.72145281216,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2.7265286542065716,22.468405577812547,12.681046785536202,2.680118296394367,0.0,0.0,0.8227995667050672,142.07390658940722,121.03853229938616,12.42481817087639,55.07795869942743,3.4986158634089306,119.38148867759074,46.60955312161489,42.57103801647208,1.2485192317612064,0.9642531680393404,0.25069206829553464,16.108168985023813,0.0,582.7341941917846,2252.706133186609,0.23534407400402346,11.39414364070909,1.4271221994876115,5.969325469832699,0.17873415980329785,1.0357468319606595,6.5320586667583695,0.0,22.21817775408793,12.681046785536202,0.0,1.0714936639213193,0.0,0.0,16.104936467270758,143.30445846730512,134.4638147148335,0.2818565312333431,100.64134183875238,15.89633246788975,7.507466084354957,3.5104353582420607,0.31316671538368956,0.33520547120823946,0.648372186591929,22.468405577812547,22.21817775408793,142.07390658940722,1.2534603414776733,0.0,6.143451572413555,18.793823827782457,0.035746831960659566,0.9686634914630582,4.703767877714541,0.9814566658682233,0.5013841365910693,0.0,14171.589729030904
77829,김광현,2007,2010,2.37,31,17,7,0,0,0.708,193.66666666666663,153,13,84,5,183,56,51,1.22,2,1,20,0,797,3129,0.221,22,1,14,1,1,13,0,30,16,1,2,0,0,19,230,128,0.281,100.9,16.2,8.5,3.9,0.309,0.312,0.621,31,30,193.66666666666663,3,1,6,26,2,0.914,7.12,0.0,0.765469824,3.246729194,0,571.0,0.0,1988,7,22,23,30050.99401374621,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2.4426199882547652,29.104799530190594,16.11077892264161,5.9940206075489835,0.0,0.0,0.7381299717046608,182.62334276511308,146.16475361699858,12.932651753777161,77.62281778869254,4.658694143398644,169.27553253964018,53.98804121509797,49.20361966793018,1.223727777481181,1.7754524584912712,0.8338316160375848,19.218568149057713,0.0,750.8911163312157,2939.961320805083,0.22381589343868458,19.64673535849661,1.1077892264161018,12.163178687736908,0.7754524584912712,1.0,11.585366504724787,0.0,28.329347071699324,15.33532646415034,0.7754524584912712,1.7754524584912712,0.0,0.0,18.3757674443436,211.09300090758637,129.91313864716247,0.2808248625273611,101.12862367198763,16.120959906038117,8.289011798622605,3.801872564198388,0.30940424963963487,0.31696270887833,0.626366958517965,29.104799530190594,28.329347071699324,182.62334276511308,2.6182531632053814,0.7754524584912712,6.058379157546314,24.455074475468475,1.5509049169825424,0.9260136938764616,6.606241631519941,0.8181329984304097,0.11675831509262723,0.0,18517.270819436897
77829,김광현,2007,2011,4.84,17,4,6,0,0,0.4,74.33333333333333,70,6,45,2,61,45,40,1.55,1,0,5,0,328,1317,0.253,9,2,3,1,0,3,0,14,4,0,3,0,0,6,83,64,0.303,77.5,17.7,7.39,5.45,0.36,0.365,0.725,17,14,74.0,0,0,6,7,1,1.0,0.736,0.0,1.0,4.246729194,0,645.3333333333334,0.0,1988,7,22,24,27229.33391191148,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,3.674199930978949,22.95789715863338,9.900609685954214,6.057287472679167,0.0,0.0,0.5627823536178534,127.6870662218643,107.6665132865524,9.494535833429195,61.32692971356264,3.3748993443000113,114.30599332796501,49.49706660531462,44.66892902335212,1.3927458874956862,1.4010123087541697,0.40101230875416993,11.960427930518806,0.0,536.6982629702059,2119.425629817094,0.23896456919360407,14.38502243184171,1.5989876912458298,7.49706660531462,0.9140687909812492,0.48694351777292066,7.439779132635453,0.0,21.017715403197975,9.499597377200045,0.40101230875416993,2.4271252732083286,0.0,0.0,12.158403313010469,146.67502588289426,95.85183480961693,0.29228724260899575,89.2210169101576,16.94380536063499,7.826530541815252,4.656568503393535,0.33576739905671227,0.34254331070976646,0.6783107097664788,22.95789715863338,21.017715403197975,127.5160473944553,1.2030369262625098,0.40101230875416993,6.0,15.392614747497987,1.3150810997354192,0.9655129414471414,3.6300771885425056,0.9059505126497182,0.0,0.0,27574.49127497419
77829,김광현,2007,2012,4.3,16,8,5,0,0,0.615,81.66666666666667,85,9,36,2,65,44,39,1.48,0,0,4,0,347,1322,0.287,15,2,7,6,0,2,1,16,8,0,0,0,0,12,78,74,0.333,82.6,16.2,7.16,3.97,0.362,0.443,0.805,16,16,81.66666666666667,0,1,5,13,0,1.0,0.7,0.0,0.385450955,4.632180149,0,727.0,0.0,1988,7,22,25,25804.503916449084,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,4.1220881957220135,18.337378840715008,8.557428814629725,5.47085312611549,0.0,0.0,0.5888583431725198,96.40040455073817,92.00793541832559,9.023229632883934,44.54504516873061,2.4307367033691203,81.20752903704111,45.9066421373459,40.9066421373459,1.4555281583788684,0.47085312611548913,0.14357890112304014,6.4809577418380515,0.0,408.1202943518493,1580.5285977099866,0.27127815151431944,14.902880364644828,1.85642109887696,7.270271012383646,4.363628875037755,0.14357890112304014,3.7630632362228504,0.672725775007551,17.642713967983745,8.413849913506686,0.14357890112304014,0.8382437738543068,0.0,0.0,11.902880364644828,100.74246959004915,79.9163074219501,0.3200230374255197,84.29064773881765,16.47554298580411,7.394645651994838,4.231818556248112,0.35402292759274,0.40986292869106783,0.763885856283808,18.337378840715008,17.642713967983745,96.33917277611502,0.4307367033691204,0.8163046761305912,5.32727422499245,13.764353771383071,0.47085312611548913,0.9876522145034186,1.6283895768692163,0.5529034324719515,0.0,0.0,27762.118981283234
77829,김광현,2007,2013,4.47,25,10,9,0,0,0.526,133.0,128,12,68,4,102,72,66,1.47,0,0,9,1,580,2273,0.259,31,3,7,7,0,9,1,22,10,0,2,1,0,17,144,127,0.3,90.9,17.1,6.9,4.6,0.349,0.407,0.756,25,22,133.0,0,0,9,19,1,1.0,1.853,0.0,0.496232508,5.128412657,0,860.0,0.0,1988,7,22,26,28664.625672218976,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,4.459708873865644,23.331079846519277,9.457092392959376,8.280894086119739,0.0,0.0,0.5341464157378647,122.94977363623444,119.22041537243437,11.307875022839394,62.28789816675802,3.620074304159815,94.80839271575614,66.72178573603752,60.91174858395761,1.4747518119252085,0.04074547780010963,0.0,8.090931238199648,0.8100371520799075,534.9644923564164,2092.1416042389915,0.26293361349655886,27.716121566477863,2.8100371520799072,6.837018088799561,6.60630976307936,0.0,7.7110055423594615,0.9592545221998904,20.778731956879223,9.457092392959376,0.0,1.7423107375601437,0.8100371520799075,0.0,15.805712893598878,131.66617942627445,116.524514282234,0.30504640964735974,89.11550642548268,16.990151653572084,6.958761800353249,4.540626712954504,0.35138802606736097,0.4106605152567147,0.7620485413240757,23.331079846519277,20.778731956879223,122.93619181030108,0.0,0.14921737011998296,8.280894086119739,17.615750045678787,0.8507826298800171,1.0,1.6354396735489372,0.5002282231652355,0.0,0.0,26675.94490572419
77829,김광현,2007,2014,3.42,28,13,9,0,0,0.591,173.66666666666666,178,10,81,3,145,77,66,1.49,1,0,15,0,749,3009,0.274,36,4,12,3,1,9,1,28,13,0,1,0,0,21,184,146,0.337,107.5,17.3,7.51,4.2,0.355,0.388,0.743,28,28,173.66666666666666,1,0,8,24,1,0.97,5.2,0.0,1.0,6.128412657,0,1033.6666666666667,0.0,1988,7,22,27,89607.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,3.6389196529611465,27.058921161825726,12.291814409656734,8.866918144096568,0.0,0.0,0.5800587702753678,163.26093298126492,165.87529234251224,10.327951716333459,77.15488494907582,3.1473406261788,134.57208600528102,74.9990192380234,65.10169747265184,1.4860550735571483,0.7861184458694832,0.0,13.55035835533761,0.18061109015465862,705.1019992455678,2819.9429649188987,0.2717233496793663,34.39826480573368,3.752847981893625,10.930592229347416,3.8222557525462095,0.7861184458694832,8.767106752168994,1.0,26.517087891361747,12.291814409656734,0.0,1.1473406261788004,0.18061109015465862,0.0,19.978121463598644,173.2488872123727,140.1729158807997,0.3301843078083742,103.6734213504338,17.227280271595625,7.388182572614107,4.264592229347416,0.3541492267069031,0.3932614862316107,0.7474107129385138,27.058921161825726,26.517087891361747,163.26093298126492,0.7861184458694832,0.03327046397585817,8.080799698227084,22.730969445492267,0.9667295360241419,0.9764164466239155,4.4457775933609955,0.8885676722223311,0.0,0.0,28179.364177043757
77829,김광현,2007,2015,3.72,30,14,6,0,1,0.7,176.66666666666666,173,19,66,3,160,86,73,1.35,1,1,16,0,754,2896,0.257,33,0,11,2,2,10,0,29,14,0,1,1,0,18,216,125,0.311,96.5,16.4,8.15,3.36,0.326,0.391,0.717,30,29,176.66666666666666,2,1,12,30,1,0.9549999999999998,3.957,0.0,0.99592668,7.124339337,0,1210.3333333333337,0.0,1988,7,22,28,88746.16222640389,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,3.69236607081043,29.318550006230872,13.58469143323964,6.798424281026295,0.0,0.7338585729912352,0.6677586297614267,173.8461989356743,171.8445881391839,16.704171916755513,69.34573046620788,3.0497223799171986,153.86981625842895,83.35611525733512,71.13701001093865,1.3862653521828832,0.9502776200828014,0.7338585729912352,15.435524293488044,0.0497223799171986,744.2662106589496,2889.478309632932,0.260778568560391,33.549812381440304,1.0148433281178604,11.017529527422772,2.465030946677559,1.6841361930740366,9.733858572991236,0.26614142700876475,28.43552429348804,13.58469143323964,0.0,1.0497223799171986,0.7835809529084339,0.0,18.599534761357503,205.4945791390316,129.64424474875727,0.3160799490452916,98.60216419047092,16.629582808324447,7.949338834964899,3.603447750654242,0.333419767103751,0.3911463009374005,0.7245660680411515,29.318550006230872,28.43552429348804,173.8461989356743,1.6841361930740366,0.7338585729912352,10.98515667188214,28.15453953836142,1.0,0.9604837928026474,4.121392988189031,0.971962240570305,0.0,0.0,76477.39268852858
