ID,선수명,연도,뉴스개수
71610,김경언,2002,5
71609,김민철,2002,0
70612,김상훈,2002,2
90811,김인철,2002,3
96616,김종국,2002,13
93656,김지영,2002,3
98457,김지훈,2002,0
97644,김창희,2002,2
92407,김태룡,2002,0
91470,신동주,2002,5
71648,심제훈,2002,0
71638,오우진,2002,0
93626,이대진,2002,8
93494,이동수,2002,0
92304,이재주,2002,0
93607,이종범,2002,36
72606,이현곤,2002,2
96610,장성호,2002,18
99607,장일현,2002,2
96346,장정석,2002,1
99606,정성훈,2002,3
72623,조민철,2002,0
70626,홍세완,2002,6
96624,황성기,2002,0
95158,권용관,2002,6
70646,김상현,2002,0
72131,김용우,2002,0
72108,김우석,2002,0
71150,김재학,2002,0
94107,김재현,2002,11
93112,김정민,2002,0
96825,김현민,2002,0
98130,박연수,2002,1
72133,박용택,2002,14
94162,서용빈,2002,11
97103,손지환,2002,1
95835,심성보,2002,0
95666,안상준,2002,0
72161,안치용,2002,0
94106,유지현,2002,11
70148,윤현식,2002,0
97109,이병규,2002,16
72195,이일의,2002,1
91015,이종열,2002,6
94843,장재중,2002,1
98144,조인성,2002,5
94132,최동수,2002,9
97351,최만호,2002,0
72139,추승우,2002,0
90695,홍현우,2002,2
92509,강성우,2002,2
99210,강혁,2002,0
91803,김기태,2002,8
71806,김동건,2002,0
90419,김동수,2002,4
91523,김민재,2002,5
72850,김재구,2002,1
97404,송재익,2002,1
97157,안재만,2002,0
91734,양용모,2002,1
70608,양현석,2002,1
72852,윤형국,2002,0
99810,이진영,2002,3
94629,이호준,2002,6
96441,정경배,2002,1
71842,정상호,2002,0
98533,조경환,2002,4
71848,조동화,2002,0
94836,조원우,2002,0
70833,채종범,2002,3
93807,최태원,2002,6
70224,강봉규,2002,1
95712,강인권,2002,0
72214,고영민,2002,1
98218,김동주,2002,18
93242,김민호,2002,0
99200,김성균,2002,0
90025,김호,2002,1
97219,문희성,2002,2
98264,송원국,2002,1
95114,심재학,2002,13
92207,안경현,2002,3
72220,유재웅,2002,1
71252,윤태수,2002,0
91210,이종민,2002,0
92211,장원진,2002,1
91465,전상렬,2002,0
95208,정수근,2002,15
70117,최경환,2002,4
99222,홍성흔,2002,3
96723,홍원기,2002,0
71509,권오현,2002,0
96503,김대익,2002,0
88510,김응국,2002,3
72548,김정현,2002,1
70410,김주찬,2002,1
94415,김태균,2002,3
72546,문규현,2002,0
99544,박경진,2002,0
70553,박기혁,2002,0
71815,박준서,2002,0
71558,박상민,2002,0
91514,박정태,2002,8
71562,박종윤,2002,0
95518,박현승,2002,1
71504,신명철,2002,0
98569,엄정대,2002,0
98808,윤재국,2002,2
