ID,선수명,연도,뉴스개수
90312,가내영,2002,0
72627,강철민,2002,4
92404,곽채진,2002,0
98617,곽현희,2002,0
71661,김주철,2002,3
72641,김진우,2002,61
93628,박진철,2002,0
93417,박충식,2002,1
95159,방동민,2002,0
93817,성영재,2002,0
96138,손혁,2002,4
72649,신용운,2002,1
92403,오봉옥,2002,2
97621,오철민,2002,0
70655,윤형진,2002,0
89620,이강철,2002,8
91011,이병석,2002,0
95601,이원식,2002,0
71641,이윤학,2002,2
94330,최상덕,2002,11
70630,최영완,2002,0
70121,경헌호,2002,1
70142,김광수,2002,0
97629,김동호,2002,0
97111,김민기,2002,2
91536,김태석,2002,0
72157,서승화,2002,4
94126,신윤호,2002,4
92302,안병원,2002,0
94228,류택현,2002,1
94834,유현승,2002,0
89621,이광우,2002,0
71118,이동현,2002,4
93147,이상훈,2002,41
99137,이승호,2002,9
93245,이용호,2002,0
97126,장문석,2002,3
97140,전승남,2002,3
96345,최원호,2002,2
87340,최창호,2002,1
90687,최향남,2002,3
92202,권명철,2002,1
71851,김건한,2002,0
91833,김기덕,2002,0
70839,신승현,2002,0
90213,김상진,2002,1
91848,김원형,2002,5
92401,김태한,2002,1
96847,박주언,2002,0
70855,엄정욱,2002,6
71827,오승준,2002,1
72862,윤길현,2002,6
70820,이승호,2002,12
70434,이용훈,2002,0
71801,정대현,2002,1
72801,제춘모,2002,6
91818,조규제,2002,2
90350,조웅천,2002,2
71823,조형식,2002,0
71845,채병용,2002,7
99245,구자운,2002,0
98128,김경태,2002,0
95223,김유봉,2002,0
96251,박명환,2002,12
95511,박보현,2002,0
97230,이경필,2002,2
90851,이상훈,2002,41
72216,이재영,2002,1
71260,이재우,2002,0
98259,이혜천,2002,4
99228,장성진,2002,1
71263,장인규,2002,0
95235,진필중,2002,37
96570,차명주,2002,3
71201,최경훈,2002,0
95247,최용호,2002,0
92501,가득염,2002,0
70531,강민영,2002,1
94526,강상수,2002,6
72523,고효준,2002,0
99563,김사율,2002,0
97236,김영수,2002,6
71550,김장현,2002,0
71563,김제빈,2002,1
72554,김풍철,2002,0
93357,노승욱,2002,0
97575,문동환,2002,2
94545,박지철,2002,0
72562,변인재,2002,0
97571,손민한,2002,1
72556,신원주,2002,0
92508,염종석,2002,2
71551,이대일,2002,0
72535,이명우,2002,0
70444,이명호,2002,0
72551,이정민,2002,0
97541,이정훈,2002,4
98521,임경완,2002,0
97531,임봉춘,2002,0
99560,정원욱,2002,0
94528,주형광,2002,0
70615,강영식,2002,3
72454,권오원,2002,0
72447,권혁,2002,1
98451,김진웅,2002,4
93453,김현욱,2002,1
72461,노병오,2002,1
93728,노장진,2002,11
99423,라형진,2002,2
98469,문남열,2002,0
70425,배영수,2002,5
97815,오상민,2002,2
71433,이정호,2002,2
99450,이준호,2002,0
95657,임창용,2002,31
96411,전병호,2002,1
96462,정현욱,2002,0
71745,고상천,2002,0
71708,김백만,2002,0
99742,김병준,2002,2
70719,김장백,2002,0
86612,김정수,2002,2
93311,김홍집,2002,0
72749,마정길,2002,2
71748,박정근,2002,0
99737,박정진,2002,2
89770,송진우,2002,49
95728,신재웅,2002,0
72720,유혜정,2002,0
90853,이상목,2002,1
70754,장재혁,2002,0
92704,정민철,2002,18
70755,조규수,2002,2
71715,지승민,2002,1
92701,지연규,2002,6
97336,최영필,2002,0
88770,한용덕,2002,1
70750,허진석,2002,0
90315,권준헌,2002,0
93367,김민범,2002,0
70345,김성태,2002,0
98330,김수경,2002,8
70329,마일영,2002,3
99360,박장희,2002,0
70349,박준수,2002,0
72321,배힘찬,2002,0
99314,송신영,2002,0
70323,신철인,2002,0
95318,위재영,2002,2
72333,이대환,2002,0
96720,이상열,2002,0
97133,임선동,2002,2
71347,장기영,2002,0
94364,전준호,2002,0
72351,조용준,2002,24
72340,최환인,2002,0
97423,황두성,2002,0
90312,가내영,2003,0
72627,강철민,2003,6
73629,고우석,2003,2
98617,곽현희,2003,0
71661,김주철,2003,0
72641,김진우,2003,56
72649,신용운,2003,15
92403,오봉옥,2003,0
97621,오철민,2003,0
99639,유동훈,2003,0
89620,이강철,2003,7
96142,이경원,2003,3
93626,이대진,2003,2
95601,이원식,2003,2
71636,정원,2003,2
73657,조태수,2003,1
95235,진필중,2003,42
94330,최상덕,2003,5
95247,최용호,2003,6
70121,경헌호,2003,2
99152,김광삼,2003,5
70142,김광수,2003,13
72163,김광우,2003,3
73168,김진유,2003,0
71136,박만채,2003,0
71120,박용진,2003,0
72157,서승화,2003,11
93817,성영재,2003,1
94126,신윤호,2003,0
92302,안병원,2003,0
94228,류택현,2003,0
73156,이경민,2003,1
71118,이동현,2003,8
91011,이병석,2003,2
93147,이상훈,2003,14
99137,이승호,2003,41
97126,장문석,2003,11
70135,장준관,2003,1
97140,전승남,2003,5
73166,정재복,2003,0
96345,최원호,2003,3
71851,김건한,2003,0
70839,신승현,2003,0
90213,김상진,2003,2
97236,김영수,2003,11
91848,김원형,2003,11
71867,김장준,2003,0
86612,김정수,2003,17
92401,김태한,2003,2
73801,송은범,2003,14
70855,엄정욱,2003,9
72862,윤길현,2003,0
70820,이승호,2003,63
71801,정대현,2003,5
72801,제춘모,2003,19
90350,조웅천,2003,22
73830,조진호,2003,7
71845,채병용,2003,19
92404,곽채진,2003,1
99245,구자운,2003,5
92202,권명철,2003,1
98128,김경태,2003,0
71255,김태영,2003,0
73248,김승회,2003,0
95223,김유봉,2003,1
71267,김태구,2003,0
73211,노경은,2003,6
96251,박명환,2003,6
96138,손혁,2003,48
97230,이경필,2003,1
90851,이상훈,2003,14
72216,이재영,2003,7
71260,이재우,2003,1
98259,이혜천,2003,9
73228,전병두,2003,0
96465,정성훈,2003,11
73241,정재훈,2003,0
96570,차명주,2003,11
94215,한태균,2003,2
92501,가득염,2003,6
94526,강상수,2003,2
99563,김사율,2003,0
71550,김장현,2003,3
73565,김주용,2003,0
73521,김휘곤,2003,0
93357,노승욱,2003,2
95459,박석진,2003,1
94545,박지철,2003,2
72562,변인재,2003,0
97571,손민한,2003,6
73537,양성제,2003,4
92508,염종석,2003,4
72535,이명우,2003,0
70444,이명호,2003,0
73508,이석만,2003,0
70434,이용훈,2003,1
72551,이정민,2003,3
97541,이정훈,2003,3
98521,임경완,2003,2
94528,주형광,2003,3
70615,강영식,2003,2
72454,권오원,2003,0
99445,권오준,2003,1
72447,권혁,2003,3
73419,김문수,2003,0
98451,김진웅,2003,3
93453,김현욱,2003,1
72461,노병오,2003,0
93728,노장진,2003,14
99423,라형진,2003,0
98469,문남열,2003,0
70425,배영수,2003,15
72463,안지만,2003,0
97815,오상민,2003,5
71433,이정호,2003,1
71901,이준,2003,0
73413,임동규,2003,0
95657,임창용,2003,38
96411,전병호,2003,11
96462,정현욱,2003,4
71715,지승민,2003,1
71745,고상천,2003,0
71708,김백만,2003,1
70719,김장백,2003,0
93311,김홍집,2003,0
72749,마정길,2003,4
73720,문용민,2003,0
99737,박정진,2003,4
89770,송진우,2003,36
72739,신주영,2003,0
73738,안영명,2003,1
72720,유혜정,2003,1
73750,윤규진,2003,2
90853,이상목,2003,24
92704,정민철,2003,11
72743,정병희,2003,0
70755,조규수,2003,1
