ID,선수명,팀명,연도,등록일수
62893,최정민,KIA,2021,119
78603,김선빈,KIA,2021,183
66606,최원준,KIA,2021,183
62234,류지혁,KIA,2021,160
64984,김태진,KIA,2021,158
67610,김석환,KIA,2021,7
67644,이정훈,KIA,2021,108
64646,박찬호,KIA,2021,183
65610,황대인,KIA,2021,143
69652,터커,KIA,2021,172
68614,오정환,KIA,2021,30
62265,유민상,KIA,2021,37
72443,최형우,KIA,2021,152
51640,권혁경,KIA,2021,49
62864,김민식,KIA,2021,183
64560,이창진,KIA,2021,182
65653,김호령,KIA,2021,128
63260,이우성,KIA,2021,109
66657,이진영,KIA,2021,47
65464,최정용,KIA,2021,120
67609,박정우,KIA,2021,58
62908,황윤호,KIA,2021,21
50657,박민,KIA,2021,54
73209,나주환,KIA,2021,59
78629,나지완,KIA,2021,94
61700,강경학,KIA,2021,47
66614,김규성,KIA,2021,123
69636,오선우,KIA,2021,22
63950,장현식,KIA,2021,183
50662,정해영,KIA,2021,183
51645,박건우,KIA,2021,11
69645,장지수,KIA,2021,39
50636,브룩스,KIA,2021,74
66609,전상현,KIA,2021,33
51665,장민기,KIA,2021,69
51648,이의리,KIA,2021,150
64580,김재열,KIA,2021,121
68619,윤중현,KIA,2021,148
61666,한승혁,KIA,2021,60
78247,홍상삼,KIA,2021,130
62754,임기영,KIA,2021,166
51636,다카하시,KIA,2021,36
66630,김현준,KIA,2021,71
65665,이준영,KIA,2021,146
63628,고영창,KIA,2021,65
63638,박준표,KIA,2021,122
67646,박진태,KIA,2021,167
66663,서덕원,KIA,2021,115
51668,이승재,KIA,2021,75
64615,차명진,KIA,2021,28
68659,김유신,KIA,2021,113
69516,김현수,KIA,2021,89
65616,이민우,KIA,2021,75
50650,최용준,KIA,2021,6
66660,남재현,KIA,2021,24
62263,변시원,KIA,2021,2
51619,멩덴,KIA,2021,132
63722,한승택,KIA,2021,183
