ID,선수명,팀명,연도,등록일수
68050,강백호,KT,2021,183
62802,박승욱,KT,2021,15
64004,김민혁,KT,2021,129
74339,유한준,KT,2021,177
76313,황재균,KT,2021,176
64014,김병희,KT,2021,87
50054,천성호,KT,2021,94
77243,허도환,KT,2021,132
51004,알몬테,KT,2021,80
64006,심우준,KT,2021,183
64166,배정대,KT,2021,183
51003,권동진,KT,2021,157
64906,강민국,KT,2021,28
64504,오윤석,KT,2021,152
68730,호잉,KT,2021,82
64868,조용호,KT,2021,183
62556,신본기,KT,2021,141
78548,장성우,KT,2021,183
65040,김태훈,KT,2021,85
64012,송민섭,KT,2021,183
64007,문상철,KT,2021,104
51005,김건형,KT,2021,21
62558,김준태,KT,2021,103
73113,박경수,KT,2021,183
67005,홍현빈,KT,2021,75
63634,이홍구,KT,2021,92
68069,고명성,KT,2021,11
64001,고영표,KT,2021,178
65048,김민수,KT,2021,183
65062,김재윤,KT,2021,183
60559,박시영,KT,2021,127
64017,심재민,KT,2021,118
73738,안영명,KT,2021,146
76757,유원상,KT,2021,37
67008,이대은,KT,2021,89
65057,이창재,KT,2021,131
64047,조현우,KT,2021,143
78517,하준호,KT,2021,60
51060,지명성,KT,2021,9
65060,주권,KT,2021,183
75340,전유수,KT,2021,33
50040,데스파이네,KT,2021,180
65516,배제성,KT,2021,183
65056,엄상백,KT,2021,78
69032,쿠에바스,KT,2021,141
50030,소형준,KT,2021,171
69054,이상동,KT,2021,22
67048,이정현,KT,2021,3
75342,이보근,KT,2021,51
51058,한차현,KT,2021,9
