ID,선수명,팀명,연도,등록일수
66108,홍창기,LG,2021,183
60566,이상호,LG,2021,95
64101,한석현,LG,2021,21
76290,김현수,LG,2021,183
79192,채은성,LG,2021,156
79109,오지환,LG,2021,182
78168,서건창,LG,2021,183
61102,유강남,LG,2021,183
68106,이재원,LG,2021,90
50165,라모스,LG,2021,67
51100,이영빈,LG,2021,136
79150,정주현,LG,2021,100
69102,문보경,LG,2021,155
68119,문성주,LG,2021,43
77564,김민성,LG,2021,178
78135,이형종,LG,2021,144
71184,이성우,LG,2021,70
61186,이천웅,LG,2021,108
51144,보어,LG,2021,44
66162,김주성,LG,2021,7
78217,김용의,LG,2021,176
65115,안익훈,LG,2021,65
65132,김재성,LG,2021,160
69100,구본혁,LG,2021,173
65207,신민재,LG,2021,62
50167,이주형,LG,2021,26
50150,손호영,LG,2021,19
67119,고우석,LG,2021,183
60181,김지용,LG,2021,16
51154,김진수,LG,2021,7
66113,김호은,LG,2021,13
63103,류원석,LG,2021,16
65117,이상규,LG,2021,34
69168,이상영,LG,2021,93
61145,이우찬,LG,2021,77
69134,이정용,LG,2021,183
67164,이찬혁,LG,2021,2
64115,장준원,LG,2021,7
76650,진해수,LG,2021,163
65241,채지선,LG,2021,56
65157,최민창,LG,2021,2
62146,최성훈,LG,2021,149
60337,김대유,LG,2021,183
65109,백승현,LG,2021,41
51136,수아레즈,LG,2021,130
69159,정우영,LG,2021,183
69113,임준형,LG,2021,22
69103,켈리,LG,2021,183
72523,고효준,LG,2021,5
61101,임찬규,LG,2021,125
73801,송은범,LG,2021,136
63145,배재준,LG,2021,60
63248,함덕주,LG,2021,91
50126,이민호,LG,2021,166
50157,김윤식,LG,2021,163
76455,차우찬,LG,2021,36
67116,오석주,LG,2021,25
67143,손주영,LG,2021,34
79140,최동환,LG,2021,24
66145,김대현,LG,2021,9
67122,김태형,LG,2021,6
