ID,선수명,팀명,연도,등록일수
76232,양의지,NC,2021,182
63905,윤형준,NC,2021,100
76849,이명기,NC,2021,101
62931,노진혁,NC,2021,142
69992,최정원,NC,2021,98
62947,나성범,NC,2021,183
50923,알테어,NC,2021,183
63963,권희동,NC,2021,101
62907,박민우,NC,2021,90
74465,박석민,NC,2021,90
78361,전민수,NC,2021,135
68909,최보성,NC,2021,32
62925,강진성,NC,2021,175
51907,김주원,NC,2021,92
62025,이원재,NC,2021,59
65905,최승민,NC,2021,82
61869,정진기,NC,2021,129
63450,정현,NC,2021,128
78122,김태군,NC,2021,183
64944,박대온,NC,2021,82
76720,정범모,NC,2021,71
66928,박준영,NC,2021,160
65462,김기환,NC,2021,98
66968,이재율,NC,2021,36
66965,도태훈,NC,2021,132
63920,김준완,NC,2021,21
73306,지석훈,NC,2021,42
60339,김건태,NC,2021,28
67900,김민수,NC,2021,30
68900,김영규,NC,2021,165
75867,김진성,NC,2021,96
67956,김태현,NC,2021,39
69996,노시훈,NC,2021,51
65949,류진욱,NC,2021,154
78813,모창민,NC,2021,8
50996,박시원,NC,2021,4
69974,배민서,NC,2021,114
68902,신민혁,NC,2021,177
50901,안인산,NC,2021,23
51991,오장한,NC,2021,2
51996,오태양,NC,2021,2
76118,원종현,NC,2021,183
77211,이용찬,NC,2021,110
65964,이우석,NC,2021,40
63959,임정호,NC,2021,172
78352,임창민,NC,2021,132
62966,최금강,NC,2021,71
66963,최우재,NC,2021,5
62655,홍성민,NC,2021,168
63991,박진우,NC,2021,41
69940,루친스키,NC,2021,180
51967,파슨스,NC,2021,124
50992,김태경,NC,2021,29
65643,문경찬,NC,2021,114
60263,이재학,NC,2021,106
50905,강태경,NC,2021,12
69962,송명기,NC,2021,181
63914,손정욱,NC,2021,72
67962,소이현,NC,2021,38
68910,이승헌,NC,2021,15
61295,강동연,NC,2021,35
51948,이용준,NC,2021,10
67954,김진호,NC,2021,1
