ID,선수명,팀명,연도,등록일수
67893,박성한,SSG,2021,183
66052,남태혁,SSG,2021,24
76802,김성현,SSG,2021,169
76812,이재원,SSG,2021,177
62895,한유섬,SSG,2021,183
75847,최정,SSG,2021,183
62884,최항,SSG,2021,68
60558,오태곤,SSG,2021,183
61353,고종욱,SSG,2021,147
65869,이현석,SSG,2021,85
51817,추신수,SSG,2021,183
50854,최지훈,SSG,2021,173
66864,안상현,SSG,2021,69
76267,최주환,SSG,2021,165
67807,이정범,SSG,2021,30
71837,김강민,SSG,2021,183
63440,이흥련,SSG,2021,183
75151,정의윤,SSG,2021,120
66917,김찬형,SSG,2021,171
67872,로맥,SSG,2021,140
61743,오준혁,SSG,2021,48
69825,김창평,SSG,2021,86
51868,고명준,SSG,2021,12
69810,김규남,SSG,2021,16
76430,김상수,SSG,2021,178
79847,김태훈,SSG,2021,183
65343,김택형,SSG,2021,170
64893,박민호,SSG,2021,115
64896,서동민,SSG,2021,95
61895,서진용,SSG,2021,181
62937,신재영,SSG,2021,90
64890,유서준,SSG,2021,14
51895,장지훈,SSG,2021,159
71842,정상호,SSG,2021,4
66960,정수민,SSG,2021,40
51809,조요한,SSG,2021,48
69813,하재훈,SSG,2021,69
65411,김주온,SSG,2021,15
66858,정동윤,SSG,2021,19
60841,박종훈,SSG,2021,86
62869,문승원,SSG,2021,88
51863,폰트,SSG,2021,150
51834,르위키,SSG,2021,15
75138,신재웅,SSG,2021,46
51867,김건우,SSG,2021,30
64768,조영우,SSG,2021,116
60768,이태양,SSG,2021,159
68856,최민준,SSG,2021,147
51833,가빌리오,SSG,2021,91
50859,오원석,SSG,2021,171
68896,이채호,SSG,2021,12
51897,조병현,SSG,2021,14
62056,정영일,SSG,2021,2
63894,김정빈,SSG,2021,21
76350,김세현,SSG,2021,16
64861,이건욱,SSG,2021,20
50813,양선률,SSG,2021,1
79130,강지광,SSG,2021,5
