ID,선수명,팀명,연도,등록일수
50204,박지훈,두산,2021,56
79215,박건우,두산,2021,172
69209,페르난데스,두산,2021,183
66209,조수행,두산,2021,183
64213,최용제,두산,2021,156
79240,허경민,두산,2021,183
78224,김재환,두산,2021,183
64153,양석환,두산,2021,181
64468,박계범,두산,2021,172
79231,정수빈,두산,2021,155
63257,김인태,두산,2021,183
51203,안재석,두산,2021,173
68205,전민재,두산,2021,28
63123,강승호,두산,2021,150
50202,안권수,두산,2021,123
63202,장승현,두산,2021,180
62244,박세혁,두산,2021,160
68204,권민석,두산,2021,70
74206,김재호,두산,2021,152
64086,신성현,두산,2021,24
77248,오재원,두산,2021,106
79290,국해성,두산,2021,5
50203,권휘,두산,2021,70
77263,김강률,두산,2021,162
67246,김명신,두산,2021,183
68200,김민규,두산,2021,128
65269,김민혁,두산,2021,13
69104,남호,두산,2021,22
67259,문대원,두산,2021,15
51298,박성재,두산,2021,7
63292,박종기,두산,2021,124
67266,박치국,두산,2021,77
63559,백동훈,두산,2021,11
66203,서예일,두산,2021,18
50208,오명진,두산,2021,2
62242,윤명준,두산,2021,132
69205,이교훈,두산,2021,42
64805,이승진,두산,2021,131
66291,이영하,두산,2021,124
61643,홍건희,두산,2021,183
66207,황경태,두산,2021,3
51294,김도윤,두산,2021,13
62951,이형범,두산,2021,9
50298,최세창,두산,2021,18
76329,이현승,두산,2021,90
51257,미란다,두산,2021,164
51234,로켓,두산,2021,116
67263,최원준,두산,2021,183
51264,최승용,두산,2021,64
68220,곽빈,두산,2021,135
50205,박웅,두산,2021,52
74513,장원준,두산,2021,86
65639,박정수,두산,2021,82
79229,유희관,두산,2021,101
66160,유재유,두산,2021,33
50296,조제영,두산,2021,48
68260,현도훈,두산,2021,20
66201,고봉재,두산,2021,10
