ID,선수명,팀명,연도,등록일수
78513,전준우,롯데,2021,183
77532,손아섭,롯데,2021,183
51528,손성빈,롯데,2021,58
79608,안치홍,롯데,2021,176
60523,정훈,롯데,2021,180
65506,김재유,롯데,2021,144
71564,이대호,롯데,2021,168
50506,마차도,롯데,2021,183
68518,정보근,롯데,2021,19
68525,한동희,롯데,2021,183
69508,신용수,롯데,2021,113
68362,추재현,롯데,2021,162
66749,김주현,롯데,2021,21
67504,김민수,롯데,2021,136
64717,지시완,롯데,2021,159
76100,이병규,롯데,2021,53
64022,안중열,롯데,2021,82
68504,이호연,롯데,2021,25
68507,장두성,롯데,2021,62
64501,배성근,롯데,2021,145
51551,나승엽,롯데,2021,96
76249,민병헌,롯데,2021,46
65515,강로한,롯데,2021,35
63895,최민재,롯데,2021,34
65514,강태율,롯데,2021,45
79358,강윤구,롯데,2021,83
62528,김원중,롯데,2021,183
64596,김유영,롯데,2021,70
67539,나균안,롯데,2021,90
67454,나원탁,롯데,2021,11
51594,송재영,롯데,2021,53
79293,오현택,롯데,2021,58
64565,이인복,롯데,2021,101
51560,이주찬,롯데,2021,7
51574,최종은,롯데,2021,6
66556,박선우,롯데,2021,2
67588,윤성빈,롯데,2021,7
50556,최준용,롯데,2021,143
64021,박세웅,롯데,2021,180
50558,스트레일리,롯데,2021,183
63543,구승민,롯데,2021,183
79545,진명호,롯데,2021,95
78536,김대우,롯데,2021,125
51567,프랑코,롯데,2021,183
68529,이승헌,롯데,2021,88
68585,김도규,롯데,2021,123
64718,최영환,롯데,2021,99
51516,김진욱,롯데,2021,127
76225,김건국,롯데,2021,49
67591,강동호,롯데,2021,2
69539,서준원,롯데,2021,143
73211,노경은,롯데,2021,78
63512,박진형,롯데,2021,60
68556,정성종,롯데,2021,46
51546,정우준,롯데,2021,31
68589,김동우,롯데,2021,37
50036,이강준,롯데,2021,69
51586,김창훈,롯데,2021,34
66557,한승혁,롯데,2021,21
50563,박재민,롯데,2021,23
50596,홍민기,롯데,2021,3
