ID,선수명,팀명,연도,등록일수
67341,이정후,키움,2021,180
67304,김혜성,키움,2021,183
74163,이용규,키움,2021,183
65362,송우현,키움,2021,89
65304,김은성,키움,2021,9
79456,이지영,키움,2021,173
51324,프레이타스,키움,2021,69
79365,박동원,키움,2021,183
65357,송성문,키움,2021,88
51309,크레익,키움,2021,79
65898,김웅빈,키움,2021,146
68305,변상권,키움,2021,112
75125,박병호,키움,2021,177
68346,김수환,키움,2021,18
62332,김재현,키움,2021,123
50304,김병휘,키움,2021,28
64657,박준태,키움,2021,75
65586,전병우,키움,2021,183
69306,김주형,키움,2021,62
50312,신준우,키움,2021,110
69366,이명기,키움,2021,5
68330,예진원,키움,2021,75
65399,허정협,키움,2021,52
50365,문찬종,키움,2021,30
51344,김휘집,키움,2021,58
64340,임지열,키움,2021,71
50357,박주홍,키움,2021,46
51302,이주형,키움,2021,25
50393,김동욱,키움,2021,28
67828,김성민,키움,2021,145
51301,김성진,키움,2021,155
67391,김재웅,키움,2021,152
65392,김정인,키움,2021,59
62360,김태훈,키움,2021,183
60336,문성현,키움,2021,24
50397,박관진,키움,2021,12
66305,박승주,키움,2021,22
62353,박정음,키움,2021,123
61268,양현,키움,2021,173
74359,오주원,키움,2021,80
69399,윤정현,키움,2021,45
67603,이승호,키움,2021,143
51359,장재영,키움,2021,64
63342,조상우,키움,2021,171
69360,조영건,키움,2021,7
69367,김인범,키움,2021,22
69343,요키시,키움,2021,183
67313,브리검,키움,2021,58
51393,김준형,키움,2021,45
68341,안우진,키움,2021,139
62363,한현희,키움,2021,103
78148,정찬헌,키움,2021,155
65320,최원태,키움,2021,183
69328,박주성,키움,2021,55
50360,김동혁,키움,2021,183
51334,스미스,키움,2021,12
66018,김선기,키움,2021,103
65398,임규빈,키움,2021,30
50354,이종민,키움,2021,8
