변수명,실제변수명,rf순위,lgbm순위,xgb순위,cb순위,regression순위
variable1,데뷔년도,5,11,3,5,53
variable2,연도,9,15,11,6,70
variable3,타율,10,30,4,32,9
variable4,경기,21,13,9,38,82
variable5,타석,61,42,13,46,42
variable6,타수,33,28,42,35,20
variable7,득점,43,39,35,58,69
variable8,안타,41,7,51,3,5
variable9,2루타,24,57,36,52,41
variable10,3루타,63,52,49,66,1
variable11,홈런,35,36,40,16,3
variable12,루타,29,37,53,25,4
variable13,타점,39,12,23,22,61
variable14,희생번트,57,43,25,53,58
variable15,희생플라이,38,38,43,54,17
variable16,볼넷,34,9,26,14,31
variable17,고의사구,50,29,50,42,40
variable18,사구,22,32,39,18,28
variable19,삼진,15,18,15,19,21
variable20,병살타,25,20,27,31,29
variable21,장타율,16,16,10,39,10
variable22,출루율,32,35,18,50,48
variable23,OPS,26,49,44,56,13
variable24,멀티히트,56,33,52,7,50
variable25,득점권타율,28,21,12,30,47
variable26,대타타율,48,34,32,48,62
variable27,장타,4,44,58,41,2
variable28,땅볼,42,23,28,20,19
variable29,뜬공,11,1,22,10,18
variable30,결승타,6,22,55,11,38
variable31,투구수/타석,8,25,14,26,63
variable32,순수장타율,7,26,31,28,11
variable33,추정득점,62,47,41,40,30
variable34,GPA,46,50,57,59,12
variable35,경기(주루),49,72,8,44,80
variable36,도루시도(주루),27,45,37,51,8
variable37,도루허용(주루),51,55,60,34,7
variable38,도루실패(주루),60,62,59,68,6
variable39,도루성공률(주루),45,41,29,61,83
variable40,주루사(주루),31,51,54,24,68
variable41,견제사(주루),52,66,76,69,39
variable42,경기(수비),54,31,20,27,81
variable43,선발경기(수비),30,10,45,45,76
variable44,수비이닝(수비),58,48,46,49,75
variable45,실책(수비),53,53,47,43,64
variable46,견제사(수비),76,58,69,63,33
variable47,자살(수비),18,5,5,21,74
variable48,보살(수비),36,27,16,36,73
variable49,병살(수비),14,14,34,23,72
variable50,포일(수비),64,67,70,62,49
variable51,도루허용(수비),44,60,48,47,71
variable52,도루실패(수비),69,63,65,57,66
variable53,수비율(수비),23,17,21,17,52
variable54,도루저지율(수비),55,56,61,33,84
variable55,WAR,20,6,7,29,65
variable56,FA여부,13,46,56,8,16
variable57,뉴스개수(연도별정규화),12,8,6,13,14
variable58,뉴스개수(누적정규화),2,2,1,1,15
variable59,수상횟수,81,68,85,75,37
variable60,누적타석,1,4,2,2,85
variable61,포지션 엔트로피,40,54,38,37,43
variable62,출생연도,3,19,30,12,77
variable63,출생월,37,40,33,9,59
variable64,출생일,17,24,24,15,78
variable65,나이,19,3,17,4,67
variable66,팀명_KIA,73,69,68,70,46
variable67,팀명_KT,77,73,82,79,26
variable68,팀명_LG,68,59,63,74,60
variable69,팀명_NC,59,74,81,64,22
variable70,팀명_SK,72,61,62,78,79
variable71,팀명_두산,65,70,75,60,24
variable72,팀명_롯데,47,75,67,65,35
variable73,팀명_삼성,70,64,64,67,45
variable74,팀명_우리/히어로즈/넥센/키움,80,76,74,84,32
variable75,팀명_한화,66,65,78,55,44
variable76,팀명_현대,84,77,79,82,25
variable77,포지션(수비)_1루수,71,78,77,80,27
variable78,포지션(수비)_2루수,83,71,72,81,56
variable79,포지션(수비)_3루수,82,79,80,83,55
variable80,포지션(수비)_수비기록없음,85,80,19,85,34
variable81,포지션(수비)_우익수,78,81,66,77,57
variable82,포지션(수비)_유격수,79,82,84,76,51
variable83,포지션(수비)_좌익수,74,83,73,71,36
variable84,포지션(수비)_중견수,67,84,71,73,23
variable85,포지션(수비)_포수,75,85,83,72,54
