변수명,실제변수명,rf순위,lgbm순위,xgb순위,cb순위,regression순위
variable1,데뷔년도,15,3,4,12,32
variable2,연도,11,19,9,10,31
variable3,평균자책점,30,29,2,19,64
variable4,경기,37,39,10,37,27
variable5,승리,68,44,39,52,45
variable6,패배,27,35,28,25,38
variable7,세이브,25,18,45,9,39
variable8,홀드,31,50,40,49,41
variable9,승률,56,20,20,34,26
variable10,이닝,60,46,13,29,52
variable11,피안타,29,27,21,41,57
variable12,홈런,20,38,32,60,34
variable13,볼넷,24,17,25,30,40
variable14,사구,28,26,27,42,76
variable15,삼진,3,24,33,14,55
variable16,실점,49,21,37,32,65
variable17,자책점,32,53,51,24,47
variable18,이닝당_출루허용률,43,49,15,62,53
variable19,완투,74,66,73,74,20
variable20,완봉,79,72,78,72,9
variable21,퀄리티스타트,71,33,53,56,21
variable22,블론세이브,19,40,52,22,16
variable23,타자수,35,4,50,13,54
variable24,투구수,17,41,41,6,79
variable25,피안타율,33,36,22,28,4
variable26,2루타,40,34,35,58,73
variable27,3루타,54,48,48,57,43
variable28,희생번트,45,32,42,43,37
variable29,희생플라이,62,58,49,63,36
variable30,고의4구,47,51,46,51,48
variable31,폭투,61,54,47,64,51
variable32,보크,70,68,67,68,15
variable33,선발,14,22,54,21,7
variable34,선발승,41,63,68,70,25
variable35,구원승,63,56,55,33,58
variable36,종료,6,9,18,15,66
variable37,세이브기회,39,5,30,18,42
variable38,터프세이브,66,57,64,54,62
variable39,병살타,52,52,38,39,46
variable40,땅볼,44,15,26,31,50
variable41,뜬공,8,11,23,23,56
variable42,인플레이타구타율,38,37,11,46,30
variable43,투구수/경기,22,12,5,36,72
variable44,투구수/이닝,34,28,17,44,68
variable45,9이닝당 삼진,9,13,6,7,63
variable46,9이닝당 볼넷,18,31,12,20,78
variable47,피출루율,23,43,34,38,3
variable48,피장타율,26,16,19,53,33
variable49,피OPS,36,42,31,59,67
variable50,경기(수비),58,67,71,61,28
variable51,선발경기(수비),51,69,75,26,6
variable52,수비이닝(수비),57,55,79,27,75
variable53,실책(수비),67,62,59,69,35
variable54,견제사(수비),64,65,58,67,23
variable55,자살(수비),50,30,44,47,69
variable56,보살(수비),21,45,36,17,74
variable57,병살(수비),65,70,61,65,22
variable58,수비율(수비),48,47,43,55,71
variable59,WAR,10,14,7,35,49
variable60,FA여부,12,25,56,8,1
variable61,뉴스개수(연도별정규화),16,7,8,11,5
variable62,뉴스개수(누적정규화),2,1,1,3,2
variable63,수상횟수,75,73,77,77,12
variable64,누적이닝,1,2,3,1,70
variable65,포지션 엔트로피,80,74,76,79,8
variable66,출생연도,4,10,29,2,44
variable67,출생월,13,23,24,16,59
variable68,출생일,7,8,16,5,77
variable69,나이,5,6,14,4,80
variable70,팀명_KIA,59,75,63,66,61
variable71,팀명_KT,73,76,65,76,14
variable72,팀명_LG,55,60,57,48,19
variable73,팀명_NC,76,77,74,71,11
variable74,팀명_SK,72,78,72,73,10
variable75,팀명_두산,69,61,66,78,29
variable76,팀명_롯데,46,59,60,40,18
variable77,팀명_삼성,42,71,70,45,17
variable78,팀명_우리/히어로즈/넥센/키움,78,79,69,75,13
variable79,팀명_한화,53,64,62,50,60
variable80,팀명_현대,77,80,80,80,24
