데뷔년도,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),연봉,WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,포지션(수비)_1루수,포지션(수비)_2루수,포지션(수비)_3루수,포지션(수비)_수비기록없음,포지션(수비)_우익수,포지션(수비)_유격수,포지션(수비)_좌익수,포지션(수비)_중견수,포지션(수비)_포수
2005,2014,0.295,125,549,464,91,137,28,5,6,193,44,7,3,66,0,9,56,11,0.416,0.391,0.807,44,0.248,0.333,39,160,114,1,3.77,0.121,80.7,0.28,125,35,32,3,91.4,5,0,123,119,1019.6666666666666,12,0,263,359,91,0,0,0,0.981,0.0,175000,3.605,1,0.156957517,2.688576263,0,4606,0.0,1982,10,2,33,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2005,2018,0.304,102,425,375,63,114,24,1,11,173,57,1,3,39,1,7,43,12,0.461,0.377,0.838,30,0.326,0.0,36,122,99,3,3.59,0.157,61.1,0.285,102,11,6,5,54.5,8,0,74,72,575.0,11,0,310,118,59,0,0,0,0.9660017391304347,0.0,110000,1.273,1,0.103668262,3.44793405,0,6675,1.1054045382769728,1982,10,2,37,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1992,2003,0.333,128,539,475,65,158,28,3,10,222,72,6,5,48,2,5,43,21,0.467,0.396,0.863,45,0.328,0.0,41,113,166,0,3.45,0.135,79.3,0.295,128,2,1,1,50.0,0,0,130,128,1022.6666666666666,5,0,293,313,89,0,0,0,0.992039113428944,0.0,37500,4.98,1,0.0120481928,0.0403500796,1,1087,0.0445910545995446,1970,2,13,34,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1992,2004,0.284,130,486,429,51,122,15,4,5,160,49,5,3,44,1,5,54,5,0.373,0.356,0.729,37,0.287,0.143,24,133,123,0,3.95,0.089,57.5,0.253,130,13,5,8,38.5,0,0,144,118,948.3333333333334,6,0,895,66,100,0,0,0,0.994693848857645,0.0,22500,1.16,1,0.0656934307,0.0811514893,0,1403,0.5151109186988585,1969,6,15,36,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1996,2005,0.249,85,333,281,34,70,16,0,7,107,44,9,2,32,0,9,47,8,0.381,0.343,0.724,18,0.284,1.0,23,72,94,0,3.92,0.132,38.1,0.25,85,7,5,2,71.4,0,0,84,80,686.0,10,0,115,223,33,0,0,0,0.971,0.0,97500,1.894,1,0.325991189,0.941609979,0,1820,0.0,1976,11,30,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1996,2009,0.256,76,258,223,22,57,11,0,6,86,29,3,4,25,0,3,31,8,0.386,0.333,0.719,11,0.238,0.4,17,65,74,0,3.92,0.13,29.6,0.246,76,3,2,1,66.7,0,0,70,66,511.6666666666667,5,0,90,152,36,0,0,0,0.98,0.0,120000,0.958,1,0.121925134,1.766069173,0,3321,0.0,1976,11,30,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2005,2015,0.295,81,330,275,43,81,17,0,17,149,58,1,3,46,2,5,78,6,0.542,0.401,0.943,20,0.326,0.0,34,45,74,10,4.2,0.247,58.5,0.316,81,7,5,2,71.4,1,0,71,71,596.0,4,0,43,133,14,0,0,0,0.978,0.0,225000,3.955,1,0.164115433,2.348702855,0,4495,0.0,1987,2,28,29,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2005,2019,0.292,141,606,503,86,147,27,0,29,261,99,0,8,69,6,26,92,4,0.519,0.399,0.918,40,0.333,0.0,56,82,190,14,3.85,0.227,107.1,0.309,141,5,3,2,60.0,3,1,135,133,1154.3333333333333,14,0,93,211,21,0,0,0,0.9548957551256138,0.0,166667,6.354,1,0.296164139,4.187071912,1,6723,0.0100645557057138,1987,2,28,33,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2001,2016,0.365,144,652,529,94,193,39,0,23,301,136,0,6,108,10,9,97,11,0.569,0.475,1.044,60,0.417,0.0,62,113,132,11,4.25,0.204,132.9,0.356,144,1,1,0,100.0,7,0,56,55,471.6666666666667,4,0,406,33,50,0,0,0,0.991,0.0,210000,5.205,1,0.510889292,5.566243838,1,6504,0.0,1982,5,29,35,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2001,2020,0.219,67,254,219,14,48,11,0,2,65,29,1,2,30,3,2,42,8,0.297,0.316,0.613,12,0.321,0.0,13,55,76,4,3.98,0.078,21.0,0.216,67,0,0,0,0.0,0,0,53,51,402.0,0,0,352,21,31,0,0,0,1.0,0.0,100000,-0.395,1,0.518803419,6.907556533,0,7936,0.0,1982,5,29,39,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
