데뷔년도,연도,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,피출루율,피장타율,피OPS,경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),수비율(수비),연봉,WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적이닝,포지션 엔트로피,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대
2003,2018,5.73,53,8,2,0,8,0.8,66.0,83,12,15,4,48,44,42,1.48,0,0,0,1,291,1087,0.311,10,0,3,2,1,4,1,1,0,8,10,9,0,7,79,59,0.34,20.5,16.5,6.55,2.05,0.354,0.483,0.837,53,1,66.0,0,0,3,7,1,1.0,45000,0.498,1,0.0555144338,0.816187472,0,902.0,0.0,1984,11,19,35,0,0,0,0,0,0,0,0,0,1,0
1994,2008,11.05,38,0,1,0,2,0.0,14.666666666666666,27,1,9,1,10,18,18,2.45,0,0,0,0,81,290,0.415,3,3,4,2,0,0,0,0,0,0,1,2,0,0,20,10,0.464,7.6,19.8,6.14,5.52,0.481,0.6,1.081,37,0,15.333333333333334,0,0,1,4,0,1.0,21333,-0.285,1,0.0107238606,0.138646679,0,249.66666666666663,0.0,1971,10,23,38,0,0,1,0,0,0,0,0,0,0,0
2003,2020,7.36,2,0,0,0,0,0.0,3.6666666666666665,7,1,1,0,4,5,3,2.18,0,0,0,0,19,73,0.438,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,2,0.462,36.5,19.9,9.82,2.45,0.421,0.625,1.046,2,0,3.6666666666666665,0,0,1,1,0,1.0,25000,-0.1,1,0.0567272727,0.758444436,0,814.0,0.0,1984,7,28,37,0,0,0,0,0,0,0,0,0,1,0
1998,2007,3.88,30,12,7,0,0,0.632,176.33333333333334,170,19,61,2,127,85,76,1.31,0,0,13,0,750,2898,0.253,31,5,11,3,1,4,0,30,12,0,0,0,0,10,198,181,0.285,96.6,16.4,6.48,3.11,0.315,0.398,0.713,30,30,176.33333333333334,1,1,9,16,1,0.962,16667,3.343,1,0.16191904,1.01007152,0,823.6666666666667,0.0,1979,8,20,29,0,0,0,0,0,0,0,0,0,0,1
2003,2015,7.04,33,2,9,4,1,0.182,70.33333333333333,103,10,30,4,48,59,55,1.89,0,0,0,1,341,1318,0.343,22,2,4,3,0,11,1,14,1,1,9,8,2,6,80,72,0.38,39.9,18.7,6.14,3.84,0.407,0.53,0.937,33,14,70.33333333333333,0,0,6,8,0,1.0,85000,-0.529,1,0.348268839,2.032640117,0,1031.6666666666667,0.0,1984,3,17,32,0,0,0,0,0,0,0,0,0,1,0
2003,2020,4.5,56,4,2,2,6,0.667,56.0,66,4,19,3,28,29,28,1.52,0,0,0,0,247,935,0.3,8,1,2,3,1,2,0,1,0,4,15,11,0,9,89,40,0.325,16.7,16.7,4.5,3.05,0.359,0.4,0.759,56,1,56.0,0,0,2,5,1,1.0,50000,1.222,1,0.0807272727,2.516875326,0,1386.3333333333333,0.0,1984,3,17,37,0,0,1,0,0,0,0,0,0,0,0
1996,2009,5.63,10,3,2,0,0,0.6,48.0,52,7,23,4,28,31,30,1.56,0,0,1,0,215,860,0.281,9,1,3,0,0,1,0,10,3,0,0,0,0,2,41,64,0.3,86.0,17.9,5.25,4.31,0.373,0.454,0.827,10,10,48.0,0,3,1,7,1,1.0,20000,0.469,1,0.0110041265,0.246926814,0,755.0,0.0,1973,3,13,37,0,0,1,0,0,0,0,0,0,0,0
1997,2012,0.64,24,2,0,1,5,1.0,28.33333333333333,12,0,7,1,26,2,2,0.67,0,0,0,1,102,397,0.129,3,0,1,0,3,1,0,0,0,2,3,3,0,2,27,28,0.179,16.5,14.0,8.26,2.22,0.198,0.161,0.359,24,0,28.33333333333333,0,0,1,6,0,1.0,90000,1.544,1,0.0595786702,1.254384516,1,580.6666666666665,0.0,1978,11,10,35,0,0,0,0,0,0,1,0,0,0,0
1996,2007,4.06,32,8,8,0,2,0.5,137.33333333333334,148,11,41,4,39,71,62,1.38,0,0,9,1,582,2108,0.287,30,2,17,4,0,2,0,25,7,1,0,2,0,20,202,131,0.291,65.9,15.3,2.56,2.69,0.342,0.417,0.759,32,25,137.33333333333334,0,3,8,32,4,1.0,45000,1.814,1,0.11844078,0.440165639,0,600.6666666666667,0.0,1973,3,23,35,0,0,0,0,0,0,0,1,0,0,0
2001,2016,4.3,68,6,3,2,9,0.667,83.66666666666667,77,9,29,3,67,43,40,1.27,0,0,0,1,345,1313,0.253,14,1,3,6,1,2,0,0,0,6,14,17,0,11,79,87,0.291,19.3,15.7,7.21,3.12,0.319,0.395,0.714,68,0,83.66666666666667,2,0,4,11,1,0.8820000000000001,35000,1.672,1,0.024534687,1.079779347,0,1252.3333333333333,0.0,1982,4,25,35,0,0,0,0,1,0,0,0,0,0,0
