데뷔년도,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,연봉,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,포지션(수비)_1루수,포지션(수비)_2루수,포지션(수비)_3루수,포지션(수비)_수비기록없음,포지션(수비)_우익수,포지션(수비)_유격수,포지션(수비)_좌익수,포지션(수비)_중견수,포지션(수비)_포수
2005,2005,0.193,52,106,88,11,17,2,0,0,19,5,8,2,4,0,4,13,3,0.216,0.255,0.471,4,0.2,0.667,2,31,29,0,3.55,0.023,5.2,0.169,52,6,4,2,66.7,0,0,47,27,239.0,7,0,16,38,6,0,0,0,0.8810251046025105,0.0,-0.501,0.0220264317,0.0220264317,0,106,0.545030923155811,2400,1982,10,2,24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2005,2006,0.284,120,487,430,69,122,19,4,8,173,42,13,4,36,1,4,60,3,0.402,0.342,0.744,35,0.289,0.25,31,123,129,0,3.45,0.119,66.0,0.254,120,55,45,10,81.8,0,0,129,105,929.0,8,0,254,227,61,0,0,0,0.9850947255113024,0.0,4.211,0.131728045,0.153754477,1,593,0.8820798038217701,6000,1982,10,2,25,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,2007,0.323,111,391,341,62,110,24,2,9,165,44,9,0,35,0,6,44,6,0.484,0.395,0.879,29,0.329,0.444,35,99,88,0,3.53,0.161,61.9,0.299,111,34,24,10,70.6,0,0,113,80,646.3333333333333,20,0,168,244,69,0,0,0,0.9499969056214546,0.0,4.88,0.499162479,0.652916956,0,984,1.017131381601026,11000,1982,10,2,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2005,2008,0.314,124,550,491,73,154,20,4,8,206,58,6,4,46,1,3,53,9,0.42,0.373,0.793,49,0.3,0.5,32,158,130,0,3.46,0.106,76.1,0.273,124,60,40,20,66.7,0,0,147,118,1051.0,15,0,274,386,101,0,0,0,0.9780941960038058,0.0,4.567,0.388523048,1.041440004,0,1534,0.8413046729680361,17000,1982,10,2,27,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,2009,0.35,127,565,480,98,168,29,4,9,232,59,2,5,67,1,11,55,8,0.483,0.437,0.92,51,0.328,0.25,42,155,107,0,3.49,0.133,103.3,0.317,127,66,53,13,80.3,0,0,130,121,1036.3333333333333,16,0,263,341,93,0,0,0,0.97331103248633,0.0,6.862,0.35828877,1.399728774,1,2099,0.0895277083414745,24000,1982,10,2,28,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,2010,0.305,128,563,485,75,148,25,2,2,183,48,22,1,47,5,8,51,9,0.377,0.375,0.752,45,0.359,0.0,29,180,107,0,3.47,0.072,69.7,0.263,128,46,33,13,71.7,0,0,128,122,1069.3333333333333,13,0,275,367,90,0,0,0,0.979083541147132,0.0,3.048,0.308892356,1.70862113,0,2662,0.0107615212169287,31000,1982,10,2,29,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,2011,0.307,90,385,326,60,100,19,0,6,137,40,15,2,38,2,4,37,10,0.42,0.384,0.804,29,0.294,0.25,25,106,85,0,3.48,0.113,51.6,0.278,90,29,20,9,69.0,0,0,87,83,738.6666666666666,4,0,196,255,62,0,0,0,0.991,0.0,2.965,0.189492326,1.898113456,1,3047,0.0,31000,1982,10,2,30,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,2012,0.266,127,534,467,53,124,13,4,8,169,46,12,2,47,3,6,33,10,0.362,0.339,0.701,31,0.295,0.4,25,184,128,0,3.48,0.096,58.8,0.243,127,34,22,12,64.7,0,0,123,119,1035.6666666666667,9,0,285,336,87,0,0,0,0.986,0.0,2.926,0.299746515,2.197859971,1,3581,0.0,55000,1982,10,2,31,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,2013,0.28,112,476,407,64,114,19,3,9,166,35,11,1,50,6,7,48,6,0.408,0.368,0.776,30,0.321,0.0,31,134,112,0,3.4,0.128,63.5,0.268,112,39,28,11,71.8,0,0,106,105,878.6666666666666,6,0,253,284,81,0,0,0,0.989,0.0,3.203,0.333758775,2.531618746,1,4057,0.0,175000,1982,10,2,32,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,2014,0.295,125,549,464,91,137,28,5,6,193,44,7,3,66,0,9,56,11,0.416,0.391,0.807,44,0.248,0.333,39,160,114,1,3.77,0.121,80.7,0.28,125,35,32,3,91.4,5,0,123,119,1019.6666666666666,12,0,263,359,91,0,0,0,0.981,0.0,3.605,0.156957517,2.688576263,0,4606,0.0,175000,1982,10,2,33,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2005,2015,0.316,126,552,468,99,148,30,2,12,218,66,13,2,61,1,8,66,14,0.466,0.403,0.869,48,0.307,0.0,44,158,98,13,3.59,0.15,84.9,0.298,126,27,21,6,77.8,7,3,134,123,1043.0,10,0,273,368,85,0,0,0,0.9844244167465644,0.0,4.94,0.176662484,2.865238747,0,5158,0.1734553638024619,175000,1982,10,2,34,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
