데뷔년도,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,연봉,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,포지션(수비)_1루수,포지션(수비)_2루수,포지션(수비)_3루수,포지션(수비)_수비기록없음,포지션(수비)_우익수,포지션(수비)_유격수,포지션(수비)_좌익수,포지션(수비)_중견수,포지션(수비)_포수
1997,2003,0.281,92,289,253,38,71,9,0,4,92,27,12,2,20,0,2,61,8,0.364,0.336,0.7,20,0.259,0.333,13,65,58,0,3.89,0.083,30.1,0.242,92,14,9,5,64.3,0,0,81,70,552.0,8,0,128,160,30,0,0,0,0.9751757246376812,0.0,0.868,0.0180722892,0.0180722892,0,289,0.3518145080538977,10000,1978,5,3,26,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1997,2004,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,2,0,0,3.5,0.0,-0.2,0.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,-0.044,0.00729927007,0.0253715593,0,291,0.0,10000,1978,5,3,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2019,2019,0.151,27,57,53,5,8,1,1,1,14,4,0,0,3,0,1,24,0,0.264,0.211,0.475,2,0.143,0.143,3,11,10,0,3.72,0.113,2.8,0.161,27,0,0,0,0.0,0,0,23,11,120.66666666666669,0,0,34,3,0,0,0,0,0.9917127071823204,0.0,-0.33,0.0124888492,0.0124888492,0,57,0.2498822928331854,3000,1996,12,13,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1998,2002,0.228,100,224,184,24,42,7,0,3,58,15,12,3,13,0,12,36,2,0.315,0.316,0.631,8,0.219,1.0,10,56,53,0,3.47,0.087,21.0,0.221,100,2,0,2,0.0,0,0,104,74,600.6666666666666,8,0,70,154,24,0,0,0,0.9636920088790234,0.0,0.143,0.0,0.0,0,224,1.1196529401743545,3300,1975,10,24,28,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1998,2003,0.241,90,164,137,18,33,8,0,3,50,16,12,2,7,0,6,31,3,0.365,0.303,0.668,2,0.257,0.125,11,37,38,0,3.44,0.124,16.0,0.228,90,0,0,0,0.0,0,0,89,42,420.6666666666667,7,0,49,108,14,0,0,0,0.9581949286846276,0.0,0.103,0.0100401606,0.0100401606,0,388,0.8585810401332551,4300,1975,10,24,29,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1998,2004,0.275,128,385,327,40,90,19,0,4,121,34,21,1,22,0,14,55,6,0.37,0.346,0.716,19,0.267,0.667,23,94,89,0,3.66,0.095,41.8,0.248,128,8,4,4,50.0,0,0,137,109,932.3333333333334,12,0,248,319,71,0,0,0,0.979658562745799,0.0,1.307,0.131386861,0.141427022,0,773,0.4248021843535627,8600,1975,10,24,30,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1998,2005,0.237,106,407,342,45,81,10,1,9,120,36,16,5,25,1,19,40,6,0.351,0.32,0.671,19,0.2,0.0,20,123,103,0,3.5,0.114,40.7,0.232,106,9,1,8,11.1,0,0,108,103,868.3333333333334,17,0,169,317,65,0,0,0,0.9653458733205372,0.0,0.764,0.0837004405,0.225127462,0,1180,0.9839712542642912,8600,1975,10,24,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1998,2006,0.212,97,257,222,25,47,9,0,2,62,19,14,2,12,1,7,28,7,0.279,0.272,0.551,13,0.254,0.5,11,81,68,0,3.56,0.068,16.0,0.192,97,3,1,2,33.3,0,0,96,71,655.3333333333334,7,0,172,235,58,0,0,0,0.983,0.0,-0.279,0.00708215297,0.232209615,0,1437,0.0,8600,1975,10,24,32,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1998,2007,0.163,23,47,43,3,7,1,0,0,8,2,1,0,3,0,0,8,0,0.186,0.217,0.403,1,0.091,0.5,1,16,12,0,3.98,0.023,1.5,0.144,23,0,0,0,0.0,0,0,21,11,117.0,3,0,33,36,7,0,0,0,0.958,0.0,-0.273,0.0150753769,0.247284992,0,1484,0.0,6300,1975,10,24,33,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,2015,0.167,17,20,18,3,3,0,0,0,3,1,1,0,1,0,0,3,0,0.167,0.211,0.378,0,0.333,0.0,0,5,7,0,3.85,0.0,0.5,0.137,17,0,0,0,0.0,0,0,16,5,49.66666666666667,0,0,16,10,3,0,0,0,1.0,0.0,0.103,0.0035131744,0.00705508703,0,27,0.992476003943082,3300,1985,8,3,31,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2011,2016,0.236,46,118,106,13,25,1,1,2,34,11,1,1,9,0,1,25,3,0.321,0.299,0.62,6,0.154,0.0,4,33,24,0,3.81,0.085,10.2,0.215,46,2,1,1,50.0,1,0,50,28,260.0,2,0,59,41,8,0,0,0,0.9911384615384616,0.0,-0.286,0.0145190563,0.0215741433,0,145,0.6900703653284017,4300,1985,8,3,32,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2007,2014,0.267,6,15,15,0,4,0,0,0,4,2,0,0,0,0,0,5,0,0.267,0.267,0.534,1,0.5,0.0,0,2,4,0,3.93,0.0,1.0,0.187,6,0,0,0,0.0,1,0,5,4,37.0,0,0,34,6,5,0,0,0,1.0,0.0,-0.057,0.00788603409,0.0204997023,0,52,0.0,3500,1988,3,7,27,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,2015,0.111,17,29,27,1,3,0,0,0,3,0,1,0,0,0,1,13,1,0.111,0.143,0.254,1,0.0,0.0,0,8,3,0,3.66,0.0,-0.8,0.092,17,0,0,0,0.0,0,0,15,6,70.66666666666667,1,0,68,8,6,0,0,0,0.9730330188679246,0.0,-0.493,0.00928481807,0.0297845203,0,81,0.1080231952636283,4000,1988,3,7,28,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,2016,0.091,7,12,11,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0.091,0.167,0.258,0,0.333,0.0,0,3,5,0,3.67,0.0,-0.1,0.098,7,0,0,0,0.0,0,0,6,2,26.0,0,0,24,2,1,0,0,0,1.0,0.0,-0.34,0.00362976407,0.0334142844,0,93,0.0,3600,1988,3,7,29,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1992,2002,0.204,107,177,157,15,32,6,0,4,50,16,4,0,13,0,3,41,3,0.318,0.277,0.595,5,0.179,0.0,10,49,35,0,3.96,0.115,13.5,0.204,107,3,1,2,33.3,0,0,106,39,460.3333333333333,2,3,417,33,6,4,38,19,0.996,33.3,0.25,0.0,0.0,0,177,0.0,4500,1970,11,25,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2007,2015,0.429,9,9,7,0,3,0,0,0,3,0,0,0,2,0,0,3,0,0.429,0.556,0.985,1,0.5,0.5,0,0,1,0,4.22,0.0,1.8,0.357,9,0,0,0,0.0,0,0,5,0,9.0,0,0,1,0,0,0,0,0,0.7777777777777778,0.0,0.1,0.0180677541,0.0202067915,0,10,0.0,3000,1987,5,9,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015,2018,0.364,27,77,66,18,24,7,0,3,40,13,0,1,9,0,1,24,1,0.606,0.442,1.048,6,0.692,0.0,10,9,10,1,4.17,0.242,16.3,0.35,27,3,3,0,100.0,0,1,31,15,158.0,1,0,26,32,6,0,0,0,0.9919662447257382,0.0,1.117,0.0249867092,0.0249867092,0,77,1.3395553054851947,2700,1992,10,24,27,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2015,2019,0.098,29,55,51,2,5,1,0,0,6,0,1,0,3,0,0,22,0,0.118,0.148,0.266,0,0.0,0.0,1,6,18,0,3.75,0.02,-0.5,0.096,29,0,0,0,0.0,1,0,21,12,100.66666666666666,2,0,67,11,5,0,0,0,0.963956953642384,0.0,-0.905,0.0294380018,0.054424711,0,132,1.493660689688186,2700,1992,10,24,28,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,2019,0.286,7,15,14,0,4,1,0,0,5,3,0,1,0,0,0,1,2,0.357,0.267,0.624,1,0.286,0.0,1,6,4,0,3.8,0.071,0.9,0.209,7,0,0,0,0.0,0,0,6,4,32.0,0,0,29,1,0,0,8,1,1.0,11.1,-0.0,0.0142729706,0.0437027683,0,18,0.0,3000,1994,12,7,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,2013,0.0,11,7,6,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0.143,0.143,0,0.0,0.0,0,2,2,0,3.14,0.0,0.1,0.064,11,2,2,0,100.0,0,0,2,0,3.0,0,0,2,2,0,0,0,0,1.0,0.0,-0.066,0.00701978302,0.00701978302,0,7,0.0,2500,1990,4,7,24,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,2013,0.111,30,18,18,7,2,0,0,0,2,0,0,0,0,0,0,8,0,0.111,0.111,0.222,0,0.0,0.0,0,3,5,0,3.44,0.0,-0.4,0.078,30,6,4,2,66.7,0,0,12,3,41.0,0,0,11,0,0,0,0,0,0.8048780487804879,0.0,-0.276,0.0,0.0,0,18,0.0,2500,1990,9,16,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2013,2014,0.0,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1,0,0,3.0,0.0,-0.4,0.0,9,1,0,1,0.0,0,0,5,0,6.0,0,0,2,0,0,0,0,0,0.8333333333333334,0.0,-0.045,0.0,0.0,0,19,0.0,2900,1990,9,16,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
