데뷔년도,연도,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,피출루율,피장타율,피OPS,경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),수비율(수비),WAR,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적이닝,포지션 엔트로피,연봉,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대
2003,2003,3.89,34,3,0,2,1,1.0,44.0,44,6,15,2,26,19,19,1.34,0,0,0,0,191,748,0.259,9,0,3,1,0,2,2,0,0,3,14,5,0,2,54,47,0.273,22.0,17.0,5.32,3.07,0.324,0.418,0.742,34,0,44.0,0,0,1,8,0,1.0,0.753,0.0158730159,0.0158730159,0,44.0,0.0,2800,1984,11,19,20,0,0,0,0,0,0,0,0,0,1,0
2003,2004,6.46,8,0,1,0,0,0.0,15.333333333333334,16,1,9,4,7,11,11,1.63,0,0,0,0,72,273,0.276,4,0,0,1,0,3,0,1,0,0,4,0,0,2,18,18,0.294,34.1,17.8,4.11,5.28,0.403,0.397,0.8,8,1,15.333333333333334,0,1,1,3,0,1.0,0.038,0.0,0.0158730159,0,59.333333333333336,0.0,2700,1984,11,19,21,0,0,0,0,0,0,0,0,0,1,0
2003,2005,6.1,10,0,2,0,0,0.0,20.666666666666668,26,3,12,2,14,17,14,1.84,0,0,0,0,102,393,0.302,5,0,2,0,0,1,0,4,0,0,5,0,0,1,19,27,0.333,39.3,19.0,6.1,5.23,0.4,0.465,0.865,10,4,20.666666666666668,0,0,1,5,0,1.0,-0.052,0.0216606498,0.0375336657,0,80.0,0.0,3000,1984,11,19,22,0,0,0,0,0,0,0,0,0,1,0
2003,2006,3.29,32,3,4,0,5,0.429,76.66666666666667,71,9,31,4,48,30,28,1.33,1,0,2,0,325,1294,0.254,9,3,7,3,1,1,0,7,2,1,8,3,0,5,67,97,0.274,40.4,16.9,5.63,3.64,0.333,0.404,0.737,32,7,76.66666666666667,1,0,2,13,0,0.9379999999999998,1.285,0.0501730104,0.0877066761,0,156.66666666666669,0.0,5000,1984,11,19,23,0,0,0,0,0,0,0,0,0,1,0
2003,2007,3.06,61,1,1,5,15,0.5,94.0,78,9,39,4,79,33,32,1.24,0,0,0,4,390,1551,0.231,12,1,6,4,3,2,0,1,0,1,13,19,0,5,76,108,0.273,25.4,16.5,7.56,3.73,0.315,0.353,0.668,61,1,94.0,1,1,4,10,0,0.933,2.453,0.0404797601,0.128186436,0,250.66666666666669,0.0,8000,1984,11,19,24,0,0,0,0,0,0,0,0,0,1,0
2003,2008,5.31,46,7,1,2,5,0.875,57.66666666666666,56,11,40,4,39,35,34,1.66,0,0,0,3,265,1047,0.259,6,0,3,2,4,0,2,2,0,7,12,14,0,1,51,72,0.268,22.8,18.2,6.09,6.24,0.382,0.44,0.822,46,2,58.0,1,2,4,8,0,0.9230000000000002,-0.08,0.0652368186,0.193423255,0,308.33333333333337,0.0,8000,1984,11,19,25,0,0,0,0,0,0,0,0,0,1,0
2003,2009,5.18,26,11,8,0,0,0.579,140.66666666666666,148,34,45,7,87,88,81,1.37,0,0,7,0,609,2381,0.27,24,1,5,3,1,3,0,26,11,0,0,0,0,10,149,168,0.265,91.6,16.9,5.57,2.88,0.331,0.503,0.834,26,26,140.66666666666666,3,2,8,23,1,0.912,1.298,0.0839064649,0.27732972,0,449.0,0.0,8000,1984,11,19,26,0,0,0,0,0,0,0,0,0,1,0
2003,2010,6.75,47,6,8,3,3,0.429,69.33333333333333,80,15,35,3,82,54,52,1.66,0,0,0,3,319,1327,0.292,14,0,5,2,1,3,0,3,1,5,14,10,0,2,53,61,0.363,28.2,19.1,10.64,4.54,0.376,0.507,0.883,47,3,69.33333333333333,0,1,4,13,1,1.0,0.762,0.0542398778,0.331569597,0,518.3333333333334,0.0,8000,1984,11,19,27,1,0,0,0,0,0,0,0,0,0,0
2003,2014,4.52,48,7,6,4,6,0.538,97.66666666666669,114,8,36,13,64,59,49,1.54,0,0,1,1,447,1773,0.298,20,3,9,6,1,3,0,6,0,7,10,10,1,7,104,107,0.334,36.9,18.2,5.9,3.32,0.372,0.428,0.8,48,6,97.66666666666669,1,2,5,20,1,0.962,2.355,0.0834285714,0.447112353,0,620.3333333333335,0.0,28000,1984,11,19,31,0,0,0,0,0,0,0,0,0,1,0
2003,2015,5.1,35,10,6,0,1,0.625,125.33333333333331,137,15,60,11,82,77,71,1.57,0,0,4,0,568,2226,0.285,23,1,10,6,1,4,0,27,10,0,1,1,0,11,148,120,0.313,63.6,17.8,5.89,4.31,0.373,0.43,0.803,35,27,125.33333333333331,1,0,8,27,1,0.972,0.92,0.179904956,0.627017309,0,745.6666666666667,0.0,28000,1984,11,19,32,0,0,0,0,0,0,0,0,0,1,0
2003,2016,20.25,2,0,1,0,0,0.0,2.6666666666666665,9,0,4,0,1,10,6,4.88,0,0,0,0,22,77,0.529,3,0,0,1,0,0,0,1,0,0,0,0,0,0,3,5,0.529,38.5,28.9,3.38,13.5,0.591,0.706,1.297,2,1,2.6666666666666665,1,0,0,0,0,0.0,-0.499,0.0752961083,0.702313417,0,748.3333333333334,0.0,20000,1984,11,19,33,0,0,0,0,0,0,0,0,0,1,0
2003,2017,5.75,25,1,8,0,0,0.111,87.66666666666667,123,11,28,5,54,62,56,1.72,0,0,4,1,410,1560,0.336,30,2,6,5,2,5,1,16,1,0,3,1,0,5,91,103,0.366,62.4,17.8,5.54,2.87,0.386,0.519,0.905,25,16,87.66666666666667,0,0,3,18,2,1.0,0.495,0.0583596215,0.760673038,0,836.0,0.0,45000,1984,11,19,34,0,0,0,0,0,0,0,0,0,1,0
2003,2018,5.73,53,8,2,0,8,0.8,66.0,83,12,15,4,48,44,42,1.48,0,0,0,1,291,1087,0.311,10,0,3,2,1,4,1,1,0,8,10,9,0,7,79,59,0.34,20.5,16.5,6.55,2.05,0.354,0.483,0.837,53,1,66.0,0,0,3,7,1,1.0,0.498,0.0555144338,0.816187472,0,902.0,0.0,45000,1984,11,19,35,0,0,0,0,0,0,0,0,0,1,0
2003,2019,3.92,67,4,7,0,13,0.364,62.0,82,5,13,3,48,27,27,1.53,0,0,0,3,273,1053,0.325,14,1,4,1,0,2,1,0,0,4,7,18,0,6,73,50,0.385,15.7,17.0,6.97,1.89,0.364,0.448,0.812,67,0,62.0,0,0,6,5,0,1.0,1.205,0.0335386721,0.849726144,0,964.0,0.0,35000,1984,11,19,36,0,0,0,0,0,0,0,0,0,1,0
1994,2004,3.38,85,0,3,1,17,0.0,50.66666666666666,49,2,22,2,53,22,19,1.4,0,0,0,0,224,910,0.257,12,0,8,1,3,4,0,0,0,0,8,24,0,1,39,51,0.343,10.7,18.0,9.41,3.91,0.338,0.351,0.689,85,0,50.66666666666666,0,0,0,7,0,1.0,1.392,0.00606060606,0.0224540487,0,134.33333333333331,0.0,7500,1971,10,23,34,0,0,1,0,0,0,0,0,0,0,0
1994,2005,3.63,69,0,5,0,13,0.0,52.0,51,3,16,5,41,25,21,1.29,0,0,0,0,221,886,0.263,9,0,4,2,0,0,0,3,0,0,7,16,0,5,50,54,0.316,12.8,17.0,7.1,2.77,0.332,0.356,0.688,69,3,53.333333333333336,2,0,4,11,2,0.8819999999999999,1.048,0.0180505415,0.0405045902,0,186.3333333333333,0.0,8500,1971,10,23,35,0,0,1,0,0,0,0,0,0,0,0
1994,2006,5.19,16,0,1,1,4,0.0,8.666666666666666,11,0,4,0,8,5,5,1.73,0,0,0,0,41,177,0.314,3,0,1,1,0,2,0,0,0,0,2,7,0,0,7,10,0.393,11.1,20.4,8.31,4.15,0.375,0.4,0.775,16,0,8.666666666666666,0,0,1,0,0,1.0,0.173,0.00346020761,0.0439647978,0,195.0,0.0,6500,1971,10,23,36,0,0,1,0,0,0,0,0,0,0,0
1994,2007,2.7,81,0,3,0,23,0.0,40.0,37,1,22,0,36,13,12,1.48,0,0,0,0,176,726,0.248,6,1,3,1,0,3,0,0,0,0,7,30,0,5,38,39,0.319,9.0,18.2,8.1,4.95,0.343,0.322,0.665,80,0,40.333333333333336,1,0,0,8,1,0.8890000000000001,1.147,0.083958021,0.127922819,0,235.0,0.0,21333,1971,10,23,37,0,0,1,0,0,0,0,0,0,0,0
1994,2008,11.05,38,0,1,0,2,0.0,14.666666666666666,27,1,9,1,10,18,18,2.45,0,0,0,0,81,290,0.415,3,3,4,2,0,0,0,0,0,0,1,2,0,0,20,10,0.464,7.6,19.8,6.14,5.52,0.481,0.6,1.081,37,0,15.333333333333334,0,0,1,4,0,1.0,-0.285,0.0107238606,0.138646679,0,249.66666666666663,0.0,21333,1971,10,23,38,0,0,1,0,0,0,0,0,0,0,0
1994,2009,2.96,73,4,1,1,12,0.8,48.66666666666666,38,2,14,3,33,16,16,1.07,0,0,0,0,187,701,0.232,6,1,5,1,0,0,0,0,0,4,14,15,0,6,48,46,0.277,9.6,14.4,6.1,2.59,0.302,0.317,0.619,73,0,49.66666666666666,0,0,1,13,0,1.0,1.599,0.0398899587,0.178536638,0,298.33333333333326,0.0,21333,1971,10,23,39,0,0,1,0,0,0,0,0,0,0,0
1994,2012,3.33,30,3,1,0,3,0.75,24.33333333333333,20,2,8,1,15,9,9,1.15,0,0,0,1,98,367,0.233,3,0,1,2,0,0,0,0,0,3,9,7,0,2,20,33,0.254,12.2,15.1,5.55,2.96,0.299,0.337,0.636,30,0,24.33333333333333,0,0,2,2,0,1.0,0.46,0.0398288348,0.242047673,0,327.33333333333326,0.0,6000,1971,10,23,42,0,0,1,0,0,0,0,0,0,0,0
1994,2013,3.07,58,0,0,0,16,0.0,29.33333333333333,31,2,6,2,23,10,10,1.26,0,0,0,0,125,496,0.277,2,0,1,4,1,1,0,0,0,0,3,16,0,1,23,39,0.319,8.6,16.9,7.06,1.84,0.315,0.348,0.663,58,0,29.33333333333333,0,0,2,2,0,1.0,0.866,0.065123789,0.307171462,0,356.6666666666666,0.0,10000,1971,10,23,43,0,0,1,0,0,0,0,0,0,0,0
1998,2002,4.88,27,12,10,0,0,0.545,151.33333333333334,155,25,58,2,130,84,82,1.41,0,0,12,0,657,2670,0.267,28,2,12,5,1,8,0,27,12,0,0,0,0,8,132,168,0.302,98.9,17.6,7.73,3.45,0.333,0.452,0.785,27,27,151.33333333333334,0,0,10,20,0,1.0,2.134,0.131147541,0.131147541,0,151.33333333333334,0.0,15000,1979,8,20,24,0,0,0,0,0,0,0,0,0,0,1
1998,2003,4.63,29,10,9,0,0,0.526,167.0,184,14,70,4,121,96,86,1.52,1,1,13,0,738,2991,0.286,34,2,14,6,0,12,0,29,10,0,1,0,0,13,154,191,0.33,103.1,17.9,6.52,3.77,0.356,0.41,0.766,29,29,167.0,0,0,10,28,2,1.0,3.141,0.253968254,0.385115795,0,318.33333333333337,0.0,22000,1979,8,20,25,0,0,0,0,0,0,0,0,0,0,1
1998,2004,4.01,26,11,8,0,0,0.579,152.66666666666666,151,14,62,3,100,74,68,1.4,0,0,15,0,668,2607,0.257,28,2,8,7,0,7,1,26,11,0,0,0,0,7,139,205,0.285,100.3,17.1,5.9,3.66,0.327,0.383,0.71,26,26,152.66666666666666,0,2,5,25,2,1.0,3.189,0.284848485,0.66996428,0,471.0,0.0,30000,1979,8,20,26,0,0,0,0,0,0,0,0,0,0,1
1998,2005,5.76,17,7,7,0,0,0.5,90.66666666666669,106,17,39,3,70,60,58,1.6,1,0,6,0,408,1614,0.293,23,0,3,1,0,4,0,17,7,0,1,0,0,5,89,98,0.322,94.9,17.8,6.95,3.87,0.365,0.497,0.862,17,17,90.66666666666669,0,1,3,15,1,1.0,0.497,0.083032491,0.752996771,0,561.6666666666667,0.0,38000,1979,8,20,27,0,0,0,0,0,0,0,0,0,0,1
1998,2006,3.78,17,4,7,0,0,0.364,85.66666666666667,96,5,36,4,64,41,36,1.54,0,0,8,0,384,1494,0.288,23,2,11,0,0,1,0,17,4,0,0,0,0,7,98,75,0.345,87.9,17.4,6.72,3.78,0.365,0.414,0.779,17,17,85.66666666666667,0,2,5,17,1,1.0,1.344,0.0951557093,0.84815248,0,647.3333333333334,0.0,16667,1979,8,20,28,0,0,0,0,0,0,0,0,0,0,1
1998,2007,3.88,30,12,7,0,0,0.632,176.33333333333334,170,19,61,2,127,85,76,1.31,0,0,13,0,750,2898,0.253,31,5,11,3,1,4,0,30,12,0,0,0,0,10,198,181,0.285,96.6,16.4,6.48,3.11,0.315,0.398,0.713,30,30,176.33333333333334,1,1,9,16,1,0.962,3.343,0.16191904,1.01007152,0,823.6666666666667,0.0,16667,1979,8,20,29,0,0,0,0,0,0,0,0,0,0,1
1998,2008,3.88,26,3,6,0,0,0.333,106.66666666666669,110,7,42,5,63,54,46,1.43,0,0,8,0,474,1726,0.263,24,3,4,4,1,5,0,16,3,0,5,2,0,4,123,127,0.292,66.4,16.2,5.32,3.54,0.334,0.384,0.718,26,16,106.66666666666669,1,0,8,10,0,0.947,1.849,0.0616621984,1.071733719,0,930.3333333333336,0.0,16667,1979,8,20,30,0,0,0,0,0,0,0,0,1,0,0
1998,2009,6.67,25,6,11,0,0,0.353,117.33333333333331,142,29,53,5,66,93,87,1.66,0,0,6,0,539,2101,0.303,21,1,9,3,1,4,0,25,6,0,0,0,0,9,138,126,0.3,84.0,17.9,5.06,4.07,0.377,0.537,0.914,25,25,117.33333333333331,1,0,7,25,1,0.97,-0.148,0.103163686,1.174897405,0,1047.6666666666667,0.0,37000,1979,8,20,31,0,0,0,0,0,0,0,0,1,0,0
1998,2010,13.5,1,0,1,0,0,0.0,3.333333333333333,9,1,3,0,4,5,5,3.6,0,0,0,0,22,78,0.474,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0.571,78.0,23.4,10.8,8.1,0.545,0.737,1.282,1,1,3.333333333333333,0,0,0,1,0,1.0,-0.123,0.0206264324,1.195523837,0,1051.0,0.0,11000,1979,8,20,32,0,0,0,0,0,0,0,0,1,0,0
1998,2011,3.39,18,1,2,0,0,0.333,69.0,65,6,22,2,37,27,26,1.26,0,0,3,0,289,1142,0.248,12,1,2,1,1,3,0,10,1,0,5,0,0,5,95,66,0.268,63.4,16.6,4.83,2.87,0.31,0.37,0.68,18,10,69.0,0,0,2,9,0,1.0,1.439,0.0374665477,1.232990385,0,1120.0,0.0,11500,1979,8,20,33,0,0,0,0,0,0,0,0,1,0,0
2003,2003,6.78,45,6,5,4,7,0.545,71.66666666666667,89,10,41,8,50,59,54,1.81,0,0,0,0,341,1361,0.313,18,1,5,3,1,5,0,6,1,5,8,11,0,6,79,69,0.348,30.2,19.0,6.28,5.15,0.411,0.489,0.9,43,6,70.0,1,0,6,10,1,0.9409999999999998,-0.417,0.222222222,0.222222222,0,71.66666666666667,0.0,3200,1984,3,17,20,0,0,0,0,1,0,0,0,0,0,0
2003,2004,5.19,27,2,5,0,1,0.286,59.0,65,11,32,5,32,38,34,1.64,0,0,0,0,271,1066,0.286,8,1,6,1,1,7,1,6,1,1,7,1,0,7,80,51,0.292,39.5,18.1,4.88,4.88,0.385,0.476,0.861,27,6,59.0,1,0,4,14,1,0.947,-0.052,0.0242424242,0.246464646,0,130.66666666666669,0.0,3200,1984,3,17,21,0,0,0,0,1,0,0,0,0,0,0
2003,2005,0.0,4,1,0,0,0,1.0,4.666666666666667,2,0,1,0,3,0,0,0.64,0,0,0,0,18,59,0.118,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,5,0.143,14.8,12.6,5.79,1.93,0.167,0.118,0.285,4,0,4.666666666666667,0,0,0,0,0,0.0,0.24,0.0,0.246464646,0,135.33333333333334,0.0,2700,1984,3,17,22,0,0,0,0,1,0,0,0,0,0,0
2003,2006,4.55,25,4,3,0,0,0.571,61.333333333333336,69,5,33,7,34,37,31,1.66,0,0,0,0,292,1095,0.279,12,1,4,1,3,4,0,9,3,1,3,0,0,6,85,60,0.306,43.8,17.9,4.99,4.84,0.378,0.397,0.775,25,9,61.333333333333336,0,0,4,16,0,1.0,0.066,0.0190311419,0.265495788,0,196.66666666666669,0.0,3200,1984,3,17,23,0,0,0,0,1,0,0,0,0,0,0
2003,2007,3.01,24,6,3,0,2,0.667,71.66666666666667,68,5,32,2,33,29,24,1.4,0,0,4,0,299,1083,0.262,6,1,4,1,1,3,0,12,6,0,3,2,0,13,77,83,0.283,45.1,15.1,4.14,4.02,0.346,0.35,0.696,24,12,71.66666666666667,0,0,5,7,1,1.0,1.217,0.0464767616,0.31197255,0,268.33333333333337,0.0,7000,1984,3,17,24,0,0,0,0,1,0,0,0,0,0,0
2003,2008,3.77,27,8,6,0,0,0.571,114.66666666666669,129,6,34,3,77,56,48,1.42,0,0,6,0,491,1926,0.29,13,3,6,3,0,2,0,21,7,1,2,0,0,14,149,93,0.337,71.3,16.8,6.04,2.67,0.342,0.373,0.715,27,21,114.66666666666669,2,1,6,18,0,0.923,2.439,0.054512958,0.366485508,0,383.00000000000006,0.0,10000,1984,3,17,25,0,0,0,0,1,0,0,0,0,0,0
2003,2009,3.13,31,12,3,0,0,0.8,149.33333333333334,155,17,49,5,103,59,52,1.37,1,0,12,0,637,2468,0.269,23,3,4,3,0,4,0,29,12,0,1,0,0,16,187,134,0.301,79.6,16.5,6.21,2.95,0.33,0.408,0.738,31,29,149.33333333333334,1,0,14,17,3,0.969,4.156,0.328748281,0.695233789,0,532.3333333333334,0.0,15000,1984,3,17,26,0,0,0,0,1,0,0,0,0,0,0
2003,2010,2.3,44,8,5,8,4,0.615,125.0,103,12,48,6,91,38,32,1.21,0,0,7,0,519,1988,0.226,9,3,7,3,7,5,0,18,6,2,18,13,3,13,163,101,0.256,45.2,15.9,6.55,3.46,0.307,0.338,0.645,44,18,125.0,2,0,12,20,1,0.941,4.204,0.115355233,0.810589022,0,657.3333333333334,0.0,22000,1984,3,17,27,0,0,0,0,1,0,0,0,0,0,0
2003,2011,3.43,38,8,8,1,4,0.5,78.66666666666667,71,10,45,2,55,34,30,1.47,0,0,2,2,343,1383,0.249,9,0,8,3,3,5,0,11,3,5,7,7,0,4,86,76,0.274,36.4,17.6,6.29,5.15,0.352,0.386,0.738,38,11,78.66666666666667,0,0,16,7,1,1.0,1.042,0.241748439,1.052337461,0,736.0,0.0,24000,1984,3,17,28,0,0,0,0,1,0,0,0,0,0,0
