데뷔년도,연도,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,피출루율,피장타율,피OPS,경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),수비율(수비),WAR,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적이닝,포지션 엔트로피,연봉,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대
2017,2018,6.39,18,2,5,0,0,0.286,50.66666666666666,51,5,36,3,65,36,36,1.72,0,0,1,0,235,1010,0.264,12,0,2,1,0,5,0,10,1,1,2,0,0,4,32,46,0.371,56.1,19.9,11.55,6.39,0.386,0.404,0.79,18,10,50.66666666666666,0,0,2,3,0,1.0,0.389,0.131754256,0.131754256,0,50.66666666666666,0.0,2700,1999,2,26,20,0,0,0,0,0,0,1,0,0,0,0
2007,2007,3.62,20,3,7,0,0,0.3,77.0,80,5,41,4,52,35,31,1.57,0,0,5,0,342,1324,0.284,8,0,10,5,2,2,0,13,3,0,3,0,0,13,76,79,0.326,66.2,17.2,6.08,4.79,0.377,0.365,0.742,20,13,77.0,0,0,3,10,1,1.0,1.244,0.48125937,0.48125937,0,77.0,0.0,4000,1988,7,22,20,0,0,0,0,1,0,0,0,0,0,0
2007,2008,2.39,27,16,4,0,0,0.8,162.0,127,9,63,2,150,50,43,1.17,1,1,18,0,659,2538,0.218,13,0,11,0,1,3,0,27,16,0,1,0,0,14,168,138,0.278,94.0,15.7,8.33,3.5,0.296,0.286,0.582,27,27,162.0,5,0,7,28,0,0.875,5.427,1.0,1.48125937,2,239.0,0.0,13000,1988,7,22,21,0,0,0,0,1,0,0,0,0,0,0
2007,2009,2.8,21,12,2,0,0,0.857,138.33333333333334,121,14,53,4,112,46,43,1.26,1,0,16,0,568,2199,0.239,11,2,4,0,1,8,0,21,12,0,1,0,0,17,138,136,0.281,104.7,15.9,7.29,3.45,0.316,0.351,0.667,21,21,138.33333333333334,0,0,6,16,0,1.0,4.623,1.0,2.48125937,0,377.33333333333337,0.0,17500,1988,7,22,22,0,0,0,0,1,0,0,0,0,0,0
2007,2010,2.37,31,17,7,0,0,0.708,193.66666666666663,153,13,84,5,183,56,51,1.22,2,1,20,0,797,3129,0.221,22,1,14,1,1,13,0,30,16,1,2,0,0,19,230,128,0.281,100.9,16.2,8.5,3.9,0.309,0.312,0.621,31,30,193.66666666666663,3,1,6,26,2,0.914,7.12,0.765469824,3.246729194,0,571.0,0.0,27000,1988,7,22,23,0,0,0,0,1,0,0,0,0,0,0
2007,2011,4.84,17,4,6,0,0,0.4,74.33333333333333,70,6,45,2,61,45,40,1.55,1,0,5,0,328,1317,0.253,9,2,3,1,0,3,0,14,4,0,3,0,0,6,83,64,0.303,77.5,17.7,7.39,5.45,0.36,0.365,0.725,17,14,74.0,0,0,6,7,1,1.0,0.736,1.0,4.246729194,0,645.3333333333334,0.0,25000,1988,7,22,24,0,0,0,0,1,0,0,0,0,0,0
2007,2012,4.3,16,8,5,0,0,0.615,81.66666666666667,85,9,36,2,65,44,39,1.48,0,0,4,0,347,1322,0.287,15,2,7,6,0,2,1,16,8,0,0,0,0,12,78,74,0.333,82.6,16.2,7.16,3.97,0.362,0.443,0.805,16,16,81.66666666666667,0,1,5,13,0,1.0,0.7,0.385450955,4.632180149,0,727.0,0.0,24000,1988,7,22,25,0,0,0,0,1,0,0,0,0,0,0
2007,2013,4.47,25,10,9,0,0,0.526,133.0,128,12,68,4,102,72,66,1.47,0,0,9,1,580,2273,0.259,31,3,7,7,0,9,1,22,10,0,2,1,0,17,144,127,0.3,90.9,17.1,6.9,4.6,0.349,0.407,0.756,25,22,133.0,0,0,9,19,1,1.0,1.853,0.496232508,5.128412657,0,860.0,0.0,27000,1988,7,22,26,0,0,0,0,1,0,0,0,0,0,0
2007,2014,3.42,28,13,9,0,0,0.591,173.66666666666666,178,10,81,3,145,77,66,1.49,1,0,15,0,749,3009,0.274,36,4,12,3,1,9,1,28,13,0,1,0,0,21,184,146,0.337,107.5,17.3,7.51,4.2,0.355,0.388,0.743,28,28,173.66666666666666,1,0,8,24,1,0.97,5.2,1.0,6.128412657,0,1033.6666666666667,0.0,85000,1988,7,22,27,0,0,0,0,1,0,0,0,0,0,0
2007,2015,3.72,30,14,6,0,1,0.7,176.66666666666666,173,19,66,3,160,86,73,1.35,1,1,16,0,754,2896,0.257,33,0,11,2,2,10,0,29,14,0,1,1,0,18,216,125,0.311,96.5,16.4,8.15,3.36,0.326,0.391,0.717,30,29,176.66666666666666,2,1,12,30,1,0.9549999999999998,3.957,0.99592668,7.124339337,0,1210.3333333333337,0.0,85000,1988,7,22,28,0,0,0,0,1,0,0,0,0,0,0
