ID,선수명,데뷔년도,팀명,연도,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,피출루율,피장타율,피OPS,경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),수비율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적이닝,포지션 엔트로피,출생연도,출생월,출생일,나이,연봉,1차FA여부,2차FA여부
70329,마일영,2000,현대,2002,4.56,30,7,4,0,0,0.636,130.33333333333334,132,16,69,10,98,76,66,1.54,0,0,10,0,583,2361,0.268,29,2,9,3,1,7,0,22,6,1,2,0,0,18,167,98,0.304,78.7,18.1,6.77,4.76,0.368,0.433,0.801,29,22,130.0,1,0,9,30,6,0.975,1.391,0.0,0.0491803279,0.0491803279,0,130.33333333333334,0.0,1981,5,28,22,8725.99226541828,0.0,0.0
70329,마일영,2000,현대,2003,5.97,20,3,6,0,0,0.333,69.33333333333333,81,4,41,7,32,50,46,1.76,0,0,3,0,333,1270,0.296,19,0,8,3,0,5,0,14,3,0,2,0,0,6,103,61,0.32,63.5,18.3,4.15,5.32,0.397,0.409,0.806,20,14,69.33333333333333,2,0,6,21,0,0.9310000000000002,0.352,0.0,0.0476190476,0.0967993755,0,199.66666666666669,0.0,1981,5,28,23,7733.092309506033,0.0,0.0
70329,마일영,2000,현대,2007,4.73,21,0,0,0,2,0.0,13.333333333333334,13,2,6,2,6,8,7,1.43,0,0,0,1,58,232,0.265,2,0,1,0,0,0,0,0,0,0,3,4,0,2,21,9,0.268,11.0,17.4,4.05,4.05,0.368,0.429,0.797,21,0,13.333333333333334,0,0,1,2,0,1.0,-0.017,0.0,0.011994003,0.151217621,0,293.3333333333333,0.0,1981,5,28,27,6123.444742620152,0.0,0.0
70329,마일영,2000,우리/히어로즈/넥센/키움,2008,3.49,28,11,11,0,0,0.5,173.0,155,11,57,12,83,77,67,1.23,1,0,19,0,712,2658,0.244,21,4,6,1,0,4,0,28,11,0,1,0,0,25,243,156,0.265,94.9,15.4,4.32,2.97,0.317,0.341,0.658,28,28,173.0,0,1,11,29,3,1.0,3.666,0.0,0.0813226095,0.23254023,0,466.3333333333333,0.0,1981,5,28,28,13110.161443494777,0.0,0.0
70329,마일영,2000,우리/히어로즈/넥센/키움,2009,6.93,27,5,8,0,1,0.385,97.33333333333331,127,17,48,3,51,76,75,1.8,0,0,5,0,451,1788,0.328,24,1,11,2,0,4,0,20,4,1,2,1,0,16,130,81,0.343,66.2,18.4,4.72,4.44,0.405,0.527,0.932,27,20,97.33333333333331,1,0,5,17,2,0.957,0.25,0.0,0.127922971,0.360463201,0,563.6666666666666,0.0,1981,5,28,29,12735.9391989105,0.0,0.0
70329,마일영,2000,한화,2010,7.01,47,1,3,2,10,0.25,43.66666666666666,51,9,20,1,26,37,34,1.63,0,0,0,0,200,770,0.297,7,1,3,4,2,3,0,0,0,1,8,9,1,4,59,40,0.298,16.4,17.6,5.36,4.12,0.365,0.506,0.871,47,0,44.0,0,0,5,5,0,1.0,-0.226,0.0,0.0313216196,0.391784821,0,607.3333333333333,0.0,1981,5,28,30,9237.898159781244,0.0,0.0
70329,마일영,2000,한화,2011,5.81,51,2,5,0,8,0.286,69.66666666666667,75,4,49,3,32,46,45,1.78,0,0,0,0,325,1252,0.286,14,0,9,2,1,6,0,8,0,2,3,5,0,10,91,66,0.311,24.5,18.0,4.13,6.33,0.402,0.385,0.787,51,8,69.66666666666667,1,0,5,8,0,0.929,0.172,0.0,0.0481712756,0.439956097,0,676.9999999999999,0.0,1981,5,28,31,10891.733564764592,0.0,0.0
70329,마일영,2000,한화,2012,5.55,55,2,3,1,6,0.4,61.66666666666666,86,6,18,2,31,46,38,1.69,0,0,0,1,289,1019,0.337,14,3,11,3,0,9,0,2,0,2,14,8,0,8,91,50,0.362,18.5,16.5,4.52,2.63,0.381,0.486,0.867,55,2,61.66666666666666,3,0,2,16,0,0.857,0.03,1.0,0.021724819,0.461680916,0,738.6666666666665,0.0,1981,5,28,32,28672.029414164488,1.0,0.0
70329,마일영,2000,한화,2013,6.57,13,0,1,0,0,0.0,12.333333333333334,17,1,6,2,6,9,9,1.86,0,0,0,0,60,219,0.333,0,0,1,0,0,0,0,1,0,0,3,0,0,1,15,13,0.364,16.8,17.8,4.38,4.38,0.424,0.392,0.816,13,1,12.333333333333334,1,0,3,3,1,0.857,0.008,0.0,0.00807319699,0.469754113,0,750.9999999999999,0.0,1981,5,28,33,28311.095288928274,1.0,0.0
70329,마일영,2000,한화,2014,8.55,19,0,0,0,1,0.0,20.0,32,1,9,4,8,20,19,2.05,0,0,0,0,106,373,0.356,5,3,1,2,0,2,1,0,0,0,6,1,0,0,31,21,0.373,19.6,18.7,3.6,4.05,0.429,0.511,0.94,19,0,20.0,1,0,5,1,0,0.857,0.009,0.0,0.00304761905,0.472801732,0,770.9999999999999,0.0,1981,5,28,34,28112.3514,1.0,0.0
