ID,선수명,데뷔년도,연도,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,피출루율,피장타율,피OPS,경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),수비율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적이닝,포지션 엔트로피,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,연봉,1차FA여부,2차FA여부,5년평균평균자책점,5년평균경기,5년평균승리,5년평균패배,5년평균세이브,5년평균홀드,5년평균승률,5년평균이닝,5년평균피안타,5년평균홈런,5년평균볼넷,5년평균사구,5년평균삼진,5년평균실점,5년평균자책점,5년평균이닝당_출루허용률,5년평균완투,5년평균완봉,5년평균퀄리티스타트,5년평균블론세이브,5년평균타자수,5년평균투구수,5년평균피안타율,5년평균2루타,5년평균3루타,5년평균희생번트,5년평균희생플라이,5년평균고의4구,5년평균폭투,5년평균보크,5년평균선발,5년평균선발승,5년평균구원승,5년평균종료,5년평균세이브기회,5년평균터프세이브,5년평균병살타,5년평균땅볼,5년평균뜬공,5년평균인플레이타구타율,5년평균투구수/경기,5년평균투구수/이닝,5년평균9이닝당 삼진,5년평균9이닝당 볼넷,5년평균피출루율,5년평균피장타율,5년평균피OPS,5년평균경기(수비),5년평균선발경기(수비),5년평균수비이닝(수비),5년평균실책(수비),5년평균견제사(수비),5년평균자살(수비),5년평균보살(수비),5년평균병살(수비),5년평균수비율(수비),5년평균WAR,5년평균뉴스개수(연도별정규화),5년평균수상횟수,5년평균포지션 엔트로피,5년평균연봉
70329,마일영,2000,2002,4.56,30,7,4,0,0,0.636,130.33333333333334,132,16,69,10,98,76,66,1.54,0,0,10,0,583,2361,0.268,29,2,9,3,1,7,0,22,6,1,2,0,0,18,167,98,0.304,78.7,18.1,6.77,4.76,0.368,0.433,0.801,29,22,130.0,1,0,9,30,6,0.975,1.391,0.0,0.0491803279,0.0491803279,0,130.33333333333334,0.0,1981,5,28,22,0,0,0,0,0,0,0,0,0,0,1,8725.99226541828,0.0,0.0,4.56,30.0,7.0,4.0,0.0,0.0,0.636,130.33333333333334,132.0,16.0,69.0,10.0,98.0,76.0,66.0,1.54,0.0,0.0,10.0,0.0,583.0,2361.0,0.268,29.0,2.0,9.0,3.0,1.0,7.0,0.0,22.0,6.0,1.0,2.0,0.0,0.0,18.0,167.0,98.0,0.304,78.7,18.1,6.77,4.76,0.368,0.433,0.801,29.0,22.0,130.0,1.0,0.0,9.0,30.0,6.0,0.975,1.391,0.0491803279,0.0,0.0,2517.2980489654883
70329,마일영,2000,2003,5.97,20,3,6,0,0,0.333,69.33333333333333,81,4,41,7,32,50,46,1.76,0,0,3,0,333,1270,0.296,19,0,8,3,0,5,0,14,3,0,2,0,0,6,103,61,0.32,63.5,18.3,4.15,5.32,0.397,0.409,0.806,20,14,69.33333333333333,2,0,6,21,0,0.9310000000000002,0.352,0.0,0.0476190476,0.0967993755,0,199.66666666666669,0.0,1981,5,28,23,0,0,0,0,0,0,0,0,0,0,1,7733.092309506033,0.0,0.0,5.302105263157895,24.736842105263158,4.894736842105264,5.052631578947368,0.0,0.0,0.4765263157894737,98.2280701754386,105.15789473684211,9.68421052631579,54.26315789473684,8.421052631578947,63.26315789473685,62.31578947368422,55.47368421052632,1.6557894736842105,0.0,0.0,6.315789473684211,0.0,451.421052631579,1786.7894736842106,0.2827368421052632,23.73684210526316,0.9473684210526316,8.473684210526317,3.0000000000000004,0.4736842105263158,5.947368421052632,0.0,17.789473684210524,4.421052631578948,0.4736842105263158,2.0,0.0,0.0,11.68421052631579,133.31578947368422,78.52631578947368,0.312421052631579,70.69999999999999,18.20526315789474,5.3910526315789475,5.054736842105263,0.38326315789473686,0.42036842105263156,0.8036315789473686,24.263157894736842,17.789473684210524,98.07017543859648,1.5263157894736843,0.0,7.421052631578948,25.263157894736842,2.842105263157895,0.9518421052631579,0.8441578947368421,0.048358601426315796,0.0,0.0,8725.99226541828
70329,마일영,2000,2007,4.73,21,0,0,0,2,0.0,13.333333333333334,13,2,6,2,6,8,7,1.43,0,0,0,1,58,232,0.265,2,0,1,0,0,0,0,0,0,0,3,4,0,2,21,9,0.268,11.0,17.4,4.05,4.05,0.368,0.429,0.797,21,0,13.333333333333334,0,0,1,2,0,1.0,-0.017,0.0,0.011994003,0.151217621,0,293.3333333333333,0.0,1981,5,28,27,0,0,0,0,0,0,0,0,0,0,1,6123.444742620152,0.0,0.0,5.090996309963099,23.357933579335796,3.0885608856088558,3.1881918819188195,0.0,0.7380073800738007,0.3006863468634687,66.90159901599017,71.15129151291512,6.848708487084871,36.45387453874539,6.051660516605167,42.132841328413285,42.27306273062731,37.586715867158674,1.5724723247232473,0.0,0.0,3.985239852398524,0.36900369003690037,306.24723247232475,1213.0664206642068,0.2761918819188192,15.715867158671589,0.5977859778597786,5.715867158671587,1.8929889298892988,0.2988929889298893,3.7527675276752768,0.0,11.22509225092251,2.789667896678967,0.2988929889298893,2.3690036900369003,1.4760147601476015,0.0,8.11070110701107,91.87084870848709,52.87084870848709,0.29602952029520296,48.670479704797046,17.908118081180813,4.89619926199262,4.683985239852398,0.3776309963099631,0.4235535055350554,0.8011845018450185,23.059040590405907,11.22509225092251,66.8019680196802,0.9630996309963101,0.0,5.051660516605167,16.678966789667896,1.793357933579336,0.9696125461254613,0.5263874538745388,0.03493993042029521,0.0,0.0,8203.41334125394
70329,마일영,2000,2008,3.49,28,11,11,0,0,0.5,173.0,155,11,57,12,83,77,67,1.23,1,0,19,0,712,2658,0.244,21,4,6,1,0,4,0,28,11,0,1,0,0,25,243,156,0.265,94.9,15.4,4.32,2.97,0.317,0.341,0.658,28,28,173.0,0,1,11,29,3,1.0,3.666,0.0,0.0813226095,0.23254023,0,466.3333333333333,0.0,1981,5,28,28,0,0,0,0,0,0,0,0,1,0,0,13110.161443494777,0.0,0.0,4.625455074149462,24.707763884850248,5.389066589124746,5.459726664728119,0.0,0.5234079674323932,0.3586432102355336,97.75312590869439,95.53300378016866,8.05583018319279,42.42832218668217,7.781331782494911,54.01628380343123,52.371038092468744,46.13957545798197,1.472887467287002,0.29078220412910727,0.0,8.35126490258796,0.2617039837161966,424.23291654550746,1633.227391683629,0.266831055539401,17.252398953184066,1.5870892701366677,5.79848793253853,1.633323640593196,0.21198022681011924,3.8246583309101485,0.0,16.102936900261703,5.177086362314627,0.21198022681011924,1.9709217795870895,1.0468159348647863,0.0,13.021808665309685,135.81651642919454,82.85897063099738,0.287006687990695,62.11320151206746,17.178801977318987,4.728650770572842,4.185588833963362,0.3600005815644083,0.3995484152369875,0.7595489968013958,24.49578365804013,16.102936900261703,97.68246583309102,0.6830473974992731,0.29078220412910727,6.781331782494911,20.2617039837162,2.144227973248037,0.9784486769409713,1.439330910148299,0.0484271880765048,0.0,0.0,7435.897253197191
70329,마일영,2000,2009,6.93,27,5,8,0,1,0.385,97.33333333333331,127,17,48,3,51,76,75,1.8,0,0,5,0,451,1788,0.328,24,1,11,2,0,4,0,20,4,1,2,1,0,16,130,81,0.343,66.2,18.4,4.72,4.44,0.405,0.527,0.932,27,20,97.33333333333331,1,0,5,17,2,0.957,0.25,0.0,0.127922971,0.360463201,0,563.6666666666666,0.0,1981,5,28,29,0,0,0,0,0,0,0,0,1,0,0,12735.9391989105,0.0,0.0,5.188211765280457,25.267514834802565,5.294058753144001,6.080046885301945,0.0,0.639789016141242,0.3650793875607433,97.65061496259756,103.21706429635418,10.239945300481061,43.78889404410149,6.613757905789846,53.279724548851064,58.14109545554443,53.18712607750726,1.5527664770091083,0.2197748528729457,0.0,7.532905179360699,0.19779736758565114,430.7692852433396,1671.0219774852874,0.28176816194964716,18.90012453908329,1.4437254279504774,7.0686674318087475,1.7228639105272154,0.1602158677443774,3.8674757637176134,0.0,17.054577421796782,4.889648604429684,0.4044101487143171,1.9780225147127055,1.0353837513125441,0.0,13.74906595687529,134.39615638201752,82.40502063441673,0.30067993455593267,63.11117433029718,17.477011550389488,4.72653830187297,4.2477145857244025,0.37098918219335303,0.4306713633366706,0.8016605455300235,25.10729896705819,17.054577421796782,97.59720967334945,0.7604454103684891,0.2197748528729457,6.3463407486996655,19.46521452467583,2.109008327024981,0.9732110326976141,1.1489031037093111,0.06783960362765011,0.0,0.0,9085.872301262789
70329,마일영,2000,2010,7.01,47,1,3,2,10,0.25,43.66666666666666,51,9,20,1,26,37,34,1.63,0,0,0,0,200,770,0.297,7,1,3,4,2,3,0,0,0,1,8,9,1,4,59,40,0.298,16.4,17.6,5.36,4.12,0.365,0.506,0.871,47,0,44.0,0,0,5,5,0,1.0,-0.226,0.0,0.0313216196,0.391784821,0,607.3333333333333,0.0,1981,5,28,30,0,0,0,0,0,0,0,0,0,1,0,9237.898159781244,0.0,0.0,5.723666577128762,29.892066127811283,3.9994871920099633,5.627847915801811,0.48838856193987934,3.0177529242265146,0.2979124563502723,79.75538244894304,86.31562110815365,9.106590803643378,34.344484872164294,4.754633586481404,40.169763864130296,50.40340895216234,46.65419647871847,1.573467314595492,0.19779736758565114,0.0,5.337671851725232,0.17801763082708602,352.46594710751873,1351.5066787135845,0.2874729799028107,14.53783790383629,1.25515860418549,5.796635002808234,2.0947718004444336,0.48838856193987934,3.2039510634660933,0.0,12.17684549827843,3.5355180581670775,0.46396913384288535,3.4453859490610728,3.129593904910747,0.24419428096993967,10.755439427608605,111.28355839906229,69.80125027471857,0.2995467754145198,49.456753192840225,17.41721325486557,4.586570535518058,4.142658787331201,0.3699576811311079,0.44873040951380916,0.818688090644917,29.892066127811283,12.17684549827843,79.83678054259968,0.5402065883617005,0.19779736758565114,5.63492954994994,14.413836047959755,1.0329418085028448,0.9794947864521012,0.7782506410099875,0.061612681622514716,0.0,0.0,9977.19776282605
70329,마일영,2000,2011,5.81,51,2,5,0,8,0.286,69.66666666666667,75,4,49,3,32,46,45,1.78,0,0,0,0,325,1252,0.286,14,0,9,2,1,6,0,8,0,2,3,5,0,10,91,66,0.311,24.5,18.0,4.13,6.33,0.402,0.385,0.787,51,8,69.66666666666667,1,0,5,8,0,0.929,0.172,0.0,0.0481712756,0.439956097,0,676.9999999999999,0.0,1981,5,28,31,0,0,0,0,0,0,0,0,0,1,0,10891.733564764592,0.0,0.0,5.7092288344606965,36.47288222509828,3.6553441918390277,5.420868843251691,0.4395497057458914,4.6695318795633804,0.2899440795096579,78.79457563103871,84.31889331151864,8.59593172327904,36.96359063270737,4.002393103953505,39.35278747771727,49.38629093306635,46.344582549876684,1.5970044687553417,0.17801763082708602,0.0,4.371321823642891,0.1602158677443774,348.5657981490073,1338.9605137847673,0.2858837391028302,13.763082708602962,1.129642743766941,6.26116578349735,1.9411003394300503,0.683743986715831,3.6277502380894235,0.0,10.893995262630948,2.749383409440551,0.9059607823984761,3.545041635124905,4.03760591926937,0.2197748528729457,11.256672608727504,107.52487118751678,70.14209665209641,0.2993943493443384,41.337500915728555,17.432233645088033,4.538029596346853,4.50702913237772,0.37388288442284673,0.4388967058191497,0.8127795902419964,36.47288222509828,10.893995262630948,78.8678339153297,0.4419916485555908,0.17801763082708602,5.427242313985007,11.897926790554566,0.9296476276525604,0.9741569192449513,0.6916706063343997,0.060348169139654705,0.0,0.0,9977.081704883509
70329,마일영,2000,2012,5.55,55,2,3,1,6,0.4,61.66666666666666,86,6,18,2,31,46,38,1.69,0,0,0,1,289,1019,0.337,14,3,11,3,0,9,0,2,0,2,14,8,0,8,91,50,0.362,18.5,16.5,4.52,2.63,0.381,0.486,0.867,55,2,61.66666666666666,3,0,2,16,0,0.857,0.03,1.0,0.021724819,0.461680916,0,738.6666666666665,0.0,1981,5,28,32,0,0,0,0,0,0,0,0,0,1,0,28672.029414164488,1.0,0.0,5.811545261409977,43.228199555566405,3.7781983345950043,5.611364801836341,0.639789016141242,5.379355815486801,0.358627383946668,84.0511749814819,95.01318649117238,8.913115674830895,36.79756294107592,3.802153793558155,42.122365754194036,54.52704451661742,49.980147004957146,1.6437945349319918,0.1602158677443774,0.0,3.9341896412786013,0.24419428096993967,375.9180972381627,1420.4453615296327,0.3013773534223828,15.517105809381945,1.7492613123000658,8.176992014847013,2.4795731483968644,0.6153695880442479,5.4627237430099385,0.0,10.292984298307733,2.474445068496496,1.3037532660985078,6.176674562281751,5.010622451222192,0.19779736758565114,11.79617103367439,115.96598373666087,74.03985250665428,0.31920917682107885,40.135207931430244,17.209235427706286,4.60399794876804,4.114570340162634,0.3764691216331713,0.4518261092525213,0.8282952308856926,43.228199555566405,10.292984298307733,84.11710743734382,1.1303753266098506,0.1602158677443774,5.228712363556445,14.326854045078264,0.8366828648873044,0.9418214451417547,0.6322806769065467,0.057888962142060026,0.0,0.0,10524.004895515613
70329,마일영,2000,2013,6.57,13,0,1,0,0,0.0,12.333333333333334,17,1,6,2,6,9,9,1.86,0,0,0,0,60,219,0.333,0,0,1,0,0,0,0,1,0,0,3,0,0,1,15,13,0.364,16.8,17.8,4.38,4.38,0.424,0.392,0.816,13,1,12.333333333333334,1,0,3,3,1,0.857,0.008,0.0,0.00807319699,0.469754113,0,750.9999999999999,0.0,1981,5,28,33,0,0,0,0,0,0,0,0,0,1,0,28311.095288928274,1.0,0.0,6.331509120656394,38.04246538546067,1.8142414104661666,3.7082855119533096,0.5758101145271177,4.841420233938121,0.25066750506703134,53.7121763408301,67.31305706820346,6.679861297648409,26.363898317501402,2.1799956045029423,27.407169544089278,40.16912895899978,37.51886400820493,1.7562574784498548,0.0,0.0,0.8010793387218871,0.2197748528729457,250.31161632194573,948.6109740909867,0.3173729090864692,10.937315328075018,0.9975580571903004,6.738321408512611,2.087421552587238,0.5538326292398232,4.339674244829187,0.0,5.470440282288589,0.6408634709775096,1.1733779394886572,6.147395667993456,4.509560206099973,0.17801763082708602,7.255891187028399,72.99308930184854,47.31608507728749,0.33796349295499495,26.540113794534932,17.61437815926351,4.590249810749432,4.3444272423139845,0.39665099753363775,0.453197406656736,0.8498484041903739,38.04246538546067,5.470440282288589,53.77151555110579,1.2615320749188053,0.0,3.8522868794412832,9.445117335352005,0.5646260164586945,0.9127195184488778,0.04238992942785279,0.042345239258504065,0.0,0.0,15590.18430098364
70329,마일영,2000,2014,8.55,19,0,0,0,1,0.0,20.0,32,1,9,4,8,20,19,2.05,0,0,0,0,106,373,0.356,5,3,1,2,0,2,1,0,0,0,6,1,0,0,31,21,0.373,19.6,18.7,3.6,4.05,0.429,0.511,0.94,19,0,20.0,1,0,5,1,0,0.857,0.009,0.0,0.00304761905,0.472801732,0,770.9999999999999,0.0,1981,5,28,34,0,0,0,0,0,0,0,0,0,1,0,28112.3514,1.0,0.0,6.786952943762056,34.98466459915509,0.9118458645698517,2.1839027129984614,0.5182291030744061,4.457278210544309,0.1700859563869014,39.18993431173841,50.08329466923885,3.8047666723645333,19.003931527923616,2.506190325022588,19.26609850797294,30.07733632878318,27.59209787306781,1.821680300847354,0.0,0.0,0.0,0.19779736758565114,186.13342775512197,687.0149691094234,0.3252730580449805,7.60389245683866,1.4861908134111497,4.722546457961954,2.0786793973285143,0.4984493663158408,3.817318258406388,0.24419428096993967,2.039510634660936,0.0,0.9118458645698517,6.709433225073868,4.158604185489976,0.1602158677443774,4.223193572806524,54.51854655563967,36.03281971136236,0.34579297208859366,19.126648921882254,17.76619862762814,4.329727234988156,4.25874874850431,0.40334656052355256,0.4566705574955434,0.8600171180190959,34.98466459915509,2.039510634660936,39.24333960098654,1.2353788674269248,0.0,3.9670581914971548,6.29349710629777,0.2197748528729457,0.8927281385069961,0.004300114771312055,0.020409165652355257,0.0,0.0,19054.163125692005
