ID,¼±¼ö¸í,µ¥ºß³âµµ,¿¬µµ,Æò±ÕÀÚÃ¥Á¡,°æ±â,½Â¸®,ÆÐ¹è,¼¼ÀÌºê,È¦µå,½Â·ü,ÀÌ´×,ÇÇ¾ÈÅ¸,È¨·±,º¼³Ý,»ç±¸,»ïÁø,½ÇÁ¡,ÀÚÃ¥Á¡,ÀÌ´×´ç_Ãâ·çÇã¿ë·ü,¿ÏÅõ,¿ÏºÀ,Ä÷¸®Æ¼½ºÅ¸Æ®,ºí·Ð¼¼ÀÌºê,Å¸ÀÚ¼ö,Åõ±¸¼ö,ÇÇ¾ÈÅ¸À²,2·çÅ¸,3·çÅ¸,Èñ»ý¹øÆ®,Èñ»ýÇÃ¶óÀÌ,°íÀÇ4±¸,ÆøÅõ,º¸Å©,¼±¹ß,¼±¹ß½Â,±¸¿ø½Â,Á¾·á,¼¼ÀÌºê±âÈ¸,ÅÍÇÁ¼¼ÀÌºê,º´»ìÅ¸,¶¥º¼,¶á°ø,ÀÎÇÃ·¹ÀÌÅ¸±¸Å¸À²,Åõ±¸¼ö/°æ±â,Åõ±¸¼ö/ÀÌ´×,9ÀÌ´×´ç »ïÁø,9ÀÌ´×´ç º¼³Ý,ÇÇÃâ·çÀ²,ÇÇÀåÅ¸À²,ÇÇOPS,°æ±â(¼öºñ),¼±¹ß°æ±â(¼öºñ),¼öºñÀÌ´×(¼öºñ),½ÇÃ¥(¼öºñ),°ßÁ¦»ç(¼öºñ),ÀÚ»ì(¼öºñ),º¸»ì(¼öºñ),º´»ì(¼öºñ),¼öºñÀ²(¼öºñ),WAR,FA¿©ºÎ,´º½º°³¼ö(¿¬µµº°Á¤±ÔÈ­),´º½º°³¼ö(´©ÀûÁ¤±ÔÈ­),¼ö»óÈ½¼ö,´©ÀûÀÌ´×,Æ÷Áö¼Ç ¿£Æ®·ÎÇÇ,Ãâ»ý¿¬µµ,Ãâ»ý¿ù,Ãâ»ýÀÏ,³ªÀÌ,ÆÀ¸í_KIA,ÆÀ¸í_KT,ÆÀ¸í_LG,ÆÀ¸í_NC,ÆÀ¸í_SK,ÆÀ¸í_µÎ»ê,ÆÀ¸í_·Ôµ¥,ÆÀ¸í_»ï¼º,ÆÀ¸í_¿ì¸®/È÷¾î·ÎÁî/³Ø¼¾/Å°¿ò,ÆÀ¸í_ÇÑÈ­,ÆÀ¸í_Çö´ë,¿¬ºÀ,1Â÷FA¿©ºÎ,2Â÷FA¿©ºÎ,5³âÆò±ÕÆò±ÕÀÚÃ¥Á¡,5³âÆò±Õ°æ±â,5³âÆò±Õ½Â¸®,5³âÆò±ÕÆÐ¹è,5³âÆò±Õ¼¼ÀÌºê,5³âÆò±ÕÈ¦µå,5³âÆò±Õ½Â·ü,5³âÆò±ÕÀÌ´×,5³âÆò±ÕÇÇ¾ÈÅ¸,5³âÆò±ÕÈ¨·±,5³âÆò±Õº¼³Ý,5³âÆò±Õ»ç±¸,5³âÆò±Õ»ïÁø,5³âÆò±Õ½ÇÁ¡,5³âÆò±ÕÀÚÃ¥Á¡,5³âÆò±ÕÀÌ´×´ç_Ãâ·çÇã¿ë·ü,5³âÆò±Õ¿ÏÅõ,5³âÆò±Õ¿ÏºÀ,5³âÆò±ÕÄ÷¸®Æ¼½ºÅ¸Æ®,5³âÆò±Õºí·Ð¼¼ÀÌºê,5³âÆò±ÕÅ¸ÀÚ¼ö,5³âÆò±ÕÅõ±¸¼ö,5³âÆò±ÕÇÇ¾ÈÅ¸À²,5³âÆò±Õ2·çÅ¸,5³âÆò±Õ3·çÅ¸,5³âÆò±ÕÈñ»ý¹øÆ®,5³âÆò±ÕÈñ»ýÇÃ¶óÀÌ,5³âÆò±Õ°íÀÇ4±¸,5³âÆò±ÕÆøÅõ,5³âÆò±Õº¸Å©,5³âÆò±Õ¼±¹ß,5³âÆò±Õ¼±¹ß½Â,5³âÆò±Õ±¸¿ø½Â,5³âÆò±ÕÁ¾·á,5³âÆò±Õ¼¼ÀÌºê±âÈ¸,5³âÆò±ÕÅÍÇÁ¼¼ÀÌºê,5³âÆò±Õº´»ìÅ¸,5³âÆò±Õ¶¥º¼,5³âÆò±Õ¶á°ø,5³âÆò±ÕÀÎÇÃ·¹ÀÌÅ¸±¸Å¸À²,5³âÆò±ÕÅõ±¸¼ö/°æ±â,5³âÆò±ÕÅõ±¸¼ö/ÀÌ´×,5³âÆò±Õ9ÀÌ´×´ç »ïÁø,5³âÆò±Õ9ÀÌ´×´ç º¼³Ý,5³âÆò±ÕÇÇÃâ·çÀ²,5³âÆò±ÕÇÇÀåÅ¸À²,5³âÆò±ÕÇÇOPS,5³âÆò±Õ°æ±â(¼öºñ),5³âÆò±Õ¼±¹ß°æ±â(¼öºñ),5³âÆò±Õ¼öºñÀÌ´×(¼öºñ),5³âÆò±Õ½ÇÃ¥(¼öºñ),5³âÆò±Õ°ßÁ¦»ç(¼öºñ),5³âÆò±ÕÀÚ»ì(¼öºñ),5³âÆò±Õº¸»ì(¼öºñ),5³âÆò±Õº´»ì(¼öºñ),5³âÆò±Õ¼öºñÀ²(¼öºñ),5³âÆò±ÕWAR,5³âÆò±Õ´º½º°³¼ö(¿¬µµº°Á¤±ÔÈ­),5³âÆò±Õ¼ö»óÈ½¼ö,5³âÆò±ÕÆ÷Áö¼Ç ¿£Æ®·ÎÇÇ,5³âÆò±Õ¿¬ºÀ
67588,À±¼ººó,2017,2018,6.39,18,2,5,0,0,0.286,50.66666667,51,5,36,3,65,36,36,1.72,0,0,1,0,235,1010,0.264,12,0,2,1,0,5,0,10,1,1,2,0,0,4,32,46,0.371,56.1,19.9,11.55,6.39,0.386,0.404,0.79,18,10,50.66666667,0,0,2,3,0,1,0.389,0,0.131754256,0.131754256,0,50.66666667,0,1999,2,26,20,0,0,0,0,0,0,1,0,0,0,0,2714.678112,0,0,6.39,18,2,5,0,0,0.286,50.66666667,51,5,36,3,65,36,36,1.72,0,0,1,0,235,1010,0.264,12,0,2,1,0,5,0,10,1,1,2,0,0,4,32,46,0.371,56.1,19.9,11.55,6.39,0.386,0.404,0.79,18,10,50.66666667,0,0,2,3,0,1,0.389,0.131754256,0,0,2725.074198
69646,¾ç½ÂÃ¶,2019,2019,12.12,11,1,1,0,0,0.5,16.33333333,23,3,15,0,11,22,22,2.33,0,0,0,0,85,345,0.329,10,1,0,0,0,2,0,1,0,1,4,0,0,1,21,15,0.357,31.4,21.1,6.06,8.27,0.447,0.629,1.076,11,1,16.33333333,0,0,1,3,0,1,-0.67,0,0.0184804928,0.0184804928,0,16.33333333,0,1992,7,15,28,1,0,0,0,0,0,0,0,0,0,0,3000,0,0,12.12,11,1,1,0,0,0.5,16.33333333,23,3,15,0,11,22,22,2.33,0,0,0,0,85,345,0.329,10,1,0,0,0,2,0,1,0,1,4,0,0,1,21,15,0.357,31.4,21.1,6.06,8.27,0.447,0.629,1.076,11,1,16.33333333,0,0,1,3,0,1,-0.67,0.0184804928,0,0,2714.678112
61456,À±¿µ»ï,2011,2017,5.62,28,1,4,1,0,0.2,49.66666667,67,8,17,0,46,31,31,1.69,0,0,0,0,229,851,0.321,13,2,2,1,0,5,0,2,0,1,8,1,0,3,43,54,0.378,30.4,17.1,8.34,3.08,0.37,0.517,0.887,28,2,49.66666667,0,0,2,3,0,1,0.477,0,0.0623028391,0.0805885534,0,53.66666667,0,1992,7,14,26,0,0,0,0,0,0,0,0,1,0,0,4541.79033,0,0,5.62,28,1,4,1,0,0.2,49.66666667,67,8,17,0,46,31,31,1.69,0,0,0,0,229,851,0.321,13,2,2,1,0,5,0,2,0,1,8,1,0,3,43,54,0.378,30.4,17.1,8.34,3.08,0.37,0.517,0.887,28,2,49.66666667,0,0,2,3,0,1,0.477,0.0623028391,0,0,2765.316234
61456,À±¿µ»ï,2011,2018,4.85,22,1,0,2,0,1,29.66666667,31,2,8,1,32,18,16,1.31,0,0,0,0,127,458,0.272,7,0,4,0,1,1,0,0,0,1,11,2,0,2,24,27,0.363,20.8,15.4,9.71,2.43,0.325,0.386,0.711,22,0,29.66666667,1,0,2,4,0,0.857,0.351,0,0.0118430792,0.0924316326,0,83.33333333,0,1992,7,14,27,0,0,0,0,0,0,0,0,1,0,0,4524.463519,0,0,5.332058824,25.75630252,1,2.504201681,1.37394958,0,0.499159664,42.18767507,53.53781513,5.756302521,13.63445378,0.37394958,40.76470588,26.13865546,25.3907563,1.54789916,0,0,0,0,190.8571429,704.0378151,0.302676471,10.75630252,1.25210084,2.74789916,0.62605042,0.37394958,3.504201681,0,1.25210084,0,1,9.121848739,1.37394958,0,2.62605042,35.89495798,43.90336134,0.372390756,26.81008403,16.46428571,8.852310924,2.836932773,0.353172269,0.468012605,0.821184874,25.75630252,1.25210084,42.18767507,0.37394958,0,2,3.37394958,0,0.94652521,0.429882353,0.0434334331,0,0,4541.79033
61457,ÀÓÇöÁØ,2011,2015,11.37,7,0,0,0,0,0,6.333333333,11,3,2,0,6,10,8,2.05,0,0,0,0,33,129,0.355,3,1,0,0,0,1,0,0,0,0,3,0,0,0,7,7,0.364,18.4,20.4,8.53,2.84,0.394,0.806,1.2,7,0,6.333333333,0,0,1,2,0,1,-0.249,0,0.0027155465,0.0329154531,0,23.66666667,0,1988,12,21,28,0,0,0,0,0,0,0,1,0,0,0,3445.439239,0,0,11.37,7,0,0,0,0,0,6.333333333,11,3,2,0,6,10,8,2.05,0,0,0,0,33,129,0.355,3,1,0,0,0,1,0,0,0,0,3,0,0,0,7,7,0.364,18.4,20.4,8.53,2.84,0.394,0.806,1.2,7,0,6.333333333,0,0,1,2,0,1,-0.249,0.0027155465,0,0,2846.34
61457,ÀÓÇöÁØ,2011,2016,36,2,0,0,0,0,0,1,4,1,0,1,0,4,4,4,0,0,0,0,8,31,0.571,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0.5,15.5,31,0,0,0.625,1,1.625,2,0,1,0,0,1,0,0,1,-0.129,0,0.0101522843,0.0430677374,0,24.66666667,0,1988,12,21,29,0,0,0,0,0,0,0,1,0,0,0,3277.411833,0,0,14.72863636,6.318181818,0,0,0,0,0,5.606060606,10.04545455,2.727272727,1.727272727,0.136363636,5.181818182,9.181818182,7.454545455,2.315909091,0,0,0,0,29.59090909,115.6363636,0.384454545,2.590909091,0.863636364,0,0,0,0.863636364,0,0,0,0,2.727272727,0,0,0,6.318181818,6.181818182,0.382545455,18.00454545,21.84545455,7.366818182,2.452727273,0.4255,0.832454545,1.257954545,6.318181818,0,5.606060606,0,0,1,1.727272727,0,1,-0.232636364,0.00372964711,0,0,3445.439239
61457,ÀÓÇöÁØ,2011,2017,5.06,11,0,0,0,0,0,10.66666667,11,0,4,2,4,7,6,1.41,0,0,0,0,48,193,0.275,3,0,1,1,0,0,0,0,0,0,3,0,0,1,12,14,0.297,17.5,18.1,3.38,3.38,0.362,0.35,0.712,10,0,10.66666667,0,0,3,2,1,1,0.114,0,0.0047318612,0.0477995986,0,35.33333333,0,1988,12,21,30,0,0,0,0,0,0,0,1,0,0,0,3532.50359,0,0,8.999074074,9.092592593,0,0,0,0,0,8.604938272,10.61111111,1.111111111,3.074074074,1.240740741,4.481481481,7.888888889,6.592592593,1.779074074,0,0,0,0,40.5,161.4814815,0.319592593,2.833333333,0.351851852,0.592592593,0.592592593,0,0.351851852,0,0,0,0,2.888888889,0,0,0.592592593,9.685185185,10.81481481,0.331851852,17.70555556,19.62592593,5.004259259,3.002222222,0.38787037,0.546555556,0.934425926,8.5,0,8.604938272,0,0,2.185185185,1.888888889,0.592592593,1,-0.0272222222,0.00432355176,0,0,3422.526411
61457,ÀÓÇöÁØ,2011,2018,3.9,40,0,1,0,3,0,27.66666667,20,3,11,5,26,12,12,1.12,0,0,0,0,116,463,0.204,4,1,1,1,1,0,0,0,0,0,11,3,0,2,19,34,0.243,11.6,16.7,8.46,3.58,0.313,0.357,0.67,40,0,27.66666667,0,0,2,5,0,1,0.641,0,0.0170244264,0.064824025,0,63,0,1988,12,21,31,0,0,0,0,0,0,0,1,0,0,0,3519.027182,0,0,5.909854015,27.81751825,0,0.605839416,0,1.817518248,0,20.15328467,16.29927007,2.255474453,7.875912409,3.518248175,17.51824818,10.37956204,9.868613139,1.379781022,0,0,0,0,86.24087591,344.1532847,0.249562044,3.540145985,0.744525547,0.839416058,0.839416058,0.605839416,0.138686131,0,0,0,0,7.802919708,1.817518248,0,1.445255474,15.32846715,24.86131387,0.278021898,14.00656934,17.85328467,7.097883212,3.352262774,0.342510949,0.431715328,0.774226277,27.58394161,0,20.15328467,0,0,2.072992701,3.773722628,0.233576642,1,0.377613139,0.0120182422,0,0,3487.698073
61457,ÀÓÇöÁØ,2011,2019,3.4,71,1,0,0,8,1,42.33333333,34,2,12,3,35,19,16,1.09,0,0,0,2,177,697,0.214,9,1,0,3,0,0,0,0,0,1,11,7,0,1,25,68,0.256,9.8,16.5,7.44,2.55,0.277,0.321,0.598,71,0,42.33333333,0,0,2,3,0,1,0.715,0,0.0143737166,0.0791977416,0,105.3333333,0,1988,12,21,32,0,0,0,0,0,0,0,1,0,0,0,11000,0,0,4.702462121,48.59090909,0.481060606,0.314393939,0,4.791666667,0.481060606,30.82323232,24.81439394,2.132575758,9.859848485,3.268939394,25.9280303,14.52651515,12.81818182,1.240378788,0,0,0,0.962121212,129.9015152,513.8939394,0.232454545,6.166666667,0.867424242,0.435606061,1.878787879,0.314393939,0.071969697,0,0,0,0.481060606,9.340909091,4.310606061,0,1.231060606,19.98106061,45.61363636,0.26742803,11.98295455,17.20227273,7.262462121,2.966325758,0.310996212,0.378454545,0.689450758,48.46969697,0,30.82323232,0,0,2.037878788,3.401515152,0.121212121,1,0.539916667,0.0131513682,0,0,3506.678482
67603,ÀÌ½ÂÈ£,2017,2018,5.6,32,1,3,0,4,0.25,45,44,8,22,5,38,28,28,1.47,0,0,0,0,203,825,0.253,9,0,0,2,1,8,0,4,0,1,4,5,0,1,44,50,0.277,25.8,18.3,7.6,4.4,0.35,0.443,0.793,32,4,45,0,1,4,3,0,1,0.547,0,0.156920799,0.156920799,0,45,0,1999,2,8,20,0,0,0,0,0,0,0,0,1,0,0,2714.678112,0,0,5.6,32,1,3,0,4,0.25,45,44,8,22,5,38,28,28,1.47,0,0,0,0,203,825,0.253,9,0,0,2,1,8,0,4,0,1,4,5,0,1,44,50,0.277,25.8,18.3,7.6,4.4,0.35,0.443,0.793,32,4,45,0,1,4,3,0,1,0.547,0.156920799,0,0,2725.074198
