ID,선수명,데뷔년도,연도,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,피출루율,피장타율,피OPS,경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),수비율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적이닝,포지션 엔트로피,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,연봉,1차FA여부,2차FA여부,5년평균평균자책점,5년평균경기,5년평균승리,5년평균패배,5년평균세이브,5년평균홀드,5년평균승률,5년평균이닝,5년평균피안타,5년평균홈런,5년평균볼넷,5년평균사구,5년평균삼진,5년평균실점,5년평균자책점,5년평균이닝당_출루허용률,5년평균완투,5년평균완봉,5년평균퀄리티스타트,5년평균블론세이브,5년평균타자수,5년평균투구수,5년평균피안타율,5년평균2루타,5년평균3루타,5년평균희생번트,5년평균희생플라이,5년평균고의4구,5년평균폭투,5년평균보크,5년평균선발,5년평균선발승,5년평균구원승,5년평균종료,5년평균세이브기회,5년평균터프세이브,5년평균병살타,5년평균땅볼,5년평균뜬공,5년평균인플레이타구타율,5년평균투구수/경기,5년평균투구수/이닝,5년평균9이닝당 삼진,5년평균9이닝당 볼넷,5년평균피출루율,5년평균피장타율,5년평균피OPS,5년평균경기(수비),5년평균선발경기(수비),5년평균수비이닝(수비),5년평균실책(수비),5년평균견제사(수비),5년평균자살(수비),5년평균보살(수비),5년평균병살(수비),5년평균수비율(수비),5년평균WAR,5년평균뉴스개수(연도별정규화),5년평균수상횟수,5년평균포지션 엔트로피,5년평균연봉
70329,마일영,2000,2002,4.56,30,7,4,0,0,0.636,130.3333333,132,16,69,10,98,76,66,1.54,0,0,10,0,583,2361,0.268,29,2,9,3,1,7,0,22,6,1,2,0,0,18,167,98,0.304,78.7,18.1,6.77,4.76,0.368,0.433,0.801,29,22,130,1,0,9,30,6,0.975,1.391,0,0.0491803279,0.0491803279,0,130.3333333,0,1981,5,28,22,0,0,0,0,0,0,0,0,0,0,1,8725.992265,0,0,4.56,30,7,4,0,0,0.636,130.3333333,132,16,69,10,98,76,66,1.54,0,0,10,0,583,2361,0.268,29,2,9,3,1,7,0,22,6,1,2,0,0,18,167,98,0.304,78.7,18.1,6.77,4.76,0.368,0.433,0.801,29,22,130,1,0,9,30,6,0.975,1.391,0.0491803279,0,0,2517.298049
70329,마일영,2000,2003,5.97,20,3,6,0,0,0.333,69.33333333,81,4,41,7,32,50,46,1.76,0,0,3,0,333,1270,0.296,19,0,8,3,0,5,0,14,3,0,2,0,0,6,103,61,0.32,63.5,18.3,4.15,5.32,0.397,0.409,0.806,20,14,69.33333333,2,0,6,21,0,0.931,0.352,0,0.0476190476,0.0967993755,0,199.6666667,0,1981,5,28,23,0,0,0,0,0,0,0,0,0,0,1,7733.09231,0,0,5.265,25,5,5,0,0,0.4845,99.83333333,106.5,10,55,8.5,65,63,56,1.65,0,0,6.5,0,458,1815.5,0.282,24,1,8.5,3,0.5,6,0,18,4.5,0.5,2,0,0,12,135,79.5,0.312,71.1,18.2,5.46,5.04,0.3825,0.421,0.8035,24.5,18,99.66666667,1.5,0,7.5,25.5,3,0.953,0.8715,0.0483996878,0,0,8725.992265
70329,마일영,2000,2007,4.73,21,0,0,0,2,0,13.33333333,13,2,6,2,6,8,7,1.43,0,0,0,1,58,232,0.265,2,0,1,0,0,0,0,0,0,0,3,4,0,2,21,9,0.268,11,17.4,4.05,4.05,0.368,0.429,0.797,21,0,13.33333333,0,0,1,2,0,1,-0.017,0,0.011994003,0.151217621,0,293.3333333,0,1981,5,28,27,0,0,0,0,0,0,0,0,0,0,1,6123.444743,0,0,5.086666667,23.66666667,3.333333333,3.333333333,0,0.666666667,0.323,71,75.33333333,7.333333333,38.66666667,6.333333333,45.33333333,44.66666667,39.66666667,1.576666667,0,0,4.333333333,0.333333333,324.6666667,1287.666667,0.276333333,16.66666667,0.666666667,6,2,0.333333333,4,0,12,3,0.333333333,2.333333333,1.333333333,0,8.666666667,97,56,0.297333333,51.06666667,17.93333333,4.99,4.71,0.377666667,0.423666667,0.801333333,23.33333333,12,70.88888889,1,0,5.333333333,17.66666667,2,0.968666667,0.575333333,0.0362644595,0,0,8229.542287
70329,마일영,2000,2008,3.49,28,11,11,0,0,0.5,173,155,11,57,12,83,77,67,1.23,1,0,19,0,712,2658,0.244,21,4,6,1,0,4,0,28,11,0,1,0,0,25,243,156,0.265,94.9,15.4,4.32,2.97,0.317,0.341,0.658,28,28,173,0,1,11,29,3,1,3.666,0,0.0813226095,0.23254023,0,466.3333333,0,1981,5,28,28,0,0,0,0,0,0,0,0,1,0,0,13110.16144,0,0,4.6875,24.75,5.25,5.25,0,0.5,0.36725,96.5,95.25,8.25,43.25,7.75,54.75,52.75,46.5,1.49,0.25,0,8,0.25,421.5,1630.25,0.26825,17.75,1.5,6,1.75,0.25,4,0,16,5,0.25,2,1,0,12.75,133.5,81,0.28925,62.025,17.3,4.8225,4.275,0.3625,0.403,0.7655,24.5,16,96.41666667,0.75,0.25,6.75,20.5,2.25,0.9765,1.348,0.047528997,0,0,7527.509773
70329,마일영,2000,2009,6.93,27,5,8,0,1,0.385,97.33333333,127,17,48,3,51,76,75,1.8,0,0,5,0,451,1788,0.328,24,1,11,2,0,4,0,20,4,1,2,1,0,16,130,81,0.343,66.2,18.4,4.72,4.44,0.405,0.527,0.932,27,20,97.33333333,1,0,5,17,2,0.957,0.25,0,0.127922971,0.360463201,0,563.6666667,0,1981,5,28,29,0,0,0,0,0,0,0,0,1,0,0,12735.9392,0,0,5.136,25.2,5.2,5.8,0,0.6,0.3708,96.66666667,101.6,10,44.2,6.8,54,57.4,52.2,1.552,0.2,0,7.4,0.2,427.4,1661.8,0.2802,19,1.4,7,1.8,0.2,4,0,16.8,4.8,0.4,2,1,0,13.4,132.8,81,0.3,62.86,17.52,4.802,4.308,0.371,0.4278,0.7988,25,16.8,96.6,0.8,0.2,6.4,19.8,2.2,0.9726,1.1284,0.0636077918,0,0,8923.17269
70329,마일영,2000,2010,7.01,47,1,3,2,10,0.25,43.66666667,51,9,20,1,26,37,34,1.63,0,0,0,0,200,770,0.297,7,1,3,4,2,3,0,0,0,1,8,9,1,4,59,40,0.298,16.4,17.6,5.36,4.12,0.365,0.506,0.871,47,0,44,0,0,5,5,0,1,-0.226,0,0.0313216196,0.391784821,0,607.3333333,0,1981,5,28,30,0,0,0,0,0,0,0,0,0,1,0,9237.89816,0,0,5.626,28.6,4,5.6,0.4,2.6,0.2936,79.33333333,85.4,8.6,34.4,5,39.6,49.6,45.8,1.57,0.2,0,5.4,0.2,350.8,1343.6,0.286,14.6,1.2,5.8,2,0.4,3.2,0,12.4,3.6,0.4,3.2,2.8,0.2,10.6,111.2,69.4,0.2988,50.4,17.42,4.52,4.18,0.3704,0.4424,0.8128,28.6,12.4,79.4,0.6,0.2,5.6,14.8,1,0.9776,0.805,0.0600360501,0,0,9685.725992
70329,마일영,2000,2011,5.81,51,2,5,0,8,0.286,69.66666667,75,4,49,3,32,46,45,1.78,0,0,0,0,325,1252,0.286,14,0,9,2,1,6,0,8,0,2,3,5,0,10,91,66,0.311,24.5,18,4.13,6.33,0.402,0.385,0.787,51,8,69.66666667,1,0,5,8,0,0.929,0.172,0,0.0481712756,0.439956097,0,677,0,1981,5,28,31,0,0,0,0,0,0,0,0,0,1,0,10891.73356,0,0,5.594,34.8,3.8,5.4,0.4,4.2,0.2842,79.4,84.2,8.6,36,4.2,39.6,48.8,45.6,1.574,0.2,0,4.8,0.2,349.2,1340,0.284,13.6,1.2,6,1.8,0.6,3.4,0,11.2,3,0.8,3.4,3.8,0.2,11.4,108.8,70.4,0.297,42.6,17.36,4.516,4.382,0.3714,0.4376,0.809,34.8,11.2,79.46666667,0.4,0.2,5.4,12.2,1,0.9772,0.769,0.0601464957,0,0,9788.107171
70329,마일영,2000,2012,5.55,55,2,3,1,6,0.4,61.66666667,86,6,18,2,31,46,38,1.69,0,0,0,1,289,1019,0.337,14,3,11,3,0,9,0,2,0,2,14,8,0,8,91,50,0.362,18.5,16.5,4.52,2.63,0.381,0.486,0.867,55,2,61.66666667,3,0,2,16,0,0.857,0.03,1,0.021724819,0.461680916,0,738.6666667,0,1981,5,28,32,0,0,0,0,0,0,0,0,0,1,0,28672.02941,1,0,5.758,41.6,4.2,6,0.6,5,0.3642,89.06666667,98.8,9.4,38.4,4.2,44.6,56.4,51.8,1.626,0.2,0,4.8,0.2,395.4,1497.4,0.2984,16,1.8,8,2.4,0.6,5.2,0,11.6,3,1.2,5.6,4.6,0.2,12.6,122.8,78.6,0.3158,44.1,17.18,4.61,4.098,0.374,0.449,0.823,41.6,11.6,89.13333333,1,0.2,5.6,15,1,0.9486,0.7784,0.0620926589,0,0,10419.83542
70329,마일영,2000,2013,6.57,13,0,1,0,0,0,12.33333333,17,1,6,2,6,9,9,1.86,0,0,0,0,60,219,0.333,0,0,1,0,0,0,0,1,0,0,3,0,0,1,15,13,0.364,16.8,17.8,4.38,4.38,0.424,0.392,0.816,13,1,12.33333333,1,0,3,3,1,0.857,0.008,0,0.00807319699,0.469754113,0,751,0,1981,5,28,33,0,0,0,0,0,0,0,0,0,1,0,28311.09529,1,0,6.374,38.6,2,4,0.6,5,0.2642,56.93333333,71.2,7.4,28.2,2.2,29.2,42.8,40.2,1.752,0,0,1,0.2,265,1009.6,0.3162,11.8,1,7,2.2,0.6,4.4,0,6.2,0.8,1.2,6,4.6,0.2,7.8,77.2,50,0.3356,28.48,17.66,4.622,4.38,0.3954,0.4592,0.8546,38.6,6.2,57,1.2,0,4,9.8,0.6,0.92,0.0468,0.0474427764,0,0,14929.55236
70329,마일영,2000,2014,8.55,19,0,0,0,1,0,20,32,1,9,4,8,20,19,2.05,0,0,0,0,106,373,0.356,5,3,1,2,0,2,1,0,0,0,6,1,0,0,31,21,0.373,19.6,18.7,3.6,4.05,0.429,0.511,0.94,19,0,20,1,0,5,1,0,0.857,0.009,0,0.00304761905,0.472801732,0,771,0,1981,5,28,34,0,0,0,0,0,0,0,0,0,1,0,28112.3514,1,0,6.698,37,1,2.4,0.6,5,0.1872,41.46666667,52.2,4.2,20.4,2.4,20.6,31.6,29,1.802,0,0,0,0.2,196,726.6,0.3218,8,1.4,5,2.2,0.6,4,0.2,2.2,0,1,6.8,4.6,0.2,4.6,57.4,38,0.3416,19.16,17.72,4.398,4.302,0.4002,0.456,0.8562,37,2.2,41.53333333,1.2,0,4,6.6,0.2,0.9,-0.0014,0.022467706,0,0,17969.73913
