ID,¼±¼ö¸í,µ¥ºß³âµµ,¿¬µµ,Æò±ÕÀÚÃ¥Á¡,°æ±â,½Â¸®,ÆÐ¹è,¼¼ÀÌºê,È¦µå,½Â·ü,ÀÌ´×,ÇÇ¾ÈÅ¸,È¨·±,º¼³Ý,»ç±¸,»ïÁø,½ÇÁ¡,ÀÚÃ¥Á¡,ÀÌ´×´ç_Ãâ·çÇã¿ë·ü,¿ÏÅõ,¿ÏºÀ,Ä÷¸®Æ¼½ºÅ¸Æ®,ºí·Ð¼¼ÀÌºê,Å¸ÀÚ¼ö,Åõ±¸¼ö,ÇÇ¾ÈÅ¸À²,2·çÅ¸,3·çÅ¸,Èñ»ý¹øÆ®,Èñ»ýÇÃ¶óÀÌ,°íÀÇ4±¸,ÆøÅõ,º¸Å©,¼±¹ß,¼±¹ß½Â,±¸¿ø½Â,Á¾·á,¼¼ÀÌºê±âÈ¸,ÅÍÇÁ¼¼ÀÌºê,º´»ìÅ¸,¶¥º¼,¶á°ø,ÀÎÇÃ·¹ÀÌÅ¸±¸Å¸À²,Åõ±¸¼ö/°æ±â,Åõ±¸¼ö/ÀÌ´×,9ÀÌ´×´ç »ïÁø,9ÀÌ´×´ç º¼³Ý,ÇÇÃâ·çÀ²,ÇÇÀåÅ¸À²,ÇÇOPS,°æ±â(¼öºñ),¼±¹ß°æ±â(¼öºñ),¼öºñÀÌ´×(¼öºñ),½ÇÃ¥(¼öºñ),°ßÁ¦»ç(¼öºñ),ÀÚ»ì(¼öºñ),º¸»ì(¼öºñ),º´»ì(¼öºñ),¼öºñÀ²(¼öºñ),WAR,FA¿©ºÎ,´º½º°³¼ö(¿¬µµº°Á¤±ÔÈ­),´º½º°³¼ö(´©ÀûÁ¤±ÔÈ­),¼ö»óÈ½¼ö,´©ÀûÀÌ´×,Æ÷Áö¼Ç ¿£Æ®·ÎÇÇ,Ãâ»ý¿¬µµ,Ãâ»ý¿ù,Ãâ»ýÀÏ,³ªÀÌ,ÆÀ¸í_KIA,ÆÀ¸í_KT,ÆÀ¸í_LG,ÆÀ¸í_NC,ÆÀ¸í_SK,ÆÀ¸í_µÎ»ê,ÆÀ¸í_·Ôµ¥,ÆÀ¸í_»ï¼º,ÆÀ¸í_¿ì¸®/È÷¾î·ÎÁî/³Ø¼¾/Å°¿ò,ÆÀ¸í_ÇÑÈ­,ÆÀ¸í_Çö´ë,¿¬ºÀ,1Â÷FA¿©ºÎ,2Â÷FA¿©ºÎ,5³âÆò±ÕÆò±ÕÀÚÃ¥Á¡,5³âÆò±Õ°æ±â,5³âÆò±Õ½Â¸®,5³âÆò±ÕÆÐ¹è,5³âÆò±Õ¼¼ÀÌºê,5³âÆò±ÕÈ¦µå,5³âÆò±Õ½Â·ü,5³âÆò±ÕÀÌ´×,5³âÆò±ÕÇÇ¾ÈÅ¸,5³âÆò±ÕÈ¨·±,5³âÆò±Õº¼³Ý,5³âÆò±Õ»ç±¸,5³âÆò±Õ»ïÁø,5³âÆò±Õ½ÇÁ¡,5³âÆò±ÕÀÚÃ¥Á¡,5³âÆò±ÕÀÌ´×´ç_Ãâ·çÇã¿ë·ü,5³âÆò±Õ¿ÏÅõ,5³âÆò±Õ¿ÏºÀ,5³âÆò±ÕÄ÷¸®Æ¼½ºÅ¸Æ®,5³âÆò±Õºí·Ð¼¼ÀÌºê,5³âÆò±ÕÅ¸ÀÚ¼ö,5³âÆò±ÕÅõ±¸¼ö,5³âÆò±ÕÇÇ¾ÈÅ¸À²,5³âÆò±Õ2·çÅ¸,5³âÆò±Õ3·çÅ¸,5³âÆò±ÕÈñ»ý¹øÆ®,5³âÆò±ÕÈñ»ýÇÃ¶óÀÌ,5³âÆò±Õ°íÀÇ4±¸,5³âÆò±ÕÆøÅõ,5³âÆò±Õº¸Å©,5³âÆò±Õ¼±¹ß,5³âÆò±Õ¼±¹ß½Â,5³âÆò±Õ±¸¿ø½Â,5³âÆò±ÕÁ¾·á,5³âÆò±Õ¼¼ÀÌºê±âÈ¸,5³âÆò±ÕÅÍÇÁ¼¼ÀÌºê,5³âÆò±Õº´»ìÅ¸,5³âÆò±Õ¶¥º¼,5³âÆò±Õ¶á°ø,5³âÆò±ÕÀÎÇÃ·¹ÀÌÅ¸±¸Å¸À²,5³âÆò±ÕÅõ±¸¼ö/°æ±â,5³âÆò±ÕÅõ±¸¼ö/ÀÌ´×,5³âÆò±Õ9ÀÌ´×´ç »ïÁø,5³âÆò±Õ9ÀÌ´×´ç º¼³Ý,5³âÆò±ÕÇÇÃâ·çÀ²,5³âÆò±ÕÇÇÀåÅ¸À²,5³âÆò±ÕÇÇOPS,5³âÆò±Õ°æ±â(¼öºñ),5³âÆò±Õ¼±¹ß°æ±â(¼öºñ),5³âÆò±Õ¼öºñÀÌ´×(¼öºñ),5³âÆò±Õ½ÇÃ¥(¼öºñ),5³âÆò±Õ°ßÁ¦»ç(¼öºñ),5³âÆò±ÕÀÚ»ì(¼öºñ),5³âÆò±Õº¸»ì(¼öºñ),5³âÆò±Õº´»ì(¼öºñ),5³âÆò±Õ¼öºñÀ²(¼öºñ),5³âÆò±ÕWAR,5³âÆò±Õ´º½º°³¼ö(¿¬µµº°Á¤±ÔÈ­),5³âÆò±Õ¼ö»óÈ½¼ö,5³âÆò±ÕÆ÷Áö¼Ç ¿£Æ®·ÎÇÇ,5³âÆò±Õ¿¬ºÀ
67588,À±¼ººó,2017,2018,6.39,18,2,5,0,0,0.286,50.66666667,51,5,36,3,65,36,36,1.72,0,0,1,0,235,1010,0.264,12,0,2,1,0,5,0,10,1,1,2,0,0,4,32,46,0.371,56.1,19.9,11.55,6.39,0.386,0.404,0.79,18,10,50.66666667,0,0,2,3,0,1,0.389,0,0.131754256,0.131754256,0,50.66666667,0,1999,2,26,20,0,0,0,0,0,0,1,0,0,0,0,2714.678112,0,0,6.39,18,2,5,0,0,0.286,50.66666667,51,5,36,3,65,36,36,1.72,0,0,1,0,235,1010,0.264,12,0,2,1,0,5,0,10,1,1,2,0,0,4,32,46,0.371,56.1,19.9,11.55,6.39,0.386,0.404,0.79,18,10,50.66666667,0,0,2,3,0,1,0.389,0.131754256,0,0,2725.074198
69646,¾ç½ÂÃ¶,2019,2019,12.12,11,1,1,0,0,0.5,16.33333333,23,3,15,0,11,22,22,2.33,0,0,0,0,85,345,0.329,10,1,0,0,0,2,0,1,0,1,4,0,0,1,21,15,0.357,31.4,21.1,6.06,8.27,0.447,0.629,1.076,11,1,16.33333333,0,0,1,3,0,1,-0.67,0,0.0184804928,0.0184804928,0,16.33333333,0,1992,7,15,28,1,0,0,0,0,0,0,0,0,0,0,3000,0,0,12.12,11,1,1,0,0,0.5,16.33333333,23,3,15,0,11,22,22,2.33,0,0,0,0,85,345,0.329,10,1,0,0,0,2,0,1,0,1,4,0,0,1,21,15,0.357,31.4,21.1,6.06,8.27,0.447,0.629,1.076,11,1,16.33333333,0,0,1,3,0,1,-0.67,0.0184804928,0,0,2714.678112
61456,À±¿µ»ï,2011,2017,5.62,28,1,4,1,0,0.2,49.66666667,67,8,17,0,46,31,31,1.69,0,0,0,0,229,851,0.321,13,2,2,1,0,5,0,2,0,1,8,1,0,3,43,54,0.378,30.4,17.1,8.34,3.08,0.37,0.517,0.887,28,2,49.66666667,0,0,2,3,0,1,0.477,0,0.0623028391,0.0805885534,0,53.66666667,0,1992,7,14,26,0,0,0,0,0,0,0,0,1,0,0,4541.79033,0,0,5.62,28,1,4,1,0,0.2,49.66666667,67,8,17,0,46,31,31,1.69,0,0,0,0,229,851,0.321,13,2,2,1,0,5,0,2,0,1,8,1,0,3,43,54,0.378,30.4,17.1,8.34,3.08,0.37,0.517,0.887,28,2,49.66666667,0,0,2,3,0,1,0.477,0.0623028391,0,0,2765.316234
61456,À±¿µ»ï,2011,2018,4.85,22,1,0,2,0,1,29.66666667,31,2,8,1,32,18,16,1.31,0,0,0,0,127,458,0.272,7,0,4,0,1,1,0,0,0,1,11,2,0,2,24,27,0.363,20.8,15.4,9.71,2.43,0.325,0.386,0.711,22,0,29.66666667,1,0,2,4,0,0.857,0.351,0,0.0118430792,0.0924316326,0,83.33333333,0,1992,7,14,27,0,0,0,0,0,0,0,0,1,0,0,4524.463519,0,0,5.235,25,1,2,1.5,0,0.6,39.66666667,49,5,12.5,0.5,39,24.5,23.5,1.5,0,0,0,0,178,654.5,0.2965,10,1,3,0.5,0.5,3,0,1,0,1,9.5,1.5,0,2.5,33.5,40.5,0.3705,25.6,16.25,9.025,2.755,0.3475,0.4515,0.799,25,1,39.66666667,0.5,0,2,3.5,0,0.9285,0.414,0.0370729592,0,0,4541.79033
61457,ÀÓÇöÁØ,2011,2015,11.37,7,0,0,0,0,0,6.333333333,11,3,2,0,6,10,8,2.05,0,0,0,0,33,129,0.355,3,1,0,0,0,1,0,0,0,0,3,0,0,0,7,7,0.364,18.4,20.4,8.53,2.84,0.394,0.806,1.2,7,0,6.333333333,0,0,1,2,0,1,-0.249,0,0.0027155465,0.0329154531,0,23.66666667,0,1988,12,21,28,0,0,0,0,0,0,0,1,0,0,0,3445.439239,0,0,11.37,7,0,0,0,0,0,6.333333333,11,3,2,0,6,10,8,2.05,0,0,0,0,33,129,0.355,3,1,0,0,0,1,0,0,0,0,3,0,0,0,7,7,0.364,18.4,20.4,8.53,2.84,0.394,0.806,1.2,7,0,6.333333333,0,0,1,2,0,1,-0.249,0.0027155465,0,0,2846.34
61457,ÀÓÇöÁØ,2011,2016,36,2,0,0,0,0,0,1,4,1,0,1,0,4,4,4,0,0,0,0,8,31,0.571,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0.5,15.5,31,0,0,0.625,1,1.625,2,0,1,0,0,1,0,0,1,-0.129,0,0.0101522843,0.0430677374,0,24.66666667,0,1988,12,21,29,0,0,0,0,0,0,0,1,0,0,0,3277.411833,0,0,23.685,4.5,0,0,0,0,0,3.666666667,7.5,2,1,0.5,3,7,6,3.025,0,0,0,0,20.5,80,0.463,1.5,0.5,0,0,0,0.5,0,0,0,0,2,0,0,0,4.5,4,0.432,16.95,25.7,4.265,1.42,0.5095,0.903,1.4125,4.5,0,3.666666667,0,0,1,1,0,1,-0.189,0.0064339154,0,0,3445.439239
61457,ÀÓÇöÁØ,2011,2017,5.06,11,0,0,0,0,0,10.66666667,11,0,4,2,4,7,6,1.41,0,0,0,0,48,193,0.275,3,0,1,1,0,0,0,0,0,0,3,0,0,1,12,14,0.297,17.5,18.1,3.38,3.38,0.362,0.35,0.712,10,0,10.66666667,0,0,3,2,1,1,0.114,0,0.0047318612,0.0477995986,0,35.33333333,0,1988,12,21,30,0,0,0,0,0,0,0,1,0,0,0,3532.50359,0,0,17.47666667,6.666666667,0,0,0,0,0,6,8.666666667,1.333333333,2,1,3.333333333,7,6,2.486666667,0,0,0,0,29.66666667,117.6666667,0.400333333,2,0.333333333,0.333333333,0.333333333,0,0.333333333,0,0,0,0,2.333333333,0,0,0.333333333,7,7.333333333,0.387,17.13333333,23.16666667,3.97,2.073333333,0.460333333,0.718666667,1.179,6.333333333,0,6,0,0,1.666666667,1.333333333,0.333333333,1,-0.088,0.005866564,0,0,3361.425536
61457,ÀÓÇöÁØ,2011,2018,3.9,40,0,1,0,3,0,27.66666667,20,3,11,5,26,12,12,1.12,0,0,0,0,116,463,0.204,4,1,1,1,1,0,0,0,0,0,11,3,0,2,19,34,0.243,11.6,16.7,8.46,3.58,0.313,0.357,0.67,40,0,27.66666667,0,0,2,5,0,1,0.641,0,0.0170244264,0.064824025,0,63,0,1988,12,21,31,0,0,0,0,0,0,0,1,0,0,0,3519.027182,0,0,14.0825,15,0,0.25,0,0.75,0,11.41666667,11.5,1.75,4.25,2,9,8.25,7.5,2.145,0,0,0,0,51.25,204,0.35125,2.5,0.5,0.5,0.5,0.25,0.25,0,0,0,0,4.5,0.75,0,0.75,10,14,0.351,15.75,21.55,5.0925,2.45,0.4235,0.62825,1.05175,14.75,0,11.41666667,0,0,1.75,2.25,0.25,1,0.09425,0.0086560296,0,0,3418.451554
61457,ÀÓÇöÁØ,2011,2019,3.4,71,1,0,0,8,1,42.33333333,34,2,12,3,35,19,16,1.09,0,0,0,2,177,697,0.214,9,1,0,3,0,0,0,0,0,1,11,7,0,1,25,68,0.256,9.8,16.5,7.44,2.55,0.277,0.321,0.598,71,0,42.33333333,0,0,2,3,0,1,0.715,0,0.0143737166,0.0791977416,0,105.3333333,0,1988,12,21,32,0,0,0,0,0,0,0,1,0,0,0,11000,0,0,11.946,26.2,0.2,0.2,0,2.2,0.2,17.6,16,1.8,5.8,2.2,14.2,10.4,9.2,1.934,0,0,0,0.4,76.4,302.6,0.3238,3.8,0.6,0.4,1,0.2,0.2,0,0,0,0.2,5.8,2,0,0.8,13,24.8,0.332,14.56,20.54,5.562,2.47,0.3942,0.5668,0.961,26,0,17.6,0,0,1.8,2.4,0.2,1,0.2184,0.009799567,0,0,3443.595461
67603,ÀÌ½ÂÈ£,2017,2018,5.6,32,1,3,0,4,0.25,45,44,8,22,5,38,28,28,1.47,0,0,0,0,203,825,0.253,9,0,0,2,1,8,0,4,0,1,4,5,0,1,44,50,0.277,25.8,18.3,7.6,4.4,0.35,0.443,0.793,32,4,45,0,1,4,3,0,1,0.547,0,0.156920799,0.156920799,0,45,0,1999,2,8,20,0,0,0,0,0,0,0,0,1,0,0,2714.678112,0,0,5.6,32,1,3,0,4,0.25,45,44,8,22,5,38,28,28,1.47,0,0,0,0,203,825,0.253,9,0,0,2,1,8,0,4,0,1,4,5,0,1,44,50,0.277,25.8,18.3,7.6,4.4,0.35,0.443,0.793,32,4,45,0,1,4,3,0,1,0.547,0.156920799,0,0,2725.074198
