ID,¼±¼ö¸í,µ¥ºß³âµµ,¿¬µµ,Æò±ÕÀÚÃ¥Á¡,°æ±â,½Â¸®,ÆÐ¹è,¼¼ÀÌºê,È¦µå,½Â·ü,ÀÌ´×,ÇÇ¾ÈÅ¸,È¨·±,º¼³Ý,»ç±¸,»ïÁø,½ÇÁ¡,ÀÚÃ¥Á¡,ÀÌ´×´ç_Ãâ·çÇã¿ë·ü,¿ÏÅõ,¿ÏºÀ,Ä÷¸®Æ¼½ºÅ¸Æ®,ºí·Ð¼¼ÀÌºê,Å¸ÀÚ¼ö,Åõ±¸¼ö,ÇÇ¾ÈÅ¸À²,2·çÅ¸,3·çÅ¸,Èñ»ý¹øÆ®,Èñ»ýÇÃ¶óÀÌ,°íÀÇ4±¸,ÆøÅõ,º¸Å©,¼±¹ß,¼±¹ß½Â,±¸¿ø½Â,Á¾·á,¼¼ÀÌºê±âÈ¸,ÅÍÇÁ¼¼ÀÌºê,º´»ìÅ¸,¶¥º¼,¶á°ø,ÀÎÇÃ·¹ÀÌÅ¸±¸Å¸À²,Åõ±¸¼ö/°æ±â,Åõ±¸¼ö/ÀÌ´×,9ÀÌ´×´ç »ïÁø,9ÀÌ´×´ç º¼³Ý,ÇÇÃâ·çÀ²,ÇÇÀåÅ¸À²,ÇÇOPS,°æ±â(¼öºñ),¼±¹ß°æ±â(¼öºñ),¼öºñÀÌ´×(¼öºñ),½ÇÃ¥(¼öºñ),°ßÁ¦»ç(¼öºñ),ÀÚ»ì(¼öºñ),º¸»ì(¼öºñ),º´»ì(¼öºñ),¼öºñÀ²(¼öºñ),WAR,FA¿©ºÎ,´º½º°³¼ö(¿¬µµº°Á¤±ÔÈ­),´º½º°³¼ö(´©ÀûÁ¤±ÔÈ­),¼ö»óÈ½¼ö,´©ÀûÀÌ´×,Æ÷Áö¼Ç ¿£Æ®·ÎÇÇ,Ãâ»ý¿¬µµ,Ãâ»ý¿ù,Ãâ»ýÀÏ,³ªÀÌ,ÆÀ¸í_KIA,ÆÀ¸í_KT,ÆÀ¸í_LG,ÆÀ¸í_NC,ÆÀ¸í_SK,ÆÀ¸í_µÎ»ê,ÆÀ¸í_·Ôµ¥,ÆÀ¸í_»ï¼º,ÆÀ¸í_¿ì¸®/È÷¾î·ÎÁî/³Ø¼¾/Å°¿ò,ÆÀ¸í_ÇÑÈ­,ÆÀ¸í_Çö´ë,¿¬ºÀ,1Â÷FA¿©ºÎ,2Â÷FA¿©ºÎ,5³âÆò±ÕÆò±ÕÀÚÃ¥Á¡,5³âÆò±Õ°æ±â,5³âÆò±Õ½Â¸®,5³âÆò±ÕÆÐ¹è,5³âÆò±Õ¼¼ÀÌºê,5³âÆò±ÕÈ¦µå,5³âÆò±Õ½Â·ü,5³âÆò±ÕÀÌ´×,5³âÆò±ÕÇÇ¾ÈÅ¸,5³âÆò±ÕÈ¨·±,5³âÆò±Õº¼³Ý,5³âÆò±Õ»ç±¸,5³âÆò±Õ»ïÁø,5³âÆò±Õ½ÇÁ¡,5³âÆò±ÕÀÚÃ¥Á¡,5³âÆò±ÕÀÌ´×´ç_Ãâ·çÇã¿ë·ü,5³âÆò±Õ¿ÏÅõ,5³âÆò±Õ¿ÏºÀ,5³âÆò±ÕÄ÷¸®Æ¼½ºÅ¸Æ®,5³âÆò±Õºí·Ð¼¼ÀÌºê,5³âÆò±ÕÅ¸ÀÚ¼ö,5³âÆò±ÕÅõ±¸¼ö,5³âÆò±ÕÇÇ¾ÈÅ¸À²,5³âÆò±Õ2·çÅ¸,5³âÆò±Õ3·çÅ¸,5³âÆò±ÕÈñ»ý¹øÆ®,5³âÆò±ÕÈñ»ýÇÃ¶óÀÌ,5³âÆò±Õ°íÀÇ4±¸,5³âÆò±ÕÆøÅõ,5³âÆò±Õº¸Å©,5³âÆò±Õ¼±¹ß,5³âÆò±Õ¼±¹ß½Â,5³âÆò±Õ±¸¿ø½Â,5³âÆò±ÕÁ¾·á,5³âÆò±Õ¼¼ÀÌºê±âÈ¸,5³âÆò±ÕÅÍÇÁ¼¼ÀÌºê,5³âÆò±Õº´»ìÅ¸,5³âÆò±Õ¶¥º¼,5³âÆò±Õ¶á°ø,5³âÆò±ÕÀÎÇÃ·¹ÀÌÅ¸±¸Å¸À²,5³âÆò±ÕÅõ±¸¼ö/°æ±â,5³âÆò±ÕÅõ±¸¼ö/ÀÌ´×,5³âÆò±Õ9ÀÌ´×´ç »ïÁø,5³âÆò±Õ9ÀÌ´×´ç º¼³Ý,5³âÆò±ÕÇÇÃâ·çÀ²,5³âÆò±ÕÇÇÀåÅ¸À²,5³âÆò±ÕÇÇOPS,5³âÆò±Õ°æ±â(¼öºñ),5³âÆò±Õ¼±¹ß°æ±â(¼öºñ),5³âÆò±Õ¼öºñÀÌ´×(¼öºñ),5³âÆò±Õ½ÇÃ¥(¼öºñ),5³âÆò±Õ°ßÁ¦»ç(¼öºñ),5³âÆò±ÕÀÚ»ì(¼öºñ),5³âÆò±Õº¸»ì(¼öºñ),5³âÆò±Õº´»ì(¼öºñ),5³âÆò±Õ¼öºñÀ²(¼öºñ),5³âÆò±ÕWAR,5³âÆò±Õ´º½º°³¼ö(¿¬µµº°Á¤±ÔÈ­),5³âÆò±Õ¼ö»óÈ½¼ö,5³âÆò±ÕÆ÷Áö¼Ç ¿£Æ®·ÎÇÇ,5³âÆò±Õ¿¬ºÀ
67588,À±¼ººó,2017,2018,6.39,18,2,5,0,0,0.286,50.66666667,51,5,36,3,65,36,36,1.72,0,0,1,0,235,1010,0.264,12,0,2,1,0,5,0,10,1,1,2,0,0,4,32,46,0.371,56.1,19.9,11.55,6.39,0.386,0.404,0.79,18,10,50.66666667,0,0,2,3,0,1,0.389,0,0.131754256,0.131754256,0,50.66666667,0,1999,2,26,20,0,0,0,0,0,0,1,0,0,0,0,2714.678112,0,0,6.39,18,2,5,0,0,0.286,50.66666667,51,5,36,3,65,36,36,1.72,0,0,1,0,235,1010,0.264,12,0,2,1,0,5,0,10,1,1,2,0,0,4,32,46,0.371,56.1,19.9,11.55,6.39,0.386,0.404,0.79,18,10,50.66666667,0,0,2,3,0,1,0.389,0.131754256,0,0,2725.074198
69646,¾ç½ÂÃ¶,2019,2019,12.12,11,1,1,0,0,0.5,16.33333333,23,3,15,0,11,22,22,2.33,0,0,0,0,85,345,0.329,10,1,0,0,0,2,0,1,0,1,4,0,0,1,21,15,0.357,31.4,21.1,6.06,8.27,0.447,0.629,1.076,11,1,16.33333333,0,0,1,3,0,1,-0.67,0,0.0184804928,0.0184804928,0,16.33333333,0,1992,7,15,28,1,0,0,0,0,0,0,0,0,0,0,3000,0,0,12.12,11,1,1,0,0,0.5,16.33333333,23,3,15,0,11,22,22,2.33,0,0,0,0,85,345,0.329,10,1,0,0,0,2,0,1,0,1,4,0,0,1,21,15,0.357,31.4,21.1,6.06,8.27,0.447,0.629,1.076,11,1,16.33333333,0,0,1,3,0,1,-0.67,0.0184804928,0,0,2714.678112
61456,À±¿µ»ï,2011,2017,5.62,28,1,4,1,0,0.2,49.66666667,67,8,17,0,46,31,31,1.69,0,0,0,0,229,851,0.321,13,2,2,1,0,5,0,2,0,1,8,1,0,3,43,54,0.378,30.4,17.1,8.34,3.08,0.37,0.517,0.887,28,2,49.66666667,0,0,2,3,0,1,0.477,0,0.0623028391,0.0805885534,0,53.66666667,0,1992,7,14,26,0,0,0,0,0,0,0,0,1,0,0,4541.79033,0,0,5.62,28,1,4,1,0,0.2,49.66666667,67,8,17,0,46,31,31,1.69,0,0,0,0,229,851,0.321,13,2,2,1,0,5,0,2,0,1,8,1,0,3,43,54,0.378,30.4,17.1,8.34,3.08,0.37,0.517,0.887,28,2,49.66666667,0,0,2,3,0,1,0.477,0.0623028391,0,0,2765.316234
61456,À±¿µ»ï,2011,2018,4.85,22,1,0,2,0,1,29.66666667,31,2,8,1,32,18,16,1.31,0,0,0,0,127,458,0.272,7,0,4,0,1,1,0,0,0,1,11,2,0,2,24,27,0.363,20.8,15.4,9.71,2.43,0.325,0.386,0.711,22,0,29.66666667,1,0,2,4,0,0.857,0.351,0,0.0118430792,0.0924316326,0,83.33333333,0,1992,7,14,27,0,0,0,0,0,0,0,0,1,0,0,4524.463519,0,0,5.214736842,24.84210526,1,1.894736842,1.526315789,0,0.621052632,39.14035088,48.05263158,4.842105263,12.26315789,0.526315789,38.63157895,24.15789474,23.10526316,1.49,0,0,0,0,175.3157895,644.1578947,0.295210526,9.842105263,0.947368421,3.052631579,0.473684211,0.526315789,2.894736842,0,0.947368421,0,1,9.578947368,1.526315789,0,2.473684211,33,39.78947368,0.370105263,25.34736842,16.20526316,9.061052632,2.737894737,0.346315789,0.448052632,0.794368421,24.84210526,0.947368421,39.14035088,0.526315789,0,2,3.526315789,0,0.924736842,0.410684211,0.0357450707,0,0,4541.79033
61457,ÀÓÇöÁØ,2011,2015,11.37,7,0,0,0,0,0,6.333333333,11,3,2,0,6,10,8,2.05,0,0,0,0,33,129,0.355,3,1,0,0,0,1,0,0,0,0,3,0,0,0,7,7,0.364,18.4,20.4,8.53,2.84,0.394,0.806,1.2,7,0,6.333333333,0,0,1,2,0,1,-0.249,0,0.0027155465,0.0329154531,0,23.66666667,0,1988,12,21,28,0,0,0,0,0,0,0,1,0,0,0,3445.439239,0,0,11.37,7,0,0,0,0,0,6.333333333,11,3,2,0,6,10,8,2.05,0,0,0,0,33,129,0.355,3,1,0,0,0,1,0,0,0,0,3,0,0,0,7,7,0.364,18.4,20.4,8.53,2.84,0.394,0.806,1.2,7,0,6.333333333,0,0,1,2,0,1,-0.249,0.0027155465,0,0,2846.34
61457,ÀÓÇöÁØ,2011,2016,36,2,0,0,0,0,0,1,4,1,0,1,0,4,4,4,0,0,0,0,8,31,0.571,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0.5,15.5,31,0,0,0.625,1,1.625,2,0,1,0,0,1,0,0,1,-0.129,0,0.0101522843,0.0430677374,0,24.66666667,0,1988,12,21,29,0,0,0,0,0,0,0,1,0,0,0,3277.411833,0,0,24.33315789,4.368421053,0,0,0,0,0,3.526315789,7.315789474,1.947368421,0.947368421,0.526315789,2.842105263,6.842105263,5.894736842,3.076315789,0,0,0,0,19.84210526,77.42105263,0.468684211,1.421052632,0.473684211,0,0,0,0.473684211,0,0,0,0,1.947368421,0,0,0,4.368421053,3.842105263,0.435578947,16.87368421,25.97894737,4.040526316,1.345263158,0.515578947,0.908105263,1.423684211,4.368421053,0,3.526315789,0,0,1,0.947368421,0,1,-0.185842105,0.00662961903,0,0,3445.439239
61457,ÀÓÇöÁØ,2011,2017,5.06,11,0,0,0,0,0,10.66666667,11,0,4,2,4,7,6,1.41,0,0,0,0,48,193,0.275,3,0,1,1,0,0,0,0,0,0,3,0,0,1,12,14,0.297,17.5,18.1,3.38,3.38,0.362,0.35,0.712,10,0,10.66666667,0,0,3,2,1,1,0.114,0,0.0047318612,0.0477995986,0,35.33333333,0,1988,12,21,30,0,0,0,0,0,0,0,1,0,0,0,3532.50359,0,0,17.22129151,6.815498155,0,0,0,0,0,6.161131611,8.675276753,1.228782288,2.073800738,1.070110701,3.269372694,6.900369004,5.933579336,2.461439114,0,0,0,0,30.23247232,120.0701107,0.397214022,2.003690037,0.298892989,0.36900369,0.36900369,0,0.298892989,0,0,0,0,2.335793358,0,0,0.36900369,7.184501845,7.590405904,0.384442804,17.10479705,23.07158672,3.796789668,2.096088561,0.458907749,0.702162362,1.161070111,6.446494465,0,6.161131611,0,0,1.73800738,1.335793358,0.36900369,1,-0.075199262,0.00592933939,0,0,3357.003762
61457,ÀÓÇöÁØ,2011,2018,3.9,40,0,1,0,3,0,27.66666667,20,3,11,5,26,12,12,1.12,0,0,0,0,116,463,0.204,4,1,1,1,1,0,0,0,0,0,11,3,0,2,19,34,0.243,11.6,16.7,8.46,3.58,0.313,0.357,0.67,40,0,27.66666667,0,0,2,5,0,1,0.641,0,0.0170244264,0.064824025,0,63,0,1988,12,21,31,0,0,0,0,0,0,0,1,0,0,0,3519.027182,0,0,13.347697,16.46496074,0,0.290782204,0,0.872346612,0,12.4145585,11.96830474,1.743820878,4.669380634,2.212852573,9.879034603,8.383250945,7.697586508,2.071372492,0,0,0,0,55.17214306,219.7880198,0.341030823,2.584181448,0.502762431,0.552486188,0.552486188,0.290782204,0.211980227,0,0,0,0,4.855190462,0.872346612,0,0.843268392,10.62023844,15.26984589,0.343313754,15.50410003,21.21884269,5.152768247,2.5275836,0.416480372,0.601795289,1.018275662,16.20325676,0,12.4145585,0,0,1.814190172,2.401279442,0.261703984,1,0.133058738,0.00915559324,0,0,3421.763847
61457,ÀÓÇöÁØ,2011,2019,3.4,71,1,0,0,8,1,42.33333333,34,2,12,3,35,19,16,1.09,0,0,0,2,177,697,0.214,9,1,0,3,0,0,0,0,0,1,11,7,0,1,25,68,0.256,9.8,16.5,7.44,2.55,0.277,0.321,0.598,71,0,42.33333333,0,0,2,3,0,1,0.715,0,0.0143737166,0.0791977416,0,105.3333333,0,1988,12,21,32,0,0,0,0,0,0,0,1,0,0,0,11000,0,0,10.91852629,29.78210544,0.244194281,0.219774853,0,2.612878806,0.244194281,19.7205522,17.34831872,1.806378355,6.459475959,2.405069473,16.01343069,10.97580035,9.724988401,1.831726942,0,0,0,0.488388562,84.92180899,336.3204562,0.310010622,4.150887646,0.624185002,0.41757222,1.150155063,0.219774853,0.160215868,0,0,0,0.244194281,6.355717809,2.368684525,0,0.881541354,14.13169398,28.14624795,0.321992235,14.11119142,20.06652829,5.71129716,2.533057557,0.382420063,0.533226686,0.915646749,29.58430808,0,19.7205522,0,0,1.859563869,2.547483578,0.197797368,1,0.275165466,0.0104298291,0,0,3450.046294
67603,ÀÌ½ÂÈ£,2017,2018,5.6,32,1,3,0,4,0.25,45,44,8,22,5,38,28,28,1.47,0,0,0,0,203,825,0.253,9,0,0,2,1,8,0,4,0,1,4,5,0,1,44,50,0.277,25.8,18.3,7.6,4.4,0.35,0.443,0.793,32,4,45,0,1,4,3,0,1,0.547,0,0.156920799,0.156920799,0,45,0,1999,2,8,20,0,0,0,0,0,0,0,0,1,0,0,2714.678112,0,0,5.6,32,1,3,0,4,0.25,45,44,8,22,5,38,28,28,1.47,0,0,0,0,203,825,0.253,9,0,0,2,1,8,0,4,0,1,4,5,0,1,44,50,0.277,25.8,18.3,7.6,4.4,0.35,0.443,0.793,32,4,45,0,1,4,3,0,1,0.547,0.156920799,0,0,2725.074198
