ID,선수명,데뷔년도,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,포지션(수비)_1루수,포지션(수비)_2루수,포지션(수비)_3루수,포지션(수비)_수비기록없음,포지션(수비)_우익수,포지션(수비)_유격수,포지션(수비)_좌익수,포지션(수비)_중견수,포지션(수비)_포수,연봉,1차FA여부,2차FA여부,3차FA여부,5년평균타율,5년평균경기,5년평균타석,5년평균타수,5년평균득점,5년평균안타,5년평균2루타,5년평균3루타,5년평균홈런,5년평균루타,5년평균타점,5년평균희생번트,5년평균희생플라이,5년평균볼넷,5년평균고의사구,5년평균사구,5년평균삼진,5년평균병살타,5년평균장타율,5년평균출루율,5년평균OPS,5년평균멀티히트,5년평균득점권타율,5년평균대타타율,5년평균장타,5년평균땅볼,5년평균뜬공,5년평균결승타,5년평균투구수/타석,5년평균순수장타율,5년평균추정득점,5년평균GPA,5년평균경기(주루),5년평균도루시도(주루),5년평균도루허용(주루),5년평균도루실패(주루),5년평균도루성공률(주루),5년평균주루사(주루),5년평균견제사(주루),5년평균경기(수비),5년평균선발경기(수비),5년평균수비이닝(수비),5년평균실책(수비),5년평균견제사(수비),5년평균자살(수비),5년평균보살(수비),5년평균병살(수비),5년평균포일(수비),5년평균도루허용(수비),5년평균도루실패(수비),5년평균수비율(수비),5년평균도루저지율(수비),5년평균WAR,5년평균뉴스개수(연도별정규화),5년평균수상횟수,5년평균포지션 엔트로피,5년평균연봉
73732,고지행,1997,2003,0.281,92,289,253,38,71,9,0,4,92,27,12,2,20,0,2,61,8,0.364,0.336,0.7,20,0.259,0.333,13,65,58,0,3.89,0.083,30.1,0.242,92,14,9,5,64.3,0,0,81,70,552,8,0,128,160,30,0,0,0,0.975175725,0,0.868,0,0.0180722892,0.0180722892,0,289,0.351814508,1978,5,3,26,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,13809.09341,0,0,0,0.281,92,289,253,38,71,9,0,4,92,27,12,2,20,0,2,61,8,0.364,0.336,0.7,20,0.259,0.333,13,65,58,0,3.89,0.083,30.1,0.242,92,14,9,5,64.3,0,0,81,70,552,8,0,128,160,30,0,0,0,0.975175725,0,0.868,0.0180722892,0,0.351814508,2431.83391
73732,고지행,1997,2004,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3.5,0,-0.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044,0,0.00729927007,0.0253715593,0,291,0,1978,5,3,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,13438.88634,0,0,0,0.27885578,91.31323922,286.8099962,251.0847005,37.71003434,70.45822205,8.931323922,0,3.969477299,91.29797787,26.79397177,11.9084319,1.984738649,19.84738649,0,1.984738649,60.53452881,7.938954597,0.361222434,0.333436093,0.694658527,19.84738649,0.257023655,0.330458985,12.90080122,64.51926746,57.55742083,0,3.887024037,0.0823666539,29.86879054,0.240153377,91.31323922,13.89317055,8.931323922,4.961846623,63.80934758,0,0,80.3819153,69.46585273,547.7878672,7.938954597,0,127.0232736,158.7790919,29.77107974,0,0,0,0.967734475,0,0.861040824,0.0179900838,0,0.349129926,13809.09341
69636,오선우,2019,2019,0.151,27,57,53,5,8,1,1,1,14,4,0,0,3,0,1,24,0,0.264,0.211,0.475,2,0.143,0.143,3,11,10,0,3.72,0.113,2.8,0.161,27,0,0,0,0,0,0,23,11,120.6666667,0,0,34,3,0,0,0,0,0.991712707,0,-0.33,0,0.0124888492,0.0124888492,0,57,0.249882293,1996,12,13,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3000,0,0,0,0.151,27,57,53,5,8,1,1,1,14,4,0,0,3,0,1,24,0,0.264,0.211,0.475,2,0.143,0.143,3,11,10,0,3.72,0.113,2.8,0.161,27,0,0,0,0,0,0,23,11,120.6666667,0,0,34,3,0,0,0,0,0.991712707,0,-0.33,0.0124888492,0,0.249882293,2714.678112
98315,채종국,1998,2002,0.228,100,224,184,24,42,7,0,3,58,15,12,3,13,0,12,36,2,0.315,0.316,0.631,8,0.219,1,10,56,53,0,3.47,0.087,21,0.221,100,2,0,2,0,0,0,104,74,600.6666667,8,0,70,154,24,0,0,0,0.963692009,0,0.143,0,0,0,0,224,1.11965294,1975,10,24,28,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4720.618767,0,0,0,0.228,100,224,184,24,42,7,0,3,58,15,12,3,13,0,12,36,2,0.315,0.316,0.631,8,0.219,1,10,56,53,0,3.47,0.087,21,0.221,100,2,0,2,0,0,0,104,74,600.6666667,8,0,70,154,24,0,0,0,0.963692009,0,0.143,0,0,1.11965294,2517.298049
98315,채종국,1998,2003,0.241,90,164,137,18,33,8,0,3,50,16,12,2,7,0,6,31,3,0.365,0.303,0.668,2,0.257,0.125,11,37,38,0,3.44,0.124,16,0.228,90,0,0,0,0,0,0,89,42,420.6666667,7,0,49,108,14,0,0,0,0.958194929,0,0.103,0,0.0100401606,0.0100401606,0,388,0.85858104,1975,10,24,29,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5937.910166,0,0,0,0.23383151,95.51422319,197.0853392,162.916849,21.30853392,37.96280088,7.448577681,0,3,54.41137856,15.44857768,12,2.551422319,10.30853392,0,9.308533917,33.7571116,2.448577681,0.337428884,0.31016849,0.647597374,5.308533917,0.236045952,0.60749453,10.44857768,47.47702407,46.27133479,0,3.45654267,0.103597374,18.7571116,0.224140044,95.51422319,1.102844639,0,1.102844639,0,0,0,97.27133479,59.64551422,519.9226842,7.551422319,0,60.57986871,133.3654267,19.51422319,0,0,0,0.961226141,0,0.125056893,0.00450379195,0,1.002541913,4720.618767
98315,채종국,1998,2004,0.275,128,385,327,40,90,19,0,4,121,34,21,1,22,0,14,55,6,0.37,0.346,0.716,19,0.267,0.667,23,94,89,0,3.66,0.095,41.8,0.248,128,8,4,4,50,0,0,137,109,932.3333333,12,0,248,319,71,0,0,0,0.979658563,0,1.307,0,0.131386861,0.141427022,0,773,0.424802184,1975,10,24,30,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11557.44225,0,0,0,0.256028962,113.0300823,298.4061957,251.3881015,31.38670103,66.02050305,13.67693687,0,3.53918548,90.31499636,25.45123522,16.85266932,1.714917932,16.61240267,0,11.83810431,45.21096857,4.363453028,0.354990757,0.32948832,0.684479077,12.69077363,0.252735925,0.639579015,17.21612235,72.56153717,69.31001064,0,3.566243908,0.0989617949,31.18150244,0.237004986,113.0300823,4.821690662,2.156741919,2.664948742,26.95927399,0,0,118.6924542,86.25673632,742.2885179,9.950030811,0,161.6340821,233.4568932,47.27460646,0,0,0,0.971164635,0,0.762343454,0.0729173004,0,0.69103304,5266.668519
98315,채종국,1998,2005,0.237,106,407,342,45,81,10,1,9,120,36,16,5,25,1,19,40,6,0.351,0.32,0.671,19,0.2,0,20,123,103,0,3.5,0.114,40.7,0.232,106,9,1,8,11.1,0,0,108,103,868.3333333,17,0,169,317,65,0,0,0,0.965345873,0,0.764,0,0.0837004405,0.225127462,0,1180,0.983971254,1975,10,24,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11304.10713,0,0,0,0.248650416,110.3041435,340.51382,286.5231795,36.66530492,71.82885496,12.25119184,0.387753469,5.656635253,101.8254595,29.54155536,16.52204383,2.988719899,19.86472263,0.387753469,14.61515421,43.19039743,4.998029793,0.353443327,0.325809191,0.679252518,15.13719804,0.232287387,0.391580033,18.29558056,92.11922609,82.37342088,0,3.540557603,0.104792911,34.87233288,0.235064285,110.3041435,6.441844601,1.708211228,4.733633374,20.80978549,0,0,114.546418,92.74899489,791.1628323,12.68368082,0,164.4902423,265.8510226,54.14768929,0,0,0,0.96890839,0,0.762985786,0.0770985004,0,0.804620849,8658.562373
98315,채종국,1998,2006,0.212,97,257,222,25,47,9,0,2,62,19,14,2,12,1,7,28,7,0.279,0.272,0.551,13,0.254,0.5,11,81,68,0,3.56,0.068,16,0.192,97,3,1,2,33.3,0,0,96,71,655.3333333,7,0,172,235,58,0,0,0,0.983,0,-0.279,0,0.00708215297,0.232209615,0,1437,0,1975,10,24,32,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11024.64887,0,0,0,0.240812043,107.4588049,322.6528358,272.7236971,34.17046243,66.51874238,11.55586398,0.304825175,4.874595772,93.30804402,27.28704762,15.98265784,2.777263753,18.18270537,0.51869378,12.9865118,39.94164832,5.426188369,0.337522237,0.314301094,0.651823331,14.68011847,0.236931033,0.41476766,16.73528492,89.74117272,79.29939741,0,3.544715721,0.0969240625,30.83613338,0.225854187,107.4588049,5.705742097,1.55674708,4.148995017,23.48105024,0,0,110.5799214,88.09756769,762.1131668,11.46811993,0,166.0963437,259.2529575,54.97157761,0,0,0,0.971922143,0,0.540137739,0.0621242018,0,0.63253771,9684.381529
98315,채종국,1998,2007,0.163,23,47,43,3,7,1,0,0,8,2,1,0,3,0,0,8,0,0.186,0.217,0.403,1,0.091,0.5,1,16,12,0,3.98,0.023,1.5,0.144,23,0,0,0,0,0,0,21,11,117,3,0,33,36,7,0,0,0,0.958,0,-0.273,0,0.0150753769,0.247284992,0,1484,0,1975,10,24,33,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7715.540376,0,0,0,0.238842106,104.4645432,322.7462913,273.6656917,34.05024274,66.96613391,11.66274377,0.330915765,4.89351332,93.97124916,27.72541148,15.80458775,2.616666503,18.15452733,0.563089808,12.50481804,38.95804887,5.625087404,0.333364048,0.309485099,0.642849147,14.92163981,0.232427053,0.341087664,16.88717285,90.74204229,79.61613309,0,3.575171366,0.0947541159,30.75806421,0.22263699,104.4645432,5.92856869,1.689992144,4.238576545,25.49083982,0,0,107.2273688,86.33201731,753.1134575,11.52907516,0,172.5758486,262.6948091,56.82047697,0,0,0,0.972358041,0,0.554503661,0.0681527554,0,0.538022009,9971.022636
61463,김정혁,2011,2014,0,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,3.8,0,-0.8,0,2,0,0,0,0,0,0,2,1,12,0,0,1,4,1,0,0,0,1,0,-0.138,0,0,0.00354191263,0,7,0,1985,8,3,30,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3478.86,0,0,0,0,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,3.8,0,-0.8,0,2,0,0,0,0,0,0,2,1,12,0,0,1,4,1,0,0,0,1,0,-0.138,0,0,0,2547.966726
