데뷔년도,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,포지션(수비)_1루수,포지션(수비)_2루수,포지션(수비)_3루수,포지션(수비)_수비기록없음,포지션(수비)_우익수,포지션(수비)_유격수,포지션(수비)_좌익수,포지션(수비)_중견수,포지션(수비)_포수,연봉,1차FA여부,2차FA여부,3차FA여부,5년평균타율,5년평균경기,5년평균타석,5년평균타수,5년평균득점,5년평균안타,5년평균2루타,5년평균3루타,5년평균홈런,5년평균루타,5년평균타점,5년평균희생번트,5년평균희생플라이,5년평균볼넷,5년평균고의사구,5년평균사구,5년평균삼진,5년평균병살타,5년평균장타율,5년평균출루율,5년평균OPS,5년평균멀티히트,5년평균득점권타율,5년평균대타타율,5년평균장타,5년평균땅볼,5년평균뜬공,5년평균결승타,5년평균투구수/타석,5년평균순수장타율,5년평균추정득점,5년평균GPA,5년평균경기(주루),5년평균도루시도(주루),5년평균도루허용(주루),5년평균도루실패(주루),5년평균도루성공률(주루),5년평균주루사(주루),5년평균견제사(주루),5년평균경기(수비),5년평균선발경기(수비),5년평균수비이닝(수비),5년평균실책(수비),5년평균견제사(수비),5년평균자살(수비),5년평균보살(수비),5년평균병살(수비),5년평균포일(수비),5년평균도루허용(수비),5년평균도루실패(수비),5년평균수비율(수비),5년평균도루저지율(수비),5년평균WAR,5년평균뉴스개수(연도별정규화),5년평균수상횟수,5년평균포지션 엔트로피,5년평균연봉
2019,2020,0.239,59,73,67,11,16,0,0,4,28,14,0,0,3,0,3,26,2,0.418,0.301,0.719,2,0.286,0.24,4,16,9,2,3.96,0.179,8.3,0.24,59,0,0,0,0.0,0,0,32,9,111.0,0,0,21,1,0,0,0,0,1.0,0.0,0.018,0,0.0153846154,0.0278734646,0,130,0.0,1996,12,13,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3610.163146971682,0,0,0,0.2026814159292035,45.793242156074015,66.396621078037,61.22204344328237,8.523732904263877,12.698310539018504,0.412711182622687,0.412711182622687,2.7618664521319385,22.222043443282377,9.872888173773129,0.0,0.0,3.0,0.0,2.174577634754626,25.174577634754623,1.1745776347546255,0.3544424778761061,0.2638559935639581,0.6182984714400643,2.0,0.2269823008849557,0.1999670152855993,3.5872888173773125,13.936444086886564,9.412711182622688,1.1745776347546255,3.860949316170555,0.1517610619469026,6.030088495575221,0.2073958165728077,45.793242156074015,0.0,0.0,0.0,0.0,0.0,0.0,28.285599356395814,9.825422365245377,114.98954143201932,0.0,0.0,26.36524537409493,1.825422365245374,0.0,0.0,0.0,0.0,0.9965797415804748,0.0,-0.1256234915526951,0.0141895003069991,0.0,0.1031292165916525,3000.0
2015,2020,0.237,119,402,359,46,85,13,3,8,128,48,2,2,37,0,2,100,7,0.357,0.31,0.667,17,0.28,0.182,24,69,107,4,3.81,0.12,41.8,0.229,119,7,7,0,100.0,3,0,134,96,864.3333333333334,9,0,198,169,30,0,0,0,0.9674126494408022,0.0,1.161,0,0.102564103,0.156988814,0,534,0.9257292856911508,1992,10,24,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7429.928859235546,0,0,0,0.2390248117228092,99.16416603421098,329.12797010917154,293.76869636289337,38.36312686087921,69.8900110922996,11.1158269601261,2.3468970751357348,6.622511530153541,105.5671667931578,39.12820363126861,1.6609259151147178,1.685971160021017,30.32640551112149,0.0,1.685971160021017,83.26207017339016,5.597466285247242,0.3641995446319107,0.3104161363769047,0.6746156810088154,14.027322085352328,0.3030339190845934,0.1423784225582345,20.085235565415378,55.648957907642014,86.65362834958258,3.2505692101115065,3.847914647673536,0.1251747329091015,34.63031700624671,0.2308745402533714,99.16416603421098,5.840212505108296,5.840212505108296,0.0,90.3672134975772,2.4432249401599626,0.1213731099305271,110.61352092941794,78.07723743359216,705.0410804289023,7.354720065386187,0.0,164.50487477377547,137.15208126568976,24.67884873606165,0.0,0.0,0.0,0.9700599158620756,0.0,0.956646214023002,0.0861042122480471,0.0,1.0306642563109725,2708.1833719472825
2017,2020,0.0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0.0,0.0,0,0,2,0,4.75,0.0,-0.4,0.0,3,0,0,0,0.0,0,0,1,0,3.0,0,0,2,0,0,0,0,0,1.0,0.0,-0.094,0,0.0102564103,0.0539591786,0,22,0.0,1994,12,7,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3195.75601342305,0,0,0,0.2206285714285714,6.085714285714285,12.485714285714286,11.714285714285714,0.0,3.085714285714286,0.7714285714285715,0.0,0.0,3.857142857142857,2.3142857142857145,0.0,0.7714285714285715,0.0,0.0,0.0,1.2285714285714286,1.542857142857143,0.2754,0.2059714285714285,0.4813714285714285,0.7714285714285715,0.2206285714285714,0.0,0.7714285714285715,4.628571428571429,3.5428571428571427,0.0,4.017142857142858,0.0547714285714285,0.6028571428571429,0.1612285714285714,6.085714285714285,0.0,0.0,0.0,0.0,0.0,0.0,4.857142857142857,3.085714285714286,25.37142857142857,0.0,0.0,22.82857142857143,0.7714285714285715,0.0,0.0,6.171428571428572,0.7714285714285715,1.0,8.562857142857142,-0.0214857142857142,0.0133548996742857,0.0,0.0,3000.0
2013,2020,0.188,27,19,16,5,3,1,0,0,4,0,0,0,1,0,2,4,0,0.25,0.316,0.566,0,0.0,0.0,1,5,4,0,3.16,0.063,1.5,0.205,27,0,0,0,0.0,0,0,30,1,56.0,1,0,21,0,0,0,0,0,0.9668035714285714,0.0,0.038,0,0.0111111111,0.0182475964,0,133,0.0,1990,9,16,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3849.8092607794124,0,0,0,0.1790043691466091,32.35846080612927,37.25264547765936,32.68345882272938,7.041802513817686,5.858203908620045,1.5836975862967846,0.0,0.260108728092876,8.222227679195457,1.9244645764780104,0.0,0.260108728092876,3.2480534346819194,0.0,1.061024492155181,11.543561128384528,0.260108728092876,0.2572570505143616,0.2714094587396155,0.5286665092539772,1.1441383921993826,0.0626981038697076,0.0,1.8438063143896608,7.843481414598579,7.698321099219107,0.0,3.6489071655515546,0.0784321318337571,2.338716343592863,0.1867503636233126,32.35846080612927,1.1181445199605586,0.4461629712463685,0.6719815487141901,7.439767545533194,0.260108728092876,0.0,30.6014291812903,6.494873383529091,94.22467765029448,0.1794504660045259,0.0,35.82271238434889,0.0,0.0,0.0,0.0,0.0,0.9711312995390076,0.0,0.0101008908298922,0.0051483264072127,0.0,0.0,3281.8432414716103
2015,2020,0.276,63,138,116,14,32,4,0,4,48,16,0,1,21,0,0,29,5,0.414,0.384,0.798,7,0.258,0.444,8,26,30,1,4.22,0.138,18.5,0.276,63,0,0,0,0.0,1,0,47,28,260.3333333333333,4,0,275,18,32,0,0,0,0.987,0.0,0.564,0,0.0341880342,0.124539391,0,217,0.0,1996,2,10,25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4498.336343374233,0,0,0,0.2658304164152082,49.18768859384429,107.2106216053108,91.56185878092938,10.254073627036814,24.99336149668075,3.388050694025347,0.0,3.134580567290284,37.78515389257694,12.35908267954134,0.0,0.6940253470126735,14.701267350633676,0.0,0.2534701267350633,24.36692818346409,4.007845503922752,0.4043663246831623,0.3516843693421846,0.7560506940253471,5.470126735063368,0.2279909474954737,0.3495515992757996,6.522631261315631,19.732045866022933,23.16354858177429,0.6940253470126735,3.8939468919734463,0.1385359082679541,13.858418829209414,0.259251056125528,49.18768859384429,0.0,0.0,0.0,0.0,1.0,0.0,36.80687990343996,20.96258298129149,199.0092536712935,2.776101388050694,0.0,197.71876885938445,15.329511164755582,23.506940253470127,0.0,0.0,0.0,0.9909776704888352,0.0,0.315231744115872,0.0309191031879903,0.0,0.1848556157813461,3077.4528493729176
2019,2020,0.22,106,387,346,46,76,18,2,12,134,43,1,1,33,1,6,116,8,0.387,0.298,0.685,19,0.16,0.0,32,82,73,3,3.88,0.168,39.4,0.231,106,1,0,1,0.0,1,0,107,90,785.0,13,0,99,148,27,0,0,0,0.9464726114649682,0.0,0.816,0,0.198290598,0.325855272,0,579,0.7936138058980514,2000,12,3,21,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6197.340377721096,0,0,0,0.2095048231511254,101.36977491961416,326.80707395498393,293.8327974276528,37.66559485530547,62.726688102893895,14.913183279742766,1.6913183279742765,8.604501607717042,106.83601286173636,33.7395498392283,1.0,1.0,26.209003215434084,0.6913183279742766,4.765273311897106,102.41800643086818,6.456591639871383,0.3477974276527331,0.2804051446945337,0.6282025723472671,15.29581993569132,0.1738906752411575,0.0342636655948553,25.209003215434084,69.65273311897107,60.03536977491962,2.07395498392283,3.9263022508038583,0.1386752411575563,30.201286173633445,0.213096463022508,101.36977491961416,1.9260450160771707,0.617363344051447,1.3086816720257235,15.434083601286176,0.6913183279742766,0.3086816720257235,100.2090032154341,76.41800643086818,675.9324758842445,11.14790996784566,0.0,136.967845659164,124.23151125401932,27.92604501607717,0.0,0.3086816720257235,0.0,0.9495167533976432,0.0,0.3446430868167203,0.1764588015241157,0.0,1.0083012707422958,3300.0
2011,2020,0.284,36,85,74,10,21,6,0,1,30,11,1,0,8,0,2,16,2,0.405,0.369,0.774,6,0.368,0.2,7,21,16,1,3.82,0.122,10.6,0.267,36,0,0,0,0.0,1,0,39,15,164.66666666666669,2,0,65,1,4,0,0,0,0.9734736842105262,0.0,0.39,0,0.0170940171,0.136317771,0,623,0.5520625714615981,1989,2,25,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5205.366696427177,0,0,0,0.2516653760534471,56.66277105669906,118.36598614849684,104.15922527121778,15.207895837933458,26.07491986112412,5.900413001958043,0.0,1.7845443446568785,37.3289658970528,11.724540066001268,1.9001028423848088,0.4585378510666997,9.086123838727332,0.0,2.7619963451002087,33.18124316424624,3.458227691493465,0.3629033642433266,0.3250236103605325,0.6879269746038591,5.027555659037542,0.2693143110720094,0.2418670961932852,7.6849573466149215,24.049110460625627,21.3124896362885,1.7619963451002087,3.7365531090275335,0.1112326613495635,11.701010080615712,0.2371489809840392,56.66277105669906,5.650585909476363,3.590138729823518,2.0604471796528445,53.80272240202694,1.2706378547611212,0.0,57.32153710273155,26.802172749431445,272.2609663461111,1.265311014445188,0.0,71.17487716048483,2.032696059942418,1.4978641088668694,0.0,0.0,0.0,0.9831663036372518,0.0,0.3973242451996148,0.025616763513795,0.0,0.1448458090217015,4069.8911758356817
2015,2020,0.232,89,159,138,36,32,5,2,4,53,16,3,1,14,0,3,55,2,0.384,0.314,0.698,7,0.241,0.5,11,30,22,2,4.31,0.152,17.1,0.237,89,6,3,3,50.0,1,0,84,33,361.6666666666667,2,0,88,3,2,0,0,0,0.978,0.0,0.018,0,0.0769230769,0.32814832,0,1061,0.0,1992,4,30,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7262.463564127016,0,0,0,0.2472577835760375,111.80152321850429,385.4230457318148,341.3277740559219,54.22626141532386,86.8557526180318,13.415253340855402,2.5437043827791688,5.366559712280949,121.4580938612884,30.93970593420542,9.24530164662741,1.274285109833927,26.230915694086956,0.0,7.344769225344662,89.18525439864602,4.718521913895843,0.3510773244949049,0.3135536123549945,0.6646309368498995,21.40086738831494,0.2603008709142836,0.5449930185818553,21.325517435915515,85.6396812524241,80.92137089665385,1.1868763442755896,3.954822467472938,0.1038195409188674,40.08896371778145,0.2286771975600296,111.80152321850429,20.39113571453757,13.854624308028631,6.5365114065089385,67.74932477698246,4.5365114065089385,1.6262473114488205,110.31857127745847,87.53767497619971,802.8954667794977,2.5437043827791688,0.0,243.18803991396635,7.883607771235147,3.6311131483375054,0.0,0.0,0.0,0.9883132634285244,0.0,1.1243147632311976,0.1133118178019886,0.0,0.0,8581.6016767712
2011,2020,0.179,60,95,84,5,15,4,0,1,22,6,2,0,8,0,1,29,4,0.262,0.258,0.52,0,0.182,0.063,5,21,19,1,3.86,0.083,4.5,0.182,60,0,0,0,0.0,1,0,47,11,153.99999999999997,0,0,33,0,0,0,0,0,0.9826839826839828,0.0,-0.655,0,0.0170940171,0.056065588,0,276,0.1005308777378352,1992,11,20,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4050.7111430141904,0,0,0,0.2313561968768531,63.89068985965606,129.77604269618504,118.10357778217038,9.995453646965805,27.77683336627792,3.807867167424392,0.0,0.951966791856098,34.44060090927061,12.052184226131644,0.7511365882585491,0.0,9.96936153389998,0.0,0.951966791856098,27.12670488238782,2.078671674243921,0.2896190946827436,0.2976754299268629,0.5872945246096066,3.506424194504843,0.2366617908677604,0.2800620676022929,4.75983395928049,39.15655267839494,24.043486855109705,1.5283652895829216,3.817250444751927,0.0582628978058904,10.259181656453846,0.2063528365289582,63.89068985965606,1.7291954931804705,1.152796995453647,0.5763984977268235,38.44577979837913,0.4236015022731765,0.0,39.21862028068788,15.17888910851947,152.79916979640242,0.5763984977268235,0.0,36.12215852935363,1.152796995453647,1.152796995453647,0.0,0.0,0.0,0.9755412515495874,0.0,-0.1897023127100217,0.0256745444924688,0.0,0.2932111872748213,2701.129085506768
2019,2020,0.167,30,46,42,3,7,1,0,0,8,0,0,0,4,0,0,18,0,0.19,0.239,0.429,2,0.2,0.0,1,13,4,0,4.09,0.024,1.5,0.155,30,1,0,1,0.0,1,0,23,12,104.33333333333334,0,0,23,1,0,0,0,0,1.0,0.0,-0.288,0,0.0393162393,0.0758907264,0,107,0.0,2000,5,30,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3322.9498860028434,0,0,0,0.1653676907829534,34.35282457879088,54.1615460852329,49.07333994053518,6.808721506442021,8.08820614469772,1.0,0.0,0.5441030723488602,10.7205153617443,2.176412289395441,0.0,0.5441030723488602,4.54410307234886,0.0,0.0,17.45589692765114,0.0,0.2150287413280475,0.2341030723488602,0.4491318136769078,1.4558969276511398,0.1689861248761149,0.1811863230921705,1.5441030723488602,14.08820614469772,9.985133795837465,0.0,3.877799801783944,0.0506610505450941,2.8602576808721505,0.1593528245787908,34.35282457879088,2.0882061446977205,1.632309217046581,0.4558969276511397,54.41030723488602,1.0,0.0,24.08820614469772,13.63230921704658,122.28873472084572,0.0,0.0,29.52923686818632,0.4558969276511397,0.0,0.0,0.0,0.0,1.0,0.0,-0.3511159563924677,0.0378244435043607,0.0,0.0,3200.0
