데뷔년도,연도,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,피출루율,피장타율,피OPS,경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),수비율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적이닝,포지션 엔트로피,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,연봉,1차FA여부,2차FA여부,5년평균평균자책점,5년평균경기,5년평균승리,5년평균패배,5년평균세이브,5년평균홀드,5년평균승률,5년평균이닝,5년평균피안타,5년평균홈런,5년평균볼넷,5년평균사구,5년평균삼진,5년평균실점,5년평균자책점,5년평균이닝당_출루허용률,5년평균완투,5년평균완봉,5년평균퀄리티스타트,5년평균블론세이브,5년평균타자수,5년평균투구수,5년평균피안타율,5년평균2루타,5년평균3루타,5년평균희생번트,5년평균희생플라이,5년평균고의4구,5년평균폭투,5년평균보크,5년평균선발,5년평균선발승,5년평균구원승,5년평균종료,5년평균세이브기회,5년평균터프세이브,5년평균병살타,5년평균땅볼,5년평균뜬공,5년평균인플레이타구타율,5년평균투구수/경기,5년평균투구수/이닝,5년평균9이닝당 삼진,5년평균9이닝당 볼넷,5년평균피출루율,5년평균피장타율,5년평균피OPS,5년평균경기(수비),5년평균선발경기(수비),5년평균수비이닝(수비),5년평균실책(수비),5년평균견제사(수비),5년평균자살(수비),5년평균보살(수비),5년평균병살(수비),5년평균수비율(수비),5년평균WAR,5년평균뉴스개수(연도별정규화),5년평균수상횟수,5년평균포지션 엔트로피,5년평균연봉
2019,2020,7.85,15,0,0,0,0,0.0,28.666666666666668,41,4,24,3,13,26,25,2.27,0,0,0,0,144,559,0.36,9,0,1,2,0,3,0,1,0,0,2,0,0,10,33,29,0.374,37.3,19.5,4.08,7.53,0.476,0.544,1.02,15,1,28.666666666666668,1,0,2,1,1,0.75,-0.174,0,0.00363636364,0.0221168564,0,45.0,0.0,1992,7,15,29,1,0,0,0,0,0,0,0,0,0,0,3282.3912310770847,0,0,9.985,13.0,0.5,0.5,0.0,0.0,0.25,22.5,32.0,3.5,19.5,1.5,12.0,24.0,23.5,2.3,0.0,0.0,0.0,0.0,114.5,452.0,0.3445,9.5,0.5,0.5,1.0,0.0,2.5,0.0,1.0,0.0,0.5,3.0,0.0,0.0,5.5,27.0,22.0,0.3655,34.349999999999994,20.3,5.07,7.9,0.4615,0.5865,1.048,13.0,1.0,22.5,0.5,0.0,1.5,2.0,0.5,0.875,-0.422,0.01105842822,0.0,0.0,3000.0
2011,2020,1.78,51,1,1,0,5,0.5,25.33333333333333,24,2,7,6,18,7,5,1.22,0,0,0,0,109,419,0.261,3,0,1,3,1,1,0,0,0,1,5,8,0,1,16,37,0.293,8.2,16.5,6.39,2.49,0.343,0.359,0.702,51,0,25.33333333333333,1,0,6,2,1,0.8889999999999999,1.12,0,0.00581818182,0.0850159234,0,130.66666666666669,0.0,1988,12,21,33,0,0,0,0,0,0,0,1,0,0,0,8367.21860691387,0,0,10.028,35.0,0.4,0.4,0.0,3.2,0.3,21.4,18.6,1.6,6.8,3.4,16.6,9.8,8.6,1.768,0.0,0.0,0.0,0.4,91.6,360.6,0.305,3.8,0.4,0.6,1.6,0.4,0.2,0.0,0.0,0.0,0.4,6.2,3.6,0.0,1.0,14.8,30.8,0.3177999999999999,12.52,19.76,5.134,2.4,0.384,0.4774,0.8613999999999999,34.8,0.0,21.4,0.2,0.0,2.8,2.4,0.4,0.9778,0.4922000000000001,0.010420094064,0.0,0.0,4954.876368917096
2017,2020,5.08,24,6,6,0,0,0.5,118.66666666666669,132,15,40,5,73,71,67,1.45,0,0,8,0,517,1941,0.284,20,1,4,4,0,3,1,23,5,1,0,0,0,11,137,126,0.308,80.9,16.4,5.54,3.03,0.345,0.429,0.774,24,23,118.66666666666669,1,1,8,15,0,0.958,0.934,0,0.146181818,0.622062234,0,286.33333333333337,0.0,1999,2,8,22,0,0,0,0,0,0,0,0,1,0,0,8352.293769860291,0,0,5.053333333333334,26.33333333333333,5.0,4.666666666666667,0.0,1.3333333333333333,0.455,95.44444444444446,103.33333333333331,11.0,37.66666666666666,3.6666666666666665,64.33333333333333,56.333333333333336,52.0,1.4766666666666666,0.3333333333333333,0.3333333333333333,7.333333333333333,0.0,417.6666666666667,1581.6666666666667,0.2736666666666666,18.666666666666668,1.3333333333333333,2.333333333333333,4.0,0.3333333333333333,5.333333333333333,1.3333333333333333,16.666666666666668,4.333333333333333,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.0,7.333333333333333,105.0,101.33333333333331,0.302,64.23333333333333,16.933333333333334,6.386666666666667,3.723333333333333,0.3486666666666666,0.4296666666666666,0.7783333333333333,26.33333333333333,16.666666666666668,95.44444444444446,1.3333333333333333,1.6666666666666667,5.333333333333333,11.333333333333334,0.0,0.9426666666666668,0.7516666666666668,0.2073540779999999,0.0,0.0,2707.3390557939915
2013,2020,5.7,53,1,4,0,17,0.2,42.66666666666666,56,7,13,4,50,27,27,1.62,0,0,0,3,194,802,0.32,15,2,1,1,2,3,0,0,0,1,3,23,0,5,40,30,0.412,15.1,18.8,10.55,2.74,0.378,0.549,0.927,53,0,42.66666666666666,0,0,4,4,0,1.0,0.355,0,0.0429090909,0.503442958,0,278.3333333333333,0.0,1994,6,10,27,0,0,0,0,0,0,1,0,0,0,0,12173.385475482508,0,0,5.374,38.2,3.2,2.6,1.4,7.2,0.5434000000000001,55.4,61.6,6.2,26.6,4.4,54.8,34.8,32.8,1.6920000000000002,0.0,0.0,0.8,2.8,252.2,1020.6,0.3064,13.6,1.4,4.0,1.8,1.4,4.0,0.6,4.6,1.2,2.0,6.6,11.0,0.4,3.8,50.4,50.4,0.3784,26.5,18.42,8.874,4.153999999999999,0.3842,0.4804,0.8646,38.2,4.6,55.333333333333336,0.4,0.0,3.0,8.8,0.0,0.957,0.5833999999999999,0.10014548222,0.0,0.0,7844.628498832882
2013,2020,3.58,57,5,2,0,20,0.714,60.333333333333336,40,8,26,0,58,25,24,1.09,0,0,0,3,238,974,0.193,9,0,4,1,2,1,0,0,0,5,3,25,0,6,45,65,0.225,17.1,16.1,8.65,3.88,0.282,0.353,0.635,57,0,60.333333333333336,0,0,2,2,1,1.0,1.906,0,0.0974545455,0.319808764,0,199.66666666666669,0.0,1990,6,12,31,0,0,0,0,0,0,1,0,0,0,0,13256.6254979867,0,0,3.375,40.75,3.25,2.5,0.5,10.0,0.3875,42.66666666666667,36.75,6.25,19.5,1.5,44.25,21.75,19.75,1.045,0.0,0.0,0.0,2.5,181.5,713.5,0.181,7.25,0.0,3.0,1.25,3.5,2.5,0.25,0.0,0.0,3.25,7.5,15.0,0.5,3.75,37.0,39.5,0.22,14.775,15.325,10.515,3.2299999999999995,0.24725,0.302,0.54925,40.75,0.0,42.66666666666667,0.75,0.25,1.5,3.25,0.25,0.65175,0.8185,0.0617919737404999,0.0,0.0,4825.22118264187
2017,2020,13.02,12,0,0,0,0,0.0,18.666666666666668,32,9,16,4,14,27,27,2.57,0,0,0,0,105,384,0.381,7,0,0,1,0,0,0,0,0,0,4,2,0,3,17,22,0.371,32.0,20.6,6.75,7.71,0.495,0.786,1.281,12,0,18.666666666666668,0,0,2,1,1,1.0,-0.503,0,0.000727272727,0.0559916977,0,84.66666666666666,0.0,1994,10,19,27,1,0,0,0,0,0,0,0,0,0,0,5346.774398159891,0,0,8.67,7.0,0.0,0.5,0.0,0.0,0.0,13.5,21.0,4.5,11.0,3.5,9.5,15.5,15.5,2.245,0.0,0.0,0.0,0.0,73.5,283.5,0.3419999999999999,4.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.5,13.5,15.0,0.364,61.75,21.3,6.075,7.095000000000001,0.4735,0.5595,1.033,7.0,1.0,13.5,0.0,0.0,2.0,0.5,0.5,1.0,-0.1605,0.0027592558035,0.0,0.0,6000.0
2015,2020,6.79,22,6,10,0,0,0.375,106.0,129,11,47,6,67,87,80,1.66,0,0,6,0,486,1831,0.306,20,4,4,8,0,4,0,22,6,0,0,0,0,12,110,123,0.336,83.2,17.3,5.69,3.99,0.378,0.451,0.829,22,22,106.0,4,1,5,13,1,0.818,-0.747,0,0.0836363636,0.189203664,0,217.66666666666663,0.0,1993,2,9,28,1,0,0,0,0,0,0,0,0,0,0,6192.280898725284,0,0,5.5575,22.0,2.75,5.0,0.25,1.5,0.38125,54.41666666666666,67.25,5.25,24.0,4.0,40.0,41.75,37.75,1.5975,0.0,0.0,2.0,0.0,252.5,964.25,0.302,9.75,2.0,2.25,3.5,0.25,2.25,0.0,8.0,2.0,0.75,5.0,2.0,0.0,4.5,54.25,60.75,0.34425,48.575,17.849999999999998,6.7475000000000005,3.3275,0.3655,0.43925,0.8047500000000001,22.0,8.0,54.41666666666666,1.75,0.5,2.25,5.0,0.5,0.8295,-0.217,0.047300915925,0.0,0.0,3783.843590640896
2015,2020,4.5,3,0,0,0,0,0.0,4.0,6,1,2,0,1,2,2,2.0,0,0,0,0,18,68,0.4,1,0,1,0,0,0,0,0,0,0,2,0,0,1,4,4,0.385,22.7,17.0,2.25,4.5,0.471,0.667,1.138,3,0,4.0,0,0,1,1,0,1.0,0.077,0,0.00290909091,0.0452429314,0,68.0,0.0,1991,7,23,30,1,0,0,0,0,0,0,0,0,0,0,4031.227114213816,0,0,5.27,15.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.25,22.666666666666668,26.0,4.0,6.333333333333333,2.0,15.666666666666666,13.666666666666666,13.0,1.67,0.0,0.0,0.0,0.0,100.0,371.3333333333333,0.3286666666666666,6.333333333333333,0.6666666666666666,0.3333333333333333,2.333333333333333,0.3333333333333333,0.6666666666666666,0.0,1.3333333333333333,0.0,1.0,6.333333333333333,0.6666666666666666,0.0,2.0,24.33333333333333,25.33333333333333,0.3403333333333333,29.16666666666667,17.166666666666668,5.656666666666666,3.5066666666666664,0.387,0.5796666666666667,0.9666666666666668,15.0,1.3333333333333333,22.666666666666668,0.3333333333333333,0.0,1.3333333333333333,2.0,0.0,0.6296666666666667,0.2553333333333333,0.0150809771366666,0.0,0.0,3257.6108726752504
2004,2020,2.66,48,3,0,0,6,1.0,47.333333333333336,41,4,10,0,56,16,14,1.08,0,0,0,1,190,727,0.232,8,2,1,2,1,2,0,0,0,3,10,6,0,3,22,60,0.311,15.1,15.4,10.65,1.9,0.27,0.367,0.637,48,0,47.333333333333336,2,1,1,6,0,0.7779999999999999,1.437,0,0.0690909091,0.493074056,0,457.0,0.0,1985,3,7,36,0,0,0,1,0,0,0,0,0,0,0,22741.42266325218,0,0,4.438000000000001,55.6,4.6,3.6,0.2,9.0,0.5974,61.73333333333333,57.4,10.2,17.4,1.6,65.4,32.2,29.6,1.25,0.0,0.0,0.0,2.2,256.6,1022.6,0.25,9.4,2.0,2.0,1.8,1.2,6.0,0.6,0.0,0.0,4.6,8.4,11.4,0.0,3.6,44.0,68.8,0.2974,18.02,16.72,9.239999999999998,2.66,0.3056,0.4438,0.7494,55.6,0.0,61.66666666666666,0.8,0.4,2.4,7.2,0.8,0.9306,1.0578,0.04495860478,0.0,0.0,19287.031960173124
2015,2020,4.64,22,1,1,0,2,0.5,33.0,25,4,24,6,29,17,17,1.48,0,0,0,0,144,593,0.223,5,1,1,1,0,1,0,3,1,0,4,1,0,4,33,26,0.263,27.0,18.0,7.91,6.55,0.385,0.393,0.778,22,3,33.0,0,0,3,4,0,1.0,0.481,0,0.064,0.185486972,0,93.66666666666669,0.0,1996,1,29,25,0,0,0,1,0,0,0,0,0,0,0,4016.508174018598,0,0,9.573333333333332,12.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.1666666666666666,17.11111111111111,17.333333333333332,2.0,11.0,3.333333333333333,15.666666666666666,14.0,13.666666666666666,1.9766666666666663,0.0,0.0,0.0,0.0,79.0,331.0,0.3253333333333333,3.6666666666666665,1.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,2.333333333333333,0.3333333333333333,0.0,2.333333333333333,16.666666666666668,14.666666666666666,0.3793333333333333,29.6,20.366666666666667,7.436666666666667,5.71,0.44,0.494,0.934,12.0,1.0,17.11111111111111,0.3333333333333333,0.0,1.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,-0.0476666666666666,0.0367101855233333,0.0,0.0,3308.969957081545
