ID,선수명,데뷔년도,생년월일,팀명,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),포지션(수비),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),연봉,WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피
73732,고지행,1997.0,1978-05-03,삼성,2003,0.281,92,289,253,38,71,9,0,4,92,27,12,2,20,0,2,61,8,0.364,0.336,0.7,20,0.259,0.333,13,65,58,1.12,0,0.33,3.89,0.083,30.1,0.242,92,14,9,5,64.3,0,0,2루수,81.0,70.0,552.0,8.0,0.0,128.0,160.0,30.0,0.0,0.0,0.0,0.9751757246376812,0.0,5000,0.868,0,0.0180722892,0.0180722892,0.0,289,0.3518145080538977
73732,고지행,1997.0,1978-05-03,삼성,2004,0.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0,0.0,0,0.0,0.0,0,2,0,-,0,-,3.5,0.000,-0.2,0.0,2,0,0,0,0.0,0,0,수비기록없음,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"10,000",-0.044,0,0.00729927007,0.0253715593,0.0,291,0.0
73732,고지행,1997.0,1978-05-03,한화,2005,0.231,25,69,65,5,15,0,0,2,21,8,2,0,1,0,1,18,1,0.323,0.254,0.577,3,0.267,0.5,2,17,15,1.13,0,0.06,3.94,0.092,5.1,0.195,25,0,0,0,0.0,0,0,2루수,20.0,16.0,128.0,5.0,0.0,38.0,35.0,13.0,0.0,0.0,0.0,0.8823750000000001,0.0,"10,000",-0.058,0,0.00440528634,0.0297768456,0.0,360,0.307752750335745
69636,오선우,2019.0,1996-12-13,KIA,2019,0.151,27,57,53,5,8,1,1,1,14,4,0,0,3,0,1,24,0,0.264,0.211,0.475,2,0.143,0.143,3,11,10,1.10,0,0.13,3.72,0.113,2.8,0.161,27,0,0,0,0.0,0,0,우익수,23.0,11.0,120.66666666666669,0.0,0.0,34.0,3.0,0.0,0.0,0.0,0.0,0.9917127071823204,0.0,"2,700",-0.33,0,0.0124888492,0.0124888492,0.0,57,0.2498822928331854
69636,오선우,2019.0,1996-12-13,KIA,2020,0.239,59,73,67,11,16,0,0,4,28,14,0,0,3,0,3,26,2,0.418,0.301,0.719,2,0.286,0.24,4,16,9,1.78,2,0.12,3.96,0.179,8.3,0.24,59,0,0,0,0.0,0,0,우익수,32.0,9.0,111.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"3,000",0.018,0,0.0153846154,0.0278734646,0.0,130,0.0
73736,신민기,1999.0,1980-12-11,한화,2003,0.095,21,22,21,2,2,0,0,0,2,1,1,0,0,0,0,7,0,0.095,0.095,0.19,0,0.2,0.143,0,9,3,3.00,0,0.00,4.05,0.000,-0.7,0.067,21,0,0,0,0.0,0,0,2루수,9.0,2.0,37.333333333333336,0.0,0.0,7.0,12.0,2.0,0.0,0.0,0.0,1.0,0.0,1700,-0.342,0,0.0,0.0,0.0,22,0.0
98315,채종국,1998.0,1975-10-24,현대,2002,0.228,100,224,184,24,42,7,0,3,58,15,12,3,13,0,12,36,2,0.315,0.316,0.631,8,0.219,1.0,10,56,53,1.06,0,0.36,3.47,0.087,21.0,0.221,100,2,0,2,0.0,0,0,3루수,104.0,74.0,600.6666666666666,8.0,0.0,70.0,154.0,24.0,0.0,0.0,0.0,0.9636920088790234,0.0,"2,300",0.143,0,0.0,0.0,0.0,224,1.1196529401743545
98315,채종국,1998.0,1975-10-24,현대,2003,0.241,90,164,137,18,33,8,0,3,50,16,12,2,7,0,6,31,3,0.365,0.303,0.668,2,0.257,0.125,11,37,38,0.97,0,0.23,3.44,0.124,16.0,0.228,90,0,0,0,0.0,0,0,3루수,89.0,42.0,420.6666666666667,7.0,0.0,49.0,108.0,14.0,0.0,0.0,0.0,0.9581949286846276,0.0,"3,300",0.103,0,0.0100401606,0.0100401606,0.0,388,0.8585810401332551
98315,채종국,1998.0,1975-10-24,현대,2004,0.275,128,385,327,40,90,19,0,4,121,34,21,1,22,0,14,55,6,0.370,0.346,0.716,19,0.267,0.667,23,94,89,1.06,0,0.40,3.66,0.095,41.8,0.248,128,8,4,4,50.0,0,0,2루수,137.0,109.0,932.3333333333334,12.0,0.0,248.0,319.0,71.0,0.0,0.0,0.0,0.979658562745799,0.0,"4,300",1.307,0,0.131386861,0.141427022,0.0,773,0.4248021843535627
98315,채종국,1998.0,1975-10-24,현대,2005,0.237,106,407,342,45,81,10,1,9,120,36,16,5,25,1,19,40,6,0.351,0.32,0.671,19,0.2,0.0,20,123,103,1.19,0,0.63,3.5,0.114,40.7,0.232,106,9,1,8,11.1,0,0,유격수,108.0,103.0,868.3333333333334,17.0,0.0,169.0,317.0,65.0,0.0,0.0,0.0,0.9653458733205372,0.0,"8,600",0.764,0,0.0837004405,0.225127462,0.0,1180,0.9839712542642912
