선수명,ID,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
오지환,79109,LG,유격수,132,127,1141,25,0,227,425,87,0.963,0,0,0,-
손아섭,77532,롯데,우익수,131,129,1120 2/3,3,0,276,13,7,0.990,0,0,0,-
황재균,76313,롯데,3루수,131,128,1095 2/3,15,0,82,237,25,0.955,0,0,0,-
안치홍,79608,KIA,2루수,131,131,1124,11,0,275,389,82,0.984,0,0,0,-
김상수,79402,삼성,유격수,129,127,1101 2/3,14,0,177,362,67,0.975,0,0,0,-
최정,75847,SK,3루수,126,125,1087 1/3,6,0,105,248,38,0.983,0,0,0,-
서건창,78168,넥센,2루수,126,119,1042 2/3,7,0,266,341,77,0.989,0,0,0,-
이용규,74163,KIA,중견수,125,125,1079 2/3,4,0,267,4,3,0.985,0,0,0,-
정근우,75808,SK,2루수,123,119,1035 2/3,9,0,285,336,87,0.986,0,0,0,-
김선빈,78603,KIA,유격수,123,123,1029 1/3,13,0,178,348,76,0.976,0,0,0,-
김강민,71837,SK,중견수,121,115,985 2/3,2,0,230,8,2,0.992,0,0,0,-
이종욱,73339,두산,중견수,120,117,1038 1/3,4,0,273,3,0,0.986,0,0,0,-
박석민,74465,삼성,3루수,119,119,990,10,0,68,220,20,0.966,0,0,0,-
박병호,75125,넥센,1루수,119,118,1014 2/3,7,0,1027,82,109,0.994,0,0,0,-
박종윤,71562,롯데,1루수,118,110,965 2/3,7,0,988,67,85,0.993,0,0,0,-
전준우,78513,롯데,중견수,118,114,969 1/3,6,0,226,12,3,0.975,0,0,0,-
박정권,74846,SK,1루수,117,93,881,3,0,885,68,95,0.997,0,0,0,-
김현수,76290,두산,좌익수,117,114,957,4,0,195,9,0,0.981,0,0,0,-
이대수,72860,한화,유격수,115,108,910 1/3,13,0,125,322,49,0.972,0,0,0,-
강정호,76325,넥센,유격수,115,114,991 1/3,12,0,180,353,88,0.978,0,0,0,-
강민호,74540,롯데,포수,114,107,887,3,1,636,65,9,0.996,3,69,30,30.3
양의지,76232,두산,포수,113,108,886,5,1,611,71,8,0.993,9,75,45,37.5
김원섭,71207,KIA,좌익수,111,107,907 2/3,0,0,172,7,3,1.000,0,0,0,-
최진행,74729,한화,좌익수,110,108,885,0,0,176,2,0,1.000,0,0,0,-
한상훈,73703,한화,2루수,106,79,687,2,0,184,208,44,0.995,0,0,0,-
진갑용,97202,삼성,포수,105,84,708,3,0,537,43,7,0.995,4,70,24,25.5
이원석,75566,두산,3루수,105,94,844 2/3,15,0,65,150,14,0.935,0,0,0,-
오선진,78756,한화,3루수,105,101,887 2/3,6,0,70,208,20,0.979,0,0,0,-
박한이,71432,삼성,우익수,104,101,858 1/3,0,0,201,1,0,1.000,0,0,0,-
김주찬,70410,롯데,좌익수,104,100,827 2/3,2,0,176,10,0,0.989,0,0,0,-
문규현,72546,롯데,유격수,104,86,708 2/3,13,0,126,233,49,0.965,0,0,0,-
최윤석,60805,SK,유격수,102,55,557,6,0,106,160,39,0.978,0,0,0,-
김태군,78122,LG,포수,100,49,484 2/3,4,0,309,38,4,0.989,1,48,21,30.4
이준호,60693,KIA,우익수,98,66,642 1/3,1,0,127,4,0,0.992,0,0,0,-
정형식,79459,삼성,중견수,97,64,621,1,0,191,3,0,0.995,0,0,0,-
서동욱,73606,LG,2루수,96,74,668,6,0,185,228,51,0.986,0,0,0,-
임훈,74823,SK,우익수,94,49,534,0,0,129,2,0,1.000,0,0,0,-
허도환,77243,넥센,포수,94,73,620 1/3,5,2,455,54,12,0.990,2,87,25,22.3
박재상,71857,SK,좌익수,92,67,657 2/3,0,0,122,6,2,1.000,0,0,0,-
박기남,74103,KIA,3루수,92,68,640 1/3,4,0,55,161,19,0.982,0,0,0,-
조성환,99543,롯데,2루수,89,82,670 1/3,2,0,162,222,46,0.995,0,0,0,-
정성훈,99606,LG,3루수,89,83,734,6,0,51,162,10,0.973,0,0,0,-
조인성,98144,SK,포수,86,69,623 2/3,8,1,427,42,6,0.983,3,53,22,29.3
손시헌,73213,두산,유격수,85,83,702,5,0,119,224,51,0.986,0,0,0,-
김태균,71752,한화,1루수,84,84,670,2,0,654,37,50,0.997,0,0,0,-
이대형,73153,LG,중견수,83,56,554 1/3,0,0,141,5,0,1.000,0,0,0,-
이택근,73342,넥센,중견수,82,79,676 2/3,1,0,169,6,1,0.994,0,0,0,-
배영섭,79465,삼성,중견수,80,66,542 2/3,2,0,130,2,1,0.985,0,0,0,-
이승엽,95436,삼성,1루수,80,76,647 1/3,3,0,642,50,47,0.996,0,0,0,-
