선수명,ID,팀명,경기,도루시도,도루허용,도루실패,도루성공률,주루사,견제사
오재원,77248,두산,129,53,46,7,86.8,0,0
이대형,73153,LG,104,51,34,17,66.7,0,0
배영섭,79465,삼성,99,41,33,8,80.5,0,0
정수빈,79231,두산,128,39,31,8,79.5,0,0
이용규,74163,KIA,111,36,30,6,83.3,0,0
김상수,79402,삼성,128,36,29,7,80.6,0,0
김주찬,70410,롯데,86,35,25,10,71.4,0,0
전준우,78513,롯데,133,32,23,9,71.9,0,0
신종길,72559,KIA,116,29,23,6,79.3,0,0
김민우,72303,넥센,126,32,23,9,71.9,0,0
김선빈,78603,KIA,98,31,22,9,71.0,0,0
정근우,75808,SK,90,29,20,9,69.0,0,0
이종욱,73339,두산,121,35,20,15,57.1,0,0
강명구,73409,삼성,89,23,19,4,82.6,0,0
조동찬,72466,삼성,85,19,18,1,94.7,0,0
강동우,98420,한화,133,32,17,15,53.1,0,0
한상훈,73703,한화,131,26,16,10,61.5,0,0
최정,75847,SK,113,20,15,5,75.0,0,0
이여상,76435,한화,120,19,15,4,78.9,0,0
이영욱,78467,삼성,111,20,14,6,70.0,0,0
박재상,71857,SK,93,18,13,5,72.2,0,0
신명철,71504,삼성,117,23,13,10,56.5,0,0
손아섭,77532,롯데,116,17,13,4,76.5,0,0
박용택,72133,LG,115,16,13,3,81.3,0,0
황재균,76313,롯데,117,18,12,6,66.7,0,0
김민성,77564,넥센,124,15,12,3,80.0,0,0
장기영,71347,넥센,84,18,11,7,61.1,0,0
조동화,71848,SK,114,16,10,6,62.5,0,0
박경수,73113,LG,111,18,10,8,55.6,0,0
이택근,73342,LG,85,16,10,6,62.5,0,0
김강민,71837,SK,80,13,9,4,69.2,0,0
박정권,74846,SK,122,12,9,3,75.0,0,0
조성환,99543,롯데,117,15,9,6,60.0,0,0
안치홍,79608,KIA,115,13,9,4,69.2,0,0
정성훈,99606,LG,127,11,9,2,81.8,0,0
김일경,97300,넥센,41,16,9,7,56.3,0,0
송지만,96761,넥센,106,10,9,1,90.0,0,0
박한이,71432,삼성,121,10,8,2,80.0,0,0
김상현,70646,KIA,101,8,8,0,100,0,0
오재필,75736,한화,54,9,8,1,88.9,0,0
이대수,72860,한화,122,16,8,8,50.0,0,0
조영훈,75441,삼성,98,9,7,2,77.8,0,0
서동욱,73606,LG,112,8,7,1,87.5,0,0
고종욱,61353,넥센,54,13,7,6,53.8,0,0
전현태,75706,한화,78,11,7,4,63.6,0,0
박진만,96307,SK,100,11,6,5,54.5,0,0
고영민,72214,두산,93,12,6,6,50.0,0,0
김동주,98218,두산,120,7,6,1,85.7,0,0
이인구,73563,롯데,81,7,6,1,85.7,0,0
알드리지,61332,넥센,117,8,6,2,75.0,0,0
임훈,74823,SK,93,10,5,5,50.0,0,0
김현수,76290,두산,130,8,5,3,62.5,0,0
문규현,72546,롯데,125,7,5,2,71.4,0,0
오지환,79109,LG,63,7,5,2,71.4,0,0
김경언,71610,한화,81,10,5,5,50.0,0,0
신경현,98742,한화,103,9,5,4,55.6,0,0
박재홍,96362,SK,74,5,4,1,80.0,0,0
최윤석,60805,SK,82,8,4,4,50.0,0,0
정형식,79459,삼성,52,7,4,3,57.1,0,0
최형우,72443,삼성,133,7,4,3,57.1,0,0
이성열,73136,두산,83,10,4,6,40.0,0,0
정진호,61208,두산,47,4,4,0,100,0,0
강민호,74540,롯데,124,10,4,6,40.0,0,0
박기남,74103,KIA,85,6,4,2,66.7,0,0
김태완,74158,LG,76,5,4,1,80.0,0,0
양영동,76459,LG,51,5,4,1,80.0,0,0
이학준,74148,LG,33,7,4,3,57.1,0,0
강정호,76325,넥센,123,10,4,6,40.0,0,0
유한준,74339,넥센,121,7,4,3,57.1,0,0
안치용,72161,SK,93,3,3,0,100,0,0
강봉규,70224,삼성,52,4,3,1,75.0,0,0
박석민,74465,삼성,128,4,3,1,75.0,0,0
양의지,76232,두산,119,6,3,3,50.0,0,0
박종윤,71562,롯데,111,5,3,2,60.0,0,0
이승화,71565,롯데,70,4,3,1,75.0,0,0
황성용,76562,롯데,57,4,3,1,75.0,0,0
윤정우,61652,KIA,29,3,3,0,100,0,0
이종범,93607,KIA,97,5,3,2,60.0,0,0
차일목,73602,KIA,111,6,3,3,50.0,0,0
이진영,99810,LG,97,5,3,2,60.0,0,0
정의윤,75151,LG,93,5,3,2,60.0,0,0
고동진,74745,한화,97,5,3,2,60.0,0,0
오선진,78756,한화,68,6,3,3,50.0,0,0
이양기,73725,한화,93,3,3,0,100,0,0
정원석,70240,한화,82,6,3,3,50.0,0,0
최진행,74729,한화,127,8,3,5,37.5,0,0
김연훈,77609,SK,84,8,2,6,25.0,0,0
이호준,94629,SK,114,4,2,2,50.0,0,0
손시헌,73213,두산,92,3,2,1,66.7,0,0
이대호,71564,롯데,133,2,2,0,100,0,0
홍성흔,99222,롯데,132,7,2,5,28.6,0,0
이범호,70756,KIA,101,2,2,0,100,0,0
윤진호,79198,LG,75,3,2,1,66.7,0,0
이병규,97109,LG,127,3,2,1,66.7,0,0
정주현,79150,LG,15,2,2,0,100,0,0
조인성,98144,LG,117,3,2,1,66.7,0,0
강병식,72325,넥센,77,2,2,0,100,0,0
박병호,75125,넥센,66,2,2,0,100,0,0
오재일,75334,넥센,46,2,2,0,100,0,0
조중근,71835,넥센,36,3,2,1,66.7,0,0
허도환,77243,넥센,79,4,2,2,50.0,0,0
김성현,76802,SK,10,1,1,0,100,0,0
박진원,76235,SK,7,1,1,0,100,0,0
허웅,72324,SK,27,1,1,0,100,0,0
진갑용,97202,삼성,112,1,1,0,100,0,0
채상병,72742,삼성,63,2,1,1,50.0,0,0
채태인,77463,삼성,53,1,1,0,100,0,0
김재호,74206,두산,57,2,1,1,50.0,0,0
김재환,78224,두산,30,2,1,1,50.0,0,0
이원석,75566,두산,110,1,1,0,100,0,0
김문호,76509,롯데,19,2,1,1,50.0,0,0
손용석,76536,롯데,49,1,1,0,100,0,0
김원섭,71207,KIA,87,4,1,3,25.0,0,0
김주형,74605,KIA,88,1,1,0,100,0,0
이현곤,72606,KIA,104,2,1,1,50.0,0,0
임한용,60655,KIA,10,1,1,0,100,0,0
최희섭,77623,KIA,70,2,1,1,50.0,0,0
홍재호,60605,KIA,31,1,1,0,100,0,0
백창수,60100,LG,20,1,1,0,100,0,0
이병규,76100,LG,33,2,1,1,50.0,0,0
강귀태,72312,넥센,33,1,1,0,100,0,0
오윤,70312,넥센,57,2,1,1,50.0,0,0
이숭용,94310,넥센,88,1,1,0,100,0,0
지석훈,73306,넥센,52,4,1,3,25.0,0,0
가르시아,78595,한화,72,6,1,5,16.7,0,0
박노민,74756,한화,37,1,1,0,100,0,0
백승룡,75705,한화,38,2,1,1,50.0,0,0
이희근,78739,한화,75,1,1,0,100,0,0
고효준,72523,SK,1,0,0,0,-,0,0
권용관,95158,SK,28,1,0,1,0.0,0,0
김용섭,76868,SK,2,0,0,0,-,0,0
김정남,79868,SK,1,0,0,0,-,0,0
김정훈,60860,SK,3,0,0,0,-,0,0
박경완,92809,SK,10,0,0,0,-,0,0
박윤,77848,SK,10,0,0,0,-,0,0
박정환,70408,SK,9,0,0,0,-,0,0
박희수,76858,SK,1,0,0,0,-,0,0
안정광,60865,SK,15,0,0,0,-,0,0
윤중환,79869,SK,5,0,0,0,-,0,0
이승호,70820,SK,1,0,0,0,-,0,0
이재영,72216,SK,1,0,0,0,-,0,0
전병두,73228,SK,1,0,0,0,-,0,0
전준호,94364,SK,1,0,0,0,-,0,0
정대현,71801,SK,2,0,0,0,-,0,0
정상호,71842,SK,112,2,0,2,0.0,0,0
정우람,74857,SK,2,0,0,0,-,0,0
정진기,61869,SK,6,0,0,0,-,0,0
조재호,72313,SK,1,2,0,2,0.0,0,0
최경철,73824,SK,20,0,0,0,-,0,0
최동수,94132,SK,80,1,0,1,0.0,0,0
홍명찬,76854,SK,8,0,0,0,-,0,0
가코,61435,삼성,58,1,0,1,0.0,0,0
권오준,99445,삼성,1,0,0,0,-,0,0
김정혁,61463,삼성,3,0,0,0,-,0,0
김종호,77454,삼성,2,0,0,0,-,0,0
김헌곤,61404,삼성,11,0,0,0,-,0,0
명재철,61495,삼성,1,0,0,0,-,0,0
모상기,76469,삼성,32,0,0,0,-,0,0
