선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
노관현,66804,KIA,0.500,9,6,6,0,3,0,0,0,3,1,0,0,0,0,0,2,0,0.500,0.500,1.000,0,0.333,0.750,0,0,1,0.00,0,0.00,3.50,0.000,1.2,0.350
이진영,66657,KIA,0.400,18,8,5,3,2,0,0,0,2,0,0,0,1,0,2,1,0,0.400,0.625,1.025,0,0.000,0.000,0,2,0,-,0,1.00,5.00,0.000,1.4,0.381
김선빈,78603,KIA,0.370,137,529,476,84,176,34,1,5,227,64,5,4,39,4,5,40,10,0.477,0.420,0.897,51,0.382,0.167,40,153,111,1.38,11,0.98,3.51,0.107,85.4,0.308
최형우,72443,KIA,0.342,142,629,514,98,176,36,3,26,296,120,0,8,96,8,11,82,15,0.576,0.450,1.026,54,0.368,0.000,65,110,154,0.71,13,1.17,3.99,0.233,123.7,0.347
최정민,62893,KIA,0.333,8,9,9,1,3,1,0,0,4,1,0,0,0,0,0,4,0,0.444,0.333,0.777,1,0.250,0.000,1,2,0,-,0,0.00,3.89,0.111,1.1,0.261
이명기,76849,KIA,0.332,115,512,464,79,154,24,4,9,213,63,14,3,28,0,3,57,2,0.459,0.371,0.830,49,0.383,0.429,37,163,93,1.75,9,0.49,3.73,0.127,75.2,0.282
버나디나,67650,KIA,0.320,139,621,557,118,178,26,8,27,301,111,3,9,41,2,11,112,9,0.540,0.372,0.912,49,0.331,0.000,61,161,115,1.40,15,0.37,3.69,0.221,110.6,0.302
안치홍,79608,KIA,0.316,132,545,487,95,154,29,2,21,250,93,6,5,43,1,4,70,19,0.513,0.373,0.886,47,0.319,0.000,52,123,145,0.85,9,0.61,3.83,0.197,85.9,0.296
김주찬,70410,KIA,0.309,122,478,440,78,136,39,2,12,215,70,2,1,31,0,4,59,17,0.489,0.359,0.848,39,0.322,0.250,53,122,124,0.98,5,0.53,3.49,0.180,68.1,0.284
최원준,66606,KIA,0.308,72,174,156,27,48,15,0,3,72,27,3,3,10,0,2,20,2,0.462,0.351,0.813,11,0.342,0.267,18,59,32,1.84,3,0.50,3.62,0.154,24.7,0.273
나지완,78629,KIA,0.301,137,551,459,85,138,20,3,27,245,94,0,7,62,0,23,105,10,0.534,0.405,0.939,37,0.294,0.222,50,91,132,0.69,6,0.59,3.93,0.233,98.3,0.316
서동욱,73606,KIA,0.282,125,366,319,49,90,21,1,7,134,48,8,3,33,0,3,86,5,0.420,0.352,0.772,23,0.316,0.192,29,68,78,0.87,3,0.38,3.80,0.138,47.1,0.263
이범호,70756,KIA,0.272,115,447,382,57,104,14,0,25,193,89,0,6,52,3,7,81,9,0.505,0.365,0.870,30,0.317,0.429,39,86,117,0.74,4,0.64,3.94,0.233,71.6,0.291
김호령,65653,KIA,0.267,98,105,90,31,24,6,1,1,35,11,3,1,9,0,2,23,0,0.389,0.343,0.732,5,0.259,0.600,8,19,25,0.76,0,0.39,3.76,0.122,12.8,0.252
오준혁,61743,KIA,0.250,14,13,12,1,3,0,0,0,3,1,0,0,1,0,0,3,0,0.250,0.308,0.558,0,0.500,0.143,0,2,4,0.50,0,0.33,3.46,0.000,1.0,0.201
신종길,72559,KIA,0.241,64,90,83,13,20,5,1,1,30,10,0,2,3,0,2,13,1,0.361,0.278,0.639,3,0.185,0.343,7,28,24,1.17,1,0.23,3.52,0.120,8.9,0.215
고장혁,63636,KIA,0.237,67,40,38,13,9,3,0,0,12,3,1,1,0,0,0,9,1,0.316,0.231,0.547,1,0.091,0.000,3,12,9,1.33,0,0.00,3.55,0.079,2.2,0.183
김지성,62007,KIA,0.234,37,49,47,6,11,3,0,2,20,4,0,0,1,0,1,14,1,0.426,0.265,0.691,2,0.100,0.375,5,11,11,1.00,0,0.07,3.86,0.191,5.2,0.226
한승택,63722,KIA,0.229,96,91,83,7,19,2,1,0,23,7,1,0,6,0,1,25,1,0.277,0.289,0.566,3,0.261,0.000,3,27,12,2.25,0,0.24,4.44,0.048,6.6,0.199
유재신,76368,KIA,0.222,25,20,18,4,4,0,0,0,4,1,1,0,1,0,0,6,0,0.222,0.263,0.485,0,0.250,0.000,0,5,3,1.67,0,0.17,4.10,0.000,1.3,0.174
김민식,62864,KIA,0.222,137,392,352,39,78,9,2,4,103,40,7,2,26,0,5,55,7,0.293,0.283,0.576,14,0.340,0.000,15,90,131,0.69,5,0.47,3.64,0.071,29.3,0.201
백용환,78643,KIA,0.176,15,20,17,2,3,0,0,0,3,1,0,0,3,0,0,3,2,0.176,0.300,0.476,1,0.200,0.000,0,4,7,0.57,0,1.00,4.05,0.000,0.5,0.179
김주형,74605,KIA,0.170,57,116,106,11,18,5,0,0,23,10,0,1,8,0,1,13,5,0.217,0.233,0.450,1,0.231,0.222,5,34,42,0.81,0,0.62,3.73,0.047,3.7,0.159
이호신,77648,KIA,0.143,12,8,7,3,1,0,0,0,1,0,0,0,1,0,0,3,1,0.143,0.250,0.393,0,0.000,0.000,0,3,0,-,0,0.33,3.38,0.000,-0.4,0.148
고효준,72523,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김광수,70142,KIA,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김세현,76350,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김윤동,62648,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김진우,72641,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
박지훈,62637,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
박진태,67646,KIA,0.000,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,0,0,0,-,0,0.00,3.00,0.000,-0.1,0.000
손영민,76639,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
심동섭,60636,KIA,-,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
