선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
유한준,74339,KT,0.336,110,460,408,70,137,22,0,14,201,64,0,3,47,1,2,40,10,0.493,0.404,0.897,43,0.319,0.000,36,120,114,1.05,4,1.18,3.92,0.157,76.2,0.305
이진영,99810,KT,0.332,115,424,371,49,123,23,1,10,178,72,0,5,45,1,3,44,13,0.480,0.403,0.883,35,0.333,0.316,34,117,92,1.27,4,1.02,3.59,0.148,65.9,0.301
이대형,73153,KT,0.320,143,654,600,89,192,14,3,1,215,42,7,1,44,0,2,90,6,0.358,0.368,0.726,56,0.315,0.000,18,262,57,4.60,3,0.49,3.69,0.038,78.5,0.255
박경수,73113,KT,0.313,121,476,402,64,126,22,1,20,210,80,0,4,65,2,5,80,9,0.522,0.412,0.934,34,0.325,0.000,43,77,123,0.63,5,0.81,4.25,0.209,83.7,0.316
전민수,78361,KT,0.305,74,240,213,31,65,14,1,3,90,29,4,0,19,0,4,46,4,0.423,0.373,0.796,20,0.362,0.571,18,65,37,1.76,2,0.41,3.91,0.117,32.0,0.274
오정복,79453,KT,0.304,96,344,306,45,93,11,2,5,123,36,6,4,28,1,0,32,5,0.402,0.358,0.760,24,0.313,0.182,18,76,109,0.70,1,0.88,3.88,0.098,44.8,0.262
신현철,76304,KT,0.292,35,25,24,3,7,2,0,0,9,2,0,0,0,0,1,12,0,0.375,0.320,0.695,0,0.200,0.200,2,3,2,1.50,0,0.00,3.76,0.083,2.7,0.238
유민상,62265,KT,0.282,95,254,213,30,60,12,1,4,86,37,3,4,25,0,9,39,8,0.404,0.375,0.779,13,0.311,0.263,17,67,51,1.31,0,0.64,4.18,0.122,32.9,0.270
박기혁,70553,KT,0.273,117,348,308,36,84,13,0,2,103,34,10,2,27,0,1,53,8,0.334,0.331,0.665,20,0.247,0.125,15,97,76,1.28,8,0.51,3.86,0.062,33.2,0.232
마르테,65005,KT,0.265,91,381,325,52,86,16,0,22,168,74,0,5,50,0,1,51,12,0.517,0.360,0.877,21,0.330,0.000,38,68,125,0.54,8,0.98,3.69,0.252,60.0,0.291
배병옥,64166,KT,0.260,65,55,50,10,13,1,0,0,14,3,1,0,4,0,0,18,0,0.280,0.315,0.595,2,0.167,0.500,1,12,7,1.71,1,0.22,4.09,0.020,4.7,0.212
김사연,78753,KT,0.250,20,63,56,6,14,1,0,0,15,4,0,0,7,0,0,10,3,0.268,0.333,0.601,2,0.308,0.000,1,15,17,0.88,1,0.70,3.92,0.018,4.2,0.217
김종민,79364,KT,0.244,78,217,180,17,44,3,0,0,47,20,10,3,21,0,3,32,3,0.261,0.329,0.590,10,0.346,0.000,3,62,45,1.38,3,0.66,4.08,0.017,18.7,0.213
심우준,64006,KT,0.242,122,251,236,36,57,9,1,3,77,17,5,2,8,0,0,40,5,0.326,0.264,0.590,9,0.145,0.250,13,64,77,0.83,2,0.20,3.67,0.085,22.0,0.200
윤요섭,78892,KT,0.238,66,149,126,14,30,6,0,6,54,16,0,0,20,1,3,24,7,0.429,0.356,0.785,7,0.205,0.179,12,47,25,1.88,4,0.83,3.72,0.190,18.1,0.267
박용근,77104,KT,0.230,31,86,74,5,17,4,1,1,26,6,0,1,11,0,0,14,1,0.351,0.326,0.677,3,0.150,0.000,6,31,13,2.38,1,0.79,4.05,0.122,9.0,0.234
김상현,70646,KT,0.225,62,246,222,29,50,5,0,11,88,32,0,2,20,0,2,48,10,0.396,0.293,0.689,10,0.233,0.000,16,74,52,1.42,0,0.42,3.94,0.171,24.8,0.231
김선민,60496,KT,0.220,32,63,50,7,11,0,0,0,11,2,2,0,10,0,1,14,3,0.220,0.361,0.581,1,0.250,0.250,0,9,16,0.56,0,0.71,4.60,0.000,4.8,0.217
하준호,78517,KT,0.219,94,217,187,26,41,5,0,3,55,15,4,1,20,0,5,63,3,0.294,0.310,0.604,8,0.208,0.238,8,55,29,1.90,2,0.32,4.07,0.075,19.6,0.213
김연훈,77609,KT,0.217,103,181,166,13,36,10,0,1,49,18,5,3,7,1,0,46,5,0.295,0.244,0.539,6,0.289,0.000,11,46,41,1.12,1,0.15,3.48,0.078,11.2,0.184
남태혁,66052,KT,0.205,16,48,44,2,9,3,0,0,12,2,0,1,3,0,0,18,3,0.273,0.250,0.523,2,0.083,0.000,3,9,9,1.00,0,0.17,4.27,0.068,2.3,0.181
이해창,60343,KT,0.203,88,254,231,16,47,10,0,6,75,22,8,3,9,0,3,65,7,0.325,0.240,0.565,8,0.136,0.143,16,50,72,0.69,1,0.14,3.65,0.121,17.0,0.189
문상철,64007,KT,0.200,48,87,80,9,16,7,0,1,26,7,0,1,4,0,2,26,2,0.325,0.253,0.578,2,0.308,0.000,8,17,22,0.77,0,0.15,3.51,0.125,6.4,0.195
김영환,63448,KT,0.167,12,12,12,2,2,0,0,0,2,0,0,0,0,0,0,3,0,0.167,0.167,0.334,0,0.000,0.333,0,5,2,2.50,0,0.00,3.58,0.000,0.1,0.117
김동명,77462,KT,0.135,21,41,37,3,5,0,0,3,14,5,0,0,3,0,1,14,2,0.378,0.220,0.598,0,0.200,0.250,3,10,8,1.25,0,0.21,3.80,0.243,2.9,0.194
김진곤,63088,KT,0.125,13,8,8,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.125,0.125,0.250,0,0.000,0.000,0,4,2,2.00,0,0.00,3.75,0.000,-0.1,0.088
김민혁,64004,KT,0.103,26,31,29,3,3,1,0,0,4,0,0,0,2,0,0,8,0,0.138,0.161,0.299,0,0.000,0.111,1,8,10,0.80,0,0.25,4.00,0.034,0.0,0.107
김만수,65044,KT,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0,0.000,0.000,0,1,0,-,0,-,6.00,0.000,-0.5,0.000
김사율,99563,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김재윤,65062,KT,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
박세진,66047,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
배우열,79191,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
심재민,64017,KT,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
엄상백,65056,KT,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
정성곤,65058,KT,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,0,0,0,-,0,0.00,3.00,0.000,-0.1,0.000
정주후,65096,KT,0.000,12,3,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,0,2,0,-,0,0.00,3.00,0.000,-0.3,0.000
홍성무,65042,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
홍성용,75149,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
