선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
이병규,76100,LG,0.318,69,270,223,23,71,17,0,2,94,21,1,0,43,0,3,54,2,0.422,0.435,0.857,22,0.204,0.429,19,56,42,1.33,0,0.80,4.34,0.103,42.4,0.301
정성훈,99606,LG,0.310,107,438,365,50,113,27,3,12,182,53,2,5,65,2,1,62,13,0.499,0.411,0.910,30,0.279,0.400,42,99,96,1.03,0,1.05,3.99,0.189,71.1,0.310
이진영,99810,LG,0.307,105,412,365,39,112,18,0,4,142,55,0,2,44,2,1,41,8,0.389,0.381,0.770,31,0.336,0.286,22,122,92,1.33,0,1.07,3.52,0.082,53.6,0.269
박용택,72133,LG,0.305,127,556,499,82,152,34,3,11,225,76,1,7,42,1,7,66,9,0.451,0.362,0.813,45,0.416,1.000,48,157,131,1.20,0,0.64,3.57,0.146,82.4,0.276
이병규,97109,LG,0.300,118,455,420,52,126,25,1,5,168,41,5,6,22,1,2,58,18,0.400,0.333,0.733,34,0.230,0.231,31,140,102,1.37,0,0.38,3.50,0.100,49.3,0.250
윤요섭,78892,LG,0.298,75,196,171,17,51,7,0,2,64,19,1,2,16,1,6,35,9,0.374,0.374,0.748,12,0.260,0.300,9,46,41,1.12,0,0.46,3.64,0.076,22.6,0.262
정의윤,75151,LG,0.283,81,256,233,19,66,18,1,2,92,27,3,4,13,1,3,34,4,0.395,0.324,0.719,16,0.279,0.214,21,56,81,0.69,0,0.38,3.55,0.112,29.3,0.245
최동수,94132,LG,0.278,94,287,252,20,70,8,0,1,81,37,1,5,26,3,3,29,6,0.321,0.346,0.667,16,0.317,0.217,9,85,73,1.16,0,0.90,3.38,0.044,30.0,0.236
오지환,79109,LG,0.249,133,540,462,66,115,22,2,12,177,53,9,8,55,4,6,122,6,0.383,0.331,0.714,29,0.195,0.000,36,117,116,1.01,0,0.45,3.93,0.134,63.6,0.245
김용의,78217,LG,0.247,83,219,194,22,48,4,0,2,58,21,5,3,17,1,0,50,1,0.299,0.304,0.603,9,0.314,0.214,6,57,42,1.36,0,0.34,3.74,0.052,19.5,0.212
최영진,61197,LG,0.241,43,87,79,9,19,4,0,0,23,7,2,1,3,0,2,11,1,0.291,0.282,0.573,2,0.263,0.600,4,25,25,1.00,0,0.27,3.37,0.051,6.7,0.200
김태완,74158,LG,0.220,58,168,141,16,31,5,0,2,42,14,7,1,17,0,2,21,4,0.298,0.311,0.609,6,0.150,0.000,7,44,46,0.96,0,0.81,3.77,0.078,13.7,0.214
김일경,97300,LG,0.220,44,94,82,10,18,2,0,1,23,12,3,0,9,0,0,18,2,0.280,0.297,0.577,3,0.200,0.000,3,26,20,1.30,0,0.50,3.77,0.061,7.3,0.204
서동욱,73606,LG,0.216,103,324,273,32,59,9,3,0,74,17,10,2,32,1,7,78,7,0.271,0.312,0.583,10,0.147,0.083,12,59,79,0.75,0,0.41,4.04,0.055,24.8,0.208
이천웅,61186,LG,0.214,6,18,14,2,3,0,0,1,6,2,0,0,3,0,1,4,0,0.429,0.389,0.818,1,0.333,0.000,1,2,5,0.40,0,0.75,3.94,0.214,3.1,0.282
심광호,96722,LG,0.205,43,82,73,4,15,3,0,0,18,6,4,1,3,0,1,19,1,0.247,0.244,0.491,1,0.091,0.000,3,19,21,0.90,0,0.16,3.23,0.041,4.2,0.172
김태군,78122,LG,0.201,100,175,149,7,30,2,0,0,32,14,13,0,8,0,5,24,6,0.215,0.265,0.480,6,0.204,0.000,2,67,28,2.39,0,0.33,3.62,0.013,7.3,0.173
양영동,76459,LG,0.197,72,82,71,23,14,2,1,0,18,4,3,0,7,0,1,14,1,0.254,0.278,0.532,1,0.174,0.250,3,25,18,1.39,0,0.50,3.89,0.056,7.4,0.189
조윤준,62147,LG,0.196,23,47,46,2,9,1,0,0,10,4,1,0,0,0,0,12,1,0.217,0.196,0.413,1,0.200,0.000,1,15,10,1.50,0,0.00,3.74,0.022,1.0,0.142
이대형,73153,LG,0.178,101,291,258,32,46,4,4,1,61,19,6,1,25,2,1,53,5,0.236,0.253,0.489,10,0.264,0.143,9,108,52,2.08,0,0.47,3.80,0.058,18.4,0.173
정주현,79150,LG,0.174,18,25,23,5,4,0,0,0,4,1,0,0,2,0,0,9,0,0.174,0.240,0.414,2,0.000,0.000,0,5,5,1.00,0,0.22,3.68,0.000,1.3,0.152
유강남,61102,LG,0.125,13,28,24,1,3,0,0,0,3,1,2,1,0,0,1,5,0,0.125,0.154,0.279,0,0.000,0.000,0,7,10,0.70,0,0.00,3.57,0.000,0.4,0.101
황선일,76404,LG,0.125,3,8,8,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.125,0.125,0.250,0,0.000,0.000,0,4,3,1.33,0,-,3.13,0.000,-0.1,0.088
윤정우,61652,LG,0.095,29,21,21,4,2,0,0,0,2,0,0,0,0,0,0,7,1,0.095,0.095,0.190,0,0.000,0.000,0,8,4,2.00,0,0.00,3.33,0.000,-0.7,0.067
김재율,61114,LG,0.083,19,41,36,3,3,0,0,1,6,5,0,1,4,0,0,10,1,0.167,0.171,0.338,0,0.154,0.000,1,10,14,0.71,0,0.40,4.22,0.083,0.8,0.119
윤진호,79198,LG,0.083,22,13,12,3,1,0,0,0,1,0,0,0,1,0,0,4,0,0.083,0.154,0.237,0,0.000,0.000,0,2,5,0.40,0,0.25,4.15,0.000,-0.3,0.090
김영관,62007,LG,0.077,6,14,13,0,1,0,0,0,1,2,0,0,1,0,0,3,0,0.077,0.143,0.220,0,0.250,0.000,0,4,5,0.80,0,0.33,3.07,0.000,-0.1,0.084
이민재,61194,LG,0.071,7,14,14,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0.071,0.071,0.142,0,0.000,0.000,0,3,6,0.50,0,0.00,3.86,0.000,-0.7,0.050
김광삼,99152,LG,-,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김선규,75852,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
류택현,94228,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
봉중근,77147,LG,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
서상우,62164,LG,0.000,6,10,9,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0.000,0.000,0.000,0,0.000,0.000,0,2,2,1.00,0,0.00,4.80,0.000,-1.2,0.000
손인호,98538,LG,0.000,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.000,0.000,0.000,0,0.000,0.000,0,1,3,0.33,0,0.00,4.13,0.000,-0.8,0.000
