선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
김준완,63920,NC,0.500,6,5,4,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0.500,0.600,1.100,0,0.000,1.000,0,1,0,-,0,1.00,5.40,0.000,1.3,0.395
테임즈,64914,NC,0.343,125,514,443,95,152,30,6,37,305,121,0,6,58,5,7,99,6,0.688,0.422,1.110,40,0.388,0.500,73,86,112,0.77,17,0.59,3.85,0.345,116.6,0.362
나성범,62947,NC,0.329,123,536,477,88,157,28,5,30,285,101,1,1,42,2,15,128,4,0.597,0.400,0.997,42,0.390,0.333,63,91,102,0.89,12,0.33,3.86,0.268,104.8,0.329
박민우,62907,NC,0.298,118,491,416,87,124,21,9,1,166,40,4,4,56,0,11,89,5,0.399,0.392,0.791,31,0.380,0.500,31,114,93,1.23,3,0.63,3.99,0.101,73.8,0.276
손시헌,73213,NC,0.293,97,361,307,39,90,20,1,5,127,39,5,8,34,0,7,53,10,0.414,0.368,0.782,21,0.303,0.000,26,84,88,0.95,1,0.64,3.82,0.121,48.1,0.269
이종욱,73339,NC,0.288,124,495,438,73,126,28,4,6,180,78,1,13,40,0,3,60,5,0.411,0.342,0.753,36,0.348,0.667,38,137,128,1.07,10,0.67,3.88,0.123,67.4,0.257
권희동,63963,NC,0.285,101,252,221,39,63,10,2,7,98,36,1,2,25,2,3,43,4,0.443,0.363,0.806,13,0.288,0.167,19,57,60,0.95,3,0.58,4.19,0.158,36.2,0.274
지석훈,73306,NC,0.274,114,238,212,26,58,14,4,6,98,34,3,1,16,0,6,46,8,0.462,0.340,0.802,12,0.365,0.400,24,60,49,1.22,2,0.35,3.98,0.189,30.5,0.269
이호준,94629,NC,0.271,122,500,424,59,115,20,0,23,204,78,1,5,67,0,3,104,15,0.481,0.371,0.852,32,0.241,0.250,43,123,87,1.41,9,0.64,4.10,0.210,74.0,0.287
모창민,78813,NC,0.263,122,468,419,62,110,15,0,16,173,72,8,4,37,0,0,82,13,0.413,0.320,0.733,22,0.263,0.667,31,127,104,1.22,6,0.45,3.51,0.150,56.0,0.247
김태군,78122,NC,0.262,109,322,294,28,77,13,0,0,90,23,9,3,12,0,4,47,9,0.306,0.297,0.603,17,0.207,0.000,13,103,70,1.47,4,0.26,3.40,0.044,24.7,0.210
김종호,77454,NC,0.262,113,347,317,58,83,11,4,2,108,25,5,0,19,0,6,55,4,0.341,0.316,0.657,18,0.272,0.308,17,116,63,1.84,0,0.35,3.77,0.079,35.4,0.227
조영훈,75441,NC,0.261,92,124,111,15,29,4,0,6,51,22,1,1,10,0,1,26,1,0.459,0.325,0.784,4,0.194,0.195,10,22,35,0.63,0,0.38,3.79,0.198,17.1,0.261
박정준,73543,NC,0.241,39,60,54,8,13,1,0,1,17,5,1,0,5,0,0,9,2,0.315,0.305,0.620,2,0.300,0.200,2,23,9,2.56,1,0.56,3.50,0.074,4.9,0.216
오정복,79453,NC,0.232,47,79,69,9,16,4,0,0,20,7,0,2,7,0,1,9,2,0.290,0.304,0.594,2,0.286,0.250,4,23,23,1.00,1,0.78,3.77,0.058,7.1,0.209
이상호,60566,NC,0.216,96,54,51,30,11,2,0,1,16,5,0,1,2,0,0,10,1,0.314,0.241,0.555,1,0.125,0.000,3,15,16,0.94,0,0.20,3.15,0.098,4.3,0.187
김태우,62927,NC,0.200,5,5,5,0,1,1,0,0,2,0,0,0,0,0,0,3,0,0.400,0.200,0.600,0,0.000,1.000,1,0,1,0.00,0,0.00,4.20,0.200,0.3,0.190
노진혁,62931,NC,0.188,26,16,16,3,3,0,0,1,6,2,0,0,0,0,0,7,0,0.375,0.188,0.563,0,0.250,0.000,1,3,3,1.00,0,0.00,3.81,0.188,0.9,0.178
김성욱,62934,NC,0.174,26,26,23,6,4,1,0,1,8,1,0,0,3,0,0,9,0,0.348,0.269,0.617,0,0.000,0.250,2,2,8,0.25,0,0.33,4.04,0.174,2.6,0.208
허준,75344,NC,0.172,28,36,29,2,5,3,0,0,8,1,2,0,5,0,0,10,0,0.276,0.294,0.570,1,0.100,0.000,3,6,8,0.75,0,0.50,3.86,0.103,2.7,0.201
이태원,60102,NC,0.121,62,69,66,5,8,2,0,0,10,4,1,0,2,0,0,20,0,0.152,0.147,0.299,2,0.105,0.000,2,24,14,1.71,0,0.10,3.90,0.030,-0.2,0.104
이승재,76553,NC,0.091,12,11,11,1,1,0,1,0,3,3,0,0,0,0,0,3,0,0.273,0.091,0.364,0,0.250,0.000,1,4,3,1.33,0,0.00,3.18,0.182,0.1,0.109
이현곤,72606,NC,0.091,7,12,11,0,1,0,0,0,1,0,1,0,0,0,0,3,1,0.091,0.091,0.182,0,1.000,1.000,0,4,3,1.33,0,0.00,3.67,0.000,-0.8,0.064
강민국,64906,NC,0.000,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,0,1,2,0.50,0,-,3.00,0.000,-0.3,0.000
고창성,78248,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김진성,75867,NC,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
마낙길,62967,NC,0.000,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.500,0.500,0,0.000,0.000,0,0,1,0.00,0,-,3.50,0.000,0.3,0.225
박명환,96251,NC,0.000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,0,0,0,-,0,0.00,3.00,0.000,-0.1,0.000
손민한,97571,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
손정욱,63914,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
이창섭,60304,NC,-,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
이태양,61323,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
