선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
가득염,92501,SK,1.000,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,2.000,0,0.000,0.000,0,0,0,-,0,-,3.00,0.000,0.5,0.700
최정,75847,SK,0.328,114,476,406,77,133,24,1,12,195,61,10,2,41,2,17,58,7,0.480,0.410,0.890,33,0.284,0.000,37,109,108,1.01,0,0.71,3.67,0.153,77.5,0.305
박재홍,96362,SK,0.318,112,471,396,66,126,26,2,19,213,72,0,3,69,4,3,66,14,0.538,0.420,0.958,33,0.327,0.250,47,105,102,1.03,0,1.05,4.21,0.220,81.9,0.324
이재원,76812,SK,0.315,82,171,146,14,46,13,1,3,70,25,0,3,20,0,2,24,8,0.479,0.398,0.877,9,0.381,0.476,17,36,43,0.84,0,0.83,3.85,0.164,26.0,0.299
이진영,99810,SK,0.315,95,363,324,53,102,20,0,8,146,53,2,3,31,3,3,26,4,0.451,0.377,0.828,29,0.330,0.429,28,112,87,1.29,0,1.19,3.56,0.136,54.0,0.282
정근우,75808,SK,0.314,124,550,491,73,154,20,4,8,206,58,6,4,46,1,3,53,9,0.420,0.373,0.793,49,0.300,0.500,32,158,130,1.22,0,0.87,3.46,0.106,76.1,0.273
김재현,94107,SK,0.310,108,364,297,46,92,17,3,10,145,60,0,4,59,2,4,40,12,0.488,0.426,0.914,22,0.286,0.423,30,96,73,1.32,0,1.48,4.18,0.178,60.0,0.314
조동화,71848,SK,0.279,103,337,283,43,79,4,4,1,94,26,15,3,33,2,3,56,6,0.332,0.357,0.689,18,0.289,0.000,9,81,70,1.16,0,0.59,3.99,0.053,38.7,0.244
박재상,71857,SK,0.274,94,363,314,46,86,18,1,1,109,34,7,1,36,0,5,50,3,0.347,0.357,0.704,22,0.347,0.250,20,96,83,1.16,0,0.72,3.87,0.073,41.9,0.247
박경완,92809,SK,0.273,101,370,304,44,83,17,0,7,121,36,7,5,48,0,6,64,8,0.398,0.377,0.775,19,0.205,0.000,24,57,105,0.54,0,0.75,3.95,0.125,48.7,0.269
김강민,71837,SK,0.271,106,295,258,38,70,16,3,3,101,32,5,0,26,0,6,46,2,0.391,0.352,0.743,18,0.275,0.000,22,70,72,0.97,0,0.57,3.68,0.120,36.3,0.256
김동건,71806,SK,0.269,14,27,26,2,7,0,0,1,10,3,1,0,0,0,0,7,0,0.385,0.269,0.654,1,0.167,0.000,1,9,3,3.00,0,0.00,2.70,0.115,2.7,0.217
박정권,74846,SK,0.260,56,138,127,15,33,4,1,3,48,20,0,0,11,1,0,23,3,0.378,0.319,0.697,6,0.245,0.500,8,34,37,0.92,0,0.48,4.36,0.118,14.6,0.238
이명기,76849,SK,0.250,6,13,12,2,3,0,0,0,3,2,0,0,1,0,0,2,0,0.250,0.308,0.558,1,0.400,0.000,0,4,3,1.33,0,0.50,3.46,0.000,0.7,0.201
나주환,73209,SK,0.247,118,413,361,43,89,16,3,3,120,46,13,7,26,0,6,64,12,0.332,0.303,0.635,20,0.267,0.000,22,108,107,1.01,0,0.41,3.53,0.086,37.9,0.219
박정환,70408,SK,0.240,25,60,50,3,12,4,0,1,19,6,1,0,9,0,0,10,0,0.380,0.356,0.736,3,0.188,0.000,5,17,11,1.55,0,0.90,4.20,0.140,7.3,0.255
정상호,71842,SK,0.234,81,190,171,21,40,8,0,6,66,23,3,2,12,0,2,49,5,0.386,0.289,0.675,6,0.269,0.278,14,36,48,0.75,0,0.24,4.08,0.152,18.7,0.227
모창민,78813,SK,0.223,91,147,130,30,29,5,0,1,37,20,4,1,12,0,0,38,1,0.285,0.287,0.572,6,0.238,0.154,6,31,33,0.94,0,0.32,3.63,0.062,10.9,0.200
김성현,76802,SK,0.200,6,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.200,0.200,0.400,0,0.000,0.000,0,1,2,0.50,0,0.00,2.60,0.000,0.1,0.140
이호준,94629,SK,0.200,8,26,25,1,5,2,0,0,7,2,0,0,1,0,0,8,1,0.280,0.231,0.511,1,0.222,0.000,2,7,5,1.40,0,0.13,4.50,0.080,1.0,0.174
정경배,96441,SK,0.200,33,89,80,7,16,1,0,1,20,6,1,0,6,0,2,21,0,0.250,0.273,0.523,2,0.133,0.400,2,16,27,0.59,0,0.29,4.19,0.050,6.0,0.185
권영진,78863,SK,0.171,31,36,35,1,6,0,0,1,9,3,0,0,1,0,0,5,1,0.257,0.194,0.451,0,0.143,0.000,1,8,16,0.50,0,0.20,3.47,0.086,1.3,0.152
윤상균,78892,SK,0.167,7,6,6,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0.167,0.167,0.334,0,0.000,0.200,0,2,2,1.00,0,0.00,3.67,0.000,0.0,0.117
박연수,98130,SK,0.125,5,8,8,1,1,0,0,0,1,0,0,0,0,0,0,5,0,0.125,0.125,0.250,0,0.000,0.000,0,0,2,0.00,0,0.00,4.63,0.000,-0.2,0.088
김연훈,77609,SK,0.111,19,38,36,4,4,0,0,0,4,0,1,0,1,0,0,3,3,0.111,0.135,0.246,0,0.083,0.000,0,20,9,2.22,0,0.33,3.45,0.000,-1.6,0.089
김원형,91848,SK,0.000,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000,0,0,0,-,0,0.00,5.00,0.000,-0.2,0.000
김재구,72850,SK,0.000,5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.000,0.000,0.000,0,0.000,0.000,0,3,2,1.50,0,0.00,3.75,0.000,-0.7,0.000
