선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
유한준,74339,넥센,0.362,139,598,520,103,188,42,1,23,301,116,1,8,67,2,2,71,13,0.579,0.430,1.009,62,0.395,1.000,66,131,138,0.95,9,0.94,4.01,0.217,116.0,0.338
박병호,75125,넥센,0.343,140,622,528,129,181,35,1,53,377,146,0,4,78,6,12,161,10,0.714,0.436,1.150,50,0.375,0.000,89,87,103,0.84,16,0.48,4.05,0.371,144.7,0.375
허정협,65399,넥센,0.333,4,6,6,1,2,0,0,0,2,0,0,0,0,0,0,3,0,0.333,0.333,0.666,0,0.000,0.000,0,1,0,-,0,0.00,3.83,0.000,0.6,0.233
홍성갑,61366,넥센,0.333,7,10,9,0,3,0,0,0,3,2,0,0,1,0,0,4,0,0.333,0.400,0.733,0,0.750,0.400,0,2,0,-,0,0.25,4.70,0.000,1.3,0.263
이택근,73342,넥센,0.326,105,401,347,61,113,16,1,10,161,44,3,4,44,4,3,53,8,0.464,0.402,0.866,26,0.277,0.300,27,95,90,1.06,2,0.83,4.02,0.138,62.8,0.297
고종욱,61353,넥센,0.310,119,443,407,81,126,25,4,10,189,51,4,1,25,1,6,81,10,0.464,0.358,0.822,37,0.284,0.286,39,110,91,1.21,7,0.31,3.85,0.155,60.9,0.277
김민성,77564,넥센,0.303,118,489,445,60,135,24,0,16,207,71,2,3,31,1,8,62,15,0.465,0.357,0.822,40,0.257,0.333,40,120,131,0.92,2,0.50,3.94,0.162,68.1,0.277
서건창,78168,넥센,0.298,85,368,312,52,93,24,4,3,134,37,11,2,42,0,1,24,7,0.429,0.381,0.810,28,0.387,0.500,31,112,85,1.32,5,1.75,3.66,0.131,51.0,0.279
윤석민,74215,넥센,0.294,108,418,361,54,106,24,1,14,174,71,5,7,37,1,8,62,16,0.482,0.366,0.848,30,0.337,0.167,39,108,92,1.17,5,0.60,3.82,0.188,60.5,0.285
김하성,64300,넥센,0.290,140,582,511,89,148,35,5,19,250,73,4,6,56,2,5,115,10,0.489,0.362,0.851,42,0.260,0.000,59,111,143,0.78,4,0.49,4.23,0.200,90.6,0.285
스나이더,64158,넥센,0.281,113,487,431,88,121,26,1,26,227,71,3,5,37,0,11,135,2,0.527,0.349,0.876,37,0.210,0.143,53,65,115,0.57,4,0.27,4.17,0.246,79.9,0.289
강지광,79130,넥센,0.278,13,21,18,3,5,0,0,0,5,2,0,0,2,0,1,9,0,0.278,0.381,0.659,1,0.375,0.143,0,1,3,0.33,0,0.22,3.52,0.000,2.3,0.241
장시윤,63360,넥센,0.276,17,31,29,2,8,0,0,0,8,2,2,0,0,0,0,9,1,0.276,0.276,0.552,1,0.286,0.000,0,5,7,0.71,0,0.00,3.68,0.000,1.4,0.193
박동원,79365,넥센,0.266,127,443,379,47,101,12,1,14,157,61,10,8,37,0,9,93,4,0.414,0.339,0.753,24,0.250,0.000,27,106,87,1.22,11,0.40,3.72,0.148,58.6,0.256
김재현,62332,넥센,0.262,59,71,65,7,17,3,0,1,23,6,2,1,2,0,1,15,1,0.354,0.290,0.644,2,0.136,0.000,4,15,19,0.79,0,0.13,3.72,0.092,6.8,0.219
유재신,76368,넥센,0.259,62,32,27,21,7,2,0,0,9,3,2,0,3,0,0,10,2,0.333,0.333,0.666,1,0.375,0.250,2,8,2,4.00,0,0.30,4.00,0.074,3.9,0.233
송성문,65357,넥센,0.250,7,12,12,0,3,0,0,0,3,1,0,0,0,0,0,3,0,0.250,0.250,0.500,1,0.333,0.000,0,4,2,2.00,0,0.00,2.83,0.000,0.7,0.175
