선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
임재철,99507,두산,0.321,36,105,84,20,27,8,0,2,41,10,3,1,16,0,1,16,4,0.488,0.431,0.919,6,0.320,0.500,10,24,18,1.33,0,1.00,4.20,0.167,16.0,0.316
이종욱,73339,두산,0.303,121,499,436,64,132,11,5,5,168,44,5,4,49,0,5,51,6,0.385,0.377,0.762,39,0.260,0.500,21,132,125,1.06,0,0.96,3.88,0.083,64.7,0.266
김현수,76290,두산,0.301,130,561,475,71,143,25,2,13,211,91,0,9,71,9,6,63,15,0.444,0.392,0.836,35,0.333,1.000,40,139,139,1.00,0,1.13,3.62,0.143,83.0,0.287
양의지,76232,두산,0.301,119,438,376,43,113,14,3,4,145,46,11,4,44,2,3,58,12,0.386,0.375,0.761,30,0.315,0.000,21,87,122,0.71,0,0.76,3.81,0.085,53.7,0.265
윤석민,74215,두산,0.287,80,188,167,18,48,8,0,4,68,19,2,0,17,0,2,30,6,0.407,0.360,0.767,11,0.244,0.200,12,37,52,0.71,0,0.57,3.96,0.120,22.3,0.264
김동주,98218,두산,0.286,120,483,406,57,116,24,1,17,193,75,0,3,66,5,8,54,18,0.475,0.393,0.868,32,0.344,0.400,42,102,137,0.74,0,1.22,4.20,0.190,73.2,0.296
정수빈,79231,두산,0.285,128,476,414,66,118,17,8,1,154,38,8,3,40,0,11,77,5,0.372,0.361,0.733,31,0.303,0.200,26,126,96,1.31,0,0.52,3.67,0.087,60.7,0.255
손시헌,73213,두산,0.282,92,351,298,39,84,10,1,4,108,28,7,0,37,0,9,44,9,0.362,0.378,0.740,19,0.307,0.000,15,84,86,0.98,0,0.84,3.72,0.081,41.5,0.261
오재원,77248,두산,0.277,129,529,466,73,129,18,4,6,173,46,12,3,39,0,9,62,6,0.371,0.342,0.713,32,0.264,0.000,28,150,128,1.17,0,0.63,3.74,0.094,67.2,0.247
최준석,71552,두산,0.271,124,485,421,49,114,26,0,15,185,75,2,5,56,1,1,104,11,0.439,0.354,0.793,25,0.263,0.286,41,107,101,1.06,0,0.54,4.09,0.169,65.2,0.269
이성열,73136,두산,0.253,83,246,221,23,56,7,1,7,86,28,0,0,16,0,9,76,2,0.389,0.329,0.718,15,0.271,0.091,15,48,41,1.17,0,0.21,3.74,0.136,27.8,0.245
이원석,75566,두산,0.216,110,311,264,36,57,11,0,8,92,35,12,3,29,0,3,58,7,0.348,0.298,0.646,16,0.267,0.000,19,60,92,0.65,0,0.50,3.72,0.133,29.4,0.221
고영민,72214,두산,0.210,93,208,176,31,37,5,1,3,53,16,5,2,18,0,7,50,4,0.301,0.305,0.606,7,0.185,0.000,9,45,46,0.98,0,0.36,3.69,0.091,17.2,0.213
김재환,78224,두산,0.185,30,56,54,4,10,3,0,2,19,8,0,0,1,0,1,14,2,0.352,0.214,0.566,1,0.200,0.190,5,14,16,0.88,0,0.07,3.48,0.167,3.3,0.184
김재호,74206,두산,0.183,57,122,109,6,20,5,1,0,27,9,2,2,7,0,2,15,4,0.248,0.242,0.490,4,0.167,1.000,6,35,41,0.85,0,0.47,3.96,0.064,5.8,0.171
유재웅,72220,두산,0.154,12,16,13,3,2,1,0,0,3,0,0,0,2,0,1,5,3,0.231,0.313,0.544,1,0.000,0.000,1,4,2,2.00,0,0.40,4.00,0.077,0.1,0.199
용덕한,74223,두산,0.149,60,52,47,3,7,2,0,0,9,2,3,0,0,0,2,8,1,0.191,0.184,0.375,1,0.125,0.500,2,17,15,1.13,0,0.00,3.33,0.043,0.7,0.131
최승환,70122,두산,0.121,17,37,33,1,4,0,0,1,7,5,1,0,2,0,1,6,2,0.212,0.194,0.406,0,0.167,0.000,1,13,10,1.30,0,0.33,3.24,0.091,0.6,0.140
정진호,61208,두산,0.114,47,37,35,7,4,1,0,0,5,3,0,0,2,0,0,6,1,0.143,0.162,0.305,0,0.182,0.100,1,18,7,2.57,0,0.33,3.30,0.029,0.4,0.109
김동길,60296,두산,0.000,6,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.500,0.500,0,0.000,0.000,0,1,0,-,0,-,4.00,0.000,0.3,0.225
김상현,71255,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김성배,73226,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
박정배,75250,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
안동현,79291,두산,0.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000,0,0,0,-,0,0.00,5.50,0.000,-0.2,0.000
정대현,60264,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
정재훈,73241,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
