선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
이대호,71564,롯데,0.336,122,499,443,71,149,26,0,26,253,88,0,1,39,5,16,55,11,0.571,0.409,0.980,44,0.389,1.000,52,122,118,1.03,0,0.71,3.80,0.235,92.0,0.327
손용석,76536,롯데,0.333,4,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.666,0,1.000,0.000,0,0,2,0.00,0,-,4.33,0.000,0.3,0.233
김문호,76509,롯데,0.300,8,12,10,0,3,0,0,0,3,0,0,0,2,0,0,3,0,0.300,0.417,0.717,1,0.500,0.000,0,2,2,1.00,0,0.67,3.50,0.000,1.5,0.263
김승관,95468,롯데,0.286,50,86,70,10,20,5,0,1,28,8,1,1,13,0,1,14,0,0.400,0.400,0.800,3,0.211,0.292,6,19,18,1.06,0,0.93,4.30,0.114,12.6,0.280
정수근,95208,롯데,0.285,83,333,295,44,84,14,1,2,106,21,10,1,26,0,1,36,7,0.359,0.344,0.703,26,0.279,0.250,17,88,88,1.00,0,0.72,3.85,0.075,37.7,0.245
호세,99534,롯데,0.277,122,504,415,59,115,21,0,22,202,78,0,3,84,5,2,83,13,0.487,0.399,0.886,29,0.316,0.000,43,110,110,1.00,0,1.01,3.95,0.210,80.1,0.301
황성용,76562,롯데,0.253,77,278,237,35,60,9,0,0,69,12,8,0,25,0,8,51,8,0.291,0.344,0.635,14,0.196,0.000,9,69,57,1.21,0,0.49,3.92,0.038,23.5,0.228
박기혁,70553,롯데,0.252,117,371,310,26,78,14,0,0,92,25,25,0,33,0,3,53,7,0.297,0.329,0.626,20,0.295,0.000,14,93,86,1.08,0,0.62,3.58,0.045,30.3,0.222
강민호,74540,롯데,0.251,126,460,410,40,103,20,0,9,150,53,14,2,23,2,11,78,5,0.366,0.307,0.673,25,0.308,0.000,29,107,124,0.86,0,0.29,3.55,0.115,47.3,0.230
박연수,98130,롯데,0.250,42,64,56,8,14,0,0,2,20,9,0,0,8,1,0,16,3,0.357,0.344,0.701,3,0.385,0.235,2,15,11,1.36,0,0.50,3.83,0.107,6.5,0.244
정보명,73513,롯데,0.247,66,176,162,15,40,4,0,2,50,18,7,0,4,0,3,30,5,0.309,0.278,0.587,9,0.289,0.000,6,57,35,1.63,0,0.13,3.49,0.062,11.7,0.202
존갈,76525,롯데,0.243,43,124,107,10,26,6,0,0,32,10,1,1,15,2,0,12,7,0.299,0.333,0.632,6,0.220,0.000,6,32,38,0.84,0,1.25,3.64,0.056,9.0,0.225
박현승,95518,롯데,0.242,104,350,298,31,72,9,0,3,90,26,14,1,33,0,4,55,4,0.302,0.324,0.626,16,0.235,0.308,12,79,93,0.85,0,0.60,4.20,0.060,32.0,0.221
박남섭,71815,롯데,0.241,67,63,58,5,14,1,0,0,15,3,4,0,1,0,0,18,0,0.259,0.254,0.513,2,0.375,0.250,1,10,16,0.63,0,0.06,3.32,0.017,3.5,0.179
마이로우,76512,롯데,0.231,70,269,208,42,48,9,1,12,95,30,1,2,52,0,6,74,2,0.457,0.396,0.853,12,0.239,0.000,22,40,48,0.83,0,0.70,4.62,0.226,41.9,0.292
이승준,99229,롯데,0.231,19,41,39,2,9,3,0,0,12,1,2,0,0,0,0,13,0,0.308,0.231,0.539,0,0.182,0.250,3,5,12,0.42,0,0.00,4.00,0.077,2.4,0.181
이원석,75566,롯데,0.226,123,321,287,26,65,8,0,1,76,27,12,4,14,0,4,55,3,0.265,0.269,0.534,12,0.200,0.000,9,77,94,0.82,0,0.25,3.60,0.038,22.0,0.187
손인호,98538,롯데,0.216,80,195,167,18,36,2,0,3,47,15,6,2,19,1,1,27,0,0.281,0.296,0.577,8,0.184,0.000,5,46,60,0.77,0,0.70,4.09,0.066,16.7,0.203
최경환,70117,롯데,0.209,86,215,196,14,41,6,0,2,53,11,5,0,12,1,2,32,2,0.270,0.262,0.532,10,0.122,0.400,8,58,65,0.89,0,0.38,3.58,0.061,13.3,0.185
박정준,73543,롯데,0.194,34,105,98,5,19,5,0,0,24,4,1,0,6,0,0,24,3,0.245,0.240,0.485,5,0.333,0.500,5,30,25,1.20,0,0.25,3.80,0.051,3.8,0.169
이승화,71565,롯데,0.188,89,126,112,12,21,5,0,2,32,12,4,1,4,0,4,42,0,0.286,0.240,0.526,5,0.231,0.143,7,30,20,1.50,0,0.10,4.04,0.098,8.2,0.180
이승재,76553,롯데,0.176,38,36,34,2,6,2,0,0,8,2,0,1,1,0,0,7,2,0.235,0.194,0.429,2,0.000,0.200,2,10,12,0.83,0,0.14,3.64,0.059,0.8,0.146
신명철,71504,롯데,0.175,73,185,166,14,29,6,1,0,37,9,10,1,8,0,0,40,2,0.223,0.211,0.434,5,0.227,0.000,7,48,50,0.96,0,0.20,3.84,0.048,7.0,0.151
추경식,76556,롯데,0.100,13,12,10,2,1,1,0,0,2,0,1,0,1,0,0,4,1,0.200,0.182,0.382,0,0.000,0.000,1,3,2,1.50,0,0.25,3.42,0.100,-0.1,0.132
가득염,92501,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김수화,74529,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
나승현,76529,롯데,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
노승욱,93357,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
박지철,94545,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
박진환,74565,롯데,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,0,0,0,-,0,0.00,7.00,0.000,-0.1,0.000
이동훈,75554,롯데,0.000,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,0,1,0,-,0,0.00,2.50,0.000,-0.2,0.000
이명우,72535,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
이왕기,75539,롯데,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
이정민,72551,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
이정훈,97541,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
주형광,94528,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
최대성,74543,롯데,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
황준영,75563,롯데,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
