선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
양준혁,93410,삼성,0.315,133,584,479,95,151,30,0,28,265,103,1,2,89,8,13,53,10,0.553,0.434,0.987,44,0.341,0.000,58,133,144,0.92,0,1.68,3.64,0.238,109.8,0.334
박한이,71432,삼성,0.310,132,587,503,81,156,26,2,16,234,63,7,3,69,3,5,57,8,0.465,0.397,0.862,50,0.314,0.333,44,185,108,1.71,0,1.21,3.77,0.155,90.9,0.295
강동우,98420,삼성,0.295,132,497,438,59,129,22,1,3,162,49,7,1,49,4,2,45,13,0.370,0.367,0.737,28,0.291,0.231,26,156,109,1.43,0,1.09,3.71,0.075,57.4,0.258
김대익,96503,삼성,0.290,93,233,210,32,61,10,2,2,81,25,3,3,15,1,2,36,3,0.386,0.339,0.725,15,0.298,0.269,14,65,51,1.27,0,0.42,3.58,0.095,28.4,0.249
박종호,92906,삼성,0.282,132,587,514,78,145,25,0,8,194,59,13,4,47,0,9,55,10,0.377,0.350,0.727,41,0.266,0.000,33,185,133,1.39,0,0.85,3.94,0.095,69.8,0.252
진갑용,97202,삼성,0.278,129,491,439,60,122,20,0,24,214,71,2,4,34,2,12,51,16,0.487,0.344,0.831,31,0.219,0.143,44,120,150,0.80,0,0.67,3.65,0.210,70.1,0.277
강명구,73409,삼성,0.273,15,11,11,2,3,0,0,0,3,1,0,0,0,0,0,3,0,0.273,0.273,0.546,0,0.000,0.000,0,4,1,4.00,0,0.00,4.09,0.000,0.4,0.191
김한수,94450,삼성,0.271,133,558,498,60,135,30,1,16,215,84,6,4,30,2,20,79,23,0.432,0.335,0.767,36,0.348,0.000,47,149,139,1.07,0,0.38,3.78,0.161,65.9,0.259
오리어리,74429,삼성,0.265,63,240,211,30,56,14,2,10,104,28,0,2,23,1,4,37,7,0.493,0.346,0.839,18,0.154,0.000,26,61,59,1.03,0,0.62,3.90,0.227,34.6,0.279
김종훈,94539,삼성,0.264,127,392,341,40,90,14,2,5,123,36,10,1,36,0,4,69,7,0.361,0.340,0.701,21,0.305,0.227,21,111,72,1.54,0,0.52,4.00,0.097,42.8,0.243
이태호,72448,삼성,0.250,11,8,8,1,2,0,0,0,2,0,0,0,0,0,0,3,0,0.250,0.250,0.500,0,0.333,0.333,0,0,3,0.00,0,0.00,4.25,0.000,0.4,0.175
조동찬,72466,삼성,0.222,123,394,342,44,76,18,0,7,115,29,16,4,25,0,7,94,11,0.336,0.286,0.622,14,0.198,0.000,25,72,104,0.69,0,0.27,3.75,0.114,33.3,0.213
신동주,91470,삼성,0.219,73,118,105,11,23,5,1,2,36,9,1,1,8,0,3,26,2,0.343,0.291,0.634,2,0.185,0.167,8,30,27,1.11,0,0.31,3.69,0.124,10.4,0.217
현재윤,72427,삼성,0.214,77,234,210,29,45,10,0,4,67,20,10,1,12,0,1,26,5,0.319,0.259,0.578,9,0.224,1.000,14,69,71,0.97,0,0.46,3.49,0.105,16.1,0.196
김재걸,95409,삼성,0.188,64,75,64,12,12,2,0,0,14,3,6,0,5,0,0,21,1,0.219,0.246,0.465,1,0.133,0.500,2,17,14,1.21,0,0.24,3.68,0.031,2.6,0.165
로페즈,74430,삼성,0.162,22,76,68,6,11,0,0,3,20,8,0,1,6,1,1,20,2,0.294,0.237,0.531,4,0.227,0.000,3,10,28,0.36,0,0.30,4.09,0.132,5.0,0.180
이정식,74402,삼성,0.143,32,49,42,6,6,0,0,2,12,5,1,0,5,0,1,14,0,0.286,0.250,0.536,0,0.222,0.000,2,13,9,1.44,0,0.36,3.94,0.143,3.6,0.184
최익성,94426,삼성,0.125,18,19,16,2,2,1,0,0,3,3,0,0,2,0,1,6,0,0.188,0.263,0.451,0,0.167,0.200,1,5,3,1.67,0,0.33,4.42,0.063,0.9,0.165
박정환,70408,삼성,0.121,29,40,33,3,4,0,0,0,4,3,1,0,6,0,0,9,0,0.121,0.256,0.377,0,0.154,0.083,0,16,4,4.00,0,0.67,4.38,0.000,1.1,0.145
박석민,74465,삼성,0.103,23,32,29,2,3,1,0,1,7,3,0,0,2,0,1,7,3,0.241,0.188,0.429,0,0.000,0.000,2,12,7,1.71,0,0.29,4.56,0.138,0.2,0.145
강영식,70615,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
고지행,73732,삼성,0.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,0,2,0,-,0,-,3.50,0.000,-0.2,0.000
곽용섭,73455,삼성,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,0,0,0,-,0,0.00,4.00,0.000,-0.1,0.000
권오준,99445,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
권혁,72447,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김덕윤,71440,삼성,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김영복,73438,삼성,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김진웅,98451,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김현욱,93453,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
박석진,95459,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
배영수,70425,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
안지만,72463,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
오상민,97815,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
윤성환,74454,삼성,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
임창용,95657,삼성,0.000,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,0,0,0,-,0,0.00,4.00,0.000,-0.1,0.000
정현욱,96462,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
최형우,72443,삼성,0.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,0,1,0,-,0,0.00,4.00,0.000,-0.2,0.000
