선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
이택근,73342,우리,0.317,110,428,372,59,118,19,1,12,175,58,1,3,48,4,4,44,10,0.470,0.398,0.868,33,0.348,0.400,32,111,102,1.09,0,1.09,3.86,0.153,67.9,0.297
전준호,91511,우리,0.310,114,391,352,44,109,16,5,1,138,24,1,2,35,2,1,41,5,0.392,0.372,0.764,25,0.263,0.125,22,121,83,1.46,0,0.85,3.90,0.082,49.8,0.265
브룸바,73324,우리,0.293,102,420,358,39,105,17,0,13,161,61,0,4,56,6,2,79,12,0.450,0.388,0.838,25,0.333,0.000,30,93,85,1.09,0,0.71,3.78,0.156,61.1,0.287
송지만,96761,우리,0.280,118,451,414,48,116,18,0,13,173,62,0,4,28,1,5,82,11,0.418,0.330,0.748,34,0.320,0.625,31,113,107,1.06,0,0.34,3.45,0.138,54.4,0.253
조중근,71835,우리,0.279,31,69,68,7,19,6,0,1,28,9,0,0,1,0,0,15,2,0.412,0.290,0.702,3,0.304,0.333,7,22,12,1.83,0,0.07,3.61,0.132,7.0,0.233
김남형,77314,우리,0.273,21,25,22,4,6,1,0,0,7,3,2,0,1,0,0,6,0,0.318,0.304,0.622,0,0.250,0.250,1,6,4,1.50,0,0.17,3.52,0.045,2.2,0.216
김일경,97300,우리,0.271,70,187,166,16,45,9,0,2,60,13,6,0,14,0,1,34,5,0.361,0.331,0.692,7,0.237,0.000,11,49,38,1.29,0,0.41,3.44,0.090,18.6,0.239
강정호,76325,우리,0.271,116,408,362,36,98,18,1,8,142,47,7,3,31,1,5,65,12,0.392,0.334,0.726,24,0.276,0.333,27,100,102,0.98,0,0.48,3.75,0.122,46.1,0.248
정성훈,99606,우리,0.270,109,399,355,43,96,21,2,3,130,34,2,1,36,1,5,41,13,0.366,0.345,0.711,21,0.299,0.222,26,109,110,0.99,0,0.88,3.88,0.096,42.5,0.247
이숭용,94310,우리,0.270,109,375,333,37,90,10,0,3,109,27,0,1,39,2,2,38,8,0.327,0.349,0.676,25,0.230,0.375,13,111,95,1.17,0,1.03,3.75,0.057,38.6,0.239
강병식,72325,우리,0.269,71,141,119,12,32,8,0,4,52,17,3,2,14,1,3,18,2,0.437,0.355,0.792,5,0.194,0.304,12,42,29,1.45,0,0.78,4.13,0.168,18.7,0.269
유재신,76368,우리,0.258,54,97,93,19,24,2,1,0,28,7,2,0,1,0,1,19,2,0.301,0.274,0.575,4,0.318,0.500,3,30,20,1.50,0,0.05,3.60,0.043,7.3,0.199
정수성,97350,우리,0.252,76,139,127,27,32,6,2,1,45,14,3,2,7,0,0,32,2,0.354,0.287,0.641,6,0.290,0.200,9,33,32,1.03,0,0.22,3.59,0.102,14.0,0.218
차화준,75307,우리,0.250,3,9,8,2,2,1,0,0,3,0,0,0,0,0,1,3,0,0.375,0.333,0.708,0,0.000,0.000,1,1,2,0.50,0,0.00,4.11,0.125,1.0,0.244
허준,75344,우리,0.250,15,16,16,1,4,0,0,1,7,1,0,0,0,0,0,11,0,0.438,0.250,0.688,0,0.000,0.200,1,0,1,0.00,0,0.00,4.13,0.188,1.8,0.222
강귀태,72312,우리,0.249,104,286,261,19,65,6,2,4,87,22,6,5,13,1,1,28,7,0.333,0.282,0.615,12,0.190,0.333,12,72,101,0.71,0,0.46,3.35,0.084,24.8,0.210
김동수,90419,우리,0.239,94,180,159,15,38,7,2,1,52,23,3,2,15,0,1,15,4,0.327,0.305,0.632,7,0.310,0.000,10,42,66,0.64,0,1.00,3.36,0.088,16.4,0.219
황재균,76313,우리,0.239,117,333,306,27,73,10,1,1,88,18,7,2,16,0,2,56,8,0.288,0.279,0.567,19,0.191,0.167,12,97,82,1.18,0,0.29,3.40,0.049,22.5,0.198
전근표,70364,우리,0.224,32,59,49,6,11,0,0,1,14,4,0,0,10,1,0,11,1,0.286,0.356,0.642,1,0.235,0.250,1,15,12,1.25,0,0.91,4.07,0.061,5.9,0.232
조재호,72313,우리,0.223,49,103,94,7,21,5,0,0,26,8,1,1,6,0,1,9,2,0.277,0.275,0.552,6,0.222,0.000,5,36,29,1.24,0,0.67,3.64,0.053,6.5,0.193
권도영,73363,우리,0.221,84,150,136,18,30,6,1,1,41,9,2,1,10,0,1,31,3,0.301,0.277,0.578,7,0.240,0.125,8,43,33,1.30,0,0.32,4.44,0.081,10.8,0.200
오윤,70312,우리,0.200,31,34,30,5,6,1,1,0,9,3,0,0,4,0,0,5,2,0.300,0.294,0.594,2,0.222,0.133,2,5,14,0.36,0,0.80,3.91,0.100,2.5,0.207
이성재,78363,우리,0.200,7,11,10,0,2,1,0,0,3,0,0,0,1,0,0,3,2,0.300,0.273,0.573,0,0.000,1.000,1,4,1,4.00,0,0.33,3.64,0.100,0.1,0.198
최현종,74304,우리,0.125,18,39,32,2,4,1,0,0,5,1,3,0,4,0,0,9,0,0.156,0.222,0.378,0,0.000,0.000,1,12,7,1.71,0,0.44,4.21,0.031,0.8,0.139
유선정,76322,우리,0.077,15,14,13,0,1,0,0,0,1,2,1,0,0,0,0,2,0,0.077,0.077,0.154,0,0.250,0.000,0,5,5,1.00,0,0.00,3.00,0.000,-0.6,0.054
조평호,74358,우리,0.067,14,17,15,1,1,0,0,0,1,1,0,0,1,0,1,4,1,0.067,0.176,0.243,0,0.250,0.500,0,4,6,0.67,0,0.25,3.59,0.000,-0.5,0.096
김민우,72303,우리,0.056,16,20,18,3,1,1,0,0,2,2,0,0,2,0,0,6,0,0.111,0.150,0.261,0,0.143,0.000,1,5,6,0.83,0,0.33,3.90,0.056,-0.2,0.095
김성현,78353,우리,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
