선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
이정후,67341,키움,0.336,140,630,574,91,193,31,10,6,262,68,3,4,45,0,4,40,15,0.456,0.386,0.842,67,0.307,0.400,47,167,178,0.94,6,1.13,3.72,0.120,92.6,0.288
김하성,64300,키움,0.307,139,625,540,112,166,38,2,19,265,104,1,7,70,4,7,80,12,0.491,0.389,0.880,48,0.364,1.000,59,113,188,0.60,10,0.88,3.75,0.183,104.7,0.298
샌즈,68345,키움,0.305,139,613,525,100,160,39,1,28,285,113,0,5,77,1,6,101,17,0.543,0.396,0.939,47,0.302,0.000,68,112,157,0.71,14,0.76,3.81,0.238,105.0,0.314
서건창,78168,키움,0.300,113,486,426,67,128,23,3,2,163,41,3,5,49,1,3,50,5,0.383,0.373,0.756,35,0.344,0.333,28,125,128,0.98,2,0.98,3.73,0.082,65.2,0.264
박동원,79365,키움,0.297,112,361,317,50,94,15,1,10,141,55,7,1,34,0,2,56,10,0.445,0.367,0.812,23,0.337,0.364,26,81,87,0.93,4,0.61,3.73,0.148,49.1,0.276
이지영,79456,키움,0.282,106,331,308,40,87,5,1,1,97,39,6,1,15,1,1,28,14,0.315,0.317,0.632,23,0.308,0.313,7,132,62,2.13,5,0.54,3.59,0.032,27.3,0.221
박병호,75125,키움,0.280,122,532,432,92,121,22,0,33,242,98,0,9,78,5,13,117,7,0.560,0.398,0.958,31,0.291,0.500,55,85,118,0.72,13,0.67,4.11,0.280,98.3,0.319
김혜성,67304,키움,0.276,122,387,348,57,96,16,7,0,126,32,4,4,29,1,2,85,4,0.362,0.332,0.694,22,0.271,0.000,23,99,72,1.38,5,0.34,3.63,0.086,45.2,0.240
김웅빈,65898,키움,0.273,4,11,11,1,3,1,0,0,4,3,0,0,0,0,0,2,2,0.364,0.273,0.637,1,0.400,0.000,1,4,2,2.00,2,0.00,3.73,0.091,0.2,0.214
김지수,79300,키움,0.267,69,32,30,3,8,2,0,0,10,3,0,0,2,0,0,7,1,0.333,0.313,0.646,0,0.500,0.000,2,5,10,0.50,0,0.29,4.00,0.067,2.7,0.224
김규민,62356,키움,0.248,94,250,222,33,55,8,1,3,74,24,0,2,22,0,4,68,4,0.333,0.324,0.657,13,0.212,0.500,12,54,47,1.15,1,0.32,3.75,0.086,24.2,0.229
장영석,79334,키움,0.247,119,413,372,41,92,15,0,7,128,62,0,5,27,0,9,77,14,0.344,0.310,0.654,22,0.287,0.143,22,103,105,0.98,6,0.35,4.04,0.097,39.0,0.226
임병욱,64346,키움,0.243,117,419,379,39,92,17,5,0,119,41,6,0,23,0,11,110,6,0.314,0.305,0.619,21,0.267,0.000,22,104,73,1.42,5,0.21,3.75,0.071,36.5,0.216
허정협,65399,키움,0.235,37,77,68,3,16,1,0,0,17,8,0,1,7,0,1,19,1,0.250,0.312,0.562,2,0.300,0.100,1,14,20,0.70,2,0.37,3.77,0.015,6.1,0.203
송성문,65357,키움,0.227,103,335,308,33,70,12,5,3,101,34,4,4,19,0,0,53,7,0.328,0.269,0.597,17,0.229,0.235,20,81,108,0.75,4,0.36,3.72,0.101,26.9,0.203
주효상,66354,키움,0.207,18,30,29,3,6,2,1,0,10,5,0,0,1,0,0,7,0,0.345,0.233,0.578,0,0.200,0.333,3,4,12,0.33,1,0.14,4.13,0.138,2.2,0.191
박정음,62353,키움,0.197,60,88,71,13,14,2,1,0,18,7,1,0,11,0,5,31,1,0.254,0.345,0.599,3,0.320,0.000,3,15,11,1.36,0,0.35,4.09,0.056,7.2,0.219
예진원,68330,키움,0.167,2,8,6,1,1,1,0,0,2,1,0,0,2,0,0,3,0,0.333,0.375,0.708,0,0.500,0.000,1,1,1,1.00,0,0.67,4.13,0.167,0.9,0.252
임지열,64340,키움,0.133,11,18,15,0,2,1,0,0,3,3,1,0,1,0,1,7,1,0.200,0.235,0.435,0,0.250,0.250,1,5,1,5.00,0,0.14,4.28,0.067,0.3,0.156
김은성,65304,키움,0.125,5,10,8,1,1,0,0,0,1,0,0,0,2,0,0,2,1,0.125,0.300,0.425,0,0.000,0.000,0,2,3,0.67,0,1.00,4.70,0.000,0.2,0.166
김주형,69306,키움,0.000,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,0,0,1,0.00,0,-,2.00,0.000,-0.1,0.000
윤영삼,61456,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
추재현,68362,키움,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,0,0,1,0.00,0,-,4.00,0.000,-0.1,0.000
