선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
김태균,71752,한화,0.315,73,271,254,25,80,11,0,10,121,34,0,0,13,1,4,56,7,0.476,0.358,0.834,26,0.343,0.400,21,54,64,0.84,4,0.23,3.82,0.161,38.5,0.280
호잉,68730,한화,0.306,142,590,529,85,162,47,2,30,303,110,0,5,51,10,5,93,5,0.573,0.369,0.942,43,0.335,0.500,79,104,175,0.59,14,0.55,3.88,0.267,106.2,0.309
정근우,75808,한화,0.304,102,425,375,63,114,24,1,11,173,57,1,3,39,1,7,43,12,0.461,0.377,0.838,30,0.326,0.000,36,122,99,1.23,3,0.91,3.59,0.157,61.1,0.285
송광민,76753,한화,0.297,113,460,434,63,129,24,0,18,207,79,0,4,18,0,4,93,13,0.477,0.328,0.805,36,0.243,0.000,42,121,95,1.27,8,0.19,3.59,0.180,62.1,0.267
이성열,73136,한화,0.295,131,528,485,76,143,21,1,34,268,102,1,2,35,3,5,143,9,0.553,0.347,0.900,34,0.283,0.600,56,113,88,1.28,8,0.24,3.90,0.258,86.9,0.294
이용규,74163,한화,0.293,134,575,491,82,144,14,1,1,163,36,8,5,59,0,12,62,8,0.332,0.379,0.711,44,0.327,0.000,16,162,128,1.27,2,0.95,4.03,0.039,70.1,0.254
강경학,61700,한화,0.278,77,289,245,42,68,11,1,5,96,27,1,1,38,0,4,59,7,0.392,0.382,0.774,14,0.254,0.143,17,74,45,1.64,5,0.64,4.26,0.114,37.5,0.270
지성준,64717,한화,0.275,99,224,207,22,57,7,0,7,85,29,2,1,12,0,2,55,6,0.411,0.320,0.731,8,0.309,0.292,14,38,58,0.66,5,0.22,3.82,0.135,25.9,0.247
최재훈,78288,한화,0.262,128,341,298,36,78,17,0,1,98,27,6,2,20,0,15,61,8,0.329,0.337,0.666,18,0.253,0.500,18,98,63,1.56,3,0.33,3.90,0.067,34.8,0.234
김회성,79705,한화,0.259,58,102,85,15,22,5,0,4,39,17,3,0,11,0,3,26,3,0.459,0.364,0.823,3,0.409,0.333,9,17,20,0.85,1,0.42,3.88,0.200,13.9,0.279
하주석,62700,한화,0.254,141,517,484,67,123,20,3,9,176,52,1,0,28,0,4,130,7,0.364,0.300,0.664,31,0.267,1.000,32,145,86,1.69,7,0.22,3.69,0.110,49.5,0.226
양성우,62797,한화,0.254,73,236,209,32,53,9,0,2,68,13,0,1,22,2,4,32,8,0.325,0.335,0.660,13,0.192,0.375,11,64,61,1.05,2,0.69,4.04,0.072,22.0,0.232
정은원,68743,한화,0.249,98,227,201,33,50,5,3,4,73,20,2,1,22,0,1,50,0,0.363,0.324,0.687,13,0.333,0.111,12,56,46,1.22,3,0.44,4.19,0.114,26.3,0.237
백창수,60100,한화,0.243,70,169,152,21,37,15,1,3,63,18,0,1,12,0,4,36,5,0.414,0.314,0.728,8,0.250,0.150,19,26,54,0.48,1,0.33,3.96,0.171,18.5,0.245
이동훈,66702,한화,0.239,28,50,46,6,11,1,0,1,15,2,0,0,3,0,1,8,1,0.326,0.300,0.626,3,0.333,0.250,2,18,9,2.00,0,0.38,3.58,0.087,4.1,0.217
오선진,78756,한화,0.226,56,148,133,14,30,4,0,1,37,9,3,0,7,0,5,33,2,0.278,0.290,0.568,6,0.231,0.000,5,49,21,2.33,1,0.21,3.68,0.053,11.3,0.200
김민하,61554,한화,0.216,59,108,97,13,21,4,0,3,34,17,2,1,5,0,3,30,6,0.351,0.274,0.625,3,0.308,0.333,7,27,20,1.35,2,0.17,3.53,0.134,7.4,0.211
장진혁,66706,한화,0.214,50,48,42,9,9,4,1,0,15,2,0,0,4,0,2,11,0,0.357,0.313,0.670,1,0.200,0.143,5,10,12,0.83,0,0.36,4.00,0.143,4.4,0.230
최진행,74729,한화,0.213,57,154,136,14,29,3,0,7,53,13,0,0,15,0,3,53,5,0.390,0.305,0.695,3,0.189,0.071,10,32,22,1.45,2,0.28,4.15,0.176,15.6,0.235
김창혁,60184,한화,0.200,6,10,10,1,2,1,0,0,3,0,0,0,0,0,0,3,0,0.300,0.200,0.500,0,0.000,0.250,1,1,4,0.25,0,0.00,3.20,0.100,0.5,0.165
박준혁,64724,한화,0.200,4,5,5,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0.400,0.200,0.600,0,0.000,0.500,1,1,1,1.00,0,0.00,4.20,0.200,0.3,0.190
김태연,66704,한화,0.192,24,30,26,7,5,1,0,0,6,2,1,0,3,0,0,8,0,0.231,0.276,0.507,0,0.125,0.000,1,8,5,1.60,0,0.38,4.07,0.038,1.5,0.182
정경운,66716,한화,0.067,22,16,15,1,1,0,0,0,1,2,0,1,0,0,0,7,1,0.067,0.063,0.130,0,0.111,0.000,0,4,4,1.00,1,0.00,3.63,0.000,-0.8,0.045
강상원,66710,한화,0.000,6,7,6,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.000,0.143,0.143,0,0.000,0.000,0,1,3,0.33,0,0.50,4.14,0.000,0.0,0.064
김인환,66715,한화,0.000,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000,0,3,1,3.00,0,0.00,5.17,0.000,-0.6,0.000
송창식,74731,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
안영명,73738,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
이도윤,65703,한화,0.000,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,0,1,0,-,0,-,1.00,0.000,-0.1,0.000
이동걸,77452,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
장민재,79764,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
최윤석,60805,한화,-,2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,-,1.000,1.000,0,0.000,0.000,0,0,0,-,0,-,5.50,-,0.7,0.450
