선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
정수성,97350,현대,0.375,26,10,8,3,3,0,0,0,3,0,1,0,1,0,0,2,0,0.375,0.444,0.819,1,0.000,0.000,0,2,1,2.00,0,0.50,3.90,0.000,1.8,0.294
김민우,72303,현대,0.368,15,22,19,1,7,1,0,0,8,2,0,0,3,0,0,6,0,0.421,0.455,0.876,1,0.400,0.500,1,5,1,5.00,0,0.50,4.09,0.053,3.3,0.310
정성훈,99606,현대,0.343,91,379,338,55,116,17,0,13,172,51,9,1,23,1,8,40,20,0.509,0.397,0.906,33,0.370,0.000,30,98,85,1.15,0,0.58,3.57,0.166,57.8,0.306
심정수,94204,현대,0.335,133,601,460,110,154,16,1,53,331,142,0,8,124,17,9,63,14,0.720,0.478,1.198,45,0.346,0.000,70,105,146,0.72,0,1.97,3.97,0.385,144.7,0.395
김동수,90419,현대,0.308,117,441,367,48,113,15,1,16,178,68,15,6,45,5,8,57,10,0.485,0.390,0.875,29,0.350,0.286,32,81,122,0.66,0,0.79,3.95,0.177,68.0,0.297
브룸바,73324,현대,0.303,70,297,264,45,80,18,1,14,142,51,0,2,29,0,2,43,6,0.538,0.374,0.912,19,0.324,0.000,33,47,96,0.49,0,0.67,3.87,0.235,48.8,0.303
이숭용,94310,현대,0.294,133,573,511,70,150,25,0,18,229,76,7,4,47,0,4,69,10,0.448,0.355,0.803,46,0.246,0.000,43,129,167,0.77,0,0.68,3.88,0.155,79.9,0.272
박종호,92906,현대,0.293,131,597,502,90,147,26,4,6,199,61,26,4,47,0,18,53,6,0.396,0.371,0.767,43,0.255,0.000,36,152,154,0.99,0,0.89,3.94,0.104,76.8,0.266
박진만,96307,현대,0.283,129,515,421,68,119,26,0,16,193,48,22,4,55,0,13,66,14,0.458,0.379,0.837,33,0.232,0.000,42,93,147,0.63,0,0.83,3.94,0.176,72.3,0.285
이택근,73342,현대,0.278,101,243,212,26,59,11,0,4,82,17,6,1,11,0,13,35,3,0.387,0.350,0.737,11,0.185,0.333,15,67,52,1.29,0,0.31,3.57,0.108,28.7,0.254
