선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
김동수,90419,히어로즈,0.368,29,70,57,14,21,6,0,2,33,13,2,1,9,0,1,6,0,0.579,0.456,1.035,6,0.273,0.200,8,13,18,0.72,0,1.50,3.79,0.211,14.3,0.350
이택근,73342,히어로즈,0.311,123,538,456,84,142,26,0,15,213,66,1,4,64,5,13,59,13,0.467,0.408,0.875,38,0.291,0.000,41,134,125,1.07,0,1.08,3.84,0.156,89.7,0.300
이숭용,94310,히어로즈,0.296,114,422,362,47,107,20,3,4,145,52,4,6,48,1,2,44,7,0.401,0.376,0.777,28,0.311,0.000,27,119,98,1.21,0,1.09,3.74,0.105,57.2,0.269
클락,78725,히어로즈,0.290,125,559,486,85,141,24,4,24,245,90,0,2,65,2,3,85,14,0.504,0.376,0.880,39,0.320,0.000,52,129,133,0.97,0,0.76,3.64,0.214,88.9,0.295
송지만,96761,히어로즈,0.289,115,439,374,69,108,15,3,22,195,67,1,4,52,2,8,122,10,0.521,0.384,0.905,29,0.275,0.286,40,82,66,1.24,0,0.43,4.09,0.233,73.6,0.303
강정호,76325,히어로즈,0.286,133,538,476,73,136,33,2,23,242,81,8,5,45,2,4,81,18,0.508,0.349,0.857,37,0.259,0.000,58,145,118,1.23,0,0.56,3.83,0.223,78.6,0.284
황재균,76313,히어로즈,0.284,133,608,536,86,152,27,5,18,243,63,6,8,55,0,3,100,11,0.453,0.349,0.802,41,0.268,0.000,50,137,155,0.88,0,0.55,3.67,0.170,85.7,0.270
권도영,73363,히어로즈,0.283,38,63,53,3,15,3,0,0,18,5,2,0,6,0,2,13,1,0.340,0.377,0.717,3,0.188,0.100,3,10,15,0.67,0,0.46,4.21,0.057,7.2,0.255
김민우,72303,히어로즈,0.264,78,151,125,15,33,5,0,3,47,10,6,1,17,0,2,36,3,0.376,0.359,0.735,4,0.138,0.462,8,39,18,2.17,0,0.47,3.99,0.112,19.4,0.256
김일경,97300,히어로즈,0.257,107,309,265,44,68,14,1,2,90,20,13,1,27,0,3,60,5,0.340,0.331,0.671,16,0.169,0.333,17,72,66,1.09,0,0.45,3.86,0.083,32.1,0.234
강병식,72325,히어로즈,0.250,54,94,76,9,19,4,0,2,29,14,1,1,13,0,3,21,0,0.382,0.376,0.758,3,0.296,0.091,6,20,17,1.18,0,0.62,4.05,0.132,12.5,0.265
강귀태,72312,히어로즈,0.249,114,326,281,28,70,12,0,3,91,37,9,5,28,1,3,49,4,0.324,0.319,0.643,14,0.236,0.214,15,88,79,1.11,0,0.57,3.80,0.075,32.2,0.225
허준,75344,히어로즈,0.246,40,79,69,5,17,3,1,0,22,10,2,2,4,0,2,24,1,0.319,0.299,0.618,2,0.381,0.000,4,15,15,1.00,0,0.17,3.56,0.072,7.3,0.214
브룸바,73324,히어로즈,0.245,123,526,436,69,107,21,1,27,211,86,0,2,86,9,2,111,17,0.484,0.371,0.855,21,0.271,0.000,49,100,120,0.83,0,0.77,4.09,0.239,76.8,0.288
전준호,91511,히어로즈,0.242,21,37,33,2,8,1,0,0,9,4,0,0,4,0,0,5,0,0.273,0.324,0.597,0,0.300,0.250,1,14,6,2.33,0,0.80,3.59,0.030,2.4,0.214
정수성,97350,히어로즈,0.230,87,153,139,29,32,5,0,3,46,9,5,2,3,0,4,32,1,0.331,0.264,0.595,8,0.143,0.333,8,47,30,1.57,0,0.09,3.39,0.101,14.8,0.202
장기영,71347,히어로즈,0.200,15,27,25,3,5,1,0,0,6,1,1,0,1,0,0,5,1,0.240,0.231,0.471,1,0.000,0.000,1,9,6,1.50,0,0.20,3.41,0.040,1.8,0.164
오재일,75334,히어로즈,0.197,43,74,66,4,13,5,0,0,18,4,1,1,6,1,0,15,1,0.273,0.260,0.533,3,0.125,0.250,5,17,22,0.77,0,0.40,3.78,0.076,4.7,0.185
장영석,79334,히어로즈,0.182,16,38,33,2,6,0,0,2,12,4,0,0,3,0,2,14,1,0.364,0.289,0.653,1,0.000,0.000,2,6,7,0.86,0,0.21,3.79,0.182,3.7,0.221
유선정,76322,히어로즈,0.179,33,68,56,5,10,1,0,1,14,8,1,1,8,0,2,9,1,0.250,0.299,0.549,1,0.250,1.000,2,21,17,1.24,0,0.89,4.12,0.071,5.4,0.197
조재호,72313,히어로즈,0.148,21,30,27,1,4,1,0,1,8,3,0,0,2,0,1,5,1,0.296,0.233,0.529,0,0.111,0.286,2,12,6,2.00,0,0.40,3.77,0.148,1.7,0.179
오윤,70312,히어로즈,0.125,19,28,24,2,3,1,0,1,7,2,0,1,0,0,3,5,1,0.292,0.214,0.506,0,0.000,0.125,2,7,10,0.70,0,0.00,3.57,0.167,1.8,0.169
조중근,71835,히어로즈,0.111,17,20,18,0,2,0,0,0,2,1,0,1,1,1,0,1,3,0.111,0.150,0.261,0,0.000,0.143,0,12,4,3.00,0,1.00,3.40,0.000,-0.9,0.095
김지수,79300,히어로즈,0.000,15,4,3,2,0,0,0,0,0,0,1,0,0,0,0,1,2,0.000,0.000,0.000,0,0.000,0.000,0,2,0,-,0,0.00,2.50,0.000,-1.0,0.000
손승현,75442,히어로즈,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
유재신,76368,히어로즈,0.000,9,4,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,0,2,1,2.00,0,0.00,5.50,0.000,-0.4,0.000
