선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
고우석,73629,KIA,0.00,2,0,0,0,0,-,1 1/3,0,0,2,0,2,0,0,1.50,0,0,0,0,5,19,0.000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.00,0.000,9.5,14.3,13.50,13.50,1.00,0.400,0.000,0.400
박정태,74630,KIA,0.00,1,0,0,0,0,-,1,0,0,1,0,0,0,0,1.00,0,0,0,0,4,18,0.000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2.00,0.000,18.0,18.0,0.00,9.00,0.00,0.250,0.000,0.250
신용운,72649,KIA,1.69,4,0,0,0,0,-,5 1/3,2,0,4,1,3,2,1,1.13,0,0,0,0,23,80,0.111,0,0,0,0,0,0,0,0,0,0,3,0,0,1,7,6,1.17,0.133,20.0,15.0,5.06,6.75,0.75,0.304,0.111,0.415
윤석민,75620,KIA,2.45,27,17,5,1,0,0.773,172 1/3,137,10,44,6,178,53,47,1.05,3,3,18,0,679,2685,0.223,20,2,12,2,0,2,1,25,17,0,5,1,1,20,139,162,0.86,0.297,99.4,15.6,9.30,2.30,4.05,0.281,0.311,0.592
심동섭,60636,KIA,2.77,57,3,1,2,7,0.750,55 1/3,37,1,31,4,67,21,17,1.23,0,0,0,1,237,1022,0.186,9,0,3,0,1,4,0,0,0,3,11,15,0,3,41,54,0.76,0.275,17.9,18.5,10.90,5.04,2.16,0.308,0.246,0.554
손영민,76639,KIA,3.08,59,9,6,5,10,0.600,87 2/3,73,4,26,11,66,34,30,1.13,0,0,0,0,361,1381,0.232,8,0,5,4,3,0,1,0,0,9,11,10,0,9,96,84,1.14,0.277,23.4,15.8,6.78,2.67,2.54,0.309,0.295,0.604
트레비스,61629,KIA,3.48,25,7,5,0,1,0.583,126 2/3,120,13,62,3,115,59,49,1.44,1,1,11,0,548,2187,0.255,22,1,9,3,0,12,3,22,7,0,1,1,0,11,132,107,1.23,0.309,87.5,17.3,8.17,4.41,1.85,0.343,0.389,0.732
유동훈,99639,KIA,3.94,47,3,3,7,2,0.500,48,51,4,12,4,21,23,21,1.31,0,0,0,4,201,733,0.283,15,0,4,1,3,0,0,0,0,3,25,14,4,5,72,36,2.00,0.301,15.6,15.3,3.94,2.25,1.75,0.340,0.433,0.773
로페즈,79644,KIA,3.98,26,11,9,1,0,0.550,153 2/3,153,14,26,9,106,71,68,1.16,1,0,13,0,631,2228,0.264,21,2,15,1,2,3,0,24,10,1,3,1,0,11,193,129,1.50,0.302,85.7,14.5,6.21,1.52,4.08,0.305,0.379,0.684
한기주,76610,KIA,4.08,16,1,3,7,0,0.250,28 2/3,31,0,11,1,20,13,13,1.47,0,0,0,1,126,471,0.277,3,1,2,0,0,2,0,3,1,0,12,8,2,4,30,31,0.97,0.337,29.4,16.4,6.28,3.45,1.82,0.347,0.321,0.668
서재응,78640,KIA,4.28,30,8,9,2,2,0.471,130 1/3,144,7,36,11,84,68,62,1.38,1,0,10,1,562,2198,0.285,28,3,6,3,3,3,0,22,8,0,5,4,0,13,159,122,1.30,0.328,73.3,16.9,5.80,2.49,2.33,0.344,0.393,0.737
이상화,74647,KIA,4.50,10,0,0,1,1,-,14,13,1,5,1,8,9,7,1.29,0,0,0,0,62,228,0.236,5,0,1,0,0,1,0,0,0,0,4,1,0,1,17,17,1.00,0.261,22.8,16.3,5.14,3.21,1.60,0.311,0.382,0.693
곽정철,75668,KIA,4.79,18,1,0,1,4,1.000,20 2/3,21,4,11,2,27,12,11,1.55,0,0,0,1,96,397,0.259,4,1,2,0,0,2,0,1,0,1,4,5,0,1,11,22,0.50,0.340,22.1,19.2,11.76,4.79,2.45,0.362,0.481,0.843
조태수,73657,KIA,4.97,21,0,0,0,0,-,29,31,4,9,0,16,16,16,1.38,0,0,0,0,120,468,0.282,8,0,1,0,0,1,0,0,0,0,11,0,0,6,28,35,0.80,0.300,22.3,16.1,4.97,2.79,1.78,0.336,0.464,0.800
김건한,71851,KIA,5.08,35,2,5,0,3,0.286,67 1/3,67,5,30,9,42,39,38,1.44,0,0,0,0,299,1182,0.271,14,2,11,2,0,3,1,8,2,0,1,4,0,9,66,74,0.89,0.307,33.8,17.6,5.61,4.01,1.40,0.368,0.405,0.773
김진우,72641,KIA,5.19,10,0,1,2,0,0.000,8 2/3,6,0,7,1,12,5,5,1.50,0,0,0,1,41,153,0.182,1,0,0,0,0,0,0,0,0,0,4,4,0,1,10,5,2.00,0.286,15.3,17.7,12.46,7.27,1.71,0.341,0.212,0.553
양현종,77637,KIA,6.18,28,7,9,0,0,0.438,106 1/3,116,9,69,4,74,74,73,1.74,1,0,7,0,492,1976,0.287,22,2,12,3,0,2,0,22,7,0,3,1,0,9,112,105,1.07,0.330,70.6,18.6,6.26,5.84,1.07,0.394,0.418,0.812
박성호,79760,KIA,6.46,23,0,2,0,0,0.000,23 2/3,28,1,17,1,20,17,17,1.90,0,0,0,0,112,423,0.304,8,3,2,0,1,1,0,1,0,0,11,0,0,2,9,35,0.26,0.380,18.4,17.9,7.61,6.46,1.18,0.418,0.489,0.907
