선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
김도영,66098,KT,0.00,1,0,0,0,0,-,1,1,0,0,0,0,0,0,1.00,0,0,0,0,4,14,0.250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0.50,0.250,14.0,14.0,0.00,0.00,-,0.250,0.250,0.500
피어밴드,65331,KT,3.04,26,8,10,0,0,0.444,160,153,20,31,7,132,67,54,1.15,1,1,20,0,657,2469,0.251,19,4,7,2,0,4,0,26,8,0,1,0,0,15,159,168,0.95,0.289,95.0,15.4,7.43,1.74,4.26,0.294,0.393,0.687
윤근영,75730,KT,3.50,12,0,0,0,1,-,18,23,4,5,0,11,9,7,1.56,0,0,0,0,78,284,0.324,2,0,2,0,0,2,0,0,0,0,7,1,0,4,24,13,1.85,0.339,23.7,15.8,5.50,2.50,2.20,0.368,0.521,0.889
이상화,77563,KT,3.95,70,4,3,6,4,0.571,66,68,4,16,4,57,32,29,1.27,0,0,0,1,277,1106,0.273,12,1,6,2,3,4,1,0,0,4,30,11,2,8,55,71,0.77,0.337,15.8,16.8,7.77,2.18,3.56,0.325,0.378,0.703
엄상백,65056,KT,4.15,52,1,3,0,8,0.250,52,48,3,22,4,39,28,24,1.35,0,0,0,4,229,891,0.242,8,0,3,2,1,1,0,0,0,1,2,17,0,3,49,64,0.77,0.285,17.1,17.1,6.75,3.81,1.77,0.327,0.328,0.655
로치,67033,KT,4.69,28,4,15,0,0,0.211,165,200,18,60,13,99,106,86,1.58,1,0,12,0,743,2693,0.304,33,3,7,5,0,10,1,28,4,0,1,0,0,22,238,125,1.90,0.334,96.2,16.3,5.40,3.27,1.65,0.371,0.446,0.817
고영표,64001,KT,5.08,25,8,12,0,1,0.400,141 2/3,170,13,16,18,125,84,80,1.31,2,1,10,0,612,2186,0.299,32,1,6,4,0,6,1,24,8,0,2,1,0,13,172,105,1.64,0.362,87.4,15.4,7.94,1.02,7.81,0.337,0.428,0.765
심재민,64017,KT,5.18,64,1,7,0,13,0.125,74 2/3,86,11,31,4,69,48,43,1.57,0,0,0,6,344,1361,0.289,12,1,7,4,2,4,1,2,0,1,8,20,0,4,74,73,1.01,0.338,21.3,18.2,8.32,3.74,2.23,0.359,0.446,0.805
강장산,64907,KT,5.47,17,0,0,0,0,-,26 1/3,27,3,15,4,16,17,16,1.59,0,0,0,0,121,465,0.278,3,0,2,3,0,1,0,0,0,0,8,1,0,3,33,24,1.38,0.296,27.4,17.7,5.47,5.13,1.07,0.387,0.402,0.789
김재윤,65062,KT,5.79,41,3,5,15,0,0.375,37 1/3,41,1,11,1,31,25,24,1.39,0,0,0,4,161,609,0.283,6,4,2,2,3,1,0,0,0,3,30,20,1,2,33,42,0.79,0.348,14.9,16.3,7.47,2.65,2.82,0.333,0.400,0.733
홍성용,75149,KT,6.23,37,0,2,0,1,0.000,39,44,7,17,3,22,27,27,1.56,0,0,0,0,176,748,0.289,8,0,1,3,1,2,0,1,0,0,11,1,0,3,33,56,0.59,0.294,20.2,19.2,5.08,3.92,1.29,0.366,0.480,0.846
주권,65060,KT,6.61,39,5,6,1,3,0.455,81 2/3,101,15,31,6,47,64,60,1.62,0,0,0,2,379,1393,0.306,25,3,6,6,0,4,0,12,1,4,5,6,0,6,86,102,0.84,0.314,35.7,17.1,5.18,3.42,1.52,0.370,0.536,0.906
이종혁,67066,KT,6.63,16,2,0,0,0,1.000,19,25,3,10,5,10,16,14,1.84,0,0,0,0,97,364,0.309,4,1,1,0,0,1,0,0,0,2,4,0,0,1,22,24,0.92,0.324,22.8,19.2,4.74,4.74,1.00,0.417,0.494,0.911
김사율,99563,KT,7.27,19,3,3,0,2,0.500,34 2/3,51,7,8,1,28,30,28,1.70,0,0,1,1,165,612,0.336,11,1,3,1,0,0,0,5,2,1,1,2,0,1,33,41,0.80,0.373,32.2,17.7,7.27,2.08,3.50,0.370,0.559,0.929
