선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
김기표,76119,LG,0.00,3,0,0,1,1,-,4 1/3,3,0,3,0,3,1,0,1.38,0,0,0,0,20,82,0.214,2,0,3,0,0,2,0,0,0,0,1,2,1,0,4,4,1.00,0.273,27.3,18.9,6.23,6.23,1.00,0.353,0.357,0.710
여승현,71343,LG,0.00,2,0,0,0,0,-,2,1,0,2,0,1,0,0,1.50,0,0,0,0,10,46,0.125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1.00,0.143,23.0,23.0,4.50,9.00,0.50,0.300,0.125,0.425
우규민,73117,LG,1.55,62,3,4,17,7,0.429,75 2/3,62,2,20,9,30,16,13,1.08,0,0,0,2,300,1072,0.237,6,1,6,3,5,0,0,0,0,3,34,25,2,12,110,63,1.75,0.258,17.3,14.2,3.57,2.38,1.50,0.310,0.290,0.600
박만채,71136,LG,2.70,3,0,0,0,0,-,3 1/3,3,0,2,0,1,1,1,1.50,0,0,0,0,15,58,0.231,0,0,0,0,0,0,0,0,0,0,2,0,0,1,8,1,8.00,0.250,19.3,17.4,2.70,5.40,0.50,0.333,0.231,0.564
민경수,74130,LG,2.76,33,0,1,0,4,0.000,16 1/3,14,1,12,1,14,6,5,1.59,0,0,0,0,75,323,0.233,1,0,1,1,0,3,0,0,0,0,4,3,0,0,15,18,0.83,0.283,9.8,19.8,7.71,6.61,1.17,0.365,0.300,0.665
카라이어,76199,LG,3.25,32,2,6,2,11,0.250,52 2/3,45,3,11,4,48,21,19,1.06,0,0,0,3,215,832,0.231,8,2,5,0,2,0,1,3,1,1,3,14,0,5,53,49,1.08,0.292,26.0,15.8,8.20,1.88,4.36,0.286,0.338,0.624
경헌호,70121,LG,3.46,34,2,3,2,5,0.400,52,48,3,16,1,28,23,20,1.23,0,0,0,2,216,836,0.247,11,2,3,2,1,1,0,3,0,2,11,7,0,6,49,71,0.69,0.273,24.6,16.1,4.85,2.77,1.75,0.305,0.371,0.676
정재복,73166,LG,3.59,29,7,10,0,0,0.412,143,126,9,49,3,63,64,57,1.22,0,0,14,0,591,2247,0.244,20,2,19,3,2,2,0,23,6,1,3,0,0,9,146,185,0.79,0.261,77.5,15.7,3.97,3.08,1.29,0.311,0.342,0.653
김민기,97111,LG,3.65,55,2,4,6,6,0.333,61 2/3,65,4,25,5,43,26,25,1.46,0,0,0,3,272,1067,0.280,16,1,7,3,3,1,0,0,0,2,23,15,0,3,54,73,0.74,0.324,19.4,17.3,6.28,3.65,1.72,0.358,0.409,0.767
장준관,70135,LG,3.65,11,1,0,0,0,1.000,12 1/3,19,0,6,1,3,7,5,2.03,0,0,0,0,63,212,0.352,4,0,1,1,0,0,1,0,0,1,4,1,0,2,18,15,1.20,0.365,19.3,17.2,2.19,4.38,0.50,0.419,0.426,0.845
진필중,95235,LG,3.95,25,0,3,0,2,0.000,43 1/3,54,3,15,0,18,21,19,1.59,0,0,0,1,190,663,0.318,7,1,5,0,0,4,0,3,0,0,6,3,0,6,64,34,1.88,0.342,26.5,15.3,3.74,3.12,1.20,0.373,0.424,0.797
김광삼,99152,LG,4.08,6,0,2,0,0,0.000,17 2/3,19,0,14,2,10,10,8,1.87,0,0,1,0,84,306,0.284,4,1,1,0,0,0,0,3,0,0,2,0,0,4,23,15,1.53,0.333,51.0,17.3,5.09,7.13,0.71,0.422,0.373,0.795
최원호,96345,LG,4.29,15,3,5,0,0,0.375,84,88,4,35,5,48,41,40,1.46,0,0,8,0,368,1392,0.274,14,0,6,1,3,0,0,14,3,0,1,0,0,6,79,107,0.74,0.311,92.8,16.6,5.14,3.75,1.37,0.354,0.355,0.709
김재현,98776,LG,4.38,57,1,2,0,9,0.333,37,29,1,22,2,27,20,18,1.38,0,0,0,1,164,702,0.215,7,0,4,1,3,2,0,0,0,1,4,14,0,1,37,43,0.86,0.259,12.3,19.0,6.57,5.35,1.23,0.331,0.289,0.620
심수창,74167,LG,4.38,29,10,9,0,0,0.526,135 2/3,147,17,52,8,56,73,66,1.47,0,0,10,0,595,2182,0.286,19,4,17,4,2,5,1,24,10,0,1,1,0,19,175,140,1.25,0.292,75.2,16.1,3.71,3.45,1.08,0.358,0.438,0.796
이승호,99137,LG,4.46,21,8,7,0,1,0.533,103,114,13,35,2,86,56,51,1.45,0,0,8,0,449,1738,0.284,15,1,8,3,0,6,0,16,6,2,1,0,0,8,89,115,0.77,0.331,82.8,16.9,7.51,3.06,2.46,0.342,0.424,0.766
신재웅,75138,LG,4.61,22,1,2,0,1,0.333,52 2/3,51,5,17,1,30,30,27,1.29,1,1,1,0,220,776,0.260,7,1,4,2,0,3,0,5,1,0,5,0,0,6,41,76,0.54,0.282,35.3,14.7,5.13,2.91,1.76,0.319,0.383,0.702
김회권,76169,LG,4.73,5,0,3,0,0,0.000,13 1/3,15,0,6,1,7,7,7,1.58,1,1,0,0,59,234,0.306,1,0,3,0,0,0,0,3,0,0,1,0,0,2,12,15,0.80,0.357,46.8,17.6,4.73,4.05,1.17,0.393,0.327,0.720
베로커,76120,LG,4.75,11,3,4,0,1,0.429,53,55,3,30,5,31,28,28,1.60,1,0,3,0,238,897,0.291,9,2,12,2,0,1,0,9,3,0,1,1,0,4,46,59,0.78,0.331,81.5,16.9,5.26,5.09,1.03,0.398,0.407,0.805
최상덕,94330,LG,4.80,9,2,5,0,0,0.286,45,52,7,11,3,23,28,24,1.40,0,0,4,0,201,761,0.287,9,1,4,2,1,1,0,9,2,0,0,0,0,1,47,61,0.77,0.294,84.6,16.9,4.60,2.20,2.09,0.335,0.464,0.799
텔레마코,76154,LG,5.04,7,1,3,0,0,0.250,25,25,4,12,1,11,18,14,1.48,0,0,2,0,109,433,0.266,5,1,1,1,0,1,0,7,1,0,0,0,0,2,26,33,0.79,0.263,61.9,17.3,3.96,4.32,0.92,0.352,0.468,0.820
