선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
고창성,78248,NC,1.80,25,1,1,0,1,0.500,25,25,1,7,3,11,9,5,1.28,0,0,0,1,107,380,0.260,6,1,0,1,0,1,0,0,0,1,9,2,0,1,39,22,1.77,0.282,15.2,15.2,3.96,2.52,1.57,0.327,0.375,0.702
이혜천,98259,NC,3.00,25,1,0,0,2,1.000,18,22,0,8,2,17,7,6,1.67,0,0,0,2,85,301,0.306,7,0,1,2,0,1,0,0,0,1,6,4,0,0,19,16,1.19,0.386,12.0,16.7,8.50,4.00,2.13,0.381,0.403,0.784
손민한,97571,NC,3.54,52,4,4,1,9,0.500,48 1/3,56,5,14,3,23,20,19,1.45,0,0,0,5,210,784,0.298,12,0,4,1,1,3,0,1,0,4,10,16,0,5,67,43,1.56,0.317,15.1,16.2,4.28,2.61,1.64,0.354,0.441,0.795
찰리,63939,NC,3.81,28,12,8,0,0,0.600,165 1/3,184,13,55,9,92,90,70,1.45,1,1,16,0,718,2747,0.291,31,0,16,5,0,5,2,28,12,0,1,0,0,25,226,136,1.66,0.321,98.1,16.6,5.01,2.99,1.67,0.353,0.401,0.754
에릭,63938,NC,4.01,30,8,8,0,0,0.500,172 2/3,169,14,62,14,112,86,77,1.34,1,0,16,0,749,2791,0.258,22,2,10,7,0,5,0,29,8,0,1,0,0,12,225,157,1.43,0.289,93.0,16.2,5.84,3.23,1.81,0.332,0.361,0.693
원종현,76118,NC,4.06,73,5,3,1,11,0.625,71,62,7,31,8,73,36,32,1.31,0,0,0,3,311,1207,0.235,11,1,6,2,3,5,0,0,0,5,3,16,0,2,84,47,1.79,0.296,16.5,17.0,9.25,3.93,2.35,0.331,0.364,0.695
김진성,75867,NC,4.10,58,3,3,25,1,0.500,48 1/3,40,4,26,2,52,25,22,1.37,0,0,0,2,211,885,0.222,8,1,2,1,0,1,0,0,0,3,50,28,5,3,24,65,0.37,0.288,15.3,18.3,9.68,4.84,2.00,0.325,0.344,0.669
이재학,60263,NC,4.21,29,10,9,0,0,0.526,156,152,16,68,8,131,77,73,1.41,1,0,13,0,668,2595,0.264,28,2,12,4,0,2,0,28,10,0,1,0,0,21,144,153,0.94,0.314,89.5,16.6,7.56,3.92,1.93,0.348,0.403,0.751
홍성용,75149,NC,4.26,22,0,1,0,3,0.000,12 2/3,12,1,8,1,5,7,6,1.58,0,0,0,0,57,241,0.255,3,0,0,1,1,0,0,0,0,0,6,5,0,0,10,21,0.48,0.262,11.0,19.0,3.55,5.68,0.63,0.368,0.383,0.751
임창민,78352,NC,4.39,41,6,3,1,5,0.667,53 1/3,50,5,29,2,53,28,26,1.48,0,0,0,2,240,978,0.250,15,0,5,4,1,2,1,0,0,6,9,9,0,0,35,66,0.53,0.308,23.9,18.3,8.94,4.89,1.83,0.345,0.400,0.745
노성호,62920,NC,4.47,15,1,2,0,1,0.333,48 1/3,44,6,28,2,37,25,24,1.49,0,0,1,0,212,825,0.247,7,2,3,1,0,4,0,6,1,0,1,0,0,4,35,63,0.56,0.279,55.0,17.1,6.89,5.21,1.32,0.354,0.410,0.764
웨버,64956,NC,4.58,24,9,6,0,0,0.600,118,132,13,42,3,85,66,60,1.47,1,0,11,0,512,1975,0.288,25,0,6,2,0,5,2,23,9,0,0,0,0,16,141,103,1.37,0.328,82.3,16.7,6.48,3.20,2.02,0.350,0.427,0.777
손정욱,63914,NC,4.70,67,2,1,1,16,0.667,44,40,3,25,1,38,24,23,1.48,0,0,0,0,194,808,0.248,10,1,4,3,0,3,0,0,0,2,5,21,0,1,33,53,0.62,0.301,12.1,18.4,7.77,5.11,1.52,0.347,0.379,0.726
이민호,62929,NC,5.01,51,7,2,2,8,0.778,88,93,19,38,8,73,53,49,1.49,0,0,1,3,398,1578,0.267,22,0,4,0,2,6,0,6,1,6,9,12,0,7,77,105,0.73,0.289,30.9,17.9,7.47,3.89,1.92,0.353,0.494,0.847
이성민,63935,NC,5.79,9,1,2,0,0,0.333,28,37,0,16,1,14,22,18,1.89,0,0,1,0,134,492,0.322,5,2,1,1,0,3,0,5,1,0,2,0,0,5,35,30,1.17,0.363,54.7,17.6,4.50,5.14,0.88,0.406,0.400,0.806
문수호,72643,NC,6.00,10,0,1,0,1,0.000,9,11,3,1,0,9,6,6,1.33,0,0,0,1,39,141,0.306,3,0,2,0,0,0,0,0,0,0,3,2,0,0,9,7,1.29,0.333,14.1,15.7,9.00,1.00,9.00,0.324,0.639,0.963
