선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
김원형,91848,SK,0.00,3,0,0,0,0,-,2 1/3,3,0,0,0,0,2,0,1.29,0,0,0,0,11,35,0.273,2,0,0,0,0,0,0,0,0,0,2,0,0,0,5,3,1.67,0.273,11.7,15.0,0.00,0.00,-,0.273,0.455,0.728
김태훈,79847,SK,-,1,0,0,0,0,-,0,0,0,1,0,0,0,0,-,0,0,0,0,1,4,-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,0.000,4.0,-,-,-,0.00,1.000,-,1.000
이한진,76822,SK,0.00,6,0,0,0,0,-,3 2/3,7,0,2,0,0,1,0,2.45,0,0,0,0,19,96,0.412,2,0,0,0,0,1,0,0,0,0,1,0,0,1,7,3,2.33,0.412,16.0,26.2,0.00,4.91,0.00,0.474,0.529,1.003
제춘모,72801,SK,0.00,2,0,0,0,0,-,3 1/3,0,0,3,0,4,0,0,0.90,0,0,0,0,12,53,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1.50,0.000,26.5,15.9,10.80,8.10,1.33,0.250,0.000,0.250
정대현,71801,SK,1.40,49,4,1,4,8,0.800,45,31,1,7,1,47,7,7,0.84,0,0,0,2,170,648,0.194,4,0,1,1,3,1,0,0,0,4,10,13,1,4,42,41,1.02,0.265,13.2,14.4,9.40,1.40,6.71,0.231,0.238,0.469
이승호,99137,SK,2.03,16,2,0,0,1,1.000,31,23,3,13,1,30,9,7,1.16,0,0,0,0,121,509,0.215,2,0,0,0,0,3,0,3,0,2,3,0,0,4,21,33,0.64,0.270,31.8,16.4,8.71,3.77,2.31,0.306,0.318,0.624
송은범,73801,SK,2.30,44,8,5,8,4,0.615,125,103,12,48,6,91,38,32,1.21,0,0,7,0,519,1988,0.226,9,3,7,3,7,5,0,18,6,2,18,13,3,13,163,101,1.61,0.256,45.2,15.9,6.55,3.46,1.90,0.307,0.338,0.645
김광현,77829,SK,2.37,31,17,7,0,0,0.708,193 2/3,153,13,84,5,183,56,51,1.22,2,1,20,0,797,3129,0.221,22,1,14,1,1,13,0,30,16,1,2,0,0,19,230,128,1.80,0.281,100.9,16.2,8.50,3.90,2.18,0.309,0.312,0.621
전병두,73228,SK,3.06,27,5,2,0,1,0.714,67 2/3,55,2,26,2,52,27,23,1.20,0,0,1,1,281,1138,0.224,16,0,6,1,2,6,0,7,3,2,4,2,0,4,80,60,1.33,0.275,42.1,16.8,6.92,3.46,2.00,0.302,0.313,0.615
카도쿠라,79854,SK,3.22,30,14,7,0,0,0.667,153 2/3,146,14,52,6,143,65,55,1.29,0,0,15,0,647,2510,0.255,16,1,14,2,2,11,0,27,13,1,0,1,0,15,144,142,1.01,0.316,83.7,16.3,8.38,3.05,2.75,0.322,0.360,0.682
정우람,74857,SK,3.53,75,8,4,2,18,0.667,102,80,7,44,4,111,41,40,1.22,0,0,0,1,428,1726,0.217,11,0,9,3,2,4,0,0,0,8,12,21,1,8,80,100,0.80,0.289,23.0,16.9,9.79,3.88,2.52,0.305,0.304,0.609
윤희상,74838,SK,3.60,4,0,0,0,0,-,5,6,0,2,0,2,2,2,1.60,0,0,0,0,22,86,0.300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,5,1.40,0.333,21.5,17.2,3.60,3.60,1.00,0.364,0.300,0.664
