선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
조상우,63342,넥센,2.47,48,6,2,0,11,0.750,69 1/3,53,2,29,3,73,21,19,1.18,0,0,0,2,280,1175,0.220,9,0,4,3,0,6,1,0,0,6,6,8,0,9,66,52,1.27,0.302,24.5,16.9,9.48,3.76,2.52,0.308,0.282,0.590
한현희,62363,넥센,3.20,66,4,2,2,31,0.667,78 2/3,75,6,31,4,83,30,28,1.35,0,0,0,3,342,1455,0.247,9,1,2,1,1,2,0,0,0,4,7,34,0,4,88,59,1.49,0.319,22.0,18.5,9.50,3.55,2.68,0.324,0.342,0.666
밴헤켄,62322,넥센,3.51,31,20,6,0,0,0.769,187,193,9,53,3,178,81,73,1.32,0,0,18,0,788,3266,0.270,33,5,10,6,0,6,2,31,20,0,0,0,0,17,208,143,1.45,0.344,105.4,17.5,8.57,2.55,3.36,0.320,0.367,0.687
손승락,75321,넥센,4.33,62,3,5,32,0,0.375,62 1/3,69,6,11,2,53,30,30,1.28,0,0,0,6,259,1042,0.284,12,0,1,2,0,3,0,0,0,3,58,38,2,4,78,45,1.73,0.339,16.8,16.7,7.65,1.59,4.82,0.318,0.407,0.725
소사,62698,넥센,4.61,20,10,2,0,0,0.833,125,140,18,45,3,98,66,64,1.48,0,0,12,0,537,2153,0.290,22,2,7,0,0,3,0,20,10,0,0,0,0,14,122,122,1.00,0.333,107.7,17.2,7.06,3.24,2.18,0.355,0.456,0.811
마정길,72749,넥센,4.78,56,3,3,0,7,0.500,64,57,9,30,12,55,37,34,1.36,0,0,0,0,285,1213,0.241,9,0,5,1,0,2,0,0,0,3,12,10,0,2,40,86,0.47,0.276,21.7,19.0,7.73,4.22,1.83,0.354,0.392,0.746
배힘찬,72321,넥센,5.40,6,0,0,0,0,-,6 2/3,11,1,1,0,4,4,4,1.80,0,0,0,0,32,121,0.355,1,0,0,0,0,1,0,0,0,0,4,0,0,1,9,7,1.29,0.385,20.2,18.2,5.40,1.35,4.00,0.375,0.484,0.859
김대우,61365,넥센,5.50,30,2,2,1,0,0.500,73 2/3,88,9,45,8,66,48,45,1.81,0,0,1,0,347,1476,0.307,14,2,5,2,0,4,0,9,2,0,1,0,0,7,68,67,1.01,0.369,49.2,20.0,8.06,5.50,1.47,0.412,0.463,0.875
나이트,79430,넥센,5.52,6,1,2,0,0,0.333,29 1/3,36,5,22,1,19,22,18,1.98,0,0,1,0,142,562,0.310,6,0,2,1,0,0,0,6,1,0,0,0,0,2,34,28,1.21,0.333,93.7,19.2,5.83,6.75,0.86,0.421,0.491,0.912
문성현,60336,넥센,5.91,20,9,4,0,1,0.692,85 1/3,96,12,48,5,51,59,56,1.69,0,0,4,0,402,1595,0.278,27,1,0,4,0,4,0,17,9,0,0,0,0,1,87,115,0.76,0.294,79.8,18.7,5.38,5.06,1.06,0.371,0.467,0.838
김동준,62360,넥센,6.00,5,0,0,0,0,-,6,6,1,8,0,2,4,4,2.33,0,0,0,0,32,141,0.250,2,0,0,0,0,0,0,0,0,0,4,0,0,0,8,8,1.00,0.238,28.2,23.5,3.00,12.00,0.25,0.438,0.458,0.896
