선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
린드블럼,65543,두산,2.88,26,15,4,0,0,0.789,168 2/3,142,16,38,8,157,56,54,1.07,0,0,21,0,681,2605,0.226,33,2,5,2,0,10,0,26,15,0,0,0,0,3,122,209,0.58,0.276,100.2,15.4,8.38,2.03,4.13,0.278,0.361,0.639
함덕주,63248,두산,2.96,62,6,3,27,3,0.667,67,58,4,37,4,75,23,22,1.42,0,0,0,4,293,1181,0.233,9,1,3,0,3,4,0,0,0,6,44,35,6,3,54,62,0.87,0.318,19.0,17.6,10.07,4.97,2.03,0.341,0.325,0.666
박신지,68249,두산,3.00,17,1,2,0,0,0.333,21,14,4,9,1,16,7,7,1.10,0,0,0,1,88,343,0.182,3,0,0,1,0,3,0,0,0,1,9,2,0,0,17,31,0.55,0.172,20.2,16.3,6.86,3.86,1.78,0.273,0.377,0.650
김승회,73248,두산,3.46,55,3,4,3,11,0.429,54 2/3,54,6,23,5,34,26,21,1.41,0,0,0,2,242,945,0.256,11,0,2,1,1,3,0,0,0,3,10,21,1,6,67,57,1.18,0.279,17.2,17.3,5.60,3.79,1.48,0.342,0.393,0.735
이용찬,77211,두산,3.63,25,15,3,0,0,0.833,144,151,14,36,8,102,62,58,1.30,1,0,16,0,608,2237,0.274,24,1,5,7,2,6,0,24,15,0,2,0,0,16,143,163,0.88,0.309,89.5,15.5,6.38,2.25,2.83,0.323,0.397,0.720
박치국,67266,두산,3.63,67,1,5,3,17,0.167,67,80,5,15,9,60,30,27,1.42,0,0,0,3,293,1026,0.301,13,0,2,1,4,1,1,0,0,1,6,29,2,11,76,51,1.49,0.371,15.3,15.3,8.06,2.01,4.00,0.357,0.406,0.763
김정후,61962,두산,3.63,13,0,1,0,0,0.000,17 1/3,12,3,12,1,12,8,7,1.38,0,0,0,0,75,336,0.194,3,0,0,0,0,0,0,0,0,0,5,1,0,1,10,28,0.36,0.191,25.8,19.4,6.23,6.23,1.00,0.333,0.387,0.720
후랭코프,68240,두산,3.74,28,18,3,0,0,0.857,149 1/3,118,12,55,22,134,64,62,1.16,0,0,17,0,621,2624,0.220,17,1,5,3,1,15,0,28,18,0,0,0,0,18,179,108,1.66,0.270,93.7,17.6,8.08,3.31,2.44,0.317,0.323,0.640
홍상삼,78247,두산,4.30,17,1,0,0,0,1.000,14 2/3,13,1,12,2,13,7,7,1.70,0,0,0,0,66,249,0.250,3,1,0,0,1,5,0,0,0,1,8,0,0,5,12,14,0.86,0.316,14.6,17.0,7.98,7.36,1.08,0.409,0.404,0.813
김강률,77263,두산,4.62,65,5,0,6,11,1.000,76,72,7,24,3,81,42,39,1.26,0,0,0,3,317,1230,0.253,10,0,4,1,1,6,0,0,0,5,17,24,1,7,72,61,1.18,0.328,18.9,16.2,9.59,2.84,3.38,0.316,0.361,0.677
이현승,76329,두산,4.99,39,1,0,0,6,1.000,30 2/3,39,4,14,1,21,18,17,1.73,0,0,0,0,140,514,0.317,9,2,1,1,1,0,0,0,0,1,6,7,0,7,36,28,1.29,0.354,13.2,16.8,6.16,4.11,1.50,0.388,0.520,0.908
이영하,66291,두산,5.28,40,10,3,0,2,0.769,122 2/3,140,15,54,9,90,75,72,1.58,0,0,6,0,555,2103,0.290,28,5,3,6,1,8,0,17,8,2,4,7,0,13,115,144,0.80,0.326,52.6,17.1,6.60,3.96,1.67,0.368,0.462,0.830
강동연,61295,두산,5.40,8,1,0,0,0,1.000,11 2/3,10,2,5,0,5,8,7,1.29,0,0,0,1,49,193,0.238,2,0,1,1,0,0,0,0,0,1,4,1,0,0,6,22,0.27,0.222,24.1,16.5,3.86,3.86,1.00,0.313,0.429,0.742
이현호,61214,두산,6.11,15,0,0,1,0,-,28,37,4,13,1,23,19,19,1.79,0,0,1,0,134,513,0.308,6,0,0,0,0,1,0,2,0,0,10,1,0,1,20,40,0.50,0.355,34.2,18.3,7.39,4.18,1.77,0.381,0.458,0.839
유희관,79229,두산,6.70,29,10,10,0,0,0.500,141,197,23,42,4,81,108,105,1.70,0,0,10,0,650,2432,0.332,41,3,4,7,0,1,0,28,10,0,0,0,0,15,155,167,0.93,0.351,83.9,17.2,5.17,2.68,1.93,0.376,0.528,0.904
