선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
김유신,76550,롯데,0.00,1,0,0,0,0,-,1,0,0,0,0,1,0,0,0.00,0,0,0,0,3,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.00,0.000,5.0,5.0,9.00,0.00,-,0.000,0.000,0.000
김정환,76567,롯데,2.08,5,0,0,0,0,-,4 1/3,8,0,0,0,1,1,1,1.85,0,0,0,0,19,63,0.421,0,1,0,0,0,0,0,0,0,0,3,0,0,2,6,4,1.50,0.444,12.6,14.5,2.08,0.00,-,0.421,0.526,0.947
이정훈,97541,롯데,2.45,7,0,0,0,0,-,7 1/3,9,0,4,0,8,3,2,1.77,0,0,0,0,36,148,0.290,2,0,1,0,0,1,0,0,0,0,3,0,0,0,8,6,1.33,0.391,21.1,20.2,9.82,4.91,2.00,0.371,0.355,0.726
최대성,74543,롯데,2.67,41,3,2,0,7,0.600,57 1/3,39,0,26,5,53,17,17,1.13,0,0,0,2,229,889,0.199,6,1,2,0,2,4,0,0,0,3,15,11,0,4,52,52,1.00,0.273,21.7,15.5,8.32,4.08,2.04,0.308,0.240,0.548
김이슬,77517,롯데,2.70,7,0,0,0,0,-,3 1/3,2,0,1,0,1,1,1,0.90,0,0,0,0,13,46,0.200,2,0,0,2,0,0,0,0,0,0,1,1,0,0,6,3,2.00,0.182,6.6,13.8,2.70,2.70,1.00,0.231,0.400,0.631
임경완,98521,롯데,3.25,65,7,1,0,6,0.875,74 2/3,73,2,35,12,52,28,27,1.45,0,0,0,1,328,1269,0.272,14,1,10,3,5,1,0,0,0,7,13,7,0,9,80,66,1.21,0.327,19.5,17.0,6.27,4.22,1.49,0.377,0.354,0.731
손민한,97571,롯데,3.34,30,13,10,0,0,0.565,194,191,17,48,2,95,74,72,1.23,0,0,19,0,797,2831,0.263,27,4,18,3,4,4,0,30,13,0,0,0,0,12,232,211,1.10,0.282,94.4,14.6,4.41,2.23,1.98,0.309,0.382,0.691
배장호,76540,롯데,3.42,34,4,0,0,4,1.000,47 1/3,41,4,14,4,33,20,18,1.16,0,0,0,1,195,749,0.234,7,2,2,0,2,2,0,0,0,4,7,5,0,6,57,44,1.30,0.268,22.0,15.8,6.27,2.66,2.36,0.306,0.366,0.672
카브레라,74828,롯데,3.65,56,3,4,22,0,0.429,56 2/3,49,5,19,1,60,30,23,1.20,0,0,0,6,236,984,0.232,8,0,4,1,7,1,1,0,0,3,45,28,4,4,54,49,1.10,0.299,17.6,17.4,9.53,3.02,3.16,0.297,0.341,0.638
송승준,77591,롯데,3.85,25,5,5,0,0,0.500,117,115,13,49,6,76,52,50,1.40,2,0,10,0,504,1940,0.266,16,2,14,3,7,5,0,17,5,0,4,0,0,10,127,117,1.09,0.295,77.6,16.6,5.85,3.77,1.55,0.347,0.403,0.750
