선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
서동환,75261,삼성,0.00,2,0,0,0,0,-,1,1,0,0,1,1,0,0,1.00,0,0,0,0,5,12,0.250,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.00,0.333,6.0,12.0,9.00,0.00,-,0.400,0.250,0.650
이우선,79442,삼성,0.00,1,0,0,0,0,-,1/3,0,0,1,0,0,0,0,3.00,0,0,0,0,2,7,0.000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-,0.000,7.0,21.0,0.00,27.00,0.00,0.500,0.000,0.500
임현준,61457,삼성,-,1,0,0,0,0,-,0,2,0,1,0,0,0,0,-,0,0,0,0,3,12,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1.000,12.0,-,-,-,0.00,1.000,1.000,2.000
조현근,75268,삼성,0.00,6,0,0,0,0,-,5 1/3,2,0,1,0,3,0,0,0.56,0,0,0,0,19,68,0.111,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,11,0.18,0.133,11.3,12.8,5.06,1.69,3.00,0.158,0.111,0.269
김현우,60457,삼성,2.32,29,1,0,0,1,1.000,31,25,4,8,1,29,8,8,1.06,0,0,0,0,123,494,0.225,5,0,2,1,0,3,0,0,0,1,11,2,0,3,22,36,0.61,0.266,17.0,15.9,8.42,2.32,3.63,0.281,0.378,0.659
이수민,64464,삼성,2.45,5,1,0,0,1,1.000,7 1/3,7,0,10,1,7,2,2,2.32,0,0,0,0,39,168,0.259,1,0,1,0,1,0,0,0,0,1,2,1,0,0,5,8,0.63,0.350,33.6,22.9,8.59,12.27,0.70,0.474,0.296,0.770
권혁,72447,삼성,2.86,38,3,2,0,1,0.600,34 2/3,27,4,11,0,38,13,11,1.10,0,0,0,1,137,554,0.216,7,0,0,1,1,1,0,0,0,3,10,3,0,4,35,26,1.35,0.274,14.6,16.0,9.87,2.86,3.45,0.277,0.368,0.645
밴덴헐크,63432,삼성,3.18,25,13,4,0,0,0.765,152 2/3,125,15,45,5,180,54,54,1.11,1,0,16,0,622,2598,0.222,30,1,7,2,0,4,0,25,13,0,1,0,0,6,114,146,0.78,0.297,103.9,17.0,10.61,2.65,4.00,0.285,0.359,0.644
안지만,72463,삼성,3.75,55,6,3,1,27,0.667,62 1/3,51,5,30,4,67,27,26,1.30,0,0,0,4,263,1079,0.234,9,0,6,5,2,4,0,0,0,6,10,29,0,5,52,53,0.98,0.305,19.6,17.3,9.67,4.33,2.23,0.331,0.344,0.675
장원삼,76355,삼성,4.11,24,11,5,0,0,0.688,129 1/3,149,16,37,5,63,70,59,1.44,0,0,11,0,562,2120,0.295,33,2,6,9,0,6,0,24,11,0,0,0,0,15,140,162,0.86,0.306,88.3,16.4,4.38,2.57,1.70,0.344,0.463,0.807
