선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
다카쓰,78333,우리,0.86,18,1,0,8,0,1.000,21,16,1,5,4,18,2,2,1.00,0,0,0,0,85,332,0.211,3,0,0,0,0,0,0,0,0,1,11,8,1,1,16,26,0.62,0.263,18.4,15.8,7.71,2.14,3.60,0.294,0.289,0.583
장원삼,76355,우리,2.85,27,12,8,0,0,0.600,167 1/3,145,9,57,2,126,54,53,1.21,2,2,14,0,674,2656,0.240,26,1,6,4,1,3,1,27,12,0,2,0,0,16,150,188,0.80,0.287,98.4,15.9,6.78,3.07,2.21,0.305,0.331,0.636
마일영,70329,우리,3.49,28,11,11,0,0,0.500,173,155,11,57,12,83,77,67,1.23,1,0,19,0,712,2658,0.244,21,4,6,1,0,4,0,28,11,0,1,0,0,25,243,156,1.56,0.265,94.9,15.4,4.32,2.97,1.46,0.317,0.341,0.658
조용훈,76357,우리,3.54,52,1,6,1,6,0.143,56,55,2,20,9,34,29,22,1.34,0,0,0,0,247,901,0.259,7,2,4,2,1,2,0,0,0,1,12,8,0,3,66,59,1.12,0.298,17.3,16.1,5.46,3.21,1.70,0.346,0.340,0.686
신철인,70323,우리,3.60,13,0,0,0,2,-,10,9,2,5,1,8,4,4,1.40,0,0,0,2,45,188,0.231,2,1,0,0,0,0,0,0,0,0,1,6,0,0,7,15,0.47,0.241,14.5,18.8,7.20,4.50,1.60,0.333,0.487,0.820
박준수,70349,우리,3.62,34,0,3,2,7,0.000,27 1/3,20,2,10,3,17,11,11,1.10,0,0,0,2,114,426,0.202,7,0,1,1,2,0,0,0,0,0,6,9,0,1,26,37,0.70,0.222,12.5,15.6,5.60,3.29,1.70,0.292,0.333,0.625
김수경,98330,우리,3.88,26,3,6,0,0,0.333,106 2/3,110,7,42,5,63,54,46,1.43,0,0,8,0,474,1726,0.263,24,3,4,4,1,5,0,16,3,0,5,2,0,4,123,127,0.97,0.292,66.4,16.2,5.32,3.54,1.50,0.334,0.384,0.718
김성현,78353,우리,4.03,22,0,4,1,0,0.000,38,29,0,20,2,30,20,17,1.29,0,0,0,1,162,609,0.209,8,0,0,1,0,5,0,2,0,0,13,3,0,2,50,31,1.61,0.264,27.7,16.0,7.11,4.74,1.50,0.315,0.266,0.581
황두성,97423,우리,4.05,34,6,8,8,1,0.429,104 1/3,88,10,45,2,77,50,47,1.27,0,0,8,1,439,1667,0.233,16,2,7,6,1,10,0,15,5,1,11,13,1,6,81,138,0.59,0.263,49.0,16.0,6.64,3.88,1.71,0.313,0.365,0.678
이동학,70356,우리,4.26,2,0,0,0,0,-,6 1/3,10,1,3,0,3,3,3,2.05,0,0,0,0,31,98,0.385,2,1,1,1,0,0,0,0,0,0,2,0,0,1,5,9,0.56,0.391,49.0,15.5,4.26,4.26,1.00,0.433,0.654,1.087
