선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
차재용,65509,키움,0.00,1,0,0,0,0,-,1,0,0,0,0,0,0,0,0.00,0,0,0,0,3,18,0.000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0.50,0.000,18.0,18.0,0.00,0.00,-,0.000,0.000,0.000
김선기,66018,키움,2.05,25,0,0,0,3,-,22,17,1,8,4,11,8,5,1.14,0,0,0,0,92,346,0.218,3,0,1,1,0,4,0,0,0,0,2,2,0,3,25,26,0.96,0.239,13.8,15.7,4.50,3.27,1.38,0.319,0.295,0.614
요키시,69343,키움,2.14,27,12,7,0,0,0.632,159 2/3,144,6,25,6,115,53,38,1.06,0,0,20,0,640,2417,0.237,26,3,2,0,0,3,1,27,12,0,0,0,0,16,219,129,1.70,0.284,89.5,15.1,6.48,1.41,4.60,0.274,0.320,0.594
조상우,63342,키움,2.15,53,5,3,33,0,0.625,54 1/3,50,3,18,2,64,15,13,1.25,0,0,0,3,232,955,0.238,5,0,2,0,2,1,0,0,0,5,46,36,0,1,36,60,0.60,0.329,18.0,17.6,10.60,2.98,3.56,0.304,0.305,0.609
안우진,68341,키움,3.00,42,2,3,2,13,0.400,36,20,3,17,0,41,12,12,1.03,0,0,0,5,143,579,0.160,2,0,0,1,1,2,0,0,0,2,4,22,0,1,31,34,0.91,0.207,13.8,16.1,10.25,4.25,2.41,0.259,0.248,0.507
양현,61268,키움,3.30,58,8,3,2,11,0.727,60,58,4,17,3,33,23,22,1.25,0,0,0,2,245,889,0.265,9,1,1,5,0,1,0,1,0,8,8,13,0,10,73,60,1.22,0.289,15.3,14.8,4.95,2.55,1.94,0.320,0.370,0.690
브리검,67313,키움,3.62,21,9,5,0,0,0.643,107,98,6,42,5,105,45,43,1.31,0,0,7,0,456,1843,0.246,7,2,5,6,1,8,0,21,9,0,0,0,0,7,115,86,1.34,0.314,87.8,17.2,8.83,3.53,2.50,0.322,0.319,0.641
양기현,67365,키움,3.86,24,0,1,0,1,0.000,23 1/3,24,3,10,1,12,10,10,1.46,0,0,0,0,99,383,0.282,3,0,3,0,1,2,0,0,0,0,2,2,0,3,21,28,0.75,0.300,16.0,16.4,4.63,3.86,1.20,0.365,0.424,0.789
문성현,60336,키움,4.20,10,1,1,0,0,0.500,15,13,1,11,0,13,7,7,1.60,0,0,0,0,63,273,0.250,1,0,0,0,0,0,0,2,0,1,3,0,0,4,9,17,0.53,0.316,27.3,18.2,7.80,6.60,1.18,0.381,0.327,0.708
김태훈,62360,키움,4.22,53,7,0,0,10,1.000,64,70,1,22,5,40,34,30,1.44,0,0,0,2,281,1039,0.282,14,1,4,2,1,3,0,2,0,7,2,10,0,6,80,60,1.33,0.330,19.6,16.2,5.63,3.09,1.82,0.350,0.359,0.709
박주성,69328,키움,4.50,3,0,0,0,0,-,2,2,0,3,0,1,1,1,2.50,0,0,0,0,11,37,0.250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0.67,0.286,12.3,18.5,4.50,13.50,0.33,0.455,0.250,0.705
임규빈,65398,키움,4.54,33,2,0,0,2,1.000,37 2/3,46,11,10,2,20,20,19,1.49,0,0,0,0,162,603,0.315,7,0,1,3,0,2,0,0,0,2,8,1,0,7,37,46,0.80,0.297,18.3,16.0,4.78,2.39,2.00,0.360,0.589,0.949
김재웅,67391,키움,4.68,43,1,4,0,2,0.200,59 2/3,64,7,23,2,51,36,31,1.46,0,0,0,0,258,1040,0.279,18,0,3,1,1,4,0,7,0,1,4,7,0,6,58,57,1.02,0.331,24.2,17.4,7.69,3.47,2.22,0.349,0.450,0.799
이영준,64051,키움,4.73,52,2,3,0,25,0.400,40,41,5,19,2,32,21,21,1.50,0,0,0,1,176,695,0.268,3,0,0,2,0,3,1,0,0,2,1,32,0,6,47,35,1.34,0.305,13.4,17.4,7.20,4.28,1.68,0.352,0.386,0.738
김상수,76430,키움,4.73,60,3,3,5,11,0.500,51 1/3,52,3,21,3,48,33,27,1.42,0,0,0,3,226,906,0.265,12,0,3,2,1,1,0,0,0,3,8,20,2,4,41,57,0.72,0.333,15.1,17.6,8.42,3.68,2.29,0.342,0.372,0.714
